Time Remaining,Rhodes,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
17:12,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
17:12,,,,,"SUB IN by BASS,XAVIER",,,"SUB IN by BASS,XAVIER",1
17:12,"TURNOVER  by GEORGETOWN II,ARNESS",,,,,,,"TURNOVER  by GEORGETOWN II,ARNESS",1
16:52,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
16:52,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
16:36,"FOUL  by SHEN,KEVIN",,,,,,,"FOUL  by SHEN,KEVIN",1
16:36,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",1
16:36,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
16:33,,,,,"MISS LAYUP by WILLIAMS,CAMERON(in the paint)",,,"MISS LAYUP by WILLIAMS,CAMERON(in the paint)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:33,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
16:33,,3,,6 (+3),"GOOD FT by WILLIAMS,CAMERON",Mill 3-6 (+3),,"GOOD FT by WILLIAMS,CAMERON",1
16:33,,,,,"MISS FT by WILLIAMS,CAMERON",,,"MISS FT by WILLIAMS,CAMERON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:14,"GOOD JUMPER by GEORGETOWN II,ARNESS",5,,6 (+1),,Rhodes 5-6 (+1),,"GOOD JUMPER by GEORGETOWN II,ARNESS",1
--,"ASSIST  by ESSICK,JALEN",,,,,,,"ASSIST  by ESSICK,JALEN",1
16:07,,,,,"TURNOVER  by WILLIAMS,CAMERON",,,"TURNOVER  by WILLIAMS,CAMERON",1
16:07,,,,,"SUB OUT by BASS,XAVIER",,,"SUB OUT by BASS,XAVIER",1
16:07,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
15:52,"TURNOVER  by ESSICK,JALEN",,,,,,,"TURNOVER  by ESSICK,JALEN",1
15:52,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
15:52,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
15:52,"SUB IN by HIESTER,JACKSON",,,,,,,"SUB IN by HIESTER,JACKSON",1
15:52,"SUB IN by LAMEY,HAYDEN",,,,,,,"SUB IN by LAMEY,HAYDEN",1
15:34,,5,,9 (+4),"GOOD 3PTR by WILLIAMS,CAMERON",Mill 5-9 (+4),,"GOOD 3PTR by WILLIAMS,CAMERON",1
--,,,,,"ASSIST  by BUSH,RODREEKAS",,,"ASSIST  by BUSH,RODREEKAS",1
15:02,"MISS JUMPER by WILEY,KOKI(in the paint)",,,,,,,"MISS JUMPER by WILEY,KOKI(in the paint)",1
--,,,,,"REBOUND DEF by DIMITRIOS,DYLAN",,,"REBOUND DEF by DIMITRIOS,DYLAN",1
14:50,,,,,"MISS LAYUP by DIMITRIOS,DYLAN(in the paint)",,,"MISS LAYUP by DIMITRIOS,DYLAN(in the paint)",1
--,,,,,"REBOUND OFF by DIMITRIOS,DYLAN",,,"REBOUND OFF by DIMITRIOS,DYLAN",1
14:44,,5,,11 (+6),"GOOD LAYUP by DIMITRIOS,DYLAN(in the paint)",Mill 5-11 (+6),,"GOOD LAYUP by DIMITRIOS,DYLAN(in the paint)",1
14:37,"GOOD JUMPER by HIESTER,JACKSON(fastbreak)(in the paint)",7,,11 (+4),,Rhodes 7-11 (+4),,"GOOD JUMPER by HIESTER,JACKSON(fastbreak)(in the paint)",1
--,"ASSIST  by WILEY,KOKI",,,,,,,"ASSIST  by WILEY,KOKI",1
14:21,,,,,"TURNOVER  by DIMITRIOS,DYLAN",,,"TURNOVER  by DIMITRIOS,DYLAN",1
14:21,"STEAL  by HIESTER,JACKSON",,,,,,,"STEAL  by HIESTER,JACKSON",1
14:19,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
14:19,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
14:19,,,,,"SUB OUT by DIMITRIOS,DYLAN",,,"SUB OUT by DIMITRIOS,DYLAN",1
14:19,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
14:19,,,,,"SUB IN by BASS,XAVIER",,,"SUB IN by BASS,XAVIER",1
14:19,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",1
14:19,"SUB OUT by HIESTER,JACKSON",,,,,,,"SUB OUT by HIESTER,JACKSON",1
14:19,"SUB OUT by GEORGETOWN II,ARNESS",,,,,,,"SUB OUT by GEORGETOWN II,ARNESS",1
14:19,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
14:19,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
14:15,"FOUL  by LAMEY,HAYDEN",,,,,,,"FOUL  by LAMEY,HAYDEN",1
14:12,,,,,"TURNOVER  by BASS,XAVIER",,,"TURNOVER  by BASS,XAVIER",1
14:00,"TURNOVER  by WILLIAMS,JAYSON",,,,,,,"TURNOVER  by WILLIAMS,JAYSON",1
13:39,,7,,13 (+6),"GOOD JUMPER by WATSON,DOUG(in the paint)",Mill 7-13 (+6),,"GOOD JUMPER by WATSON,DOUG(in the paint)",1
13:26,,,,,"FOUL  by BUSH,RODREEKAS",,,"FOUL  by BUSH,RODREEKAS",1
13:01,,,,,"FOUL  by BASS,XAVIER",,,"FOUL  by BASS,XAVIER",1
12:58,,7,,16 (+9),"GOOD 3PTR by BASS,XAVIER",Mill 7-16 (+9),,"GOOD 3PTR by BASS,XAVIER",1
--,,,,,"ASSIST  by WILLIAMS,CAMERON",,,"ASSIST  by WILLIAMS,CAMERON",1
12:58,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
12:58,"SUB OUT by LAMEY,HAYDEN",,,,,,,"SUB OUT by LAMEY,HAYDEN",1
12:58,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
12:58,"SUB IN by HIESTER,JACKSON",,,,,,,"SUB IN by HIESTER,JACKSON",1
12:42,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",,,,,,,"MISS JUMPER by WALKER,JEFFERSON(in the paint)",1
--,,,,,"REBOUND DEF by BASS,XAVIER",,,"REBOUND DEF by BASS,XAVIER",1
12:36,,,,,"MISS JUMPER by WILLIAMS,CAMERON",,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,"REBOUND DEF by HIESTER,JACKSON",,,,,,,"REBOUND DEF by HIESTER,JACKSON",1
12:18,,,,,"FOUL  by WILLIAMS,CAMERON",,,"FOUL  by WILLIAMS,CAMERON",1
12:18,"GOOD FT by WILEY,KOKI",8,,16 (+8),,Rhodes 8-16 (+8),,"GOOD FT by WILEY,KOKI",1
12:18,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
12:18,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
12:18,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
12:18,"SUB IN by YOUNG,DEON",,,,,,,"SUB IN by YOUNG,DEON",1
12:18,"GOOD FT by WILEY,KOKI",9,,16 (+7),,Rhodes 9-16 (+7),,"GOOD FT by WILEY,KOKI",1
12:06,,,,,"MISS 3PTR by BUSH,RODREEKAS",,,"MISS 3PTR by BUSH,RODREEKAS",1
--,"REBOUND DEF by YOUNG,DEON",,,,,,,"REBOUND DEF by YOUNG,DEON",1
11:58,"MISS 3PTR by HIESTER,JACKSON",,,,,,,"MISS 3PTR by HIESTER,JACKSON",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
11:52,,,,,"TURNOVER  by WILLIAMS,CAMERON",,,"TURNOVER  by WILLIAMS,CAMERON",1
11:52,"SUB OUT by HIESTER,JACKSON",,,,,,,"SUB OUT by HIESTER,JACKSON",1
11:52,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
11:36,"GOOD JUMPER by CLAYTON,TJ",11,,16 (+5),,Rhodes 11-16 (+5),,"GOOD JUMPER by CLAYTON,TJ",1
11:14,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by CLAYTON,TJ",,,,,,,"REBOUND DEF by CLAYTON,TJ",1
10:53,"MISS JUMPER by YOUNG,DEON",,,,,,,"MISS JUMPER by YOUNG,DEON",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
10:46,,,,,"TURNOVER  by EVANS,CHRISTIAN",,,"TURNOVER  by EVANS,CHRISTIAN",1
10:46,"STEAL  by WALKER,JEFFERSON",,,,,,,"STEAL  by WALKER,JEFFERSON",1
10:43,"FOUL  by WALKER,JEFFERSON",,,,,,,"FOUL  by WALKER,JEFFERSON",1
10:43,"TURNOVER  by WALKER,JEFFERSON",,,,,,,"TURNOVER  by WALKER,JEFFERSON",1
10:43,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
10:43,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
10:43,,,,,"SUB OUT by BASS,XAVIER",,,"SUB OUT by BASS,XAVIER",1
10:43,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
10:43,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
10:43,,,,,"SUB IN by DIMITRIOS,DYLAN",,,"SUB IN by DIMITRIOS,DYLAN",1
10:27,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
10:04,"GOOD JUMPER by WILEY,KOKI",13,,16 (+3),,Rhodes 13-16 (+3),,"GOOD JUMPER by WILEY,KOKI",1
09:53,,,,,"FOUL  by BUSH,RODREEKAS",,,"FOUL  by BUSH,RODREEKAS",1
09:53,,,,,"TURNOVER  by BUSH,RODREEKAS",,,"TURNOVER  by BUSH,RODREEKAS",1
09:53,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
09:53,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
09:43,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
09:43,,,,,"STEAL  by EVANS,CHRISTIAN",,,"STEAL  by EVANS,CHRISTIAN",1
09:34,,13,,18 (+5),"GOOD DUNK by EVANS,CHRISTIAN(in the paint)",Mill 13-18 (+5),,"GOOD DUNK by EVANS,CHRISTIAN(in the paint)",1
09:24,"MISS JUMPER by CLAYTON,TJ",,,,,,,"MISS JUMPER by CLAYTON,TJ",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
09:11,,13,,20 (+7),"GOOD LAYUP by WILLIAMS,CAMERON(in the paint)",Mill 13-20 (+7),,"GOOD LAYUP by WILLIAMS,CAMERON(in the paint)",1
09:11,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
09:11,,,,,"SUB IN by SMITH,JAYLEN",,,"SUB IN by SMITH,JAYLEN",1
09:04,"MISS JUMPER by YOUNG,DEON",,,,,,,"MISS JUMPER by YOUNG,DEON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:57,"SUB OUT by YOUNG,DEON",,,,,,,"SUB OUT by YOUNG,DEON",1
08:57,"SUB IN by WILLIAMS,JAYSON",,,,,,,"SUB IN by WILLIAMS,JAYSON",1
08:57,"MISS JUMPER by CLAYTON,TJ(in the paint)",,,,,,,"MISS JUMPER by CLAYTON,TJ(in the paint)",1
--,,,,,"REBOUND DEF by SMITH,JAYLEN",,,"REBOUND DEF by SMITH,JAYLEN",1
08:47,"FOUL  by CLAYTON,TJ",,,,,,,"FOUL  by CLAYTON,TJ",1
08:47,"SUB OUT by CLAYTON,TJ",,,,,,,"SUB OUT by CLAYTON,TJ",1
08:47,"SUB IN by JAMES,MAC",,,,,,,"SUB IN by JAMES,MAC",1
08:47,,13,,21 (+8),"GOOD FT by EVANS,CHRISTIAN",Mill 13-21 (+8),,"GOOD FT by EVANS,CHRISTIAN",1
08:47,,,,,"MISS FT by EVANS,CHRISTIAN",,,"MISS FT by EVANS,CHRISTIAN",1
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",1
08:36,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
08:16,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by SHEN,KEVIN",,,,,,,"REBOUND DEF by SHEN,KEVIN",1
08:05,"SUB OUT by WALKER,JEFFERSON",,,,,,,"SUB OUT by WALKER,JEFFERSON",1
08:05,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
07:57,"TURNOVER  by JAMES,MAC",,,,,,,"TURNOVER  by JAMES,MAC",1
07:51,,,,,"TURNOVER  by WILLIAMS,CAMERON",,,"TURNOVER  by WILLIAMS,CAMERON",1
07:51,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
07:51,,,,,"SUB OUT by SMITH,JAYLEN",,,"SUB OUT by SMITH,JAYLEN",1
07:51,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
07:51,,,,,"SUB IN by BASS,XAVIER",,,"SUB IN by BASS,XAVIER",1
07:26,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",1
--,"REBOUND OFF by WILEY,KOKI",,,,,,,"REBOUND OFF by WILEY,KOKI",1
07:20,"GOOD LAYUP by WILEY,KOKI(in the paint)",15,,21 (+6),,Rhodes 15-21 (+6),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1
06:53,,,,,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",,,"MISS JUMPER by WILLIAMS,CAMERON(in the paint)",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
06:43,"TURNOVER  by WILEY,KOKI",,,,,,,"TURNOVER  by WILEY,KOKI",1
06:43,,,,,"STEAL  by WILLIAMS,CAMERON",,,"STEAL  by WILLIAMS,CAMERON",1
06:34,,,,,"MISS JUMPER by DIMITRIOS,DYLAN",,,"MISS JUMPER by DIMITRIOS,DYLAN",1
06:34,"BLOCK  by ESSICK,JALEN",,,,,,,"BLOCK  by ESSICK,JALEN",1
--,"REBOUND DEF by JAMES,MAC",,,,,,,"REBOUND DEF by JAMES,MAC",1
06:24,"MISS 3PTR by JAMES,MAC",,,,,,,"MISS 3PTR by JAMES,MAC",1
--,,,,,"REBOUND DEF by DIMITRIOS,DYLAN",,,"REBOUND DEF by DIMITRIOS,DYLAN",1
06:08,,,,,"TURNOVER  by WATSON,DOUG",,,"TURNOVER  by WATSON,DOUG",1
06:08,,,,,"SUB OUT by BASS,XAVIER",,,"SUB OUT by BASS,XAVIER",1
06:08,,,,,"SUB OUT by DIMITRIOS,DYLAN",,,"SUB OUT by DIMITRIOS,DYLAN",1
06:08,,,,,"SUB OUT by EVANS,CHRISTIAN",,,"SUB OUT by EVANS,CHRISTIAN",1
06:08,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
06:08,,,,,"SUB IN by SMITH,JAYLEN",,,"SUB IN by SMITH,JAYLEN",1
06:08,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
06:08,"SUB OUT by ESSICK,JALEN",,,,,,,"SUB OUT by ESSICK,JALEN",1
06:08,"SUB OUT by WILLIAMS,JAYSON",,,,,,,"SUB OUT by WILLIAMS,JAYSON",1
06:08,"SUB IN by GEORGETOWN II,ARNESS",,,,,,,"SUB IN by GEORGETOWN II,ARNESS",1
06:08,"SUB IN by JOHNSON,ROSS",,,,,,,"SUB IN by JOHNSON,ROSS",1
05:58,"TURNOVER  by SHEN,KEVIN",,,,,,,"TURNOVER  by SHEN,KEVIN",1
05:40,,,,,"MISS JUMPER by WILLIAMS,CAMERON",,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,"REBOUND DEF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND DEF by GEORGETOWN II,ARNESS",1
05:34,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
05:34,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
05:34,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
05:34,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
05:34,"SUB IN by TEAL,AARON",,,,,,,"SUB IN by TEAL,AARON",1
05:34,"GOOD FT by GEORGETOWN II,ARNESS(fastbreak)",16,,21 (+5),,Rhodes 16-21 (+5),,"GOOD FT by GEORGETOWN II,ARNESS(fastbreak)",1
05:34,"MISS FT by GEORGETOWN II,ARNESS(fastbreak)",,,,,,,"MISS FT by GEORGETOWN II,ARNESS(fastbreak)",1
--,,,,,"REBOUND DEF by RUCKER,CAM",,,"REBOUND DEF by RUCKER,CAM",1
05:19,,16,,24 (+8),"GOOD 3PTR by WATSON,DOUG",Mill 16-24 (+8),,"GOOD 3PTR by WATSON,DOUG",1
--,,,,,"ASSIST  by RUCKER,CAM",,,"ASSIST  by RUCKER,CAM",1
05:04,"MISS 3PTR by JOHNSON,ROSS",,,,,,,"MISS 3PTR by JOHNSON,ROSS",1
--,,,,,"REBOUND DEF by STEPHEN,SETH",,,"REBOUND DEF by STEPHEN,SETH",1
04:57,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
04:57,,,,,"TURNOVER  by STEPHEN,SETH",,,"TURNOVER  by STEPHEN,SETH",1
04:57,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
04:57,,,,,"SUB IN by BASS,XAVIER",,,"SUB IN by BASS,XAVIER",1
04:57,"SUB OUT by JOHNSON,ROSS",,,,,,,"SUB OUT by JOHNSON,ROSS",1
04:57,"SUB IN by HIESTER,JACKSON",,,,,,,"SUB IN by HIESTER,JACKSON",1
04:57,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
04:57,,,,,"SUB IN by DIMITRIOS,DYLAN",,,"SUB IN by DIMITRIOS,DYLAN",1
04:57,"SUB OUT by HIESTER,JACKSON",,,,,,,"SUB OUT by HIESTER,JACKSON",1
04:57,"SUB IN by ESSICK,JALEN",,,,,,,"SUB IN by ESSICK,JALEN",1
04:36,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",18,,24 (+6),,Rhodes 18-24 (+6),,"GOOD LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
04:17,,,,,"TURNOVER  by WATSON,DOUG",,,"TURNOVER  by WATSON,DOUG",1
04:17,"STEAL  by JAMES,MAC",,,,,,,"STEAL  by JAMES,MAC",1
04:10,"MISS LAYUP by JAMES,MAC(in the paint)",,,,,,,"MISS LAYUP by JAMES,MAC(in the paint)",1
--,"REBOUND OFF by GEORGETOWN II,ARNESS",,,,,,,"REBOUND OFF by GEORGETOWN II,ARNESS",1
04:01,,,,,"FOUL  by SMITH,JAYLEN",,,"FOUL  by SMITH,JAYLEN",1
04:01,,,,,"SUB OUT by BASS,XAVIER",,,"SUB OUT by BASS,XAVIER",1
04:01,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
04:01,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
04:01,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
04:01,"GOOD FT by SHEN,KEVIN",19,,24 (+5),,Rhodes 19-24 (+5),,"GOOD FT by SHEN,KEVIN",1
04:01,"GOOD FT by SHEN,KEVIN",20,,24 (+4),,Rhodes 20-24 (+4),,"GOOD FT by SHEN,KEVIN",1
03:40,,,,,"MISS 3PTR by SMITH,JAYLEN",,,"MISS 3PTR by SMITH,JAYLEN",1
03:38,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:38,,,,,"SUB OUT by SMITH,JAYLEN",,,"SUB OUT by SMITH,JAYLEN",1
03:38,,,,,"SUB OUT by DIMITRIOS,DYLAN",,,"SUB OUT by DIMITRIOS,DYLAN",1
03:38,,,,,"SUB IN by BASS,XAVIER",,,"SUB IN by BASS,XAVIER",1
03:38,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:17,,20,,27 (+7),"GOOD 3PTR by WILLIAMS,CAMERON",Mill 20-27 (+7),,"GOOD 3PTR by WILLIAMS,CAMERON",1
--,,,,,"ASSIST  by WATSON,DOUG",,,"ASSIST  by WATSON,DOUG",1
03:09,"GOOD FT by TEAL,AARON",21,,27 (+6),,Rhodes 21-27 (+6),,"GOOD FT by TEAL,AARON",1
03:09,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
03:09,,,,,"SUB IN by EVANS,CHRISTIAN",,,"SUB IN by EVANS,CHRISTIAN",1
03:09,"GOOD FT by TEAL,AARON",22,,27 (+5),,Rhodes 22-27 (+5),,"GOOD FT by TEAL,AARON",1
03:09,"SUB OUT by TEAL,AARON",,,,,,,"SUB OUT by TEAL,AARON",1
03:09,"SUB IN by WILEY,KOKI",,,,,,,"SUB IN by WILEY,KOKI",1
03:08,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
02:50,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
02:43,"GOOD JUMPER by GEORGETOWN II,ARNESS(fastbreak)",24,,27 (+3),,Rhodes 24-27 (+3),,"GOOD JUMPER by GEORGETOWN II,ARNESS(fastbreak)",1
--,"ASSIST  by JAMES,MAC",,,,,,,"ASSIST  by JAMES,MAC",1
02:26,,24,,30 (+6),"GOOD 3PTR by WATSON,DOUG",Mill 24-30 (+6),,"GOOD 3PTR by WATSON,DOUG",1
--,,,,,"ASSIST  by EVANS,CHRISTIAN",,,"ASSIST  by EVANS,CHRISTIAN",1
02:18,"MISS 3PTR by WILEY,KOKI",,,,,,,"MISS 3PTR by WILEY,KOKI",1
02:16,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
02:16,,,,,"SUB IN by DIMITRIOS,DYLAN",,,"SUB IN by DIMITRIOS,DYLAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:03,,24,,33 (+9),"GOOD 3PTR by WATSON,DOUG",Mill 24-33 (+9),,"GOOD 3PTR by WATSON,DOUG",1
01:42,"GOOD JUMPER by ESSICK,JALEN",26,,33 (+7),,Rhodes 26-33 (+7),,"GOOD JUMPER by ESSICK,JALEN",1
--,"ASSIST  by SHEN,KEVIN",,,,,,,"ASSIST  by SHEN,KEVIN",1
01:22,,,,,"FOUL  by WILLIAMS,CAMERON",,,"FOUL  by WILLIAMS,CAMERON",1
01:22,,,,,"TURNOVER  by WILLIAMS,CAMERON",,,"TURNOVER  by WILLIAMS,CAMERON",1
01:04,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",,,,,,,"MISS LAYUP by GEORGETOWN II,ARNESS(in the paint)",1
--,,,,,"REBOUND DEF by DIMITRIOS,DYLAN",,,"REBOUND DEF by DIMITRIOS,DYLAN",1
