Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
17:16,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",1
--,,,,,"REBOUND OFF by CHAMBERS,DIMETRI",,,"REBOUND OFF by CHAMBERS,DIMETRI",1
17:03,"FOUL  by BASS,XAVIER",,,,,,,"FOUL  by BASS,XAVIER",1
17:03,,2,,5 (+3),"GOOD FT by EZIGBO,UBA",OUM 2-5 (-3),,"GOOD FT by EZIGBO,UBA",1
17:03,,2,,6 (+4),"GOOD FT by EZIGBO,UBA",OUM 2-6 (-4),,"GOOD FT by EZIGBO,UBA",1
17:03,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
17:03,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
17:03,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
17:03,"SUB OUT by BASS,XAVIER",,,,,,,"SUB OUT by BASS,XAVIER",1
16:54,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",1
16:40,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:39,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",1
16:37,,,,,"SUB IN by SWILLING,BRETT",,,"SUB IN by SWILLING,BRETT",1
16:37,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",1
16:30,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
16:08,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
16:06,"STEAL  by BUSH,RODREEKAS",,,,,,,"STEAL  by BUSH,RODREEKAS",1
15:51,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND OFF by WILLIAMS,CAMERON",,,,,,,"REBOUND OFF by WILLIAMS,CAMERON",1
15:45,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",1
15:45,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:41,"GOOD FT by WILLIAMS,CAMERON",3,,6 (+3),,MIL 3-6 (-3),,"GOOD FT by WILLIAMS,CAMERON",1
15:41,"GOOD FT by WILLIAMS,CAMERON",4,,6 (+2),,MIL 4-6 (-2),,"GOOD FT by WILLIAMS,CAMERON",1
15:41,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
15:41,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
15:41,"SUB IN by BASS,XAVIER",,,,,,,"SUB IN by BASS,XAVIER",1
15:41,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
15:41,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
15:41,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
15:31,,4,,9 (+5),"GOOD 3PTR by FOSTER,LANE",OUM 4-9 (-5),,"GOOD 3PTR by FOSTER,LANE",1
--,,,,,"ASSIST  by CHAMBERS,DIMETRI",,,"ASSIST  by CHAMBERS,DIMETRI",1
15:09,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
14:55,,,,,"MISS JUMPER by SONE,CARLOS",,,"MISS JUMPER by SONE,CARLOS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:54,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",1
14:54,,,,,"SUB IN by KRIVITZKIN,TYLER",,,"SUB IN by KRIVITZKIN,TYLER",1
14:54,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
14:54,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",1
14:28,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
14:13,,4,,12 (+8),"GOOD 3PTR by SONE,CARLOS",OUM 4-12 (-8),,"GOOD 3PTR by SONE,CARLOS",1
--,,,,,"ASSIST  by MURRAH,JACK",,,"ASSIST  by MURRAH,JACK",1
13:52,"TURNOVER  by BURNETT,DREW",,,,,,,"TURNOVER  by BURNETT,DREW",1
13:51,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",1
13:50,,,,,"TURNOVER  by SONE,CARLOS",,,"TURNOVER  by SONE,CARLOS",1
13:50,"TURNOVER  by EVANS,CHRISTIAN",,,,,,,"TURNOVER  by EVANS,CHRISTIAN",1
13:50,,,,,"STEAL  by MURRAH,JACK",,,"STEAL  by MURRAH,JACK",1
13:50,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
13:50,"SUB IN by DIMITRIOS,DYLAN",,,,,,,"SUB IN by DIMITRIOS,DYLAN",1
13:50,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
13:50,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
13:44,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
13:44,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
13:20,"FOUL  by RUCKER,CAM",,,,,,,"FOUL  by RUCKER,CAM",1
13:16,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
13:08,"TURNOVER  by EVANS,CHRISTIAN",,,,,,,"TURNOVER  by EVANS,CHRISTIAN",1
13:08,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
13:08,"SUB OUT by DIMITRIOS,DYLAN",,,,,,,"SUB OUT by DIMITRIOS,DYLAN",1
12:46,,4,,14 (+10),"GOOD JUMPER by SWILLING,BRETT",OUM 4-14 (-10),,"GOOD JUMPER by SWILLING,BRETT",1
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",1
12:31,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by SWILLING,BRETT",,,"REBOUND DEF by SWILLING,BRETT",1
12:16,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
12:03,"MISS 3PTR by MILLER,JOSHUA",,,,,,,"MISS 3PTR by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
11:47,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",1
--,"REBOUND DEF by WILLIAMS,CAMERON",,,,,,,"REBOUND DEF by WILLIAMS,CAMERON",1
11:26,"MISS JUMPER by WILLIAMS,CAMERON",,,,,,,"MISS JUMPER by WILLIAMS,CAMERON",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
11:16,,,,,"TURNOVER  by SONE,CARLOS",,,"TURNOVER  by SONE,CARLOS",1
11:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:11,"SUB IN by SMITH,JAYLEN",,,,,,,"SUB IN by SMITH,JAYLEN",1
11:11,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
11:11,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
11:11,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
11:11,,,,,"SUB IN by PALMER,CHRISTIAN",,,"SUB IN by PALMER,CHRISTIAN",1
11:11,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",1
11:11,,,,,"SUB OUT by SONE,CARLOS",,,"SUB OUT by SONE,CARLOS",1
11:11,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",1
10:55,"GOOD JUMPER by WILLIAMS,CAMERON",6,,14 (+8),,MIL 6-14 (-8),,"GOOD JUMPER by WILLIAMS,CAMERON",1
10:41,,6,,16 (+10),"GOOD JUMPER by SWILLING,BRETT",OUM 6-16 (-10),,"GOOD JUMPER by SWILLING,BRETT",1
--,,,,,"ASSIST  by MURRAH,JACK",,,"ASSIST  by MURRAH,JACK",1
10:23,"GOOD 3PTR by BUSH,RODREEKAS",9,,16 (+7),,MIL 9-16 (-7),,"GOOD 3PTR by BUSH,RODREEKAS",1
10:13,"FOUL  by SMITH,JAYLEN",,,,,,,"FOUL  by SMITH,JAYLEN",1
10:13,,,,,"MISS FT by SWILLING,BRETT",,,"MISS FT by SWILLING,BRETT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:13,,9,,17 (+8),"GOOD FT by SWILLING,BRETT",OUM 9-17 (-8),,"GOOD FT by SWILLING,BRETT",1
10:13,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
10:13,"SUB OUT by SMITH,JAYLEN",,,,,,,"SUB OUT by SMITH,JAYLEN",1
10:13,,,,,"SUB IN by CONROY,DREW",,,"SUB IN by CONROY,DREW",1
10:13,,,,,"SUB OUT by SWILLING,BRETT",,,"SUB OUT by SWILLING,BRETT",1
09:45,"GOOD 3PTR by WATSON,DOUG",12,,17 (+5),,MIL 12-17 (-5),,"GOOD 3PTR by WATSON,DOUG",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
09:10,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
09:10,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:10,,12,,18 (+6),"GOOD FT by CHAMBERS,DIMETRI",OUM 12-18 (-6),,"GOOD FT by CHAMBERS,DIMETRI",1
09:10,,12,,19 (+7),"GOOD FT by CHAMBERS,DIMETRI",OUM 12-19 (-7),,"GOOD FT by CHAMBERS,DIMETRI",1
09:10,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
09:10,"SUB OUT by BASS,XAVIER",,,,,,,"SUB OUT by BASS,XAVIER",1
09:10,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
09:10,,,,,"SUB IN by SONE,CARLOS",,,"SUB IN by SONE,CARLOS",1
09:10,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",1
09:10,,,,,"SUB OUT by CONROY,DREW",,,"SUB OUT by CONROY,DREW",1
09:10,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",1
09:10,,,,,"SUB OUT by KRIVITZKIN,TYLER",,,"SUB OUT by KRIVITZKIN,TYLER",1
08:27,"MISS 3PTR by MILLER,JOSHUA",,,,,,,"MISS 3PTR by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by PALMER,CHRISTIAN",,,"REBOUND DEF by PALMER,CHRISTIAN",1
08:21,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
08:18,,,,,"FOUL  by JENEI,RYAN",,,"FOUL  by JENEI,RYAN",1
08:18,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:18,"GOOD FT by MILLER,JOSHUA",13,,19 (+6),,MIL 13-19 (-6),,"GOOD FT by MILLER,JOSHUA",1
08:18,"FOUL  by STEPHEN,SETH",,,,,,,"FOUL  by STEPHEN,SETH",1
08:18,"SUB IN by DIMITRIOS,DYLAN",,,,,,,"SUB IN by DIMITRIOS,DYLAN",1
08:18,"SUB OUT by BUSH,RODREEKAS",,,,,,,"SUB OUT by BUSH,RODREEKAS",1
08:17,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
08:17,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
08:07,,13,,22 (+9),"GOOD 3PTR by SONE,CARLOS",OUM 13-22 (-9),,"GOOD 3PTR by SONE,CARLOS",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
07:37,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:30,"SUB IN by BASS,XAVIER",,,,,,,"SUB IN by BASS,XAVIER",1
07:30,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
07:23,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",1
--,,,,,"REBOUND OFF by SONE,CARLOS",,,"REBOUND OFF by SONE,CARLOS",1
07:18,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND OFF by JENEI,RYAN",,,"REBOUND OFF by JENEI,RYAN",1
07:13,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
07:13,"BLOCK  by BASS,XAVIER",,,,,,,"BLOCK  by BASS,XAVIER",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
07:07,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
07:07,,,,,"BLOCK  by JENEI,RYAN",,,"BLOCK  by JENEI,RYAN",1
--,"REBOUND OFF by WATSON,DOUG",,,,,,,"REBOUND OFF by WATSON,DOUG",1
07:03,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
07:03,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
07:03,"SUB OUT by DIMITRIOS,DYLAN",,,,,,,"SUB OUT by DIMITRIOS,DYLAN",1
07:03,"SUB OUT by BASS,XAVIER",,,,,,,"SUB OUT by BASS,XAVIER",1
06:59,"MISS JUMPER by BUSH,RODREEKAS",,,,,,,"MISS JUMPER by BUSH,RODREEKAS",1
--,"REBOUND OFF by BUSH,RODREEKAS",,,,,,,"REBOUND OFF by BUSH,RODREEKAS",1
06:57,"MISS LAYUP by BUSH,RODREEKAS",,,,,,,"MISS LAYUP by BUSH,RODREEKAS",1
06:57,,,,,"BLOCK  by JENEI,RYAN",,,"BLOCK  by JENEI,RYAN",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
06:37,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
06:21,"TURNOVER  by WILLIAMS,CAMERON",,,,,,,"TURNOVER  by WILLIAMS,CAMERON",1
06:18,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",1
06:17,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
06:17,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
06:17,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",1
06:17,,,,,"SUB OUT by PALMER,CHRISTIAN",,,"SUB OUT by PALMER,CHRISTIAN",1
06:13,,13,,25 (+12),"GOOD 3PTR by CHAMBERS,DIMETRI",OUM 13-25 (-12),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
05:54,"GOOD 3PTR by BUSH,RODREEKAS",16,,25 (+9),,MIL 16-25 (-9),,"GOOD 3PTR by BUSH,RODREEKAS",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
05:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:40,,16,,27 (+11),"GOOD JUMPER by FOSTER,LANE",OUM 16-27 (-11),,"GOOD JUMPER by FOSTER,LANE",1
05:16,"SUB IN by BASS,XAVIER",,,,,,,"SUB IN by BASS,XAVIER",1
05:16,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
05:02,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",18,,27 (+9),,MIL 18-27 (-9),,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",1
04:47,,18,,30 (+12),"GOOD 3PTR by SONE,CARLOS",OUM 18-30 (-12),,"GOOD 3PTR by SONE,CARLOS",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
04:39,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",20,,30 (+10),,MIL 20-30 (-10),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
04:34,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
04:30,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
04:30,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",1
04:30,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",1
04:30,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",1
04:20,,20,,33 (+13),"GOOD 3PTR by SONE,CARLOS",OUM 20-33 (-13),,"GOOD 3PTR by SONE,CARLOS",1
03:54,"GOOD 3PTR by BUSH,RODREEKAS",23,,33 (+10),,MIL 23-33 (-10),,"GOOD 3PTR by BUSH,RODREEKAS",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
03:40,"FOUL  by BASS,XAVIER",,,,,,,"FOUL  by BASS,XAVIER",1
03:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:40,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:40,,23,,34 (+11),"GOOD FT by FOSTER,LANE",OUM 23-34 (-11),,"GOOD FT by FOSTER,LANE",1
03:40,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
03:40,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
03:40,,,,,"SUB IN by SWILLING,BRETT",,,"SUB IN by SWILLING,BRETT",1
03:40,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",1
03:13,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
03:13,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",1
03:08,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
02:46,"MISS JUMPER by BUSH,RODREEKAS",,,,,,,"MISS JUMPER by BUSH,RODREEKAS",1
--,,,,,"REBOUND DEF by SWILLING,BRETT",,,"REBOUND DEF by SWILLING,BRETT",1
02:34,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by BASS,XAVIER",,,,,,,"REBOUND DEF by BASS,XAVIER",1
02:21,,,,,"FOUL  by SWILLING,BRETT",,,"FOUL  by SWILLING,BRETT",1
02:21,"GOOD FT by MILLER,JOSHUA",24,,34 (+10),,MIL 24-34 (-10),,"GOOD FT by MILLER,JOSHUA",1
02:21,"GOOD FT by MILLER,JOSHUA",25,,34 (+9),,MIL 25-34 (-9),,"GOOD FT by MILLER,JOSHUA",1
02:21,"SUB IN by EVANS,CHRISTIAN",,,,,,,"SUB IN by EVANS,CHRISTIAN",1
02:21,"SUB IN by WILLIAMS,CAMERON",,,,,,,"SUB IN by WILLIAMS,CAMERON",1
02:21,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
02:21,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
02:21,,,,,"SUB IN by KRIVITZKIN,TYLER",,,"SUB IN by KRIVITZKIN,TYLER",1
02:21,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",1
02:12,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",1
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",1
02:08,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
01:50,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",27,,34 (+7),,MIL 27-34 (-7),,"GOOD LAYUP by EVANS,CHRISTIAN(in the paint)",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
01:31,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
01:31,,27,,35 (+8),"GOOD FT by SONE,CARLOS",OUM 27-35 (-8),,"GOOD FT by SONE,CARLOS",1
01:31,,27,,36 (+9),"GOOD FT by SONE,CARLOS",OUM 27-36 (-9),,"GOOD FT by SONE,CARLOS",1
--,"ASSIST  by WILLIAMS,CAMERON",,,,,,,"ASSIST  by WILLIAMS,CAMERON",1
01:16,"GOOD 3PTR by BUSH,RODREEKAS",30,,36 (+6),,MIL 30-36 (-6),,"GOOD 3PTR by BUSH,RODREEKAS",1
01:06,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
01:06,,30,,37 (+7),"GOOD FT by FOSTER,LANE",OUM 30-37 (-7),,"GOOD FT by FOSTER,LANE",1
01:06,,30,,38 (+8),"GOOD FT by FOSTER,LANE",OUM 30-38 (-8),,"GOOD FT by FOSTER,LANE",1
01:02,"GOOD 3PTR by WILLIAMS,CAMERON",33,,38 (+5),,MIL 33-38 (-5),,"GOOD 3PTR by WILLIAMS,CAMERON",1
--,"ASSIST  by BUSH,RODREEKAS",,,,,,,"ASSIST  by BUSH,RODREEKAS",1
00:54,,33,,40 (+7),"GOOD JUMPER by SWILLING,BRETT",OUM 33-40 (-7),,"GOOD JUMPER by SWILLING,BRETT",1
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",1
00:25,,,,,"FOUL  by SWILLING,BRETT",,,"FOUL  by SWILLING,BRETT",1
00:25,"GOOD FT by MILLER,JOSHUA",34,,40 (+6),,MIL 34-40 (-6),,"GOOD FT by MILLER,JOSHUA",1
00:25,"GOOD FT by MILLER,JOSHUA",35,,40 (+5),,MIL 35-40 (-5),,"GOOD FT by MILLER,JOSHUA",1
00:25,"SUB IN by WATSON,DOUG",,,,,,,"SUB IN by WATSON,DOUG",1
00:25,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
00:25,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
00:25,,,,,"SUB IN by FISCHER,DAVID",,,"SUB IN by FISCHER,DAVID",1
00:25,,,,,"SUB OUT by SWILLING,BRETT",,,"SUB OUT by SWILLING,BRETT",1
00:25,,,,,"SUB OUT by KRIVITZKIN,TYLER",,,"SUB OUT by KRIVITZKIN,TYLER",1
00:12,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",1
--,"REBOUND DEF by EVANS,CHRISTIAN",,,,,,,"REBOUND DEF by EVANS,CHRISTIAN",1
20:00,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",2
20:00,"SUB OUT by EVANS,CHRISTIAN",,,,,,,"SUB OUT by EVANS,CHRISTIAN",2
