Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:44,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
19:26,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
19:17,,,,,"TURNOVER  by II,ROD CUMMINGS",,,"TURNOVER  by II,ROD CUMMINGS",1
18:50,"GOOD LAYUP by BURNETT,DREW(in the paint)",2 (+2),,0,,MILLSAPS 2-0 (+2),,"GOOD LAYUP by BURNETT,DREW(in the paint)",1
18:50,,,,,"FOUL  by STANLEY,SETH",,,"FOUL  by STANLEY,SETH",1
18:50,"MISS FT by BURNETT,DREW",,,,,,,"MISS FT by BURNETT,DREW",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
18:39,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
18:36,"STEAL  by BURNETT,DREW",,,,,,,"STEAL  by BURNETT,DREW",1
18:29,"MISS LAYUP by WATSON,DOUG",,,,,,,"MISS LAYUP by WATSON,DOUG",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
18:29,"FOUL  by WILLIAMS,CAMERON",,,,,,,"FOUL  by WILLIAMS,CAMERON",1
18:14,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by WATSON,DOUG",,,,,,,"REBOUND DEF by WATSON,DOUG",1
18:05,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
18:02,,,,,"STEAL  by FITCH,CARL",,,"STEAL  by FITCH,CARL",1
17:50,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
17:50,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
17:40,,2,,2,"GOOD JUMPER by CONRAD,ALEX(in the paint)",HENDRIX 2-2 (0),,"GOOD JUMPER by CONRAD,ALEX(in the paint)",1
17:25,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
17:25,"SUB IN by BUSH,RODREEKAS",,,,,,,"SUB IN by BUSH,RODREEKAS",1
17:25,"SUB OUT by WILLIAMS,CAMERON",,,,,,,"SUB OUT by WILLIAMS,CAMERON",1
17:18,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
17:16,"STEAL  by RUCKER,CAM",,,,,,,"STEAL  by RUCKER,CAM",1
17:13,"GOOD LAYUP by RUCKER,CAM(fastbreak)(in the paint)",4 (+2),,2,,MILLSAPS 4-2 (+2),,"GOOD LAYUP by RUCKER,CAM(fastbreak)(in the paint)",1
16:57,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
--,"REBOUND DEF by RUCKER,CAM",,,,,,,"REBOUND DEF by RUCKER,CAM",1
16:41,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,"REBOUND OFF by MILLER,JOSHUA",,,,,,,"REBOUND OFF by MILLER,JOSHUA",1
16:31,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
16:21,,,,,"TURNOVER  by COMAN,SEAN",,,"TURNOVER  by COMAN,SEAN",1
16:19,"STEAL  by GILLIHAN,NEWLON",,,,,,,"STEAL  by GILLIHAN,NEWLON",1
15:56,"MISS JUMPER by BURNETT,DREW",,,,,,,"MISS JUMPER by BURNETT,DREW",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
15:37,,4,,4,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIX 4-4 (0),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
15:20,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
