Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
20:00,"SUB OUT by COSTAS,RILEY",,,,,,,"SUB OUT by COSTAS,RILEY",1
20:00,"SUB IN by BROOKS,AUSTIN",,,,,,,"SUB IN by BROOKS,AUSTIN",1
20:00,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
20:00,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
20:00,"SUB OUT by MBENOUN,ROB",,,,,,,"SUB OUT by MBENOUN,ROB",1
20:00,"SUB IN by JOHNSON,MICHAEL",,,,,,,"SUB IN by JOHNSON,MICHAEL",1
19:40,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
19:15,"TURNOVER  by WEHUNT,DAWSON",,,,,,,"TURNOVER  by WEHUNT,DAWSON",1
18:37,"MISS 3PTR by JOHNSON,MICHAEL",,,,,,,"MISS 3PTR by JOHNSON,MICHAEL",1
--,,,,,"REBOUND DEF by WILLIAMS,CAMERON",,,"REBOUND DEF by WILLIAMS,CAMERON",1
18:15,,0,,2 (+2),"GOOD JUMPER by WILLIAMS,CAMERON",Mill 0-2 (+2),,"GOOD JUMPER by WILLIAMS,CAMERON",1
17:52,"GOOD 3PTR by JONES,DREW",3 (+1),,2,,Berry 3-2 (-1),,"GOOD 3PTR by JONES,DREW",1
--,"ASSIST  by JOHNSON,MICHAEL",,,,,,,"ASSIST  by JOHNSON,MICHAEL",1
17:31,,,,,"MISS 3PTR by BURNETT,DREW",,,"MISS 3PTR by BURNETT,DREW",1
17:21,,,,,"FOUL  by BURNETT,DREW",,,"FOUL  by BURNETT,DREW",1
17:21,"GOOD FT by JONES,DREW",4 (+2),,2,,Berry 4-2 (-2),,"GOOD FT by JONES,DREW",1
17:21,"GOOD FT by JONES,DREW",5 (+3),,2,,Berry 5-2 (-3),,"GOOD FT by JONES,DREW",1
17:21,"GOOD FT by JONES,DREW",6 (+4),,2,,Berry 6-2 (-4),,"GOOD FT by JONES,DREW",1
17:21,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
17:21,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
17:21,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
17:21,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
17:21,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
17:21,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
17:15,"SUB OUT by JOHNSON,MICHAEL",,,,,,,"SUB OUT by JOHNSON,MICHAEL",1
17:15,,,,,"SUB OUT by WILLIAMS,CAMERON",,,"SUB OUT by WILLIAMS,CAMERON",1
17:15,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
17:15,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
17:15,"SUB IN by MBENOUN,ROB",,,,,,,"SUB IN by MBENOUN,ROB",1
17:15,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
17:08,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
17:08,"STEAL  by JOHNSON,MICAH",,,,,,,"STEAL  by JOHNSON,MICAH",1
17:02,"MISS 3PTR by WEHUNT,DAWSON",,,,,,,"MISS 3PTR by WEHUNT,DAWSON",1
16:55,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
16:55,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",1
16:33,"MISS 3PTR by COSTAS,RILEY",,,,,,,"MISS 3PTR by COSTAS,RILEY",1
16:33,"GOOD LAYUP by JOHNSON,MICHAEL(in the paint)",8 (+6),,2,,Berry 8-2 (-6),,"GOOD LAYUP by JOHNSON,MICHAEL(in the paint)",1
--,"REBOUND OFF by JOHNSON,MICHAEL",,,,,,,"REBOUND OFF by JOHNSON,MICHAEL",1
16:05,,,,,"TURNOVER  by RUCKER,CAM",,,"TURNOVER  by RUCKER,CAM",1
15:52,"MISS 3PTR by JOHNSON,MICAH",,,,,,,"MISS 3PTR by JOHNSON,MICAH",1
--,,,,,"REBOUND DEF by BASS,XAVIER",,,"REBOUND DEF by BASS,XAVIER",1
15:31,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
15:31,,,,,"SUB OUT by BASS,XAVIER",,,"SUB OUT by BASS,XAVIER",1
15:31,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
15:31,,,,,"SUB IN by WILLIAMS,CAMERON",,,"SUB IN by WILLIAMS,CAMERON",1
15:31,,,,,"SUB IN by WATSON,DOUG",,,"SUB IN by WATSON,DOUG",1
15:31,"SUB OUT by WEHUNT,DAWSON",,,,,,,"SUB OUT by WEHUNT,DAWSON",1
15:31,"SUB OUT by JONES,DREW",,,,,,,"SUB OUT by JONES,DREW",1
15:31,"SUB IN by HONROTH,OWEN",,,,,,,"SUB IN by HONROTH,OWEN",1
15:31,"SUB IN by ELLIS,CHASE",,,,,,,"SUB IN by ELLIS,CHASE",1
15:31,"SUB OUT by JOHNSON,MICAH",,,,,,,"SUB OUT by JOHNSON,MICAH",1
15:31,"SUB IN by MBENOUN,ROB",,,,,,,"SUB IN by MBENOUN,ROB",1
15:21,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
15:21,,,,,"STEAL  by WILLIAMS,CAMERON",,,"STEAL  by WILLIAMS,CAMERON",1
15:12,,,,,"MISS 3PTR by WILLIAMS,CAMERON",,,"MISS 3PTR by WILLIAMS,CAMERON",1
--,"REBOUND DEF by COSTAS,RILEY",,,,,,,"REBOUND DEF by COSTAS,RILEY",1
15:01,"TURNOVER  by JOHNSON,MICHAEL",,,,,,,"TURNOVER  by JOHNSON,MICHAEL",1
15:01,,,,,"STEAL  by RUCKER,CAM",,,"STEAL  by RUCKER,CAM",1
14:58,,,,,"TURNOVER  by RUCKER,CAM",,,"TURNOVER  by RUCKER,CAM",1
14:46,"MISS LAYUP by HONROTH,OWEN(in the paint)",,,,,,,"MISS LAYUP by HONROTH,OWEN(in the paint)",1
