Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:45,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",2 (+2),,0,,Berry 2-0 (-2),,"GOOD JUMPER by BROOKS,AUSTIN(in the paint)",1
19:26,,,,,"MISS 3PTR by WATSON,DOUG",,,"MISS 3PTR by WATSON,DOUG",1
--,"REBOUND DEF by JOHNSON,MICHAEL",,,,,,,"REBOUND DEF by JOHNSON,MICHAEL",1
19:25,"MISS 3PTR by BROOKS,AUSTIN",,,,,,,"MISS 3PTR by BROOKS,AUSTIN",1
--,"REBOUND OFF by JONES,DREW",,,,,,,"REBOUND OFF by JONES,DREW",1
19:07,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:07,,,,,"FOUL  by STEPHEN,SETH",,,"FOUL  by STEPHEN,SETH",1
19:07,"GOOD FT by BROOKS,AUSTIN",3 (+3),,0,,Berry 3-0 (-3),,"GOOD FT by BROOKS,AUSTIN",1
19:07,"MISS FT by BROOKS,AUSTIN",,,,,,,"MISS FT by BROOKS,AUSTIN",1
19:07,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
19:07,,,,,"SUB IN by BASS,XAVIER",,,"SUB IN by BASS,XAVIER",1
18:57,,,,,"MISS JUMPER by BASS,XAVIER(in the paint)",,,"MISS JUMPER by BASS,XAVIER(in the paint)",1
--,"REBOUND DEF by JONES,DREW",,,,,,,"REBOUND DEF by JONES,DREW",1
18:39,"MISS 3PTR by JONES,DREW",,,,,,,"MISS 3PTR by JONES,DREW",1
--,,,,,"REBOUND DEF by BASS,XAVIER",,,"REBOUND DEF by BASS,XAVIER",1
18:29,,,,,"MISS LAYUP by WATSON,DOUG(in the paint)",,,"MISS LAYUP by WATSON,DOUG(in the paint)",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
18:15,"MISS 3PTR by JOHNSON,MICAH",,,,,,,"MISS 3PTR by JOHNSON,MICAH",1
--,"REBOUND OFF by JOHNSON,MICHAEL",,,,,,,"REBOUND OFF by JOHNSON,MICHAEL",1
18:07,,,,,"SUB OUT by WATSON,DOUG",,,"SUB OUT by WATSON,DOUG",1
18:07,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
17:53,"FOUL  by BROOKS,AUSTIN",,,,,,,"FOUL  by BROOKS,AUSTIN",1
17:40,,,,,"TURNOVER  by BASS,XAVIER",,,"TURNOVER  by BASS,XAVIER",1
17:31,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",1
17:31,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
17:20,"GOOD 3PTR by JONES,DREW",6 (+6),,0,,Berry 6-0 (-6),,"GOOD 3PTR by JONES,DREW",1
17:20,"MISS 3PTR by BROOKS,AUSTIN",,,,,,,"MISS 3PTR by BROOKS,AUSTIN",1
--,"REBOUND OFF by JONES,DREW",,,,,,,"REBOUND OFF by JONES,DREW",1
16:56,,,,,"MISS 3PTR by BUSH,RODREEKAS",,,"MISS 3PTR by BUSH,RODREEKAS",1
--,"REBOUND DEF by JOHNSON,MICAH",,,,,,,"REBOUND DEF by JOHNSON,MICAH",1
16:36,"SUB OUT by BROOKS,AUSTIN",,,,,,,"SUB OUT by BROOKS,AUSTIN",1
16:36,"SUB IN by COSTAS,RILEY",,,,,,,"SUB IN by COSTAS,RILEY",1
16:36,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
16:36,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
