Time Remaining,MC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
19:38,,,,,"MISS JUMPER by MARTIN,AMMON",,,"MISS JUMPER by MARTIN,AMMON",1
--,"REBOUND DEF by COOPER,BEN",,,,,,,"REBOUND DEF by COOPER,BEN",1
19:10,"MISS JUMPER by SUMLER,LV",,,,,,,"MISS JUMPER by SUMLER,LV",1
--,,,,,"REBOUND DEF by NIELSEN,DANE",,,"REBOUND DEF by NIELSEN,DANE",1
18:57,,,,,"MISS JUMPER by HEATHSCOTT,NICK",,,"MISS JUMPER by HEATHSCOTT,NICK",1
--,"REBOUND DEF by COOPER,BEN",,,,,,,"REBOUND DEF by COOPER,BEN",1
18:37,,,,,"FOUL  by NIELSEN,DANE",,,"FOUL  by NIELSEN,DANE",1
18:37,"GOOD FT by MEADES,TAYLOR",1 (+1),,0,,MC-M 1-0 (+1),,"GOOD FT by MEADES,TAYLOR",1
18:37,"GOOD FT by MEADES,TAYLOR",2 (+2),,0,,MC-M 2-0 (+2),,"GOOD FT by MEADES,TAYLOR",1
18:25,"FOUL  by COOPER,BEN",,,,,,,"FOUL  by COOPER,BEN",1
18:25,,,,,"MISS FT by HEATHSCOTT,NICK",,,"MISS FT by HEATHSCOTT,NICK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:25,,2 (+1),,1,"GOOD FT by HEATHSCOTT,NICK",HCM 2-1 (+1),,"GOOD FT by HEATHSCOTT,NICK",1
--,,,,,"ASSIST  by RIZOS,RYAN",,,"ASSIST  by RIZOS,RYAN",1
18:04,"MISS JUMPER by MERKEL,BRIAN",,,,,,,"MISS JUMPER by MERKEL,BRIAN",1
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",1
17:34,,,,,"MISS 3PTR by RIZOS,RYAN",,,"MISS 3PTR by RIZOS,RYAN",1
--,"REBOUND DEF by MEADES,TAYLOR",,,,,,,"REBOUND DEF by MEADES,TAYLOR",1
17:08,"GOOD JUMPER by CORTESE,NICK",4 (+3),,1,,MC-M 4-1 (+3),,"GOOD JUMPER by CORTESE,NICK",1
--,"ASSIST  by MEADES,TAYLOR",,,,,,,"ASSIST  by MEADES,TAYLOR",1
16:44,,,,,"MISS 3PTR by RIZOS,RYAN",,,"MISS 3PTR by RIZOS,RYAN",1
--,"REBOUND DEF by SUMLER,LV",,,,,,,"REBOUND DEF by SUMLER,LV",1
16:25,"MISS JUMPER by CORTESE,NICK",,,,,,,"MISS JUMPER by CORTESE,NICK",1
16:25,,,,,"BLOCK  by EWING,JAMES",,,"BLOCK  by EWING,JAMES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:22,,,,,"SUB IN by PRIMM,COLTON",,,"SUB IN by PRIMM,COLTON",1
16:22,,,,,"SUB OUT by NIELSEN,DANE",,,"SUB OUT by NIELSEN,DANE",1
16:10,"MISS LAYUP by SUMLER,LV",,,,,,,"MISS LAYUP by SUMLER,LV",1
--,,,,,"REBOUND DEF by HEATHSCOTT,NICK",,,"REBOUND DEF by HEATHSCOTT,NICK",1
15:56,"FOUL  by COOPER,BEN",,,,,,,"FOUL  by COOPER,BEN",1
15:56,"SUB IN by KINNEAR,KYLE",,,,,,,"SUB IN by KINNEAR,KYLE",1
15:56,"SUB OUT by COOPER,BEN",,,,,,,"SUB OUT by COOPER,BEN",1
15:56,,,,,"SUB IN by RILEY,JAREN",,,"SUB IN by RILEY,JAREN",1
15:56,,,,,"SUB IN by GOODMAN,CHRIS",,,"SUB IN by GOODMAN,CHRIS",1
15:56,,,,,"SUB OUT by EWING,JAMES",,,"SUB OUT by EWING,JAMES",1
15:56,,,,,"SUB OUT by RIZOS,RYAN",,,"SUB OUT by RIZOS,RYAN",1
15:52,,,,,"MISS LAYUP by MARTIN,AMMON",,,"MISS LAYUP by MARTIN,AMMON",1
--,"REBOUND DEF by KINNEAR,KYLE",,,,,,,"REBOUND DEF by KINNEAR,KYLE",1
15:49,,,,,"FOUL  by HEATHSCOTT,NICK",,,"FOUL  by HEATHSCOTT,NICK",1
15:36,"MISS JUMPER by MEADES,TAYLOR",,,,,,,"MISS JUMPER by MEADES,TAYLOR",1
15:36,,,,,"BLOCK  by HEATHSCOTT,NICK",,,"BLOCK  by HEATHSCOTT,NICK",1
--,,,,,"REBOUND DEF by MARTIN,AMMON",,,"REBOUND DEF by MARTIN,AMMON",1
15:28,,,,,"TURNOVER  by MARTIN,AMMON",,,"TURNOVER  by MARTIN,AMMON",1
15:27,"STEAL  by MEADES,TAYLOR",,,,,,,"STEAL  by MEADES,TAYLOR",1
15:24,"GOOD LAYUP by SUMLER,LV(fastbreak)(in the paint)",6 (+5),,1,,MC-M 6-1 (+5),,"GOOD LAYUP by SUMLER,LV(fastbreak)(in the paint)",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
15:24,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",1
15:24,"GOOD FT by SUMLER,LV",7 (+6),,1,,MC-M 7-1 (+6),,"GOOD FT by SUMLER,LV",1
15:07,,,,,"MISS LAYUP by MARTIN,AMMON",,,"MISS LAYUP by MARTIN,AMMON",1
--,"REBOUND DEF by SUMLER,LV",,,,,,,"REBOUND DEF by SUMLER,LV",1
14:42,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",1
14:42,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:32,"GOOD JUMPER by MEADES,TAYLOR",9 (+8),,1,,MC-M 9-1 (+8),,"GOOD JUMPER by MEADES,TAYLOR",1
--,"ASSIST  by CORTESE,NICK",,,,,,,"ASSIST  by CORTESE,NICK",1
14:25,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
14:25,"SUB OUT by MERKEL,BRIAN",,,,,,,"SUB OUT by MERKEL,BRIAN",1
14:02,,9 (+6),,3,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",HCM 9-3 (+6),,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",1
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",1
13:49,"MISS LAYUP by KINNEAR,KYLE",,,,,,,"MISS LAYUP by KINNEAR,KYLE",1
--,"REBOUND OFF by KINNEAR,KYLE",,,,,,,"REBOUND OFF by KINNEAR,KYLE",1
13:43,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",11 (+8),,3,,MC-M 11-3 (+8),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
13:33,,,,,"MISS 3PTR by GOODMAN,CHRIS",,,"MISS 3PTR by GOODMAN,CHRIS",1
--,,,,,"REBOUND OFF by MARTIN,AMMON",,,"REBOUND OFF by MARTIN,AMMON",1
13:20,"FOUL  by KINNEAR,KYLE",,,,,,,"FOUL  by KINNEAR,KYLE",1
13:20,,11 (+7),,4,"GOOD FT by HEATHSCOTT,NICK",HCM 11-4 (+7),,"GOOD FT by HEATHSCOTT,NICK",1
13:20,,11 (+6),,5,"GOOD FT by HEATHSCOTT,NICK",HCM 11-5 (+6),,"GOOD FT by HEATHSCOTT,NICK",1
--,,,,,"ASSIST  by MARTIN,AMMON",,,"ASSIST  by MARTIN,AMMON",1
13:20,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
13:20,"SUB OUT by CORTESE,NICK",,,,,,,"SUB OUT by CORTESE,NICK",1
13:20,,,,,"SUB IN by SHERIDAN,DAYTON",,,"SUB IN by SHERIDAN,DAYTON",1
13:20,,,,,"SUB IN by EWING,JAMES",,,"SUB IN by EWING,JAMES",1
13:20,,,,,"SUB OUT by MARTIN,AMMON",,,"SUB OUT by MARTIN,AMMON",1
13:20,,,,,"SUB OUT by HEATHSCOTT,NICK",,,"SUB OUT by HEATHSCOTT,NICK",1
13:05,"MISS JUMPER by SUMLER,LV",,,,,,,"MISS JUMPER by SUMLER,LV",1
--,"REBOUND OFF by SUMLER,LV",,,,,,,"REBOUND OFF by SUMLER,LV",1
13:01,"MISS JUMPER by SUMLER,LV",,,,,,,"MISS JUMPER by SUMLER,LV",1
--,,,,,"REBOUND DEF by PRIMM,COLTON",,,"REBOUND DEF by PRIMM,COLTON",1
12:37,,,,,"MISS 3PTR by RILEY,JAREN",,,"MISS 3PTR by RILEY,JAREN",1
--,"REBOUND DEF by GILLIGAN,TULLY",,,,,,,"REBOUND DEF by GILLIGAN,TULLY",1
12:05,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",13 (+8),,5,,MC-M 13-5 (+8),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
--,"ASSIST  by SUMLER,LV",,,,,,,"ASSIST  by SUMLER,LV",1
11:46,,,,,"MISS JUMPER by SHERIDAN,DAYTON",,,"MISS JUMPER by SHERIDAN,DAYTON",1
--,,,,,"REBOUND OFF by SHERIDAN,DAYTON",,,"REBOUND OFF by SHERIDAN,DAYTON",1
11:39,,13 (+6),,7,"GOOD TIPIN by SHERIDAN,DAYTON(in the paint)",HCM 13-7 (+6),,"GOOD TIPIN by SHERIDAN,DAYTON(in the paint)",1
11:18,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by SHERIDAN,DAYTON",,,"REBOUND DEF by SHERIDAN,DAYTON",1
11:02,,13 (+3),,10,"GOOD 3PTR by RILEY,JAREN",HCM 13-10 (+3),,"GOOD 3PTR by RILEY,JAREN",1
--,,,,,"ASSIST  by PRIMM,COLTON",,,"ASSIST  by PRIMM,COLTON",1
10:48,"GOOD JUMPER by SUMLER,LV",15 (+5),,10,,MC-M 15-10 (+5),,"GOOD JUMPER by SUMLER,LV",1
