Time Remaining,TUM,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
19:44,,0,,3 (+3),"GOOD 3PTR by MEADES,TAYLOR",MC-M 0-3 (+3),,"GOOD 3PTR by MEADES,TAYLOR",1
19:20,"MISS JUMPER by CALDARERA,LUKE",,,,,,,"MISS JUMPER by CALDARERA,LUKE",1
--,"REBOUND OFF by BEALL,RYAN",,,,,,,"REBOUND OFF by BEALL,RYAN",1
19:14,"GOOD 3PTR by KITZINGER,ROBERT",3,,3,,TUM 3-3 (0),,"GOOD 3PTR by KITZINGER,ROBERT",1
--,"ASSIST  by BEALL,RYAN",,,,,,,"ASSIST  by BEALL,RYAN",1
18:47,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",1
18:27,"GOOD JUMPER by CALDARERA,LUKE",5 (+2),,3,,TUM 5-3 (-2),,"GOOD JUMPER by CALDARERA,LUKE",1
--,"ASSIST  by KITZINGER,ROBERT",,,,,,,"ASSIST  by KITZINGER,ROBERT",1
18:05,,,,,"TURNOVER  by MEADES,TAYLOR",,,"TURNOVER  by MEADES,TAYLOR",1
18:04,"STEAL  by LAMBERT,ZACH",,,,,,,"STEAL  by LAMBERT,ZACH",1
17:54,"MISS 3PTR by KITZINGER,ROBERT",,,,,,,"MISS 3PTR by KITZINGER,ROBERT",1
--,"REBOUND OFF by ALLAN,CLARKE",,,,,,,"REBOUND OFF by ALLAN,CLARKE",1
17:50,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",1
17:50,"MISS FT by ALLAN,CLARKE",,,,,,,"MISS FT by ALLAN,CLARKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:50,"GOOD FT by ALLAN,CLARKE",6 (+3),,3,,TUM 6-3 (-3),,"GOOD FT by ALLAN,CLARKE",1
17:20,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",1
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",1
17:03,"GOOD LAYUP by CALDARERA,LUKE(in the paint)",8 (+5),,3,,TUM 8-3 (-5),,"GOOD LAYUP by CALDARERA,LUKE(in the paint)",1
17:03,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",1
17:03,"MISS FT by CALDARERA,LUKE",,,,,,,"MISS FT by CALDARERA,LUKE",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
16:39,"FOUL  by KITZINGER,ROBERT",,,,,,,"FOUL  by KITZINGER,ROBERT",1
