Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
11:50,,9,,11 (+2),"GOOD LAYUP by MCLEMORE,JEREMY(in the paint)",MC-M 9-11 (+2),,"GOOD LAYUP by MCLEMORE,JEREMY(in the paint)",1
--,,,,,"ASSIST  by SUMLER,LV",,,"ASSIST  by SUMLER,LV",1
11:40,"GOOD LAYUP by HARTWELL,THEO(in the paint)",11,,11,,RHODES 11-11 (0),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
--,"ASSIST  by GALOW,ANDREW",,,,,,,"ASSIST  by GALOW,ANDREW",1
11:08,"FOUL  by GALOW,ANDREW",,,,,,,"FOUL  by GALOW,ANDREW",1
11:08,"SUB IN by ARANT,JOSH",,,,,,,"SUB IN by ARANT,JOSH",1
11:08,"SUB IN by MILLER,JOEY",,,,,,,"SUB IN by MILLER,JOEY",1
11:08,"SUB OUT by KILPATRICK,KORY",,,,,,,"SUB OUT by KILPATRICK,KORY",1
11:08,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
11:08,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
11:08,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
11:08,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",1
11:08,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
10:51,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",1
10:41,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,"REBOUND OFF by ARANT,JOSH",,,,,,,"REBOUND OFF by ARANT,JOSH",1
10:28,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",1
10:26,"GOOD JUMPER by GALOW,ANDREW",13 (+2),,11,,RHODES 13-11 (-2),,"GOOD JUMPER by GALOW,ANDREW",1
09:53,,13,,14 (+1),"GOOD 3PTR by BROWN,JEFF",MC-M 13-14 (+1),,"GOOD 3PTR by BROWN,JEFF",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
09:35,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1
09:35,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
09:35,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",1
09:35,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
09:35,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
09:24,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
08:57,,13,,17 (+4),"GOOD 3PTR by MEADES,TAYLOR",MC-M 13-17 (+4),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
08:37,"GOOD LAYUP by MILLER,JOEY(in the paint)",15,,17 (+2),,RHODES 15-17 (+2),,"GOOD LAYUP by MILLER,JOEY(in the paint)",1
08:22,,15,,19 (+4),"GOOD LAYUP by MEADES,TAYLOR(in the paint)",MC-M 15-19 (+4),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
08:06,"GOOD LAYUP by MILLER,JOEY(in the paint)",17,,19 (+2),,RHODES 17-19 (+2),,"GOOD LAYUP by MILLER,JOEY(in the paint)",1
--,"ASSIST  by WATSON,SHANE",,,,,,,"ASSIST  by WATSON,SHANE",1
07:47,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by ARANT,JOSH",,,,,,,"REBOUND DEF by ARANT,JOSH",1
07:34,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
07:34,"SUB IN by MCGRAIL,PATRICK",,,,,,,"SUB IN by MCGRAIL,PATRICK",1
07:34,"SUB IN by DUNAVANT,JOHN",,,,,,,"SUB IN by DUNAVANT,JOHN",1
07:34,"SUB OUT by WATSON,SHANE",,,,,,,"SUB OUT by WATSON,SHANE",1
07:34,"SUB OUT by GALLAGHER,MICHAEL",,,,,,,"SUB OUT by GALLAGHER,MICHAEL",1
07:34,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
07:34,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
07:34,,,,,"SUB OUT by MCLEMORE,JEREMY",,,"SUB OUT by MCLEMORE,JEREMY",1
07:34,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
07:01,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",1
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",1
06:48,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",1
06:39,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
06:20,"GOOD JUMPER by GALOW,ANDREW(in the paint)",19,,19,,RHODES 19-19 (0),,"GOOD JUMPER by GALOW,ANDREW(in the paint)",1
05:59,,19,,22 (+3),"GOOD 3PTR by WHITE,TIM",MC-M 19-22 (+3),,"GOOD 3PTR by WHITE,TIM",1
--,,,,,"ASSIST  by SUMLER,LV",,,"ASSIST  by SUMLER,LV",1
05:34,"MISS LAYUP by ARANT,JOSH",,,,,,,"MISS LAYUP by ARANT,JOSH",1
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",1
05:27,,,,,"MISS LAYUP by WHITE,TIM",,,"MISS LAYUP by WHITE,TIM",1
--,"REBOUND DEF by MILLER,JOEY",,,,,,,"REBOUND DEF by MILLER,JOEY",1
05:03,"MISS LAYUP by MILLER,JOEY",,,,,,,"MISS LAYUP by MILLER,JOEY",1
05:03,,,,,"BLOCK  by SUMLER,LV",,,"BLOCK  by SUMLER,LV",1
--,,,,,"REBOUND DEF by MONTGOMERY,JAYSON",,,"REBOUND DEF by MONTGOMERY,JAYSON",1
04:57,,,,,"TURNOVER  by MONTGOMERY,JAYSON",,,"TURNOVER  by MONTGOMERY,JAYSON",1
04:56,"STEAL  by MILLER,JOEY",,,,,,,"STEAL  by MILLER,JOEY",1
04:53,"GOOD LAYUP by MILLER,JOEY(in the paint)",21,,22 (+1),,RHODES 21-22 (+1),,"GOOD LAYUP by MILLER,JOEY(in the paint)",1
04:33,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",1
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",1
04:25,"GOOD LAYUP by GALOW,ANDREW(in the paint)",23 (+1),,22,,RHODES 23-22 (-1),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",1
04:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:24,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",1
04:24,"SUB IN by KILPATRICK,KORY",,,,,,,"SUB IN by KILPATRICK,KORY",1
04:24,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",1
04:24,"SUB OUT by ARANT,JOSH",,,,,,,"SUB OUT by ARANT,JOSH",1
04:24,"SUB OUT by MILLER,JOEY",,,,,,,"SUB OUT by MILLER,JOEY",1
04:24,"SUB OUT by GALOW,ANDREW",,,,,,,"SUB OUT by GALOW,ANDREW",1
04:24,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
04:24,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
04:24,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
04:24,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
04:24,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
04:24,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
03:56,"FOUL  by WATSON,SHANE",,,,,,,"FOUL  by WATSON,SHANE",1
03:40,"FOUL  by MCGRAIL,PATRICK",,,,,,,"FOUL  by MCGRAIL,PATRICK",1
03:40,,,,,"MISS FT by MEADES,TAYLOR",,,"MISS FT by MEADES,TAYLOR",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:40,,,,,"MISS FT by MEADES,TAYLOR",,,"MISS FT by MEADES,TAYLOR",1
--,"REBOUND DEF by WATSON,SHANE",,,,,,,"REBOUND DEF by WATSON,SHANE",1
03:26,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
02:54,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",1
02:51,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",1
02:51,"SUB IN by GALOW,ANDREW",,,,,,,"SUB IN by GALOW,ANDREW",1
02:51,"SUB IN by ARANT,JOSH",,,,,,,"SUB IN by ARANT,JOSH",1
02:51,"SUB IN by MILLER,JOEY",,,,,,,"SUB IN by MILLER,JOEY",1
02:51,"SUB OUT by WATSON,SHANE",,,,,,,"SUB OUT by WATSON,SHANE",1
02:51,"SUB OUT by KILPATRICK,KORY",,,,,,,"SUB OUT by KILPATRICK,KORY",1
02:51,"SUB OUT by HARTWELL,THEO",,,,,,,"SUB OUT by HARTWELL,THEO",1
02:28,,23,,24 (+1),"GOOD LAYUP by CORTESE,NICK(in the paint)",MC-M 23-24 (+1),,"GOOD LAYUP by CORTESE,NICK(in the paint)",1
02:13,"GOOD LAYUP by ARANT,JOSH(in the paint)",25 (+1),,24,,RHODES 25-24 (-1),,"GOOD LAYUP by ARANT,JOSH(in the paint)",1
01:37,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",1
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",1
01:24,"TURNOVER  by DUNAVANT,JOHN",,,,,,,"TURNOVER  by DUNAVANT,JOHN",1
01:24,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
01:24,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",1
01:24,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
01:24,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
01:09,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
01:00,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
00:56,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
00:52,,,,,"MISS LAYUP by MEADES,TAYLOR",,,"MISS LAYUP by MEADES,TAYLOR",1
--,"REBOUND DEF by MILLER,JOEY",,,,,,,"REBOUND DEF by MILLER,JOEY",1
00:45,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by MCLEMORE,JEREMY",,,"REBOUND DEF by MCLEMORE,JEREMY",1
00:11,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",1
--,"REBOUND DEF by DUNAVANT,JOHN",,,,,,,"REBOUND DEF by DUNAVANT,JOHN",1
00:04,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",1
00:04,,,,,"BLOCK  by MEADES,TAYLOR",,,"BLOCK  by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
19:54,,,,,"FOUL  by MCLEMORE,JEREMY",,,"FOUL  by MCLEMORE,JEREMY",2
19:40,"MISS 3PTR by MCGRAIL,PATRICK",,,,,,,"MISS 3PTR by MCGRAIL,PATRICK",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
19:15,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
18:57,"MISS LAYUP by ARANT,JOSH",,,,,,,"MISS LAYUP by ARANT,JOSH",2
18:57,,,,,"BLOCK  by SUMLER,LV",,,"BLOCK  by SUMLER,LV",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:41,"MISS 3PTR by MILLER,JOEY",,,,,,,"MISS 3PTR by MILLER,JOEY",2
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",2
18:19,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",2
18:02,"MISS JUMPER by GALOW,ANDREW",,,,,,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND OFF by GALOW,ANDREW",,,,,,,"REBOUND OFF by GALOW,ANDREW",2
17:42,"GOOD LAYUP by GALOW,ANDREW(in the paint)",27 (+3),,24,,RHODES 27-24 (-3),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
17:29,"FOUL  by MILLER,JOEY",,,,,,,"FOUL  by MILLER,JOEY",2
17:21,"FOUL  by GALOW,ANDREW",,,,,,,"FOUL  by GALOW,ANDREW",2
17:21,,27 (+2),,25,"GOOD FT by MERKEL,BRIAN",MC-M 27-25 (-2),,"GOOD FT by MERKEL,BRIAN",2
17:21,,27 (+1),,26,"GOOD FT by MERKEL,BRIAN",MC-M 27-26 (-1),,"GOOD FT by MERKEL,BRIAN",2
16:48,"MISS LAYUP by DUNAVANT,JOHN",,,,,,,"MISS LAYUP by DUNAVANT,JOHN",2
--,"REBOUND OFF by ARANT,JOSH",,,,,,,"REBOUND OFF by ARANT,JOSH",2
16:45,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",2
16:45,"MISS FT by ARANT,JOSH",,,,,,,"MISS FT by ARANT,JOSH",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:45,"GOOD FT by ARANT,JOSH",28 (+2),,26,,RHODES 28-26 (-2),,"GOOD FT by ARANT,JOSH",2
16:45,"SUB IN by HARTWELL,THEO",,,,,,,"SUB IN by HARTWELL,THEO",2
16:45,"SUB IN by KILPATRICK,KORY",,,,,,,"SUB IN by KILPATRICK,KORY",2
16:45,"SUB IN by WATSON,SHANE",,,,,,,"SUB IN by WATSON,SHANE",2
16:45,"SUB OUT by MCGRAIL,PATRICK",,,,,,,"SUB OUT by MCGRAIL,PATRICK",2
16:45,"SUB OUT by MILLER,JOEY",,,,,,,"SUB OUT by MILLER,JOEY",2
16:45,"SUB OUT by ARANT,JOSH",,,,,,,"SUB OUT by ARANT,JOSH",2
16:28,,,,,"MISS LAYUP by MEADES,TAYLOR",,,"MISS LAYUP by MEADES,TAYLOR",2
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",2
16:10,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
16:10,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
16:10,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
16:10,,,,,"SUB OUT by MCLEMORE,JEREMY",,,"SUB OUT by MCLEMORE,JEREMY",2
16:10,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
15:55,,28,,29 (+1),"GOOD 3PTR by MEADES,TAYLOR",MC-M 28-29 (+1),,"GOOD 3PTR by MEADES,TAYLOR",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
15:35,"MISS LAYUP by HARTWELL,THEO",,,,,,,"MISS LAYUP by HARTWELL,THEO",2
15:35,,,,,"BLOCK  by SUMLER,LV",,,"BLOCK  by SUMLER,LV",2
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",2
15:23,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",2
15:20,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
15:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:04,"TURNOVER  by WATSON,SHANE",,,,,,,"TURNOVER  by WATSON,SHANE",2
15:02,,,,,"STEAL  by WHITE,TIM",,,"STEAL  by WHITE,TIM",2
14:57,,,,,"MISS LAYUP by SUMLER,LV",,,"MISS LAYUP by SUMLER,LV",2
14:57,"BLOCK  by KILPATRICK,KORY",,,,,,,"BLOCK  by KILPATRICK,KORY",2
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",2
14:50,"GOOD 3PTR by GALOW,ANDREW",31 (+2),,29,,RHODES 31-29 (-2),,"GOOD 3PTR by GALOW,ANDREW",2
14:31,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",2
14:29,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
13:58,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
13:58,"BLOCK  by KILPATRICK,KORY",,,,,,,"BLOCK  by KILPATRICK,KORY",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
