Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
13:20,,29,,40 (+11),"GOOD 3PTR by MEADES,TAYLOR",MC-M 29-40 (+11),,"GOOD 3PTR by MEADES,TAYLOR",2
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",2
12:59,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
12:59,"SUB IN by NIELSEN,DANE",,,,,,,"SUB IN by NIELSEN,DANE",2
12:59,"SUB OUT by MARTIN,AMMON",,,,,,,"SUB OUT by MARTIN,AMMON",2
12:59,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
12:59,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",2
12:55,"MISS JUMPER by NIELSEN,DANE",,,,,,,"MISS JUMPER by NIELSEN,DANE",2
--,"REBOUND OFF by EWING,JAMES",,,,,,,"REBOUND OFF by EWING,JAMES",2
12:35,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",2
12:34,"GOOD FT by PRIMM,COLTON",30,,40 (+10),,HCM 30-40 (+10),,"GOOD FT by PRIMM,COLTON",2
12:34,"GOOD FT by PRIMM,COLTON",31,,40 (+9),,HCM 31-40 (+9),,"GOOD FT by PRIMM,COLTON",2
12:30,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",2
12:28,"STEAL  by EWING,JAMES",,,,,,,"STEAL  by EWING,JAMES",2
12:27,"GOOD LAYUP by EWING,JAMES(in the paint)",33,,40 (+7),,HCM 33-40 (+7),,"GOOD LAYUP by EWING,JAMES(in the paint)",2
12:26,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",2
12:26,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
11:51,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",2
--,"REBOUND DEF by RIZOS,RYAN",,,,,,,"REBOUND DEF by RIZOS,RYAN",2
11:29,"TURNOVER  by RIZOS,RYAN",,,,,,,"TURNOVER  by RIZOS,RYAN",2
11:28,,,,,"STEAL  by MEADES,TAYLOR",,,"STEAL  by MEADES,TAYLOR",2
11:27,"FOUL  by RIZOS,RYAN",,,,,,,"FOUL  by RIZOS,RYAN",2
11:27,,33,,41 (+8),"GOOD FT by MEADES,TAYLOR",MC-M 33-41 (+8),,"GOOD FT by MEADES,TAYLOR",2
11:27,,33,,42 (+9),"GOOD FT by MEADES,TAYLOR",MC-M 33-42 (+9),,"GOOD FT by MEADES,TAYLOR",2
11:11,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",2
11:11,"GOOD FT by PRIMM,COLTON",34,,42 (+8),,HCM 34-42 (+8),,"GOOD FT by PRIMM,COLTON",2
11:11,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",2
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",2
11:08,"SUB IN by RILEY,JAREN",,,,,,,"SUB IN by RILEY,JAREN",2
11:08,"SUB OUT by RIZOS,RYAN",,,,,,,"SUB OUT by RIZOS,RYAN",2
11:02,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",2
11:02,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
10:35,,,,,"MISS 3PTR by COOPER,BEN",,,"MISS 3PTR by COOPER,BEN",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
10:28,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
10:11,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",2
10:10,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",2
10:10,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",2
10:06,"FOUL  by NIELSEN,DANE",,,,,,,"FOUL  by NIELSEN,DANE",2
10:06,"TURNOVER  by NIELSEN,DANE",,,,,,,"TURNOVER  by NIELSEN,DANE",2
09:51,"FOUL  by EWING,JAMES",,,,,,,"FOUL  by EWING,JAMES",2
09:50,,34,,44 (+10),"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 34-44 (+10),,"GOOD LAYUP by SUMLER,LV(in the paint)",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
09:30,"GOOD LAYUP by ZIMMERMAN,JOHN(in the paint)",36,,44 (+8),,HCM 36-44 (+8),,"GOOD LAYUP by ZIMMERMAN,JOHN(in the paint)",2
--,"ASSIST  by PRIMM,COLTON",,,,,,,"ASSIST  by PRIMM,COLTON",2
09:19,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by ZIMMERMAN,JOHN",,,,,,,"REBOUND DEF by ZIMMERMAN,JOHN",2
09:09,"GOOD LAYUP by PRIMM,COLTON(in the paint)",38,,44 (+6),,HCM 38-44 (+6),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
09:09,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",2
--,"ASSIST  by RILEY,JAREN",,,,,,,"ASSIST  by RILEY,JAREN",2
09:09,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",2
--,,,,,"REBOUND DEF by COOPER,BEN",,,"REBOUND DEF by COOPER,BEN",2
08:42,,,,,"TURNOVER  by COOPER,BEN",,,"TURNOVER  by COOPER,BEN",2
08:41,"STEAL  by NIELSEN,DANE",,,,,,,"STEAL  by NIELSEN,DANE",2
08:38,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",2
08:38,"GOOD FT by NIELSEN,DANE",39,,44 (+5),,HCM 39-44 (+5),,"GOOD FT by NIELSEN,DANE",2
08:38,"MISS FT by NIELSEN,DANE",,,,,,,"MISS FT by NIELSEN,DANE",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
08:38,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
08:38,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",2
08:30,,39,,46 (+7),"GOOD LAYUP by CORTESE,NICK(in the paint)",MC-M 39-46 (+7),,"GOOD LAYUP by CORTESE,NICK(in the paint)",2
08:30,"FOUL  by PRIMM,COLTON",,,,,,,"FOUL  by PRIMM,COLTON",2
08:30,,39,,47 (+8),"GOOD FT by CORTESE,NICK",MC-M 39-47 (+8),,"GOOD FT by CORTESE,NICK",2
08:19,"GOOD 3PTR by EWING,JAMES",42,,47 (+5),,HCM 42-47 (+5),,"GOOD 3PTR by EWING,JAMES",2
--,"ASSIST  by RILEY,JAREN",,,,,,,"ASSIST  by RILEY,JAREN",2
08:06,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",2
08:06,"STEAL  by RILEY,JAREN",,,,,,,"STEAL  by RILEY,JAREN",2
07:51,"GOOD FT by PRIMM,COLTON",43,,47 (+4),,HCM 43-47 (+4),,"GOOD FT by PRIMM,COLTON",2
07:51,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
07:49,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",2
07:28,,43,,49 (+6),"GOOD JUMPER by SUMLER,LV(in the paint)",MC-M 43-49 (+6),,"GOOD JUMPER by SUMLER,LV(in the paint)",2
07:25,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:25,"SUB IN by MARTIN,AMMON",,,,,,,"SUB IN by MARTIN,AMMON",2
07:25,"SUB IN by GOODMAN,CHRIS",,,,,,,"SUB IN by GOODMAN,CHRIS",2
07:25,"SUB IN by HEATHSCOTT,NICK",,,,,,,"SUB IN by HEATHSCOTT,NICK",2
07:25,"SUB IN by SHERRILL,SCOTT",,,,,,,"SUB IN by SHERRILL,SCOTT",2
07:25,"SUB OUT by PRIMM,COLTON",,,,,,,"SUB OUT by PRIMM,COLTON",2
07:25,"SUB OUT by NIELSEN,DANE",,,,,,,"SUB OUT by NIELSEN,DANE",2
07:25,"SUB OUT by EWING,JAMES",,,,,,,"SUB OUT by EWING,JAMES",2
07:25,"SUB OUT by ZIMMERMAN,JOHN",,,,,,,"SUB OUT by ZIMMERMAN,JOHN",2
06:51,"MISS JUMPER by HEATHSCOTT,NICK",,,,,,,"MISS JUMPER by HEATHSCOTT,NICK",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
06:44,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",2
06:39,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
06:10,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,"REBOUND DEF by HEATHSCOTT,NICK",,,,,,,"REBOUND DEF by HEATHSCOTT,NICK",2
05:57,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",2
05:57,"GOOD FT by SHERRILL,SCOTT",44,,49 (+5),,HCM 44-49 (+5),,"GOOD FT by SHERRILL,SCOTT",2
05:57,"MISS FT by SHERRILL,SCOTT",,,,,,,"MISS FT by SHERRILL,SCOTT",2
--,"REBOUND OFF by HEATHSCOTT,NICK",,,,,,,"REBOUND OFF by HEATHSCOTT,NICK",2
05:36,"TURNOVER  by SHERRILL,SCOTT",,,,,,,"TURNOVER  by SHERRILL,SCOTT",2
05:34,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",2
05:21,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by RILEY,JAREN",,,,,,,"REBOUND DEF by RILEY,JAREN",2
05:02,"GOOD JUMPER by SHERRILL,SCOTT(in the paint)",46,,49 (+3),,HCM 46-49 (+3),,"GOOD JUMPER by SHERRILL,SCOTT(in the paint)",2
04:29,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,"REBOUND DEF by MARTIN,AMMON",,,,,,,"REBOUND DEF by MARTIN,AMMON",2
04:10,"GOOD 3PTR by RILEY,JAREN",49,,49,,HCM 49-49 (0),,"GOOD 3PTR by RILEY,JAREN",2
04:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:40,"FOUL  by HEATHSCOTT,NICK",,,,,,,"FOUL  by HEATHSCOTT,NICK",2
03:40,,49,,50 (+1),"GOOD FT by COOPER,BEN",MC-M 49-50 (+1),,"GOOD FT by COOPER,BEN",2
03:40,,49,,51 (+2),"GOOD FT by COOPER,BEN",MC-M 49-51 (+2),,"GOOD FT by COOPER,BEN",2
03:20,"MISS 3PTR by RILEY,JAREN",,,,,,,"MISS 3PTR by RILEY,JAREN",2
--,"REBOUND OFF by HEATHSCOTT,NICK",,,,,,,"REBOUND OFF by HEATHSCOTT,NICK",2
03:15,"GOOD JUMPER by HEATHSCOTT,NICK(in the paint)",51,,51,,HCM 51-51 (0),,"GOOD JUMPER by HEATHSCOTT,NICK(in the paint)",2
02:44,,,,,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:28,"MISS 3PTR by GOODMAN,CHRIS",,,,,,,"MISS 3PTR by GOODMAN,CHRIS",2
--,"REBOUND OFF by HEATHSCOTT,NICK",,,,,,,"REBOUND OFF by HEATHSCOTT,NICK",2
02:24,"MISS LAYUP by HEATHSCOTT,NICK",,,,,,,"MISS LAYUP by HEATHSCOTT,NICK",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
02:01,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by HEATHSCOTT,NICK",,,,,,,"REBOUND DEF by HEATHSCOTT,NICK",2
01:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:38,"FOUL  by HEATHSCOTT,NICK",,,,,,,"FOUL  by HEATHSCOTT,NICK",2
01:38,"TURNOVER  by HEATHSCOTT,NICK",,,,,,,"TURNOVER  by HEATHSCOTT,NICK",2
01:38,"SUB IN by PRIMM,COLTON",,,,,,,"SUB IN by PRIMM,COLTON",2
01:38,"SUB OUT by HEATHSCOTT,NICK",,,,,,,"SUB OUT by HEATHSCOTT,NICK",2
01:38,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
01:38,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",2
01:15,,51,,53 (+2),"GOOD JUMPER by MERKEL,BRIAN",MC-M 51-53 (+2),,"GOOD JUMPER by MERKEL,BRIAN",2
01:03,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:49,"TURNOVER  by RILEY,JAREN",,,,,,,"TURNOVER  by RILEY,JAREN",2
00:47,,,,,"STEAL  by MERKEL,BRIAN",,,"STEAL  by MERKEL,BRIAN",2
00:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:12,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
00:07,"FOUL  by PRIMM,COLTON",,,,,,,"FOUL  by PRIMM,COLTON",2
00:07,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:07,,51,,54 (+3),"GOOD FT by MERKEL,BRIAN",MC-M 51-54 (+3),,"GOOD FT by MERKEL,BRIAN",2
00:07,,51,,55 (+4),"GOOD FT by MERKEL,BRIAN",MC-M 51-55 (+4),,"GOOD FT by MERKEL,BRIAN",2
00:07,"SUB IN by NIELSEN,DANE",,,,,,,"SUB IN by NIELSEN,DANE",2
00:07,"SUB OUT by MARTIN,AMMON",,,,,,,"SUB OUT by MARTIN,AMMON",2
00:07,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
00:07,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
00:07,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
00:07,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
00:02,"MISS 3PTR by RILEY,JAREN",,,,,,,"MISS 3PTR by RILEY,JAREN",2
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",2
