Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
17:26,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
17:26,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
17:26,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",1
17:26,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
17:08,"GOOD LAYUP by BLACK,KEN(in the paint)",9 (+9),,0,,MC 9-0 (-9),,"GOOD LAYUP by BLACK,KEN(in the paint)",1
--,"ASSIST  by PULLIAM,GREG",,,,,,,"ASSIST  by PULLIAM,GREG",1
16:48,,,,,"MISS LAYUP by KINNEAR,KYLE",,,"MISS LAYUP by KINNEAR,KYLE",1
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",1
16:44,,9 (+7),,2,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MC-M 9-2 (-7),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
16:31,"FOUL  by BOUNDS,CAMERON",,,,,,,"FOUL  by BOUNDS,CAMERON",1
16:31,"TURNOVER  by BOUNDS,CAMERON",,,,,,,"TURNOVER  by BOUNDS,CAMERON",1
16:15,,9 (+4),,5,"GOOD 3PTR by SUMLER,LV",MC-M 9-5 (-4),,"GOOD 3PTR by SUMLER,LV",1
--,,,,,"ASSIST  by MEADES,TAYLOR",,,"ASSIST  by MEADES,TAYLOR",1
15:56,"GOOD 3PTR by PULLIAM,GREG",12 (+7),,5,,MC 12-5 (-7),,"GOOD 3PTR by PULLIAM,GREG",1
--,"ASSIST  by LESTER,KELVIN",,,,,,,"ASSIST  by LESTER,KELVIN",1
15:36,,,,,"MISS 3PTR by MERKEL,BRIAN",,,"MISS 3PTR by MERKEL,BRIAN",1
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",1
15:30,,,,,"MISS LAYUP by KINNEAR,KYLE",,,"MISS LAYUP by KINNEAR,KYLE",1
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",1
15:27,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by LESTER,KELVIN",,,,,,,"REBOUND DEF by LESTER,KELVIN",1
15:19,"GOOD LAYUP by BLACK,KEN(in the paint)",14 (+9),,5,,MC 14-5 (-9),,"GOOD LAYUP by BLACK,KEN(in the paint)",1
--,"ASSIST  by LESTER,KELVIN",,,,,,,"ASSIST  by LESTER,KELVIN",1
14:58,,14 (+7),,7,"GOOD JUMPER by KINNEAR,KYLE(in the paint)",MC-M 14-7 (-7),,"GOOD JUMPER by KINNEAR,KYLE(in the paint)",1
14:42,"MISS JUMPER by PULLIAM,GREG",,,,,,,"MISS JUMPER by PULLIAM,GREG",1
--,"REBOUND OFF by BOUNDS,CAMERON",,,,,,,"REBOUND OFF by BOUNDS,CAMERON",1
14:39,"GOOD JUMPER by BOUNDS,CAMERON(in the paint)",16 (+9),,7,,MC 16-7 (-9),,"GOOD JUMPER by BOUNDS,CAMERON(in the paint)",1
14:37,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:37,"SUB IN by SHACKELFORD,PATE",,,,,,,"SUB IN by SHACKELFORD,PATE",1
14:37,"SUB IN by HADLEY,PIERRE",,,,,,,"SUB IN by HADLEY,PIERRE",1
14:37,"SUB IN by TISDALE,JOEY",,,,,,,"SUB IN by TISDALE,JOEY",1
14:37,"SUB IN by SMITH,KENDRE'",,,,,,,"SUB IN by SMITH,KENDRE'",1
14:37,"SUB OUT by BLACK,KEN",,,,,,,"SUB OUT by BLACK,KEN",1
14:37,"SUB OUT by LESTER,KELVIN",,,,,,,"SUB OUT by LESTER,KELVIN",1
14:37,"SUB OUT by PULLIAM,GREG",,,,,,,"SUB OUT by PULLIAM,GREG",1
14:37,"SUB OUT by ESTER,MARLON",,,,,,,"SUB OUT by ESTER,MARLON",1
14:37,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
14:37,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
14:19,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",1
--,"REBOUND DEF by SMITH,KENDRE'",,,,,,,"REBOUND DEF by SMITH,KENDRE'",1
14:04,"TURNOVER  by JONES,CHAD",,,,,,,"TURNOVER  by JONES,CHAD",1
14:04,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
14:04,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
14:04,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
13:51,"FOUL  by SHACKELFORD,PATE",,,,,,,"FOUL  by SHACKELFORD,PATE",1
13:51,,,,,"MISS FT by MEADES,TAYLOR",,,"MISS FT by MEADES,TAYLOR",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:51,,16 (+8),,8,"GOOD FT by MEADES,TAYLOR",MC-M 16-8 (-8),,"GOOD FT by MEADES,TAYLOR",1
13:51,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
13:51,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
13:51,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",1
13:51,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
13:39,"GOOD 3PTR by SHACKELFORD,PATE",19 (+11),,8,,MC 19-8 (-11),,"GOOD 3PTR by SHACKELFORD,PATE",1
--,"ASSIST  by SMITH,KENDRE'",,,,,,,"ASSIST  by SMITH,KENDRE'",1
13:19,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by TISDALE,JOEY",,,,,,,"REBOUND DEF by TISDALE,JOEY",1
13:08,"GOOD LAYUP by HADLEY,PIERRE(in the paint)",21 (+13),,8,,MC 21-8 (-13),,"GOOD LAYUP by HADLEY,PIERRE(in the paint)",1
12:45,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",1
--,"REBOUND DEF by JONES,CHAD",,,,,,,"REBOUND DEF by JONES,CHAD",1
12:31,"MISS JUMPER by JONES,CHAD",,,,,,,"MISS JUMPER by JONES,CHAD",1
--,,,,,"REBOUND DEF by MONTGOMERY,JAYSON",,,"REBOUND DEF by MONTGOMERY,JAYSON",1
12:16,"FOUL  by TISDALE,JOEY",,,,,,,"FOUL  by TISDALE,JOEY",1
12:14,,21 (+10),,11,"GOOD 3PTR by MEADES,TAYLOR",MC-M 21-11 (-10),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by BROWN,JEFF",,,"ASSIST  by BROWN,JEFF",1
11:50,"MISS LAYUP by TISDALE,JOEY",,,,,,,"MISS LAYUP by TISDALE,JOEY",1
--,"REBOUND OFF by JONES,CHAD",,,,,,,"REBOUND OFF by JONES,CHAD",1
11:50,"FOUL  by JONES,CHAD",,,,,,,"FOUL  by JONES,CHAD",1
11:50,"TURNOVER  by JONES,CHAD",,,,,,,"TURNOVER  by JONES,CHAD",1
11:25,,,,,"MISS LAYUP by BROWN,JEFF",,,"MISS LAYUP by BROWN,JEFF",1
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",1
11:22,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1
11:22,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",1
10:58,"GOOD LAYUP by TISDALE,JOEY(in the paint)",23 (+12),,11,,MC 23-11 (-12),,"GOOD LAYUP by TISDALE,JOEY(in the paint)",1
10:26,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,"REBOUND DEF by HADLEY,PIERRE",,,,,,,"REBOUND DEF by HADLEY,PIERRE",1
10:15,"MISS JUMPER by HADLEY,PIERRE",,,,,,,"MISS JUMPER by HADLEY,PIERRE",1
--,,,,,"REBOUND DEF by BROWN,JEFF",,,"REBOUND DEF by BROWN,JEFF",1
10:14,"FOUL  by JONES,CHAD",,,,,,,"FOUL  by JONES,CHAD",1
10:14,"SUB IN by PULLIAM,GREG",,,,,,,"SUB IN by PULLIAM,GREG",1
10:14,"SUB IN by ESTER,MARLON",,,,,,,"SUB IN by ESTER,MARLON",1
10:14,"SUB IN by BLACK,KEN",,,,,,,"SUB IN by BLACK,KEN",1
10:14,"SUB IN by LESTER,KELVIN",,,,,,,"SUB IN by LESTER,KELVIN",1
10:14,"SUB IN by BOUNDS,CAMERON",,,,,,,"SUB IN by BOUNDS,CAMERON",1
10:14,"SUB OUT by JONES,CHAD",,,,,,,"SUB OUT by JONES,CHAD",1
10:14,"SUB OUT by SHACKELFORD,PATE",,,,,,,"SUB OUT by SHACKELFORD,PATE",1
10:14,"SUB OUT by HADLEY,PIERRE",,,,,,,"SUB OUT by HADLEY,PIERRE",1
10:14,"SUB OUT by TISDALE,JOEY",,,,,,,"SUB OUT by TISDALE,JOEY",1
10:14,"SUB OUT by SMITH,KENDRE'",,,,,,,"SUB OUT by SMITH,KENDRE'",1
10:14,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",1
10:14,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
10:14,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",1
10:14,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
10:14,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
10:14,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
10:14,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
10:14,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
10:14,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
09:58,"FOUL  by ESTER,MARLON",,,,,,,"FOUL  by ESTER,MARLON",1
09:58,,23 (+11),,12,"GOOD FT by CORTESE,NICK",MC-M 23-12 (-11),,"GOOD FT by CORTESE,NICK",1
09:58,,23 (+10),,13,"GOOD FT by CORTESE,NICK",MC-M 23-13 (-10),,"GOOD FT by CORTESE,NICK",1
09:42,"GOOD LAYUP by BOUNDS,CAMERON(in the paint)",25 (+12),,13,,MC 25-13 (-12),,"GOOD LAYUP by BOUNDS,CAMERON(in the paint)",1
09:42,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",1
09:42,"GOOD FT by BOUNDS,CAMERON",26 (+13),,13,,MC 26-13 (-13),,"GOOD FT by BOUNDS,CAMERON",1
09:24,"MISS LAYUP by BOUNDS,CAMERON",,,,,,,"MISS LAYUP by BOUNDS,CAMERON",1
09:24,,,,,"BLOCK  by BERGER,RYAN",,,"BLOCK  by BERGER,RYAN",1
--,"REBOUND OFF by LESTER,KELVIN",,,,,,,"REBOUND OFF by LESTER,KELVIN",1
09:13,"MISS LAYUP by BOUNDS,CAMERON",,,,,,,"MISS LAYUP by BOUNDS,CAMERON",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
08:46,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1
08:43,"FOUL  by BLACK,KEN",,,,,,,"FOUL  by BLACK,KEN",1
08:43,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:43,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",1
08:43,,,,,"SUB OUT by MCLEMORE,JEREMY",,,"SUB OUT by MCLEMORE,JEREMY",1
08:24,,26 (+10),,16,"GOOD 3PTR by SUMLER,LV",MC-M 26-16 (-10),,"GOOD 3PTR by SUMLER,LV",1
08:06,"TURNOVER  by PULLIAM,GREG",,,,,,,"TURNOVER  by PULLIAM,GREG",1
08:05,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",1
07:59,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
07:37,"MISS 3PTR by ESTER,MARLON",,,,,,,"MISS 3PTR by ESTER,MARLON",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
07:24,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",1
07:24,"BLOCK  by BLACK,KEN",,,,,,,"BLOCK  by BLACK,KEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:24,"FOUL  by BLACK,KEN",,,,,,,"FOUL  by BLACK,KEN",1
07:24,,26 (+9),,17,"GOOD FT by BERGER,RYAN",MC-M 26-17 (-9),,"GOOD FT by BERGER,RYAN",1
07:24,,26 (+8),,18,"GOOD FT by BERGER,RYAN",MC-M 26-18 (-8),,"GOOD FT by BERGER,RYAN",1
07:24,"SUB IN by MCNALLY,MICAH",,,,,,,"SUB IN by MCNALLY,MICAH",1
07:24,"SUB OUT by BLACK,KEN",,,,,,,"SUB OUT by BLACK,KEN",1
07:24,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
07:24,,,,,"SUB IN by GUIDICE,DREW",,,"SUB IN by GUIDICE,DREW",1
07:24,,,,,"SUB IN by LEMIEUX,QUINN",,,"SUB IN by LEMIEUX,QUINN",1
07:24,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
07:24,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
07:24,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
07:08,"MISS 3PTR by PULLIAM,GREG",,,,,,,"MISS 3PTR by PULLIAM,GREG",1
--,,,,,"REBOUND DEF by GUIDICE,DREW",,,"REBOUND DEF by GUIDICE,DREW",1
06:48,,,,,"MISS 3PTR by COOPER,BEN",,,"MISS 3PTR by COOPER,BEN",1
--,"REBOUND DEF by BOUNDS,CAMERON",,,,,,,"REBOUND DEF by BOUNDS,CAMERON",1
06:37,"TURNOVER  by PULLIAM,GREG",,,,,,,"TURNOVER  by PULLIAM,GREG",1
06:15,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:01,"MISS 3PTR by LESTER,KELVIN",,,,,,,"MISS 3PTR by LESTER,KELVIN",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
05:46,,26 (+6),,20,"GOOD LAYUP by LEMIEUX,QUINN(in the paint)",MC-M 26-20 (-6),,"GOOD LAYUP by LEMIEUX,QUINN(in the paint)",1
05:23,"MISS JUMPER by MCNALLY,MICAH",,,,,,,"MISS JUMPER by MCNALLY,MICAH",1
--,"REBOUND OFF by BOUNDS,CAMERON",,,,,,,"REBOUND OFF by BOUNDS,CAMERON",1
05:13,"GOOD LAYUP by LESTER,KELVIN(in the paint)",28 (+8),,20,,MC 28-20 (-8),,"GOOD LAYUP by LESTER,KELVIN(in the paint)",1
05:01,"FOUL  by PULLIAM,GREG",,,,,,,"FOUL  by PULLIAM,GREG",1
05:01,,28 (+7),,21,"GOOD FT by LEMIEUX,QUINN",MC-M 28-21 (-7),,"GOOD FT by LEMIEUX,QUINN",1
05:01,,28 (+6),,22,"GOOD FT by LEMIEUX,QUINN",MC-M 28-22 (-6),,"GOOD FT by LEMIEUX,QUINN",1
05:01,"SUB IN by HADLEY,PIERRE",,,,,,,"SUB IN by HADLEY,PIERRE",1
05:01,"SUB IN by SMITH,KENDRE'",,,,,,,"SUB IN by SMITH,KENDRE'",1
05:01,"SUB IN by BRUMFIELD,RODNEY",,,,,,,"SUB IN by BRUMFIELD,RODNEY",1
05:01,"SUB IN by SHACKELFORD,PATE",,,,,,,"SUB IN by SHACKELFORD,PATE",1
05:01,"SUB OUT by PULLIAM,GREG",,,,,,,"SUB OUT by PULLIAM,GREG",1
05:01,"SUB OUT by ESTER,MARLON",,,,,,,"SUB OUT by ESTER,MARLON",1
05:01,"SUB OUT by LESTER,KELVIN",,,,,,,"SUB OUT by LESTER,KELVIN",1
05:01,"SUB OUT by BOUNDS,CAMERON",,,,,,,"SUB OUT by BOUNDS,CAMERON",1
05:01,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
05:01,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
05:01,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
05:01,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
05:01,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",1
05:01,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
05:01,,,,,"SUB OUT by GUIDICE,DREW",,,"SUB OUT by GUIDICE,DREW",1
05:01,,,,,"SUB OUT by LEMIEUX,QUINN",,,"SUB OUT by LEMIEUX,QUINN",1
04:46,"GOOD 3PTR by SHACKELFORD,PATE",31 (+9),,22,,MC 31-22 (-9),,"GOOD 3PTR by SHACKELFORD,PATE",1
--,"ASSIST  by HADLEY,PIERRE",,,,,,,"ASSIST  by HADLEY,PIERRE",1
04:29,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",1
--,"REBOUND DEF by SHACKELFORD,PATE",,,,,,,"REBOUND DEF by SHACKELFORD,PATE",1
04:29,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",1
04:20,"TURNOVER  by HADLEY,PIERRE",,,,,,,"TURNOVER  by HADLEY,PIERRE",1
04:10,"FOUL  by HADLEY,PIERRE",,,,,,,"FOUL  by HADLEY,PIERRE",1
04:10,,31 (+8),,23,"GOOD FT by MERKEL,BRIAN",MC-M 31-23 (-8),,"GOOD FT by MERKEL,BRIAN",1
04:10,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",1
--,"REBOUND DEF by BRUMFIELD,RODNEY",,,,,,,"REBOUND DEF by BRUMFIELD,RODNEY",1
03:47,"GOOD 3PTR by SHACKELFORD,PATE",34 (+11),,23,,MC 34-23 (-11),,"GOOD 3PTR by SHACKELFORD,PATE",1
--,"ASSIST  by SMITH,KENDRE'",,,,,,,"ASSIST  by SMITH,KENDRE'",1
03:27,,34 (+8),,26,"GOOD 3PTR by MERKEL,BRIAN",MC-M 34-26 (-8),,"GOOD 3PTR by MERKEL,BRIAN",1
03:17,"MISS LAYUP by HADLEY,PIERRE",,,,,,,"MISS LAYUP by HADLEY,PIERRE",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
03:11,,34 (+5),,29,"GOOD 3PTR by SUMLER,LV",MC-M 34-29 (-5),,"GOOD 3PTR by SUMLER,LV",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
03:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:50,"MISS 3PTR by BRUMFIELD,RODNEY",,,,,,,"MISS 3PTR by BRUMFIELD,RODNEY",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
02:21,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:04,"MISS JUMPER by SHACKELFORD,PATE",,,,,,,"MISS JUMPER by SHACKELFORD,PATE",1
--,"REBOUND OFF by HADLEY,PIERRE",,,,,,,"REBOUND OFF by HADLEY,PIERRE",1
01:57,"GOOD 3PTR by HADLEY,PIERRE",37 (+8),,29,,MC 37-29 (-8),,"GOOD 3PTR by HADLEY,PIERRE",1
--,"ASSIST  by SHACKELFORD,PATE",,,,,,,"ASSIST  by SHACKELFORD,PATE",1
01:32,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:29,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
01:29,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
01:15,"MISS 3PTR by HADLEY,PIERRE",,,,,,,"MISS 3PTR by HADLEY,PIERRE",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
00:57,,,,,"MISS LAYUP by SUMLER,LV",,,"MISS LAYUP by SUMLER,LV",1
--,"REBOUND DEF by BRUMFIELD,RODNEY",,,,,,,"REBOUND DEF by BRUMFIELD,RODNEY",1
00:36,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",1
00:36,"GOOD FT by HADLEY,PIERRE",38 (+9),,29,,MC 38-29 (-9),,"GOOD FT by HADLEY,PIERRE",1
00:36,"GOOD FT by HADLEY,PIERRE",39 (+10),,29,,MC 39-29 (-10),,"GOOD FT by HADLEY,PIERRE",1
00:36,"SUB IN by PULLIAM,GREG",,,,,,,"SUB IN by PULLIAM,GREG",1
00:36,"SUB IN by TISDALE,JOEY",,,,,,,"SUB IN by TISDALE,JOEY",1
00:36,"SUB OUT by MCNALLY,MICAH",,,,,,,"SUB OUT by MCNALLY,MICAH",1
00:36,"SUB OUT by BRUMFIELD,RODNEY",,,,,,,"SUB OUT by BRUMFIELD,RODNEY",1
00:36,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
00:36,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",1
00:36,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
00:36,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
00:05,,39 (+8),,31,"GOOD JUMPER by MERKEL,BRIAN",MC-M 39-31 (-8),,"GOOD JUMPER by MERKEL,BRIAN",1
19:36,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
19:11,,,,,"MISS LAYUP by COOPER,BEN",,,"MISS LAYUP by COOPER,BEN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
19:10,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",2
19:08,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",2
19:08,"MISS FT by BOUNDS,CAMERON",,,,,,,"MISS FT by BOUNDS,CAMERON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
19:08,"GOOD FT by BOUNDS,CAMERON",40 (+9),,31,,MC 40-31 (-9),,"GOOD FT by BOUNDS,CAMERON",2
18:38,"MISS 3PTR by VAUGHAN,CALEB",,,,,,,"MISS 3PTR by VAUGHAN,CALEB",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
18:16,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,"REBOUND DEF by PULLIAM,GREG",,,,,,,"REBOUND DEF by PULLIAM,GREG",2
18:16,"MISS JUMPER by PULLIAM,GREG",,,,,,,"MISS JUMPER by PULLIAM,GREG",2
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",2
17:25,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,,,,,"REBOUND OFF by COOPER,BEN",,,"REBOUND OFF by COOPER,BEN",2
17:22,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",2
17:22,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
17:22,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",2
17:22,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",2
17:13,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",2
--,"REBOUND DEF by PULLIAM,GREG",,,,,,,"REBOUND DEF by PULLIAM,GREG",2
16:59,"GOOD LAYUP by LESTER,KELVIN(in the paint)",42 (+11),,31,,MC 42-31 (-11),,"GOOD LAYUP by LESTER,KELVIN(in the paint)",2
16:37,"FOUL  by BLACK,KEN",,,,,,,"FOUL  by BLACK,KEN",2
16:37,,42 (+10),,32,"GOOD FT by KINNEAR,KYLE",MC-M 42-32 (-10),,"GOOD FT by KINNEAR,KYLE",2
