Time Remaining,MC-M,Away Team Score,Play Team Indicator,Home Team Score,DEPAUW,Game Score,Team Indicator,Play,Period
19:40,,,,,"TURNOVER  by BERGFELD,JOE",,,"TURNOVER  by BERGFELD,JOE",1
19:10,"GOOD JUMPER by SUMLER,LV",2 (+2),,0,,MC-M 2-0 (+2),,"GOOD JUMPER by SUMLER,LV",1
18:58,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",1
18:46,,2,,3 (+1),"GOOD 3PTR by LEMASTERS,STEVE",DEPAUW 2-3 (-1),,"GOOD 3PTR by LEMASTERS,STEVE",1
--,,,,,"ASSIST  by HASELEY,SEAN",,,"ASSIST  by HASELEY,SEAN",1
18:23,"MISS 3PTR by MEADES,TAYLOR",,,,,,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND DEF by BERGFELD,JOE",,,"REBOUND DEF by BERGFELD,JOE",1
18:04,,2,,5 (+3),"GOOD LAYUP by BERGFELD,JOE(in the paint)",DEPAUW 2-5 (-3),,"GOOD LAYUP by BERGFELD,JOE(in the paint)",1
--,,,,,"ASSIST  by SIMPSON,ROSS",,,"ASSIST  by SIMPSON,ROSS",1
17:50,"MISS JUMPER by SUMLER,LV",,,,,,,"MISS JUMPER by SUMLER,LV",1
--,,,,,"REBOUND DEF by SIMPSON,ROSS",,,"REBOUND DEF by SIMPSON,ROSS",1
17:27,,2,,8 (+6),"GOOD 3PTR by HASELEY,SEAN",DEPAUW 2-8 (-6),,"GOOD 3PTR by HASELEY,SEAN",1
--,,,,,"ASSIST  by SIMPSON,ROSS",,,"ASSIST  by SIMPSON,ROSS",1
17:06,"GOOD 3PTR by MEADES,TAYLOR",5,,8 (+3),,MC-M 5-8 (-3),,"GOOD 3PTR by MEADES,TAYLOR",1
--,"ASSIST  by MERKEL,BRIAN",,,,,,,"ASSIST  by MERKEL,BRIAN",1
16:51,"FOUL  by MONTGOMERY,JAYSON",,,,,,,"FOUL  by MONTGOMERY,JAYSON",1
16:32,"FOUL  by MEADES,TAYLOR",,,,,,,"FOUL  by MEADES,TAYLOR",1
16:32,"SUB IN by WHITE,TIM",,,,,,,"SUB IN by WHITE,TIM",1
16:32,"SUB OUT by MEADES,TAYLOR",,,,,,,"SUB OUT by MEADES,TAYLOR",1
