Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
19:56,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
19:32,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",1
19:12,"TURNOVER  by ERVES,MARCUS",,,,,,,"TURNOVER  by ERVES,MARCUS",1
19:10,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",1
19:07,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
19:02,"STEAL  by MCPHERSON,FABIAN",,,,,,,"STEAL  by MCPHERSON,FABIAN",1
18:57,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1
18:48,"GOOD 3PTR by MCPHERSON,FABIAN",3 (+3),,0,,RUST 3-0 (-3),,"GOOD 3PTR by MCPHERSON,FABIAN",1
--,"ASSIST  by CATRON,SERGIO",,,,,,,"ASSIST  by CATRON,SERGIO",1
18:31,,,,,"MISS 3PTR by COOPER,BEN",,,"MISS 3PTR by COOPER,BEN",1
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",1
18:06,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",5 (+5),,0,,RUST 5-0 (-5),,"GOOD LAYUP by MCPHERSON,FABIAN(in the paint)",1
17:55,"FOUL  by WILSON,MARKEITH",,,,,,,"FOUL  by WILSON,MARKEITH",1
17:45,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",1
--,"REBOUND DEF by MCPHERSON,FABIAN",,,,,,,"REBOUND DEF by MCPHERSON,FABIAN",1
17:37,"GOOD LAYUP by ROBERSON,JAMES(in the paint)",7 (+7),,0,,RUST 7-0 (-7),,"GOOD LAYUP by ROBERSON,JAMES(in the paint)",1
