Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
19:34,"MISS JUMPER by MESSENGER,MARK",,,,,,,"MISS JUMPER by MESSENGER,MARK",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
19:26,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",1
19:14,"MISS 3PTR by PRICE,PATRICK",,,,,,,"MISS 3PTR by PRICE,PATRICK",1
--,"REBOUND OFF by MESSENGER,MARK",,,,,,,"REBOUND OFF by MESSENGER,MARK",1
19:06,"GOOD LAYUP by MESSENGER,MARK(in the paint)",2 (+2),,0,,BSC-M 2-0 (-2),,"GOOD LAYUP by MESSENGER,MARK(in the paint)",1
18:37,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
18:34,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",1
18:16,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",1
18:16,"GOOD FT by RICHARDS,ZAC",3 (+3),,0,,BSC-M 3-0 (-3),,"GOOD FT by RICHARDS,ZAC",1
18:16,"GOOD FT by RICHARDS,ZAC",4 (+4),,0,,BSC-M 4-0 (-4),,"GOOD FT by RICHARDS,ZAC",1
18:16,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
18:16,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
18:04,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",1
18:03,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
17:51,"MISS JUMPER by JONUS,JASEN",,,,,,,"MISS JUMPER by JONUS,JASEN",1
--,,,,,"REBOUND DEF by MONTGOMERY,JAYSON",,,"REBOUND DEF by MONTGOMERY,JAYSON",1
17:23,,4 (+1),,3,"GOOD 3PTR by SUMLER,LV",MC-M 4-3 (-1),,"GOOD 3PTR by SUMLER,LV",1
--,,,,,"ASSIST  by MONTGOMERY,JAYSON",,,"ASSIST  by MONTGOMERY,JAYSON",1
17:03,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",1
17:03,"GOOD FT by RICHARDS,ZAC",5 (+2),,3,,BSC-M 5-3 (-2),,"GOOD FT by RICHARDS,ZAC",1
17:03,"GOOD FT by RICHARDS,ZAC",6 (+3),,3,,BSC-M 6-3 (-3),,"GOOD FT by RICHARDS,ZAC",1
17:03,,,,,"SUB IN by LEMIEUX,QUINN",,,"SUB IN by LEMIEUX,QUINN",1
17:03,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",1
16:44,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
16:33,,,,,"MISS 3PTR by LEMIEUX,QUINN",,,"MISS 3PTR by LEMIEUX,QUINN",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
16:24,,,,,"FOUL  by MERKEL,BRIAN",,,"FOUL  by MERKEL,BRIAN",1
16:24,"MISS FT by MESSENGER,MARK",,,,,,,"MISS FT by MESSENGER,MARK",1
16:24,"MISS FT by MESSENGER,MARK",,,,,,,"MISS FT by MESSENGER,MARK",1
--,,,,,"REBOUND DEF by MCLEMORE,JEREMY",,,"REBOUND DEF by MCLEMORE,JEREMY",1
16:24,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
16:24,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",1
16:24,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
16:24,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
16:05,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",1
--,"REBOUND DEF by MESSENGER,MARK",,,,,,,"REBOUND DEF by MESSENGER,MARK",1
15:59,"MISS JUMPER by WHITE,BLAISE",,,,,,,"MISS JUMPER by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",1
15:49,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
15:49,,6 (+2),,4,"GOOD FT by MEADES,TAYLOR",MC-M 6-4 (-2),,"GOOD FT by MEADES,TAYLOR",1
15:49,,6 (+1),,5,"GOOD FT by MEADES,TAYLOR",MC-M 6-5 (-1),,"GOOD FT by MEADES,TAYLOR",1
15:49,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",1
15:49,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
15:49,"SUB IN by LEE,CALEB",,,,,,,"SUB IN by LEE,CALEB",1
15:49,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
15:49,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",1
15:49,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
15:49,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
15:49,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",1
15:49,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",1
15:49,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
15:29,"GOOD 3PTR by KEGARISE,KEVIN",9 (+4),,5,,BSC-M 9-5 (-4),,"GOOD 3PTR by KEGARISE,KEVIN",1
15:17,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
15:17,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
