Time Remaining,AC-M,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
16:45,"GOOD 3PTR by HANCOCK,JORDAN",10 (+5),,5,,AC-M 10-5 (-5),,"GOOD 3PTR by HANCOCK,JORDAN",1
--,"ASSIST  by STRALEY,SCOTT",,,,,,,"ASSIST  by STRALEY,SCOTT",1
16:13,,10 (+3),,7,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",MC-M 10-7 (-3),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",1
--,,,,,"ASSIST  by SUMLER,LV",,,"ASSIST  by SUMLER,LV",1
15:54,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",12 (+5),,7,,AC-M 12-7 (-5),,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",1
15:18,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
15:18,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
15:11,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
15:00,"MISS 3PTR by SAUNDERS,JOSH",,,,,,,"MISS 3PTR by SAUNDERS,JOSH",1
--,,,,,"REBOUND DEF by CORTESE,NICK",,,"REBOUND DEF by CORTESE,NICK",1
14:42,,12 (+3),,9,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MC-M 12-9 (-3),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
14:24,"TURNOVER  by STRALEY,SCOTT",,,,,,,"TURNOVER  by STRALEY,SCOTT",1
14:24,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
14:24,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
14:10,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",1
--,"ASSIST  by STRALEY,SCOTT",,,,,,,"ASSIST  by STRALEY,SCOTT",1
13:52,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
13:52,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
13:52,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",1
13:52,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
13:48,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:41,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",1
13:41,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",1
13:11,"MISS JUMPER by SAUNDERS,JOSH",,,,,,,"MISS JUMPER by SAUNDERS,JOSH",1
--,"REBOUND OFF by STRALEY,SCOTT",,,,,,,"REBOUND OFF by STRALEY,SCOTT",1
13:04,"MISS JUMPER by SAUNDERS,JOSH",,,,,,,"MISS JUMPER by SAUNDERS,JOSH",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
12:52,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",1
--,"REBOUND DEF by STRALEY,SCOTT",,,,,,,"REBOUND DEF by STRALEY,SCOTT",1
12:49,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1
12:49,"SUB IN by MICHAEL,ALEN",,,,,,,"SUB IN by MICHAEL,ALEN",1
12:49,"SUB OUT by STRALEY,SCOTT",,,,,,,"SUB OUT by STRALEY,SCOTT",1
12:30,"TURNOVER  by MICHAEL,ALEN",,,,,,,"TURNOVER  by MICHAEL,ALEN",1
12:19,"FOUL  by PHILLIPS,WALTER",,,,,,,"FOUL  by PHILLIPS,WALTER",1
12:19,,12 (+2),,10,"GOOD FT by WHITE,TIM",MC-M 12-10 (-2),,"GOOD FT by WHITE,TIM",1
12:19,,,,,"MISS FT by WHITE,TIM",,,"MISS FT by WHITE,TIM",1
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",1
12:19,"SUB IN by STRALEY,SCOTT",,,,,,,"SUB IN by STRALEY,SCOTT",1
12:19,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",1
12:13,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
12:13,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
12:13,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
12:04,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",,,"REBOUND OFF by MONTGOMERY,JAYSON",1
11:59,,,,,"MISS LAYUP by MONTGOMERY,JAYSON",,,"MISS LAYUP by MONTGOMERY,JAYSON",1
--,"REBOUND DEF by MICHAEL,ALEN",,,,,,,"REBOUND DEF by MICHAEL,ALEN",1
11:56,"TURNOVER  by MICHAEL,ALEN",,,,,,,"TURNOVER  by MICHAEL,ALEN",1
11:55,,,,,"STEAL  by MONTGOMERY,JAYSON",,,"STEAL  by MONTGOMERY,JAYSON",1
11:55,"FOUL  by MICHAEL,ALEN",,,,,,,"FOUL  by MICHAEL,ALEN",1
11:55,"SUB IN by AUTEN,MARK",,,,,,,"SUB IN by AUTEN,MARK",1
11:55,"SUB OUT by HANCOCK,JORDAN",,,,,,,"SUB OUT by HANCOCK,JORDAN",1
11:36,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
11:35,"STEAL  by OKPALA,RANSOM",,,,,,,"STEAL  by OKPALA,RANSOM",1
11:23,"TURNOVER  by BATTLEY,JUSTIN",,,,,,,"TURNOVER  by BATTLEY,JUSTIN",1
11:22,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
11:19,,12,,12,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",MC-M 12-12 (0),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",1
10:59,,,,,"FOUL  by BROWN,JEFF",,,"FOUL  by BROWN,JEFF",1
10:59,"SUB IN by LAUBACH,BRANDON",,,,,,,"SUB IN by LAUBACH,BRANDON",1
10:59,"SUB IN by HANCOCK,JORDAN",,,,,,,"SUB IN by HANCOCK,JORDAN",1
10:59,"SUB OUT by OKPALA,RANSOM",,,,,,,"SUB OUT by OKPALA,RANSOM",1
10:59,"SUB OUT by MICHAEL,ALEN",,,,,,,"SUB OUT by MICHAEL,ALEN",1
10:59,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
10:59,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
10:57,"GOOD JUMPER by AUTEN,MARK",14 (+2),,12,,AC-M 14-12 (-2),,"GOOD JUMPER by AUTEN,MARK",1
10:28,,14,,14,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",MC-M 14-14 (0),,"GOOD LAYUP by MEADES,TAYLOR(in the paint)",1
10:25,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",1
10:25,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
10:12,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",1
10:12,"SUB IN by DARST,TIM",,,,,,,"SUB IN by DARST,TIM",1
10:12,"SUB OUT by SAUNDERS,JOSH",,,,,,,"SUB OUT by SAUNDERS,JOSH",1
10:12,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
10:12,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
10:12,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
10:12,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
09:54,"GOOD JUMPER by DARST,TIM",16 (+2),,14,,AC-M 16-14 (-2),,"GOOD JUMPER by DARST,TIM",1
--,"ASSIST  by AUTEN,MARK",,,,,,,"ASSIST  by AUTEN,MARK",1
09:23,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",1
--,"REBOUND DEF by STRALEY,SCOTT",,,,,,,"REBOUND DEF by STRALEY,SCOTT",1
09:16,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
08:51,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",1
--,"REBOUND DEF by AUTEN,MARK",,,,,,,"REBOUND DEF by AUTEN,MARK",1
08:37,"MISS LAYUP by HANCOCK,JORDAN",,,,,,,"MISS LAYUP by HANCOCK,JORDAN",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
08:19,,16,,17 (+1),"GOOD 3PTR by WHITE,TIM",MC-M 16-17 (+1),,"GOOD 3PTR by WHITE,TIM",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
08:03,"MISS 3PTR by DARST,TIM",,,,,,,"MISS 3PTR by DARST,TIM",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
07:50,,16,,19 (+3),"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MC-M 16-19 (+3),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",1
07:30,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",1
07:29,,,,,"STEAL  by WHITE,TIM",,,"STEAL  by WHITE,TIM",1
07:20,,16,,21 (+5),"GOOD LAYUP by KINNEAR,KYLE(in the paint)",MC-M 16-21 (+5),,"GOOD LAYUP by KINNEAR,KYLE(in the paint)",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
07:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:19,"SUB IN by SAUNDERS,JOSH",,,,,,,"SUB IN by SAUNDERS,JOSH",1
07:19,"SUB IN by OKPALA,RANSOM",,,,,,,"SUB IN by OKPALA,RANSOM",1
07:19,"SUB OUT by AUTEN,MARK",,,,,,,"SUB OUT by AUTEN,MARK",1
07:19,"SUB OUT by LAUBACH,BRANDON",,,,,,,"SUB OUT by LAUBACH,BRANDON",1
07:07,"MISS JUMPER by STRALEY,SCOTT",,,,,,,"MISS JUMPER by STRALEY,SCOTT",1
--,,,,,"REBOUND DEF by WHITE,TIM",,,"REBOUND DEF by WHITE,TIM",1
06:56,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",1
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",1
06:53,"SUB IN by PHILLIPS,WALTER",,,,,,,"SUB IN by PHILLIPS,WALTER",1
06:53,"SUB OUT by DARST,TIM",,,,,,,"SUB OUT by DARST,TIM",1
06:41,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
06:39,"STEAL  by PHILLIPS,WALTER",,,,,,,"STEAL  by PHILLIPS,WALTER",1
06:35,"GOOD LAYUP by PHILLIPS,WALTER(fastbreak)(in the paint)",18,,21 (+3),,AC-M 18-21 (+3),,"GOOD LAYUP by PHILLIPS,WALTER(fastbreak)(in the paint)",1
06:07,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",1
--,"REBOUND DEF by STRALEY,SCOTT",,,,,,,"REBOUND DEF by STRALEY,SCOTT",1
05:56,"MISS 3PTR by HANCOCK,JORDAN",,,,,,,"MISS 3PTR by HANCOCK,JORDAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:54,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
05:54,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
05:25,,,,,"TURNOVER  by KINNEAR,KYLE",,,"TURNOVER  by KINNEAR,KYLE",1
05:06,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",20,,21 (+1),,AC-M 20-21 (+1),,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",1
04:33,"FOUL  by STRALEY,SCOTT",,,,,,,"FOUL  by STRALEY,SCOTT",1
04:33,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:33,,20,,22 (+2),"GOOD FT by MERKEL,BRIAN",MC-M 20-22 (+2),,"GOOD FT by MERKEL,BRIAN",1
04:33,,,,,"SUB IN by MCLEMORE,JEREMY",,,"SUB IN by MCLEMORE,JEREMY",1
04:33,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
04:17,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",1
04:17,"MISS FT by OKPALA,RANSOM",,,,,,,"MISS FT by OKPALA,RANSOM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:17,"GOOD FT by OKPALA,RANSOM",21,,22 (+1),,AC-M 21-22 (+1),,"GOOD FT by OKPALA,RANSOM",1
04:17,"SUB IN by BREWSTER,AUSTIN",,,,,,,"SUB IN by BREWSTER,AUSTIN",1
04:17,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",1
03:57,"FOUL  by OKPALA,RANSOM",,,,,,,"FOUL  by OKPALA,RANSOM",1
03:54,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,"REBOUND DEF by BREWSTER,AUSTIN",,,,,,,"REBOUND DEF by BREWSTER,AUSTIN",1
03:39,"GOOD JUMPER by STRALEY,SCOTT(in the paint)",23 (+1),,22,,AC-M 23-22 (-1),,"GOOD JUMPER by STRALEY,SCOTT(in the paint)",1
03:07,,,,,"MISS LAYUP by MCLEMORE,JEREMY",,,"MISS LAYUP by MCLEMORE,JEREMY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:06,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:03,,23,,24 (+1),"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 23-24 (+1),,"GOOD LAYUP by SUMLER,LV(in the paint)",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
02:50,"MISS LAYUP by STRALEY,SCOTT",,,,,,,"MISS LAYUP by STRALEY,SCOTT",1
02:50,,,,,"BLOCK  by MCLEMORE,JEREMY",,,"BLOCK  by MCLEMORE,JEREMY",1
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",1
02:18,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",1
01:59,"GOOD JUMPER by BREWSTER,AUSTIN",25 (+1),,24,,AC-M 25-24 (-1),,"GOOD JUMPER by BREWSTER,AUSTIN",1
--,"ASSIST  by SAUNDERS,JOSH",,,,,,,"ASSIST  by SAUNDERS,JOSH",1
01:40,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",1
01:38,"STEAL  by HANCOCK,JORDAN",,,,,,,"STEAL  by HANCOCK,JORDAN",1
01:34,"GOOD 3PTR by OKPALA,RANSOM",28 (+4),,24,,AC-M 28-24 (-4),,"GOOD 3PTR by OKPALA,RANSOM",1
--,"ASSIST  by HANCOCK,JORDAN",,,,,,,"ASSIST  by HANCOCK,JORDAN",1
01:12,,,,,"TURNOVER  by MCLEMORE,JEREMY",,,"TURNOVER  by MCLEMORE,JEREMY",1
01:12,"SUB IN by AUTEN,MARK",,,,,,,"SUB IN by AUTEN,MARK",1
01:12,"SUB OUT by HANCOCK,JORDAN",,,,,,,"SUB OUT by HANCOCK,JORDAN",1
01:12,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
01:12,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
01:12,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
01:12,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
00:55,"GOOD LAYUP by STRALEY,SCOTT(in the paint)",30 (+6),,24,,AC-M 30-24 (-6),,"GOOD LAYUP by STRALEY,SCOTT(in the paint)",1
00:40,,30 (+4),,26,"GOOD JUMPER by MCLEMORE,JEREMY(in the paint)",MC-M 30-26 (-4),,"GOOD JUMPER by MCLEMORE,JEREMY(in the paint)",1
00:23,,,,,"FOUL  by SUMLER,LV",,,"FOUL  by SUMLER,LV",1
00:23,"GOOD FT by SAUNDERS,JOSH",31 (+5),,26,,AC-M 31-26 (-5),,"GOOD FT by SAUNDERS,JOSH",1
00:23,"GOOD FT by SAUNDERS,JOSH",32 (+6),,26,,AC-M 32-26 (-6),,"GOOD FT by SAUNDERS,JOSH",1
00:23,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
00:23,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
00:23,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
00:23,,,,,"SUB OUT by MCLEMORE,JEREMY",,,"SUB OUT by MCLEMORE,JEREMY",1
00:04,,32 (+4),,28,"GOOD JUMPER by MERKEL,BRIAN",MC-M 32-28 (-4),,"GOOD JUMPER by MERKEL,BRIAN",1
19:36,"GOOD JUMPER by SAUNDERS,JOSH(in the paint)",34 (+6),,28,,AC-M 34-28 (-6),,"GOOD JUMPER by SAUNDERS,JOSH(in the paint)",2
19:11,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",2
19:05,,,,,"MISS JUMPER by WHITE,TIM",,,"MISS JUMPER by WHITE,TIM",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
18:51,"MISS 3PTR by PHILLIPS,WALTER",,,,,,,"MISS 3PTR by PHILLIPS,WALTER",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
18:42,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",2
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",2
18:22,"GOOD 3PTR by HANCOCK,JORDAN",37 (+9),,28,,AC-M 37-28 (-9),,"GOOD 3PTR by HANCOCK,JORDAN",2
18:09,"FOUL  by SAUNDERS,JOSH",,,,,,,"FOUL  by SAUNDERS,JOSH",2
18:09,,37 (+8),,29,"GOOD FT by CORTESE,NICK",MC-M 37-29 (-8),,"GOOD FT by CORTESE,NICK",2
18:09,,37 (+7),,30,"GOOD FT by CORTESE,NICK",MC-M 37-30 (-7),,"GOOD FT by CORTESE,NICK",2
17:43,"GOOD 3PTR by OKPALA,RANSOM",40 (+10),,30,,AC-M 40-30 (-10),,"GOOD 3PTR by OKPALA,RANSOM",2
17:24,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",2
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",2
17:17,"MISS 3PTR by HANCOCK,JORDAN",,,,,,,"MISS 3PTR by HANCOCK,JORDAN",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
17:03,,,,,"MISS JUMPER by KINNEAR,KYLE",,,"MISS JUMPER by KINNEAR,KYLE",2
--,"REBOUND DEF by SAUNDERS,JOSH",,,,,,,"REBOUND DEF by SAUNDERS,JOSH",2
16:44,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",42 (+12),,30,,AC-M 42-30 (-12),,"GOOD LAYUP by PHILLIPS,WALTER(in the paint)",2
16:44,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",2
16:44,"GOOD FT by PHILLIPS,WALTER",43 (+13),,30,,AC-M 43-30 (-13),,"GOOD FT by PHILLIPS,WALTER",2
16:44,"SUB IN by BREWSTER,AUSTIN",,,,,,,"SUB IN by BREWSTER,AUSTIN",2
16:44,"SUB OUT by SAUNDERS,JOSH",,,,,,,"SUB OUT by SAUNDERS,JOSH",2
16:44,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
16:44,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",2
16:35,,43 (+11),,32,"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",MC-M 43-32 (-11),,"GOOD LAYUP by MONTGOMERY,JAYSON(in the paint)",2
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",2
16:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
16:21,"TURNOVER  by HANCOCK,JORDAN",,,,,,,"TURNOVER  by HANCOCK,JORDAN",2
16:18,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",2
16:08,"FOUL  by OKPALA,RANSOM",,,,,,,"FOUL  by OKPALA,RANSOM",2
16:08,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",2
16:08,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
16:06,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",2
16:01,,,,,"MISS 3PTR by MERKEL,BRIAN",,,"MISS 3PTR by MERKEL,BRIAN",2
--,"REBOUND DEF by STRALEY,SCOTT",,,,,,,"REBOUND DEF by STRALEY,SCOTT",2
15:52,"MISS LAYUP by HANCOCK,JORDAN",,,,,,,"MISS LAYUP by HANCOCK,JORDAN",2
--,"REBOUND OFF by HANCOCK,JORDAN",,,,,,,"REBOUND OFF by HANCOCK,JORDAN",2
15:51,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",45 (+13),,32,,AC-M 45-32 (-13),,"GOOD LAYUP by HANCOCK,JORDAN(in the paint)",2
15:51,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",2
15:51,"GOOD FT by HANCOCK,JORDAN",46 (+14),,32,,AC-M 46-32 (-14),,"GOOD FT by HANCOCK,JORDAN",2
15:51,"SUB IN by LAUBACH,BRANDON",,,,,,,"SUB IN by LAUBACH,BRANDON",2
15:51,"SUB OUT by PHILLIPS,WALTER",,,,,,,"SUB OUT by PHILLIPS,WALTER",2
15:51,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
15:51,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",2
15:46,"FOUL  by HANCOCK,JORDAN",,,,,,,"FOUL  by HANCOCK,JORDAN",2
15:25,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
15:12,"FOUL  by LAUBACH,BRANDON",,,,,,,"FOUL  by LAUBACH,BRANDON",2
15:12,"TURNOVER  by LAUBACH,BRANDON",,,,,,,"TURNOVER  by LAUBACH,BRANDON",2
14:39,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
14:39,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
14:25,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",2
14:25,"GOOD FT by HANCOCK,JORDAN",47 (+15),,32,,AC-M 47-32 (-15),,"GOOD FT by HANCOCK,JORDAN",2
14:25,"GOOD FT by HANCOCK,JORDAN",48 (+16),,32,,AC-M 48-32 (-16),,"GOOD FT by HANCOCK,JORDAN",2
14:25,"GOOD FT by HANCOCK,JORDAN",49 (+17),,32,,AC-M 49-32 (-17),,"GOOD FT by HANCOCK,JORDAN",2
14:08,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
