Time Remaining,COV-M,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
19:37,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",1
--,"REBOUND OFF by LAKEY,ZAROME",,,,,,,"REBOUND OFF by LAKEY,ZAROME",1
19:28,"MISS LAYUP by SEARS,CALLUM",,,,,,,"MISS LAYUP by SEARS,CALLUM",1
--,"REBOUND OFF by LAKEY,ZAROME",,,,,,,"REBOUND OFF by LAKEY,ZAROME",1
19:23,"GOOD JUMPER by LAKEY,ZAROME(in the paint)",2 (+2),,0,,COV-M 2-0 (-2),,"GOOD JUMPER by LAKEY,ZAROME(in the paint)",1
19:13,,,,,"MISS LAYUP by MEADES,TAYLOR",,,"MISS LAYUP by MEADES,TAYLOR",1
--,"REBOUND DEF by DEVRIES,JON",,,,,,,"REBOUND DEF by DEVRIES,JON",1
19:06,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",1
19:06,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
19:06,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
19:00,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
18:41,"FOUL  by DEVRIES,JON",,,,,,,"FOUL  by DEVRIES,JON",1
18:33,,,,,"TURNOVER  by WHITE,TIM",,,"TURNOVER  by WHITE,TIM",1
18:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
18:09,"MISS JUMPER by DEVRIES,JON",,,,,,,"MISS JUMPER by DEVRIES,JON",1
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",1
18:07,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
18:07,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
17:40,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",1
--,"REBOUND OFF by DANEK,JOEY",,,,,,,"REBOUND OFF by DANEK,JOEY",1
17:23,"GOOD JUMPER by DANEK,JOEY(in the paint)",4 (+4),,0,,COV-M 4-0 (-4),,"GOOD JUMPER by DANEK,JOEY(in the paint)",1
--,"ASSIST  by MCGAUGHEY,DOMINIQUE",,,,,,,"ASSIST  by MCGAUGHEY,DOMINIQUE",1
17:06,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",1
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",1
17:03,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",1
16:48,"FOUL  by DANEK,JOEY",,,,,,,"FOUL  by DANEK,JOEY",1
16:48,"SUB IN by DAHMS,LOGAN",,,,,,,"SUB IN by DAHMS,LOGAN",1
16:48,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",1
16:48,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
16:48,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
16:48,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
16:48,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",1
16:31,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",1
--,,,,,"REBOUND OFF by MONTGOMERY,JAYSON",,,"REBOUND OFF by MONTGOMERY,JAYSON",1
16:29,,,,,"MISS JUMPER by MONTGOMERY,JAYSON",,,"MISS JUMPER by MONTGOMERY,JAYSON",1
--,"REBOUND DEF by DEVRIES,JON",,,,,,,"REBOUND DEF by DEVRIES,JON",1
16:02,"GOOD JUMPER by DANEK,JOEY",6 (+6),,0,,COV-M 6-0 (-6),,"GOOD JUMPER by DANEK,JOEY",1
15:47,,6 (+4),,2,"GOOD JUMPER by SUMLER,LV",MC-M 6-2 (-4),,"GOOD JUMPER by SUMLER,LV",1
15:45,"FOUL  by MCGAUGHEY,DOMINIQUE",,,,,,,"FOUL  by MCGAUGHEY,DOMINIQUE",1
15:45,,,,,"MISS FT by SUMLER,LV",,,"MISS FT by SUMLER,LV",1
--,,,,,"REBOUND OFF by SUMLER,LV",,,"REBOUND OFF by SUMLER,LV",1
15:45,"SUB IN by FOSTER,CHASE",,,,,,,"SUB IN by FOSTER,CHASE",1
15:45,"SUB IN by JOHNSON,STEPHEN",,,,,,,"SUB IN by JOHNSON,STEPHEN",1
15:45,"SUB IN by WERKEMA,PAUL",,,,,,,"SUB IN by WERKEMA,PAUL",1
15:45,"SUB OUT by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB OUT by MCGAUGHEY,DOMINIQUE",1
15:45,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",1
15:45,"SUB OUT by DANEK,JOEY",,,,,,,"SUB OUT by DANEK,JOEY",1
15:45,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
15:45,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
15:43,,6 (+2),,4,"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 6-4 (-2),,"GOOD LAYUP by SUMLER,LV(in the paint)",1
15:42,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:18,"MISS LAYUP by LAKEY,ZAROME",,,,,,,"MISS LAYUP by LAKEY,ZAROME",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
14:57,"FOUL  by WERKEMA,PAUL",,,,,,,"FOUL  by WERKEMA,PAUL",1
14:57,,6 (+1),,5,"GOOD FT by KINNEAR,KYLE",MC-M 6-5 (-1),,"GOOD FT by KINNEAR,KYLE",1
14:57,,6,,6,"GOOD FT by KINNEAR,KYLE",MC-M 6-6 (0),,"GOOD FT by KINNEAR,KYLE",1
14:57,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
14:57,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
14:44,"GOOD JUMPER by DAHMS,LOGAN",8 (+2),,6,,COV-M 8-6 (-2),,"GOOD JUMPER by DAHMS,LOGAN",1
14:28,,8,,8,"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 8-8 (0),,"GOOD LAYUP by SUMLER,LV(in the paint)",1
--,,,,,"ASSIST  by KINNEAR,KYLE",,,"ASSIST  by KINNEAR,KYLE",1
14:02,"TURNOVER  by LAKEY,ZAROME",,,,,,,"TURNOVER  by LAKEY,ZAROME",1
14:02,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",1
14:02,"SUB OUT by LAKEY,ZAROME",,,,,,,"SUB OUT by LAKEY,ZAROME",1
14:02,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
14:02,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
13:50,,8,,10 (+2),"GOOD JUMPER by SUMLER,LV",MC-M 8-10 (+2),,"GOOD JUMPER by SUMLER,LV",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
13:30,"GOOD LAYUP by DAHMS,LOGAN(in the paint)",10,,10,,COV-M 10-10 (0),,"GOOD LAYUP by DAHMS,LOGAN(in the paint)",1
13:12,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by KINNEAR,KYLE",,,"REBOUND OFF by KINNEAR,KYLE",1
13:09,,10,,12 (+2),"GOOD JUMPER by KINNEAR,KYLE(in the paint)",MC-M 10-12 (+2),,"GOOD JUMPER by KINNEAR,KYLE(in the paint)",1
12:44,"TURNOVER  by WERKEMA,PAUL",,,,,,,"TURNOVER  by WERKEMA,PAUL",1
12:44,"SUB IN by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB IN by MCGAUGHEY,DOMINIQUE",1
12:44,"SUB IN by DEVRIES,JON",,,,,,,"SUB IN by DEVRIES,JON",1
12:44,"SUB IN by DANEK,JOEY",,,,,,,"SUB IN by DANEK,JOEY",1
12:44,"SUB OUT by FOSTER,CHASE",,,,,,,"SUB OUT by FOSTER,CHASE",1
12:44,"SUB OUT by JOHNSON,STEPHEN",,,,,,,"SUB OUT by JOHNSON,STEPHEN",1
12:44,"SUB OUT by WERKEMA,PAUL",,,,,,,"SUB OUT by WERKEMA,PAUL",1
12:24,"FOUL  by MCGAUGHEY,DOMINIQUE",,,,,,,"FOUL  by MCGAUGHEY,DOMINIQUE",1
12:05,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",1
--,"REBOUND DEF by SEARS,CALLUM",,,,,,,"REBOUND DEF by SEARS,CALLUM",1
11:45,"TURNOVER  by SEARS,CALLUM",,,,,,,"TURNOVER  by SEARS,CALLUM",1
11:32,,10,,14 (+4),"GOOD JUMPER by SUMLER,LV",MC-M 10-14 (+4),,"GOOD JUMPER by SUMLER,LV",1
11:14,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",1
11:14,"SUB IN by LAKEY,ZAROME",,,,,,,"SUB IN by LAKEY,ZAROME",1
11:14,"SUB OUT by DAHMS,LOGAN",,,,,,,"SUB OUT by DAHMS,LOGAN",1
11:07,"MISS JUMPER by SEARS,CALLUM",,,,,,,"MISS JUMPER by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
10:58,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by LAKEY,ZAROME",,,,,,,"REBOUND DEF by LAKEY,ZAROME",1
10:41,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
10:41,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
10:41,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
10:41,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",1
10:23,"MISS LAYUP by LAKEY,ZAROME",,,,,,,"MISS LAYUP by LAKEY,ZAROME",1
--,,,,,"REBOUND DEF by KINNEAR,KYLE",,,"REBOUND DEF by KINNEAR,KYLE",1
10:00,"FOUL  by SEARS,CALLUM",,,,,,,"FOUL  by SEARS,CALLUM",1
10:00,,,,,"MISS FT by BROWN,JEFF",,,"MISS FT by BROWN,JEFF",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:00,,10,,15 (+5),"GOOD FT by BROWN,JEFF",MC-M 10-15 (+5),,"GOOD FT by BROWN,JEFF",1
09:42,"MISS JUMPER by DANEK,JOEY",,,,,,,"MISS JUMPER by DANEK,JOEY",1
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",1
09:25,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
09:24,"STEAL  by MCGAUGHEY,DOMINIQUE",,,,,,,"STEAL  by MCGAUGHEY,DOMINIQUE",1
09:20,"TURNOVER  by DANEK,JOEY",,,,,,,"TURNOVER  by DANEK,JOEY",1
09:20,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",1
09:20,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
09:05,,,,,"TURNOVER  by COOPER,BEN",,,"TURNOVER  by COOPER,BEN",1
09:04,"STEAL  by DEVRIES,JON",,,,,,,"STEAL  by DEVRIES,JON",1
09:00,"GOOD JUMPER by DEVRIES,JON",12,,15 (+3),,COV-M 12-15 (+3),,"GOOD JUMPER by DEVRIES,JON",1
08:46,,,,,"TURNOVER  by BROWN,JEFF",,,"TURNOVER  by BROWN,JEFF",1
08:46,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",1
08:46,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",1
08:19,"GOOD JUMPER by DANEK,JOEY",14,,15 (+1),,COV-M 14-15 (+1),,"GOOD JUMPER by DANEK,JOEY",1
07:54,,,,,"MISS JUMPER by CORTESE,NICK",,,"MISS JUMPER by CORTESE,NICK",1
--,"REBOUND DEF by DANEK,JOEY",,,,,,,"REBOUND DEF by DANEK,JOEY",1
07:43,"TURNOVER  by MCGAUGHEY,DOMINIQUE",,,,,,,"TURNOVER  by MCGAUGHEY,DOMINIQUE",1
07:43,"SUB IN by FOSTER,CHASE",,,,,,,"SUB IN by FOSTER,CHASE",1
07:43,"SUB OUT by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB OUT by MCGAUGHEY,DOMINIQUE",1
07:43,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
07:43,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",1
07:27,,,,,"TURNOVER  by BROWN,JEFF",,,"TURNOVER  by BROWN,JEFF",1
07:25,"STEAL  by LAKEY,ZAROME",,,,,,,"STEAL  by LAKEY,ZAROME",1
07:24,"TURNOVER  by LAKEY,ZAROME",,,,,,,"TURNOVER  by LAKEY,ZAROME",1
07:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:05,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",1
07:01,"FOUL  by DEVRIES,JON",,,,,,,"FOUL  by DEVRIES,JON",1
07:01,,,,,"MISS FT by CORTESE,NICK",,,"MISS FT by CORTESE,NICK",1
--,"REBOUND DEF by DANEK,JOEY",,,,,,,"REBOUND DEF by DANEK,JOEY",1
07:01,"SUB IN by WERKEMA,PAUL",,,,,,,"SUB IN by WERKEMA,PAUL",1
07:01,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",1
07:01,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",1
07:01,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
06:41,"MISS 3PTR by MUTCHERSON,ROSBIE",,,,,,,"MISS 3PTR by MUTCHERSON,ROSBIE",1
--,,,,,"REBOUND DEF by MERKEL,BRIAN",,,"REBOUND DEF by MERKEL,BRIAN",1
06:38,"FOUL  by LAKEY,ZAROME",,,,,,,"FOUL  by LAKEY,ZAROME",1
06:38,,,,,"MISS FT by MERKEL,BRIAN",,,"MISS FT by MERKEL,BRIAN",1
--,"REBOUND DEF by FOSTER,CHASE",,,,,,,"REBOUND DEF by FOSTER,CHASE",1
06:38,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",1
06:38,"SUB IN by JOHNSON,STEPHEN",,,,,,,"SUB IN by JOHNSON,STEPHEN",1
06:38,"SUB OUT by DANEK,JOEY",,,,,,,"SUB OUT by DANEK,JOEY",1
06:38,"SUB OUT by LAKEY,ZAROME",,,,,,,"SUB OUT by LAKEY,ZAROME",1
06:36,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",1
