Time Remaining,SUM,Away Team Score,Play Team Indicator,Home Team Score,MC-M,Game Score,Team Indicator,Play,Period
15:08,"SUB IN by RYAN,SCOTT",,,,,,,"SUB IN by RYAN,SCOTT",1
15:08,"SUB OUT by HANLEY,ROBBIE",,,,,,,"SUB OUT by HANLEY,ROBBIE",1
15:08,"SUB OUT by CANTU,MICHAEL",,,,,,,"SUB OUT by CANTU,MICHAEL",1
15:08,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
15:08,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
15:01,"GOOD 3PTR by CAPUTO,NICK",9,,11 (+2),,SUM 9-11 (+2),,"GOOD 3PTR by CAPUTO,NICK",1
--,"ASSIST  by MATAYA,DANIEL",,,,,,,"ASSIST  by MATAYA,DANIEL",1
14:39,,9,,14 (+5),"GOOD 3PTR by CORTESE,NICK",MC-M 9-14 (+5),,"GOOD 3PTR by CORTESE,NICK",1
--,,,,,"ASSIST  by WHITE,TIM",,,"ASSIST  by WHITE,TIM",1
14:24,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",11,,14 (+3),,SUM 11-14 (+3),,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",1
--,"ASSIST  by CAPUTO,NICK",,,,,,,"ASSIST  by CAPUTO,NICK",1
13:54,,11,,17 (+6),"GOOD 3PTR by SUMLER,LV",MC-M 11-17 (+6),,"GOOD 3PTR by SUMLER,LV",1
--,,,,,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1
13:37,"FOUL  by MATAYA,DANIEL",,,,,,,"FOUL  by MATAYA,DANIEL",1
13:37,"TURNOVER  by MATAYA,DANIEL",,,,,,,"TURNOVER  by MATAYA,DANIEL",1
13:37,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
13:37,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
13:14,,,,,"FOUL  by MONTGOMERY,JAYSON",,,"FOUL  by MONTGOMERY,JAYSON",1
13:14,,,,,"TURNOVER  by MONTGOMERY,JAYSON",,,"TURNOVER  by MONTGOMERY,JAYSON",1
13:14,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",1
13:14,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
13:03,"MISS JUMPER by CAPUTO,NICK",,,,,,,"MISS JUMPER by CAPUTO,NICK",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
12:54,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",1
12:46,,,,,"MISS JUMPER by SUMLER,LV",,,"MISS JUMPER by SUMLER,LV",1
--,"REBOUND DEF by RYAN,SCOTT",,,,,,,"REBOUND DEF by RYAN,SCOTT",1
12:34,"TURNOVER  by DAVENPORT,JAMES",,,,,,,"TURNOVER  by DAVENPORT,JAMES",1
12:33,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",1
12:30,,11,,19 (+8),"GOOD DUNK by SUMLER,LV(in the paint)",MC-M 11-19 (+8),,"GOOD DUNK by SUMLER,LV(in the paint)",1
12:12,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
12:10,,,,,"STEAL  by SUMLER,LV",,,"STEAL  by SUMLER,LV",1
12:02,,,,,"MISS LAYUP by CORTESE,NICK",,,"MISS LAYUP by CORTESE,NICK",1
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",1
11:57,,11,,21 (+10),"GOOD LAYUP by WHITE,TIM(in the paint)",MC-M 11-21 (+10),,"GOOD LAYUP by WHITE,TIM(in the paint)",1
11:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:56,"SUB IN by HANLEY,ROBBIE",,,,,,,"SUB IN by HANLEY,ROBBIE",1
11:56,"SUB IN by SPEARMAN,DEMETRICE",,,,,,,"SUB IN by SPEARMAN,DEMETRICE",1
11:56,"SUB OUT by CAPUTO,NICK",,,,,,,"SUB OUT by CAPUTO,NICK",1
11:56,"SUB OUT by MATAYA,DANIEL",,,,,,,"SUB OUT by MATAYA,DANIEL",1
11:56,,,,,"SUB IN by BROWN,JEFF",,,"SUB IN by BROWN,JEFF",1
11:56,,,,,"SUB OUT by SUMLER,LV",,,"SUB OUT by SUMLER,LV",1
11:43,"GOOD JUMPER by HURLEY,LOGAN",13,,21 (+8),,SUM 13-21 (+8),,"GOOD JUMPER by HURLEY,LOGAN",1
11:20,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",1
--,"REBOUND DEF by HURLEY,LOGAN",,,,,,,"REBOUND DEF by HURLEY,LOGAN",1
11:07,"MISS 3PTR by SPEARMAN,DEMETRICE",,,,,,,"MISS 3PTR by SPEARMAN,DEMETRICE",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
11:05,"FOUL  by RYAN,SCOTT",,,,,,,"FOUL  by RYAN,SCOTT",1
11:05,,,,,"SUB IN by KINNEAR,KYLE",,,"SUB IN by KINNEAR,KYLE",1
11:05,,,,,"SUB IN by MEADES,TAYLOR",,,"SUB IN by MEADES,TAYLOR",1
11:05,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",1
11:05,,,,,"SUB OUT by WHITE,TIM",,,"SUB OUT by WHITE,TIM",1
10:54,,,,,"TURNOVER  by CORTESE,NICK",,,"TURNOVER  by CORTESE,NICK",1
10:53,"STEAL  by HANLEY,ROBBIE",,,,,,,"STEAL  by HANLEY,ROBBIE",1
10:49,"TURNOVER  by HANLEY,ROBBIE",,,,,,,"TURNOVER  by HANLEY,ROBBIE",1
10:46,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",1
10:20,"FOUL  by HURLEY,LOGAN",,,,,,,"FOUL  by HURLEY,LOGAN",1
10:20,,13,,22 (+9),"GOOD FT by GILLIGAN,TULLY",MC-M 13-22 (+9),,"GOOD FT by GILLIGAN,TULLY",1
10:20,,13,,23 (+10),"GOOD FT by GILLIGAN,TULLY",MC-M 13-23 (+10),,"GOOD FT by GILLIGAN,TULLY",1
10:20,"SUB IN by CAPUTO,NICK",,,,,,,"SUB IN by CAPUTO,NICK",1
10:20,"SUB IN by CANTU,MICHAEL",,,,,,,"SUB IN by CANTU,MICHAEL",1
10:20,"SUB OUT by KOCHER,CHASE",,,,,,,"SUB OUT by KOCHER,CHASE",1
10:20,"SUB OUT by RYAN,SCOTT",,,,,,,"SUB OUT by RYAN,SCOTT",1
10:20,,,,,"SUB IN by MERKEL,BRIAN",,,"SUB IN by MERKEL,BRIAN",1
10:20,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
10:10,"GOOD JUMPER by HURLEY,LOGAN",15,,23 (+8),,SUM 15-23 (+8),,"GOOD JUMPER by HURLEY,LOGAN",1
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",1
10:10,"MISS FT by HURLEY,LOGAN",,,,,,,"MISS FT by HURLEY,LOGAN",1
--,,,,,"REBOUND DEF by BROWN,JEFF",,,"REBOUND DEF by BROWN,JEFF",1
10:02,,,,,"FOUL  by CORTESE,NICK",,,"FOUL  by CORTESE,NICK",1
09:47,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,,,,,"REBOUND OFF by BROWN,JEFF",,,"REBOUND OFF by BROWN,JEFF",1
09:43,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",1
--,"REBOUND DEF by HURLEY,LOGAN",,,,,,,"REBOUND DEF by HURLEY,LOGAN",1
09:29,"GOOD LAYUP by HANLEY,ROBBIE(in the paint)",17,,23 (+6),,SUM 17-23 (+6),,"GOOD LAYUP by HANLEY,ROBBIE(in the paint)",1
--,"ASSIST  by CANTU,MICHAEL",,,,,,,"ASSIST  by CANTU,MICHAEL",1
09:00,,17,,26 (+9),"GOOD 3PTR by MEADES,TAYLOR",MC-M 17-26 (+9),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by KINNEAR,KYLE",,,"ASSIST  by KINNEAR,KYLE",1
08:44,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",1
08:44,"GOOD FT by HURLEY,LOGAN",18,,26 (+8),,SUM 18-26 (+8),,"GOOD FT by HURLEY,LOGAN",1
08:44,"GOOD FT by HURLEY,LOGAN",19,,26 (+7),,SUM 19-26 (+7),,"GOOD FT by HURLEY,LOGAN",1
08:44,,,,,"SUB IN by SUMLER,LV",,,"SUB IN by SUMLER,LV",1
08:44,,,,,"SUB OUT by BROWN,JEFF",,,"SUB OUT by BROWN,JEFF",1
08:21,,,,,"TURNOVER  by SUMLER,LV",,,"TURNOVER  by SUMLER,LV",1
08:20,"STEAL  by CANTU,MICHAEL",,,,,,,"STEAL  by CANTU,MICHAEL",1
08:17,"MISS LAYUP by HANLEY,ROBBIE",,,,,,,"MISS LAYUP by HANLEY,ROBBIE",1
--,"REBOUND OFF by HANLEY,ROBBIE",,,,,,,"REBOUND OFF by HANLEY,ROBBIE",1
08:12,"GOOD TIPIN by HANLEY,ROBBIE(in the paint)",21,,26 (+5),,SUM 21-26 (+5),,"GOOD TIPIN by HANLEY,ROBBIE(in the paint)",1
08:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
07:41,,21,,28 (+7),"GOOD LAYUP by MERKEL,BRIAN(in the paint)",MC-M 21-28 (+7),,"GOOD LAYUP by MERKEL,BRIAN(in the paint)",1
07:27,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",23,,28 (+5),,SUM 23-28 (+5),,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",1
07:26,,,,,"FOUL  by KINNEAR,KYLE",,,"FOUL  by KINNEAR,KYLE",1
07:26,"GOOD FT by HURLEY,LOGAN",24,,28 (+4),,SUM 24-28 (+4),,"GOOD FT by HURLEY,LOGAN",1
07:26,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",1
07:26,,,,,"SUB OUT by KINNEAR,KYLE",,,"SUB OUT by KINNEAR,KYLE",1
06:56,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",1
--,"REBOUND DEF by HURLEY,LOGAN",,,,,,,"REBOUND DEF by HURLEY,LOGAN",1
06:36,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",26,,28 (+2),,SUM 26-28 (+2),,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",1
--,"ASSIST  by CAPUTO,NICK",,,,,,,"ASSIST  by CAPUTO,NICK",1
06:04,,26,,31 (+5),"GOOD 3PTR by MEADES,TAYLOR",MC-M 26-31 (+5),,"GOOD 3PTR by MEADES,TAYLOR",1
--,,,,,"ASSIST  by SUMLER,LV",,,"ASSIST  by SUMLER,LV",1
05:47,"SUB IN by MATAYA,DANIEL",,,,,,,"SUB IN by MATAYA,DANIEL",1
05:47,"SUB OUT by SPEARMAN,DEMETRICE",,,,,,,"SUB OUT by SPEARMAN,DEMETRICE",1
05:34,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",28,,31 (+3),,SUM 28-31 (+3),,"GOOD LAYUP by HURLEY,LOGAN(in the paint)",1
05:04,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",1
--,"REBOUND DEF by HANLEY,ROBBIE",,,,,,,"REBOUND DEF by HANLEY,ROBBIE",1
04:50,"TURNOVER  by MATAYA,DANIEL",,,,,,,"TURNOVER  by MATAYA,DANIEL",1
04:50,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",1
04:50,,,,,"SUB IN by COOPER,BEN",,,"SUB IN by COOPER,BEN",1
04:50,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",1
04:50,,,,,"SUB OUT by MONTGOMERY,JAYSON",,,"SUB OUT by MONTGOMERY,JAYSON",1
04:20,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:54,"MISS LAYUP by CANTU,MICHAEL",,,,,,,"MISS LAYUP by CANTU,MICHAEL",1
03:54,,,,,"BLOCK  by COOPER,BEN",,,"BLOCK  by COOPER,BEN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:42,"MISS JUMPER by CAPUTO,NICK",,,,,,,"MISS JUMPER by CAPUTO,NICK",1
03:42,,,,,"BLOCK  by SUMLER,LV",,,"BLOCK  by SUMLER,LV",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
03:26,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:22,"SUB IN by RYAN,SCOTT",,,,,,,"SUB IN by RYAN,SCOTT",1
03:22,"SUB OUT by MATAYA,DANIEL",,,,,,,"SUB OUT by MATAYA,DANIEL",1
03:22,,,,,"SUB IN by CORTESE,NICK",,,"SUB IN by CORTESE,NICK",1
03:22,,,,,"SUB OUT by MEADES,TAYLOR",,,"SUB OUT by MEADES,TAYLOR",1
03:07,"GOOD 3PTR by CAPUTO,NICK",31,,31,,SUM 31-31 (0),,"GOOD 3PTR by CAPUTO,NICK",1
02:43,,,,,"MISS LAYUP by COOPER,BEN",,,"MISS LAYUP by COOPER,BEN",1
--,,,,,"REBOUND OFF by COOPER,BEN",,,"REBOUND OFF by COOPER,BEN",1
02:40,,31,,33 (+2),"GOOD LAYUP by COOPER,BEN(in the paint)",MC-M 31-33 (+2),,"GOOD LAYUP by COOPER,BEN(in the paint)",1
02:30,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",1
02:29,"MISS FT by CANTU,MICHAEL",,,,,,,"MISS FT by CANTU,MICHAEL",1
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",1
01:55,,,,,"MISS 3PTR by WHITE,TIM",,,"MISS 3PTR by WHITE,TIM",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:53,"SUB IN by DAVENPORT,JAMES",,,,,,,"SUB IN by DAVENPORT,JAMES",1
01:53,"SUB OUT by HURLEY,LOGAN",,,,,,,"SUB OUT by HURLEY,LOGAN",1
01:53,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
01:53,,,,,"SUB OUT by MERKEL,BRIAN",,,"SUB OUT by MERKEL,BRIAN",1
01:40,,,,,"FOUL  by WHITE,TIM",,,"FOUL  by WHITE,TIM",1
01:40,"GOOD FT by CAPUTO,NICK",32,,33 (+1),,SUM 32-33 (+1),,"GOOD FT by CAPUTO,NICK",1
01:40,"GOOD FT by CAPUTO,NICK",33,,33,,SUM 33-33 (0),,"GOOD FT by CAPUTO,NICK",1
01:40,"SUB IN by KOCHER,CHASE",,,,,,,"SUB IN by KOCHER,CHASE",1
01:40,"SUB OUT by CANTU,MICHAEL",,,,,,,"SUB OUT by CANTU,MICHAEL",1
01:25,,33,,35 (+2),"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 33-35 (+2),,"GOOD LAYUP by SUMLER,LV(in the paint)",1
--,,,,,"ASSIST  by CORTESE,NICK",,,"ASSIST  by CORTESE,NICK",1
01:04,"MISS LAYUP by DAVENPORT,JAMES",,,,,,,"MISS LAYUP by DAVENPORT,JAMES",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
01:02,"FOUL  by DAVENPORT,JAMES",,,,,,,"FOUL  by DAVENPORT,JAMES",1
00:37,,,,,"MISS 3PTR by SUMLER,LV",,,"MISS 3PTR by SUMLER,LV",1
--,,,,,"REBOUND OFF by WHITE,TIM",,,"REBOUND OFF by WHITE,TIM",1
00:30,"FOUL  by KOCHER,CHASE",,,,,,,"FOUL  by KOCHER,CHASE",1
00:29,,33,,36 (+3),"GOOD FT by COOPER,BEN",MC-M 33-36 (+3),,"GOOD FT by COOPER,BEN",1
00:29,,33,,37 (+4),"GOOD FT by COOPER,BEN",MC-M 33-37 (+4),,"GOOD FT by COOPER,BEN",1
00:15,"TURNOVER  by CAPUTO,NICK",,,,,,,"TURNOVER  by CAPUTO,NICK",1
00:13,,,,,"STEAL  by GILLIGAN,TULLY",,,"STEAL  by GILLIGAN,TULLY",1
00:10,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,,,,,"REBOUND OFF by GILLIGAN,TULLY",,,"REBOUND OFF by GILLIGAN,TULLY",1
00:03,,33,,40 (+7),"GOOD 3PTR by WHITE,TIM",MC-M 33-40 (+7),,"GOOD 3PTR by WHITE,TIM",1
--,,,,,"ASSIST  by SUMLER,LV",,,"ASSIST  by SUMLER,LV",1
19:48,,33,,42 (+9),"GOOD JUMPER by CORTESE,NICK(in the paint)",MC-M 33-42 (+9),,"GOOD JUMPER by CORTESE,NICK(in the paint)",2
19:33,"MISS JUMPER by HURLEY,LOGAN",,,,,,,"MISS JUMPER by HURLEY,LOGAN",2
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",2
19:01,,33,,44 (+11),"GOOD JUMPER by SUMLER,LV(in the paint)",MC-M 33-44 (+11),,"GOOD JUMPER by SUMLER,LV(in the paint)",2
--,,,,,"ASSIST  by COOPER,BEN",,,"ASSIST  by COOPER,BEN",2
18:37,,,,,"FOUL  by MEADES,TAYLOR",,,"FOUL  by MEADES,TAYLOR",2
18:34,"GOOD JUMPER by HANLEY,ROBBIE",35,,44 (+9),,SUM 35-44 (+9),,"GOOD JUMPER by HANLEY,ROBBIE",2
18:19,,,,,"MISS JUMPER by MEADES,TAYLOR",,,"MISS JUMPER by MEADES,TAYLOR",2
--,,,,,"REBOUND OFF by MEADES,TAYLOR",,,"REBOUND OFF by MEADES,TAYLOR",2
18:18,"FOUL  by HANLEY,ROBBIE",,,,,,,"FOUL  by HANLEY,ROBBIE",2
18:12,"FOUL  by MATAYA,DANIEL",,,,,,,"FOUL  by MATAYA,DANIEL",2
18:12,,35,,45 (+10),"GOOD FT by CORTESE,NICK",MC-M 35-45 (+10),,"GOOD FT by CORTESE,NICK",2
18:12,,35,,46 (+11),"GOOD FT by CORTESE,NICK",MC-M 35-46 (+11),,"GOOD FT by CORTESE,NICK",2
18:00,"MISS 3PTR by CAPUTO,NICK",,,,,,,"MISS 3PTR by CAPUTO,NICK",2
--,,,,,"REBOUND DEF by MEADES,TAYLOR",,,"REBOUND DEF by MEADES,TAYLOR",2
17:36,,,,,"MISS LAYUP by COOPER,BEN",,,"MISS LAYUP by COOPER,BEN",2
--,"REBOUND DEF by MATAYA,DANIEL",,,,,,,"REBOUND DEF by MATAYA,DANIEL",2
17:18,"MISS 3PTR by MATAYA,DANIEL",,,,,,,"MISS 3PTR by MATAYA,DANIEL",2
--,,,,,"REBOUND DEF by COOPER,BEN",,,"REBOUND DEF by COOPER,BEN",2
17:10,,35,,48 (+13),"GOOD LAYUP by SUMLER,LV(in the paint)",MC-M 35-48 (+13),,"GOOD LAYUP by SUMLER,LV(in the paint)",2
16:55,,,,,"FOUL  by COOPER,BEN",,,"FOUL  by COOPER,BEN",2
16:55,"SUB IN by DAVENPORT,JAMES",,,,,,,"SUB IN by DAVENPORT,JAMES",2
16:55,"SUB OUT by HURLEY,LOGAN",,,,,,,"SUB OUT by HURLEY,LOGAN",2
16:55,,,,,"SUB IN by MONTGOMERY,JAYSON",,,"SUB IN by MONTGOMERY,JAYSON",2
16:55,,,,,"SUB OUT by COOPER,BEN",,,"SUB OUT by COOPER,BEN",2
16:40,"TURNOVER  by MATAYA,DANIEL",,,,,,,"TURNOVER  by MATAYA,DANIEL",2
16:38,,,,,"STEAL  by CORTESE,NICK",,,"STEAL  by CORTESE,NICK",2
16:35,"FOUL  by CAPUTO,NICK",,,,,,,"FOUL  by CAPUTO,NICK",2
16:30,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:30,,,,,"MISS FT by SUMLER,LV",,,"MISS FT by SUMLER,LV",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:30,,,,,"MISS FT by SUMLER,LV",,,"MISS FT by SUMLER,LV",2
--,,,,,"REBOUND OFF by CORTESE,NICK",,,"REBOUND OFF by CORTESE,NICK",2
16:30,"SUB IN by SPEARMAN,DEMETRICE",,,,,,,"SUB IN by SPEARMAN,DEMETRICE",2
16:30,"SUB OUT by MATAYA,DANIEL",,,,,,,"SUB OUT by MATAYA,DANIEL",2
15:58,,,,,"TURNOVER  by MERKEL,BRIAN",,,"TURNOVER  by MERKEL,BRIAN",2
15:57,"STEAL  by HANLEY,ROBBIE",,,,,,,"STEAL  by HANLEY,ROBBIE",2
15:38,"GOOD LAYUP by CANTU,MICHAEL(in the paint)",37,,48 (+11),,SUM 37-48 (+11),,"GOOD LAYUP by CANTU,MICHAEL(in the paint)",2
--,"ASSIST  by CAPUTO,NICK",,,,,,,"ASSIST  by CAPUTO,NICK",2
15:16,,37,,50 (+13),"GOOD JUMPER by SUMLER,LV",MC-M 37-50 (+13),,"GOOD JUMPER by SUMLER,LV",2
15:02,"GOOD 3PTR by HANLEY,ROBBIE",40,,50 (+10),,SUM 40-50 (+10),,"GOOD 3PTR by HANLEY,ROBBIE",2
--,"ASSIST  by CAPUTO,NICK",,,,,,,"ASSIST  by CAPUTO,NICK",2
14:50,,,,,"MISS 3PTR by MEADES,TAYLOR",,,"MISS 3PTR by MEADES,TAYLOR",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:47,,,,,"SUB IN by WHITE,TIM",,,"SUB IN by WHITE,TIM",2
14:47,,,,,"SUB OUT by CORTESE,NICK",,,"SUB OUT by CORTESE,NICK",2
14:35,"MISS 3PTR by CANTU,MICHAEL",,,,,,,"MISS 3PTR by CANTU,MICHAEL",2
--,,,,,"REBOUND DEF by SUMLER,LV",,,"REBOUND DEF by SUMLER,LV",2
14:20,"FOUL  by CANTU,MICHAEL",,,,,,,"FOUL  by CANTU,MICHAEL",2
14:20,,40,,51 (+11),"GOOD FT by MONTGOMERY,JAYSON",MC-M 40-51 (+11),,"GOOD FT by MONTGOMERY,JAYSON",2
14:19,,,,,"MISS FT by MONTGOMERY,JAYSON",,,"MISS FT by MONTGOMERY,JAYSON",2
--,"REBOUND DEF by CAPUTO,NICK",,,,,,,"REBOUND DEF by CAPUTO,NICK",2
14:07,"GOOD 3PTR by HANLEY,ROBBIE",43,,51 (+8),,SUM 43-51 (+8),,"GOOD 3PTR by HANLEY,ROBBIE",2
--,"ASSIST  by SPEARMAN,DEMETRICE",,,,,,,"ASSIST  by SPEARMAN,DEMETRICE",2
13:28,,,,,"MISS JUMPER by MERKEL,BRIAN",,,"MISS JUMPER by MERKEL,BRIAN",2
