Time Remaining,Welch,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
19:45,"MISS 3PTR by CHAPMAN,JC",,,,,,,"MISS 3PTR by CHAPMAN,JC",1
19:45,,,,,"BLOCK  by MARR,RUSS",,,"BLOCK  by MARR,RUSS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:29,,0,,2 (+2),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 0-2 (+2),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
19:08,"GOOD LAYUP by CHAPMAN,JC(in the paint)",2,,2,,Welch 2-2 (0),,"GOOD LAYUP by CHAPMAN,JC(in the paint)",1
18:49,,2,,4 (+2),"GOOD JUMPER by KAHL,COLIN(in the paint)",Sewan 2-4 (+2),,"GOOD JUMPER by KAHL,COLIN(in the paint)",1
18:34,"TURNOVER  by SMITH,SPENCER",,,,,,,"TURNOVER  by SMITH,SPENCER",1
18:28,,,,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",,,"MISS LAYUP by BOULDIN,BLAKE(in the paint)",1
18:28,"BLOCK  by PRIDE,CHANCE",,,,,,,"BLOCK  by PRIDE,CHANCE",1
18:20,"MISS LAYUP by CHAPMAN,JC(in the paint)",,,,,,,"MISS LAYUP by CHAPMAN,JC(in the paint)",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
--,"REBOUND DEF by PRIDE,CHANCE",,,,,,,"REBOUND DEF by PRIDE,CHANCE",1
18:13,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",1
--,,,,,"REBOUND OFF by MARR,RUSS",,,"REBOUND OFF by MARR,RUSS",1
18:06,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",1
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",1
17:52,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,"REBOUND DEF by CHAPMAN,JC",,,,,,,"REBOUND DEF by CHAPMAN,JC",1
17:42,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",1
17:42,"GOOD FT by SMITH,SPENCER",3,,4 (+1),,Welch 3-4 (+1),,"GOOD FT by SMITH,SPENCER",1
17:42,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",1
17:42,,,,,"SUB IN by CORRIGAN,TRE",,,"SUB IN by CORRIGAN,TRE",1
17:42,"GOOD FT by SMITH,SPENCER",4,,4,,Welch 4-4 (0),,"GOOD FT by SMITH,SPENCER",1
17:29,,4,,6 (+2),"GOOD LAYUP by CRUMP,JOHN(in the paint)",Sewan 4-6 (+2),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",1
17:07,"GOOD LAYUP by CHAPMAN,JC(in the paint)",6,,6,,Welch 6-6 (0),,"GOOD LAYUP by CHAPMAN,JC(in the paint)",1
16:45,,6,,8 (+2),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 6-8 (+2),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
16:27,"MISS 3PTR by HALL,ZAIMES",,,,,,,"MISS 3PTR by HALL,ZAIMES",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:14,,,,,"TURNOVER  by CRUMP,JOHN",,,"TURNOVER  by CRUMP,JOHN",1
16:06,"MISS LAYUP by CHAPMAN,JC(in the paint)",,,,,,,"MISS LAYUP by CHAPMAN,JC(in the paint)",1
16:06,,,,,"BLOCK  by CRUMP,JOHN",,,"BLOCK  by CRUMP,JOHN",1
--,"REBOUND OFF by CHAPMAN,JC",,,,,,,"REBOUND OFF by CHAPMAN,JC",1
16:01,"TURNOVER  by SMITH,SPENCER",,,,,,,"TURNOVER  by SMITH,SPENCER",1
15:52,,6,,11 (+5),"GOOD 3PTR by CORRIGAN,TRE",Sewan 6-11 (+5),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
15:31,"GOOD DUNK by CHAPMAN,JC(in the paint)",8,,11 (+3),,Welch 8-11 (+3),,"GOOD DUNK by CHAPMAN,JC(in the paint)",1
--,"ASSIST  by HALL,ZAIMES",,,,,,,"ASSIST  by HALL,ZAIMES",1
15:10,,8,,14 (+6),"GOOD 3PTR by MARR,RUSS",Sewan 8-14 (+6),,"GOOD 3PTR by MARR,RUSS",1
14:52,"MISS JUMPER by SMITH,SPENCER(in the paint)",,,,,,,"MISS JUMPER by SMITH,SPENCER(in the paint)",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
14:42,,8,,16 (+8),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 8-16 (+8),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
14:42,"FOUL  by HALL,ZAIMES",,,,,,,"FOUL  by HALL,ZAIMES",1
14:42,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
14:42,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",1
14:42,"SUB OUT by PRIDE,CHANCE",,,,,,,"SUB OUT by PRIDE,CHANCE",1
14:42,"SUB OUT by BYRD,EJ",,,,,,,"SUB OUT by BYRD,EJ",1
14:42,"SUB OUT by HALL,ZAIMES",,,,,,,"SUB OUT by HALL,ZAIMES",1
14:42,"SUB IN by HAYWOOD,CHAD",,,,,,,"SUB IN by HAYWOOD,CHAD",1
14:42,"SUB IN by KENDRICK,YOSHI",,,,,,,"SUB IN by KENDRICK,YOSHI",1
14:42,"SUB IN by JIMENEZ,DREW",,,,,,,"SUB IN by JIMENEZ,DREW",1
14:42,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
14:42,,,,,"MISS FT by CORRIGAN,TRE(fastbreak)",,,"MISS FT by CORRIGAN,TRE(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:42,,8,,17 (+9),"GOOD FT by KAHL,COLIN",Sewan 8-17 (+9),,"GOOD FT by KAHL,COLIN",1
14:42,"FOUL  by HAYWOOD,CHAD",,,,,,,"FOUL  by HAYWOOD,CHAD",1
14:26,"TURNOVER  by JIMENEZ,DREW",,,,,,,"TURNOVER  by JIMENEZ,DREW",1
14:18,,8,,19 (+11),"GOOD LAYUP by CRUMP,JOHN(in the paint)",Sewan 8-19 (+11),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
--,,,,,"ASSIST  by PERUSEK,COLE",,,"ASSIST  by PERUSEK,COLE",1
13:54,"MISS 3PTR by SMITH,SPENCER",,,,,,,"MISS 3PTR by SMITH,SPENCER",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
13:40,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by SMITH,SPENCER",,,,,,,"REBOUND DEF by SMITH,SPENCER",1
13:32,"MISS 3PTR by HAYWOOD,CHAD",,,,,,,"MISS 3PTR by HAYWOOD,CHAD",1
--,"REBOUND OFF by BASS,OWEN",,,,,,,"REBOUND OFF by BASS,OWEN",1
13:20,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:16,"SUB OUT by CHAPMAN,JC",,,,,,,"SUB OUT by CHAPMAN,JC",1
13:16,"SUB IN by BASS,OWEN",,,,,,,"SUB IN by BASS,OWEN",1
13:12,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
13:12,,,,,"SUB IN by MITCHELL,JIMMY",,,"SUB IN by MITCHELL,JIMMY",1
13:05,,,,,"TURNOVER  by PERUSEK,COLE",,,"TURNOVER  by PERUSEK,COLE",1
13:05,"STEAL  by HAYWOOD,CHAD",,,,,,,"STEAL  by HAYWOOD,CHAD",1
13:05,"SUB OUT by KENDRICK,YOSHI",,,,,,,"SUB OUT by KENDRICK,YOSHI",1
13:05,"SUB IN by BOYD,HARRISON",,,,,,,"SUB IN by BOYD,HARRISON",1
12:59,"GOOD LAYUP by HAYWOOD,CHAD(fastbreak)(in the paint)",10,,19 (+9),,Welch 10-19 (+9),,"GOOD LAYUP by HAYWOOD,CHAD(fastbreak)(in the paint)",1
12:45,,10,,21 (+11),"GOOD LAYUP by PERUSEK,COLE(in the paint)",Sewan 10-21 (+11),,"GOOD LAYUP by PERUSEK,COLE(in the paint)",1
--,,,,,"ASSIST  by CRUMP,JOHN",,,"ASSIST  by CRUMP,JOHN",1
12:30,"MISS LAYUP by BOYD,HARRISON(in the paint)",,,,,,,"MISS LAYUP by BOYD,HARRISON(in the paint)",1
--,,,,,"REBOUND DEF by CRUMP,JOHN",,,"REBOUND DEF by CRUMP,JOHN",1
