Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
19:45,,0,,3 (+3),"GOOD 3PTR by BOULDIN,BLAKE",Sewan 0-3 (+3),,"GOOD 3PTR by BOULDIN,BLAKE",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
19:30,,,,,"FOUL  by MARR,RUSS",,,"FOUL  by MARR,RUSS",1
19:30,"GOOD FT by ZERADJANIN,MILOS",1,,3 (+2),,MUW 1-3 (+2),,"GOOD FT by ZERADJANIN,MILOS",1
19:30,"GOOD FT by ZERADJANIN,MILOS",2,,3 (+1),,MUW 2-3 (+1),,"GOOD FT by ZERADJANIN,MILOS",1
19:13,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",,,"MISS JUMPER by KAHL,COLIN(in the paint)",1
19:13,"BLOCK  by HINES,JAQUAN",,,,,,,"BLOCK  by HINES,JAQUAN",1
--,"REBOUND DEF by HINES,JAQUAN",,,,,,,"REBOUND DEF by HINES,JAQUAN",1
19:05,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",,,,,,,"MISS JUMPER by ZERADJANIN,MILOS(in the paint)",1
19:05,,,,,"BLOCK  by CORRIGAN,TRE",,,"BLOCK  by CORRIGAN,TRE",1
--,"REBOUND OFF by ZERADJANIN,MILOS",,,,,,,"REBOUND OFF by ZERADJANIN,MILOS",1
18:56,"MISS 3PTR by HINES,JAQUAN",,,,,,,"MISS 3PTR by HINES,JAQUAN",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
18:48,,2,,6 (+4),"GOOD 3PTR by BOULDIN,BLAKE(fastbreak)",Sewan 2-6 (+4),,"GOOD 3PTR by BOULDIN,BLAKE(fastbreak)",1
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",1
18:33,"SUB OUT by JACKSON,TREY",,,,,,,"SUB OUT by JACKSON,TREY",1
18:33,"SUB IN by WRIGHT,SHON",,,,,,,"SUB IN by WRIGHT,SHON",1
18:28,"MISS 3PTR by WRIGHT,SHON",,,,,,,"MISS 3PTR by WRIGHT,SHON",1
--,"REBOUND OFF by BAILEY,DDALLEN",,,,,,,"REBOUND OFF by BAILEY,DDALLEN",1
18:23,"TURNOVER  by BAILEY,DDALLEN",,,,,,,"TURNOVER  by BAILEY,DDALLEN",1
18:23,,,,,"STEAL  by AVALIANI,LUKA",,,"STEAL  by AVALIANI,LUKA",1
18:22,"FOUL  by BAILEY,DDALLEN",,,,,,,"FOUL  by BAILEY,DDALLEN",1
18:22,,,,,"MISS FT by MARR,RUSS(fastbreak)",,,"MISS FT by MARR,RUSS(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:22,,2,,7 (+5),"GOOD FT by MARR,RUSS(fastbreak)",Sewan 2-7 (+5),,"GOOD FT by MARR,RUSS(fastbreak)",1
18:06,"GOOD JUMPER by BAILEY,DDALLEN",4,,7 (+3),,MUW 4-7 (+3),,"GOOD JUMPER by BAILEY,DDALLEN",1
--,"ASSIST  by HINES,JAQUAN",,,,,,,"ASSIST  by HINES,JAQUAN",1
17:50,,4,,10 (+6),"GOOD 3PTR by CORRIGAN,TRE",Sewan 4-10 (+6),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by KAHL,COLIN",,,"ASSIST  by KAHL,COLIN",1
17:31,"MISS JUMPER by HINES,JAQUAN(in the paint)",,,,,,,"MISS JUMPER by HINES,JAQUAN(in the paint)",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
17:16,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,"REBOUND DEF by HINES,JAQUAN",,,,,,,"REBOUND DEF by HINES,JAQUAN",1
16:52,"GOOD 3PTR by ZERADJANIN,MILOS",7,,10 (+3),,MUW 7-10 (+3),,"GOOD 3PTR by ZERADJANIN,MILOS",1
16:31,,7,,13 (+6),"GOOD 3PTR by BOULDIN,BLAKE",Sewan 7-13 (+6),,"GOOD 3PTR by BOULDIN,BLAKE",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
16:16,"MISS 3PTR by BAILEY,DDALLEN",,,,,,,"MISS 3PTR by BAILEY,DDALLEN",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
16:05,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by WRIGHT,SHON",,,,,,,"REBOUND DEF by WRIGHT,SHON",1
