Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",1
15:27,"MISS JUMPER by GERNATT,JONATHAN",,,,,,,"MISS JUMPER by GERNATT,JONATHAN",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
14:59,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
14:59,"STEAL  by GERNATT,JONATHAN",,,,,,,"STEAL  by GERNATT,JONATHAN",1
14:52,"MISS JUMPER by GERNATT,JONATHAN",,,,,,,"MISS JUMPER by GERNATT,JONATHAN",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
14:52,"GOOD JUMPER by PALMER,BRADY",9 (+1),,8,,COV 9-8 (-1),,"GOOD JUMPER by PALMER,BRADY",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
14:52,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",1
14:34,,,,,"SUB OUT by CORRIGAN,TRE",,,"SUB OUT by CORRIGAN,TRE",1
14:34,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
14:26,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
14:26,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",1
14:21,,,,,"FOUL  by SMITH,GRAHAM",,,"FOUL  by SMITH,GRAHAM",1
14:21,,,,,"TURNOVER  by SMITH,GRAHAM",,,"TURNOVER  by SMITH,GRAHAM",1
14:21,"SUB OUT by GERNATT,JONATHAN",,,,,,,"SUB OUT by GERNATT,JONATHAN",1
14:21,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
14:21,"SUB OUT by JONES,MYLES",,,,,,,"SUB OUT by JONES,MYLES",1
