Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:54,"MISS LAYUP by MADISON,DAMIEN",,,,,,,"MISS LAYUP by MADISON,DAMIEN",1
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",1
19:37,,,,,"TURNOVER  by BOULDIN,BLAKE",,,"TURNOVER  by BOULDIN,BLAKE",1
19:11,"MISS LAYUP by BOHLING,DYLAN",,,,,,,"MISS LAYUP by BOHLING,DYLAN",1
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",1
18:52,,,,,"MISS 3PTR by CORRIGAN,TRE",,,"MISS 3PTR by CORRIGAN,TRE",1
--,"REBOUND DEF by JOHNSON,JUSTIN",,,,,,,"REBOUND DEF by JOHNSON,JUSTIN",1
18:43,"GOOD 3PTR by JOHNSON,JUSTIN",3 (+3),,0,,HCM 3-0 (-3),,"GOOD 3PTR by JOHNSON,JUSTIN",1
--,"ASSIST  by MADISON,DAMIEN",,,,,,,"ASSIST  by MADISON,DAMIEN",1
18:17,,,,,"MISS JUMPER by AVALIANI,LUKA",,,"MISS JUMPER by AVALIANI,LUKA",1
--,"REBOUND DEF by TONEY,CALEB",,,,,,,"REBOUND DEF by TONEY,CALEB",1
18:00,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
18:00,"MISS FT by BOHLING,DYLAN",,,,,,,"MISS FT by BOHLING,DYLAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:00,"GOOD FT by BOHLING,DYLAN",4 (+4),,0,,HCM 4-0 (-4),,"GOOD FT by BOHLING,DYLAN",1
17:35,,,,,"MISS 3PTR by KAHL,COLIN",,,"MISS 3PTR by KAHL,COLIN",1
--,"REBOUND DEF by MADISON,DAMIEN",,,,,,,"REBOUND DEF by MADISON,DAMIEN",1
17:15,"GOOD JUMPER by JOHNSON,JUSTIN",6 (+6),,0,,HCM 6-0 (-6),,"GOOD JUMPER by JOHNSON,JUSTIN",1
--,"ASSIST  by PAGE,SAM",,,,,,,"ASSIST  by PAGE,SAM",1
16:39,,,,,"TURNOVER  by BOULDIN,BLAKE",,,"TURNOVER  by BOULDIN,BLAKE",1
16:39,"STEAL  by TONEY,CALEB",,,,,,,"STEAL  by TONEY,CALEB",1
16:39,"SUB IN by GARDNER,MAX",,,,,,,"SUB IN by GARDNER,MAX",1
16:39,"SUB IN by GOOLESBY,TATE",,,,,,,"SUB IN by GOOLESBY,TATE",1
16:39,"SUB OUT by BOHLING,DYLAN",,,,,,,"SUB OUT by BOHLING,DYLAN",1
16:39,"SUB OUT by JOHNSON,JUSTIN",,,,,,,"SUB OUT by JOHNSON,JUSTIN",1
16:24,"TURNOVER  by MADISON,DAMIEN",,,,,,,"TURNOVER  by MADISON,DAMIEN",1
16:21,,,,,"STEAL  by CRUMP,JOHN",,,"STEAL  by CRUMP,JOHN",1
16:16,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
16:14,"STEAL  by DAVIS,KEONDRE",,,,,,,"STEAL  by DAVIS,KEONDRE",1
16:07,"GOOD LAYUP by DAVIS,KEONDRE(in the paint)",8 (+8),,0,,HCM 8-0 (-8),,"GOOD LAYUP by DAVIS,KEONDRE(in the paint)",1
