Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,LAGRANGE,Game Score,Team Indicator,Play,Period
17:29,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
17:20,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by EDWARDS,BERSHARD",,,"REBOUND DEF by EDWARDS,BERSHARD",1
17:13,,,,,"MISS JUMPER by EDWARDS,BERSHARD",,,"MISS JUMPER by EDWARDS,BERSHARD",1
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",1
16:56,"GOOD LAYUP by KAHL,COLIN(in the paint)",8 (+5),,3,,SEWANEE 8-3 (+5),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
16:44,,,,,"MISS LAYUP by DOLHANCYK,COOPER",,,"MISS LAYUP by DOLHANCYK,COOPER",1
--,,,,,"REBOUND OFF by DOLHANCYK,COOPER",,,"REBOUND OFF by DOLHANCYK,COOPER",1
16:40,,,,,"MISS LAYUP by DOLHANCYK,COOPER",,,"MISS LAYUP by DOLHANCYK,COOPER",1
--,,,,,"REBOUND OFF by DOLHANCYK,COOPER",,,"REBOUND OFF by DOLHANCYK,COOPER",1
16:37,,8 (+3),,5,"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",LAGRANGE 8-5 (+3),,"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",1
16:20,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",10 (+5),,5,,SEWANEE 10-5 (+5),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",1
16:00,,10 (+3),,7,"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",LAGRANGE 10-7 (+3),,"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",1
15:43,"MISS LAYUP by MARR,RUSS",,,,,,,"MISS LAYUP by MARR,RUSS",1
15:43,,,,,"BLOCK  by EDWARDS,BERSHARD",,,"BLOCK  by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by DOLHANCYK,COOPER",,,"REBOUND DEF by DOLHANCYK,COOPER",1
15:37,,10,,10,"GOOD 3PTR by SHEPHERD,ANDREW",LAGRANGE 10-10 (0),,"GOOD 3PTR by SHEPHERD,ANDREW",1
--,,,,,"ASSIST  by EDWARDS,BERSHARD",,,"ASSIST  by EDWARDS,BERSHARD",1
15:17,"GOOD LAYUP by CRUMP,JOHN(in the paint)",12 (+2),,10,,SEWANEE 12-10 (+2),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
14:53,,12,,13 (+1),"GOOD 3PTR by HILL,ZAC",LAGRANGE 12-13 (-1),,"GOOD 3PTR by HILL,ZAC",1
--,,,,,"ASSIST  by SMITH,KYLE",,,"ASSIST  by SMITH,KYLE",1
14:27,"GOOD 3PTR by MARR,RUSS",15 (+2),,13,,SEWANEE 15-13 (+2),,"GOOD 3PTR by MARR,RUSS",1
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",1
14:16,,15,,15,"GOOD JUMPER by EDWARDS,BERSHARD",LAGRANGE 15-15 (0),,"GOOD JUMPER by EDWARDS,BERSHARD",1
13:51,"GOOD LAYUP by PERUSEK,COLE(in the paint)",17 (+2),,15,,SEWANEE 17-15 (+2),,"GOOD LAYUP by PERUSEK,COLE(in the paint)",1
13:41,,,,,"TURNOVER  by EDWARDS,BERSHARD",,,"TURNOVER  by EDWARDS,BERSHARD",1
13:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
13:41,"SUB IN by BOULDIN,BLAKE",,,,,,,"SUB IN by BOULDIN,BLAKE",1
13:41,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
13:41,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
13:41,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
13:41,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
13:41,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",1
13:41,,,,,"SUB IN by BROWN,KYLE",,,"SUB IN by BROWN,KYLE",1
13:41,,,,,"SUB IN by COFIELD,GABE",,,"SUB IN by COFIELD,GABE",1
13:41,,,,,"SUB OUT by SMITH,KYLE",,,"SUB OUT by SMITH,KYLE",1
13:41,,,,,"SUB OUT by DOLHANCYK,COOPER",,,"SUB OUT by DOLHANCYK,COOPER",1
13:18,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:03,,,,,"TURNOVER  by SHEPHERD,ANDREW",,,"TURNOVER  by SHEPHERD,ANDREW",1
13:02,"STEAL  by SMITH,GRAHAM",,,,,,,"STEAL  by SMITH,GRAHAM",1
12:50,"TURNOVER  by SMITH,GRAHAM",,,,,,,"TURNOVER  by SMITH,GRAHAM",1
12:35,,,,,"MISS LAYUP by HILL,ZAC",,,"MISS LAYUP by HILL,ZAC",1
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",1
12:20,"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",19 (+4),,15,,SEWANEE 19-15 (+4),,"GOOD LAYUP by BOULDIN,BLAKE(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
11:59,,,,,"MISS 3PTR by HILL,ZAC",,,"MISS 3PTR by HILL,ZAC",1
--,,,,,"REBOUND OFF by SHEPHERD,ANDREW",,,"REBOUND OFF by SHEPHERD,ANDREW",1
11:53,,,,,"MISS LAYUP by SHEPHERD,ANDREW",,,"MISS LAYUP by SHEPHERD,ANDREW",1
--,"REBOUND DEF by PERUSEK,COLE",,,,,,,"REBOUND DEF by PERUSEK,COLE",1
11:25,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:23,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:23,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
11:23,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
11:23,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",1
11:23,"SUB OUT by PERUSEK,COLE",,,,,,,"SUB OUT by PERUSEK,COLE",1
11:23,,,,,"SUB IN by LYONS,CAMERIN",,,"SUB IN by LYONS,CAMERIN",1
11:23,,,,,"SUB OUT by SHEPHERD,ANDREW",,,"SUB OUT by SHEPHERD,ANDREW",1
11:18,,19 (+2),,17,"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 19-17 (+2),,"GOOD LAYUP by HILL,ZAC(in the paint)",1
--,,,,,"ASSIST  by EDWARDS,BERSHARD",,,"ASSIST  by EDWARDS,BERSHARD",1
10:49,"MISS LAYUP by BOULDIN,BLAKE",,,,,,,"MISS LAYUP by BOULDIN,BLAKE",1
--,,,,,"REBOUND DEF by COFIELD,GABE",,,"REBOUND DEF by COFIELD,GABE",1
10:42,,,,,"MISS 3PTR by EDWARDS,BERSHARD",,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
10:33,"MISS LAYUP by SMITH,GRAHAM",,,,,,,"MISS LAYUP by SMITH,GRAHAM",1
--,,,,,"REBOUND DEF by LYONS,CAMERIN",,,"REBOUND DEF by LYONS,CAMERIN",1
10:10,,19,,20 (+1),"GOOD 3PTR by EDWARDS,BERSHARD",LAGRANGE 19-20 (-1),,"GOOD 3PTR by EDWARDS,BERSHARD",1
--,,,,,"ASSIST  by BROWN,KYLE",,,"ASSIST  by BROWN,KYLE",1
09:48,"GOOD JUMPER by SMITH,GRAHAM",21 (+1),,20,,SEWANEE 21-20 (+1),,"GOOD JUMPER by SMITH,GRAHAM",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
09:34,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
09:34,,21,,21,"GOOD FT by EDWARDS,BERSHARD",LAGRANGE 21-21 (0),,"GOOD FT by EDWARDS,BERSHARD",1
09:34,,21,,22 (+1),"GOOD FT by EDWARDS,BERSHARD",LAGRANGE 21-22 (-1),,"GOOD FT by EDWARDS,BERSHARD",1
09:34,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
09:34,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
09:12,"GOOD JUMPER by CRUMP,JOHN(in the paint)",23 (+1),,22,,SEWANEE 23-22 (+1),,"GOOD JUMPER by CRUMP,JOHN(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
08:54,,,,,"TURNOVER  by LYONS,CAMERIN",,,"TURNOVER  by LYONS,CAMERIN",1
08:54,,,,,"FOUL  by LYONS,CAMERIN",,,"FOUL  by LYONS,CAMERIN",1
08:48,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
08:47,,,,,"STEAL  by EDWARDS,BERSHARD",,,"STEAL  by EDWARDS,BERSHARD",1
08:45,,23,,25 (+2),"GOOD 3PTR by COFIELD,GABE",LAGRANGE 23-25 (-2),,"GOOD 3PTR by COFIELD,GABE",1
--,,,,,"ASSIST  by EDWARDS,BERSHARD",,,"ASSIST  by EDWARDS,BERSHARD",1
08:13,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
08:12,,,,,"STEAL  by EDWARDS,BERSHARD",,,"STEAL  by EDWARDS,BERSHARD",1
08:10,,23,,27 (+4),"GOOD LAYUP by EDWARDS,BERSHARD(fastbreak)(in the paint)",LAGRANGE 23-27 (-4),,"GOOD LAYUP by EDWARDS,BERSHARD(fastbreak)(in the paint)",1
07:58,"TURNOVER  by BOULDIN,BLAKE",,,,,,,"TURNOVER  by BOULDIN,BLAKE",1
07:57,,,,,"STEAL  by LYONS,CAMERIN",,,"STEAL  by LYONS,CAMERIN",1
07:53,,,,,"MISS 3PTR by LYONS,CAMERIN",,,"MISS 3PTR by LYONS,CAMERIN",1
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",1
07:40,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
07:40,,,,,"STEAL  by HILL,ZAC",,,"STEAL  by HILL,ZAC",1
07:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:40,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",1
07:40,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",1
07:40,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
07:40,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
07:25,,,,,"MISS 3PTR by COFIELD,GABE",,,"MISS 3PTR by COFIELD,GABE",1
--,,,,,"REBOUND OFF by LYONS,CAMERIN",,,"REBOUND OFF by LYONS,CAMERIN",1
07:19,,23,,29 (+6),"GOOD LAYUP by BROWN,KYLE(in the paint)",LAGRANGE 23-29 (-6),,"GOOD LAYUP by BROWN,KYLE(in the paint)",1
--,,,,,"ASSIST  by LYONS,CAMERIN",,,"ASSIST  by LYONS,CAMERIN",1
07:06,,,,,"FOUL  by COFIELD,GABE",,,"FOUL  by COFIELD,GABE",1
07:06,"SUB IN by PERUSEK,COLE",,,,,,,"SUB IN by PERUSEK,COLE",1
07:06,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",1
06:58,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",25,,29 (+4),,SEWANEE 25-29 (-4),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",1
06:37,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",1
06:37,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
06:37,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",1
06:37,,,,,"SUB IN by DOLHANCYK,COOPER",,,"SUB IN by DOLHANCYK,COOPER",1
06:37,,,,,"SUB OUT by COFIELD,GABE",,,"SUB OUT by COFIELD,GABE",1
06:31,,,,,"TURNOVER  by DOLHANCYK,COOPER",,,"TURNOVER  by DOLHANCYK,COOPER",1
06:30,"STEAL  by CRUMP,JOHN",,,,,,,"STEAL  by CRUMP,JOHN",1
06:08,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by DOLHANCYK,COOPER",,,"REBOUND DEF by DOLHANCYK,COOPER",1
05:48,,,,,"MISS LAYUP by HILL,ZAC",,,"MISS LAYUP by HILL,ZAC",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
05:40,"GOOD DUNK by KAHL,COLIN(fastbreak)(in the paint)",27,,29 (+2),,SEWANEE 27-29 (-2),,"GOOD DUNK by KAHL,COLIN(fastbreak)(in the paint)",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
05:31,,27,,31 (+4),"GOOD JUMPER by LYONS,CAMERIN",LAGRANGE 27-31 (-4),,"GOOD JUMPER by LYONS,CAMERIN",1
05:08,"MISS LAYUP by CRUMP,JOHN",,,,,,,"MISS LAYUP by CRUMP,JOHN",1
05:08,,,,,"BLOCK  by BROWN,KYLE",,,"BLOCK  by BROWN,KYLE",1
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",1
05:01,"MISS LAYUP by KAHL,COLIN",,,,,,,"MISS LAYUP by KAHL,COLIN",1
--,,,,,"REBOUND DEF by EDWARDS,BERSHARD",,,"REBOUND DEF by EDWARDS,BERSHARD",1
04:58,,,,,"MISS 3PTR by LYONS,CAMERIN",,,"MISS 3PTR by LYONS,CAMERIN",1
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",1
04:49,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",1
--,"REBOUND OFF by AVALIANI,LUKA",,,,,,,"REBOUND OFF by AVALIANI,LUKA",1
04:44,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",1
--,,,,,"REBOUND DEF by BROWN,KYLE",,,"REBOUND DEF by BROWN,KYLE",1
04:32,,,,,"TURNOVER  by HILL,ZAC",,,"TURNOVER  by HILL,ZAC",1
04:32,"SUB IN by BOULDIN,BLAKE",,,,,,,"SUB IN by BOULDIN,BLAKE",1
04:32,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
04:32,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",1
04:32,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",1
04:32,,,,,"SUB IN by SMITH,KYLE",,,"SUB IN by SMITH,KYLE",1
04:32,,,,,"SUB IN by SHEPHERD,ANDREW",,,"SUB IN by SHEPHERD,ANDREW",1
04:32,,,,,"SUB OUT by EDWARDS,BERSHARD",,,"SUB OUT by EDWARDS,BERSHARD",1
04:32,,,,,"SUB OUT by HILL,ZAC",,,"SUB OUT by HILL,ZAC",1
04:13,"GOOD LAYUP by MARR,RUSS(in the paint)",29,,31 (+2),,SEWANEE 29-31 (-2),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
04:13,,,,,"FOUL  by BROWN,KYLE",,,"FOUL  by BROWN,KYLE",1
04:13,"GOOD FT by MARR,RUSS",30,,31 (+1),,SEWANEE 30-31 (-1),,"GOOD FT by MARR,RUSS",1
03:59,,30,,33 (+3),"GOOD JUMPER by DOLHANCYK,COOPER",LAGRANGE 30-33 (-3),,"GOOD JUMPER by DOLHANCYK,COOPER",1
03:59,"FOUL  by PERUSEK,COLE",,,,,,,"FOUL  by PERUSEK,COLE",1
03:59,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:59,,30,,34 (+4),"GOOD FT by DOLHANCYK,COOPER",LAGRANGE 30-34 (-4),,"GOOD FT by DOLHANCYK,COOPER",1
03:42,"GOOD JUMPER by AVALIANI,LUKA",32,,34 (+2),,SEWANEE 32-34 (-2),,"GOOD JUMPER by AVALIANI,LUKA",1
--,"ASSIST  by MARR,RUSS",,,,,,,"ASSIST  by MARR,RUSS",1
03:36,,32,,36 (+4),"GOOD LAYUP by BROWN,KYLE(in the paint)",LAGRANGE 32-36 (-4),,"GOOD LAYUP by BROWN,KYLE(in the paint)",1
--,,,,,"ASSIST  by LYONS,CAMERIN",,,"ASSIST  by LYONS,CAMERIN",1
03:21,"GOOD 3PTR by CORRIGAN,TRE",35,,36 (+1),,SEWANEE 35-36 (-1),,"GOOD 3PTR by CORRIGAN,TRE",1
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",1
03:11,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
03:11,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",1
03:11,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",1
03:11,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",1
03:11,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",1
02:58,,35,,38 (+3),"GOOD LAYUP by BROWN,KYLE(in the paint)",LAGRANGE 35-38 (-3),,"GOOD LAYUP by BROWN,KYLE(in the paint)",1
02:38,"MISS 3PTR by BOULDIN,BLAKE",,,,,,,"MISS 3PTR by BOULDIN,BLAKE",1
--,,,,,"REBOUND DEF by LYONS,CAMERIN",,,"REBOUND DEF by LYONS,CAMERIN",1
02:18,,,,,"MISS JUMPER by BROWN,KYLE",,,"MISS JUMPER by BROWN,KYLE",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
02:06,,,,,"FOUL  by SHEPHERD,ANDREW",,,"FOUL  by SHEPHERD,ANDREW",1
02:06,,,,,"SUB IN by EDWARDS,BERSHARD",,,"SUB IN by EDWARDS,BERSHARD",1
02:06,,,,,"SUB IN by HILL,ZAC",,,"SUB IN by HILL,ZAC",1
02:06,,,,,"SUB IN by COFIELD,GABE",,,"SUB IN by COFIELD,GABE",1
02:06,,,,,"SUB OUT by SMITH,KYLE",,,"SUB OUT by SMITH,KYLE",1
02:06,,,,,"SUB OUT by LYONS,CAMERIN",,,"SUB OUT by LYONS,CAMERIN",1
02:06,,,,,"SUB OUT by SHEPHERD,ANDREW",,,"SUB OUT by SHEPHERD,ANDREW",1
01:58,"MISS LAYUP by BOULDIN,BLAKE",,,,,,,"MISS LAYUP by BOULDIN,BLAKE",1
--,"REBOUND OFF by BOULDIN,BLAKE",,,,,,,"REBOUND OFF by BOULDIN,BLAKE",1
01:54,"MISS LAYUP by BOULDIN,BLAKE",,,,,,,"MISS LAYUP by BOULDIN,BLAKE",1
01:54,,,,,"BLOCK  by BROWN,KYLE",,,"BLOCK  by BROWN,KYLE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
01:26,,35,,40 (+5),"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",LAGRANGE 35-40 (-5),,"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",1
01:12,"TURNOVER  by BOULDIN,BLAKE",,,,,,,"TURNOVER  by BOULDIN,BLAKE",1
01:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:45,,,,,"MISS LAYUP by HILL,ZAC",,,"MISS LAYUP by HILL,ZAC",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
00:21,"GOOD 3PTR by PERUSEK,COLE",38,,40 (+2),,SEWANEE 38-40 (-2),,"GOOD 3PTR by PERUSEK,COLE",1
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",1
00:01,,,,,"MISS JUMPER by EDWARDS,BERSHARD",,,"MISS JUMPER by EDWARDS,BERSHARD",1
--,,,,,"REBOUND OFF by HILL,ZAC",,,"REBOUND OFF by HILL,ZAC",1
00:01,,38,,42 (+4),"GOOD TIPIN by HILL,ZAC(in the paint)",LAGRANGE 38-42 (-4),,"GOOD TIPIN by HILL,ZAC(in the paint)",1
19:55,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND OFF by CRUMP,JOHN",,,,,,,"REBOUND OFF by CRUMP,JOHN",2
19:31,,,,,"FOUL  by HILL,ZAC",,,"FOUL  by HILL,ZAC",2
19:26,"GOOD JUMPER by CRUMP,JOHN",40,,42 (+2),,SEWANEE 40-42 (-2),,"GOOD JUMPER by CRUMP,JOHN",2
19:10,,40,,44 (+4),"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 40-44 (-4),,"GOOD LAYUP by HILL,ZAC(in the paint)",2
18:46,"MISS 3PTR by BOULDIN,BLAKE",,,,,,,"MISS 3PTR by BOULDIN,BLAKE",2
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",2
18:38,"FOUL  by CRUMP,JOHN",,,,,,,"FOUL  by CRUMP,JOHN",2
18:38,,,,,"MISS FT by BROWN,KYLE",,,"MISS FT by BROWN,KYLE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:38,,40,,45 (+5),"GOOD FT by BROWN,KYLE",LAGRANGE 40-45 (-5),,"GOOD FT by BROWN,KYLE",2
18:27,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",42,,45 (+3),,SEWANEE 42-45 (-3),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
18:11,,42,,47 (+5),"GOOD LAYUP by BROWN,KYLE(in the paint)",LAGRANGE 42-47 (-5),,"GOOD LAYUP by BROWN,KYLE(in the paint)",2
--,,,,,"ASSIST  by HILL,ZAC",,,"ASSIST  by HILL,ZAC",2
17:58,"TURNOVER  by BOULDIN,BLAKE",,,,,,,"TURNOVER  by BOULDIN,BLAKE",2
17:43,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",2
17:43,,,,,"MISS FT by DOLHANCYK,COOPER",,,"MISS FT by DOLHANCYK,COOPER",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:43,,,,,"MISS FT by DOLHANCYK,COOPER",,,"MISS FT by DOLHANCYK,COOPER",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
17:43,"SUB IN by PERUSEK,COLE",,,,,,,"SUB IN by PERUSEK,COLE",2
17:43,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",2
17:43,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",2
17:43,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
17:19,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",44,,47 (+3),,SEWANEE 44-47 (-3),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
17:12,,,,,"MISS 3PTR by SHEPHERD,ANDREW",,,"MISS 3PTR by SHEPHERD,ANDREW",2
--,"REBOUND DEF by PERUSEK,COLE",,,,,,,"REBOUND DEF by PERUSEK,COLE",2
16:48,"MISS LAYUP by KAHL,COLIN",,,,,,,"MISS LAYUP by KAHL,COLIN",2
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",2
16:45,,,,,"FOUL  by HILL,ZAC",,,"FOUL  by HILL,ZAC",2
