Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,OUMBB,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
15:17,"GOOD LAYUP by MARR,RUSS(in the paint)",45 (+7),,38,,Sewan 45-38 (+7),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
14:51,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
14:51,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
14:51,,45 (+6),,39,"GOOD FT by CHAMBERS,DIMETRI",OUMBB 45-39 (+6),,"GOOD FT by CHAMBERS,DIMETRI",2
14:51,,45 (+5),,40,"GOOD FT by CHAMBERS,DIMETRI",OUMBB 45-40 (+5),,"GOOD FT by CHAMBERS,DIMETRI",2
14:51,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
14:51,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
14:51,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
14:51,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",2
14:51,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
14:51,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",2
14:51,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",2
14:51,,,,,"SUB IN by SONE,CARLOS",,,"SUB IN by SONE,CARLOS",2
14:51,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",2
14:51,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",2
14:28,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",2
14:08,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by HOLLAND,ELI",,,,,,,"REBOUND DEF by HOLLAND,ELI",2
13:42,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",47 (+7),,40,,Sewan 47-40 (+7),,"GOOD LAYUP by AVALIANI,LUKA(in the paint)",2
13:24,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
13:07,"TURNOVER  by HOLLAND,ELI",,,,,,,"TURNOVER  by HOLLAND,ELI",2
13:06,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",2
13:04,,,,,"TURNOVER  by SONE,CARLOS",,,"TURNOVER  by SONE,CARLOS",2
13:03,"STEAL  by CORRIGAN,TRE",,,,,,,"STEAL  by CORRIGAN,TRE",2
13:02,"GOOD LAYUP by CORRIGAN,TRE(fastbreak)(in the paint)",49 (+9),,40,,Sewan 49-40 (+9),,"GOOD LAYUP by CORRIGAN,TRE(fastbreak)(in the paint)",2
12:45,,,,,"TURNOVER  by EZIGBO,UBA",,,"TURNOVER  by EZIGBO,UBA",2
12:45,"STEAL  by AVALIANI,LUKA",,,,,,,"STEAL  by AVALIANI,LUKA",2
12:45,"SUB IN by PERUSEK,COLE",,,,,,,"SUB IN by PERUSEK,COLE",2
12:45,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
12:32,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",2
12:25,,,,,"SUB IN by MURRAH,JACK",,,"SUB IN by MURRAH,JACK",2
12:25,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
12:13,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",2
12:13,"STEAL  by HOLLAND,ELI",,,,,,,"STEAL  by HOLLAND,ELI",2
11:51,"TURNOVER  by PERUSEK,COLE",,,,,,,"TURNOVER  by PERUSEK,COLE",2
11:50,,,,,"STEAL  by MURRAH,JACK",,,"STEAL  by MURRAH,JACK",2
11:44,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
11:14,"MISS JUMPER by AVALIANI,LUKA",,,,,,,"MISS JUMPER by AVALIANI,LUKA",2
--,"REBOUND OFF by SMITH,GRAHAM",,,,,,,"REBOUND OFF by SMITH,GRAHAM",2
11:11,"GOOD TIPIN by SMITH,GRAHAM(in the paint)",51 (+11),,40,,Sewan 51-40 (+11),,"GOOD TIPIN by SMITH,GRAHAM(in the paint)",2
10:56,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",2
10:56,"BLOCK  by SMITH,GRAHAM",,,,,,,"BLOCK  by SMITH,GRAHAM",2
--,,,,,"REBOUND OFF by CHAMBERS,DIMETRI",,,"REBOUND OFF by CHAMBERS,DIMETRI",2
10:55,,51 (+9),,42,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OUMBB 51-42 (+9),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
10:55,"FOUL  by HOLLAND,ELI",,,,,,,"FOUL  by HOLLAND,ELI",2
10:54,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
10:54,,51 (+8),,43,"GOOD FT by CHAMBERS,DIMETRI",OUMBB 51-43 (+8),,"GOOD FT by CHAMBERS,DIMETRI",2
10:54,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
10:54,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",2
10:54,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",2
10:54,"SUB OUT by PERUSEK,COLE",,,,,,,"SUB OUT by PERUSEK,COLE",2
10:54,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
10:54,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
10:54,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
10:54,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
10:36,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",2
10:30,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
10:30,,51 (+7),,44,"GOOD FT by FOSTER,LANE",OUMBB 51-44 (+7),,"GOOD FT by FOSTER,LANE",2
10:30,,51 (+6),,45,"GOOD FT by FOSTER,LANE",OUMBB 51-45 (+6),,"GOOD FT by FOSTER,LANE",2
10:06,"MISS LAYUP by SMITH,GRAHAM",,,,,,,"MISS LAYUP by SMITH,GRAHAM",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
09:59,,51 (+3),,48,"GOOD 3PTR by CHAMBERS,DIMETRI(fastbreak)",OUMBB 51-48 (+3),,"GOOD 3PTR by CHAMBERS,DIMETRI(fastbreak)",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
09:57,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",2
09:57,,51 (+2),,49,"GOOD FT by CHAMBERS,DIMETRI",OUMBB 51-49 (+2),,"GOOD FT by CHAMBERS,DIMETRI",2
09:54,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",2
09:32,,,,,"FOUL  by MURRAH,JACK",,,"FOUL  by MURRAH,JACK",2
09:32,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",2
09:32,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
09:22,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
09:21,,,,,"STEAL  by MURRAH,JACK",,,"STEAL  by MURRAH,JACK",2
09:15,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",2
--,"REBOUND DEF by AVALIANI,LUKA",,,,,,,"REBOUND DEF by AVALIANI,LUKA",2
09:07,"GOOD 3PTR by CRUMP,JOHN",54 (+5),,49,,Sewan 54-49 (+5),,"GOOD 3PTR by CRUMP,JOHN",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
08:51,,,,,"MISS 3PTR by MURRAH,JACK",,,"MISS 3PTR by MURRAH,JACK",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
08:33,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",2
08:33,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
08:30,,54 (+3),,51,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUMBB 54-51 (+3),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
08:13,"GOOD 3PTR by CRUMP,JOHN",57 (+6),,51,,Sewan 57-51 (+6),,"GOOD 3PTR by CRUMP,JOHN",2
08:01,,57 (+3),,54,"GOOD 3PTR by KOCH,WILL",OUMBB 57-54 (+3),,"GOOD 3PTR by KOCH,WILL",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
07:34,"GOOD JUMPER by CRUMP,JOHN(in the paint)",59 (+5),,54,,Sewan 59-54 (+5),,"GOOD JUMPER by CRUMP,JOHN(in the paint)",2
07:16,,59 (+3),,56,"GOOD LAYUP by KOCH,WILL(in the paint)",OUMBB 59-56 (+3),,"GOOD LAYUP by KOCH,WILL(in the paint)",2
06:58,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND DEF by CHAMBERS,DIMETRI",,,"REBOUND DEF by CHAMBERS,DIMETRI",2
06:52,,59 (+1),,58,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",OUMBB 59-58 (+1),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",2
06:27,"MISS LAYUP by AVALIANI,LUKA",,,,,,,"MISS LAYUP by AVALIANI,LUKA",2
06:27,,,,,"BLOCK  by FOSTER,LANE",,,"BLOCK  by FOSTER,LANE",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
06:26,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
06:26,"SUB IN by PERUSEK,COLE",,,,,,,"SUB IN by PERUSEK,COLE",2
06:26,"SUB IN by HOLLAND,ELI",,,,,,,"SUB IN by HOLLAND,ELI",2
06:26,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
06:26,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
06:26,,,,,"SUB IN by EZIGBO,UBA",,,"SUB IN by EZIGBO,UBA",2
06:26,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
06:26,,,,,"SUB OUT by KOCH,WILL",,,"SUB OUT by KOCH,WILL",2
06:26,,,,,"SUB OUT by MURRAH,JACK",,,"SUB OUT by MURRAH,JACK",2
06:18,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
06:09,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
05:40,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,"REBOUND OFF by MARR,RUSS",,,,,,,"REBOUND OFF by MARR,RUSS",2
05:36,,,,,"FOUL  by SONE,CARLOS",,,"FOUL  by SONE,CARLOS",2
05:22,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",2
05:21,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
05:17,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
05:17,,59,,59,"GOOD FT by CHAMBERS,DIMETRI",OUMBB 59-59 (0),,"GOOD FT by CHAMBERS,DIMETRI",2
05:17,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",2
05:17,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
05:17,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",2
05:17,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",2
05:17,"SUB OUT by HOLLAND,ELI",,,,,,,"SUB OUT by HOLLAND,ELI",2
05:00,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",2
04:50,,59,,62 (+3),"GOOD 3PTR by JENEI,RYAN",OUMBB 59-62 (-3),,"GOOD 3PTR by JENEI,RYAN",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
04:35,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",2
04:34,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
04:33,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
04:33,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",2
04:33,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:25,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",2
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",2
04:21,,59,,64 (+5),"GOOD LAYUP by EZIGBO,UBA(in the paint)",OUMBB 59-64 (-5),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",2
03:57,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",2
03:55,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",2
03:38,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
03:38,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
03:38,,59,,65 (+6),"GOOD FT by EZIGBO,UBA",OUMBB 59-65 (-6),,"GOOD FT by EZIGBO,UBA",2
03:38,,59,,66 (+7),"GOOD FT by EZIGBO,UBA",OUMBB 59-66 (-7),,"GOOD FT by EZIGBO,UBA",2
03:38,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",2
03:38,"SUB OUT by PERUSEK,COLE",,,,,,,"SUB OUT by PERUSEK,COLE",2
03:35,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",2
03:34,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
03:32,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
03:16,"MISS LAYUP by CRUMP,JOHN",,,,,,,"MISS LAYUP by CRUMP,JOHN",2
03:16,,,,,"BLOCK  by JENEI,RYAN",,,"BLOCK  by JENEI,RYAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
03:09,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",2
03:08,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",2
02:53,,59,,69 (+10),"GOOD 3PTR by EZIGBO,UBA",OUMBB 59-69 (-10),,"GOOD 3PTR by EZIGBO,UBA",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
02:39,"GOOD LAYUP by KAHL,COLIN(in the paint)",61,,69 (+8),,Sewan 61-69 (-8),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",2
02:38,,,,,"FOUL  by EZIGBO,UBA",,,"FOUL  by EZIGBO,UBA",2
02:38,"MISS FT by KAHL,COLIN",,,,,,,"MISS FT by KAHL,COLIN",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
02:13,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
02:03,"TURNOVER  by MARR,RUSS",,,,,,,"TURNOVER  by MARR,RUSS",2
02:03,,,,,"SUB IN by KOCH,WILL",,,"SUB IN by KOCH,WILL",2
02:03,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
01:52,,61,,72 (+11),"GOOD 3PTR by FOSTER,LANE",OUMBB 61-72 (-11),,"GOOD 3PTR by FOSTER,LANE",2
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",2
01:39,,,,,"FOUL  by SONE,CARLOS",,,"FOUL  by SONE,CARLOS",2
01:31,"GOOD LAYUP by MARR,RUSS(in the paint)",63,,72 (+9),,Sewan 63-72 (-9),,"GOOD LAYUP by MARR,RUSS(in the paint)",2
01:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:23,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",2
01:23,,,,,"MISS FT by SONE,CARLOS",,,"MISS FT by SONE,CARLOS",2
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",2
01:22,,,,,"MISS LAYUP by EZIGBO,UBA",,,"MISS LAYUP by EZIGBO,UBA",2
--,,,,,"REBOUND OFF by EZIGBO,UBA",,,"REBOUND OFF by EZIGBO,UBA",2
01:20,,63,,74 (+11),"GOOD LAYUP by EZIGBO,UBA(in the paint)",OUMBB 63-74 (-11),,"GOOD LAYUP by EZIGBO,UBA(in the paint)",2
01:13,"GOOD LAYUP by KAHL,COLIN(in the paint)",65,,74 (+9),,Sewan 65-74 (-9),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
01:04,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",2
01:04,,,,,"MISS FT by SONE,CARLOS",,,"MISS FT by SONE,CARLOS",2
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",2
01:04,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
01:04,,,,,"SUB OUT by EZIGBO,UBA",,,"SUB OUT by EZIGBO,UBA",2
00:59,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
00:53,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",2
00:53,,65,,75 (+10),"GOOD FT by CHAMBERS,DIMETRI",OUMBB 65-75 (-10),,"GOOD FT by CHAMBERS,DIMETRI",2
00:53,,65,,76 (+11),"GOOD FT by CHAMBERS,DIMETRI",OUMBB 65-76 (-11),,"GOOD FT by CHAMBERS,DIMETRI",2
00:53,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
00:53,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
00:49,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
00:30,,65,,78 (+13),"GOOD DUNK by KOCH,WILL(in the paint)",OUMBB 65-78 (-13),,"GOOD DUNK by KOCH,WILL(in the paint)",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
