Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Rhodes,Game Score,Team Indicator,Play,Period
19:46,,0,,2 (+2),"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",Rhodes 0-2 (-2),,"GOOD LAYUP by WILLIAMS,ZAVIEN(in the paint)",1
--,,,,,"ASSIST  by ESSICK,JALEN",,,"ASSIST  by ESSICK,JALEN",1
19:27,"MISS JUMPER by KAHL,COLIN(in the paint)",,,,,,,"MISS JUMPER by KAHL,COLIN(in the paint)",1
--,,,,,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1
19:13,,,,,"MISS 3PTR by WILLIAMS,ZAVIEN",,,"MISS 3PTR by WILLIAMS,ZAVIEN",1
--,"REBOUND DEF by BOULDIN,BLAKE",,,,,,,"REBOUND DEF by BOULDIN,BLAKE",1
18:52,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",1
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",1
18:51,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
18:36,,0,,4 (+4),"GOOD JUMPER by ESSICK,JALEN(in the paint)",Rhodes 0-4 (-4),,"GOOD JUMPER by ESSICK,JALEN(in the paint)",1
18:15,"MISS LAYUP by CRUMP,JOHN(in the paint)",,,,,,,"MISS LAYUP by CRUMP,JOHN(in the paint)",1
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",1
18:11,"GOOD LAYUP by KAHL,COLIN(in the paint)",2,,4 (+2),,Sewan 2-4 (-2),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
17:50,,,,,"MISS 3PTR by ESSICK,JALEN",,,"MISS 3PTR by ESSICK,JALEN",1
--,,,,,"REBOUND OFF by WILLIAMS,ZAVIEN",,,"REBOUND OFF by WILLIAMS,ZAVIEN",1
17:44,,2,,7 (+5),"GOOD 3PTR by WILEY,KOKI",Rhodes 2-7 (-5),,"GOOD 3PTR by WILEY,KOKI",1
--,,,,,"ASSIST  by WILLIAMS,ZAVIEN",,,"ASSIST  by WILLIAMS,ZAVIEN",1
17:28,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",1
17:28,,,,,"STEAL  by GEORGETOWN II,ARNESS",,,"STEAL  by GEORGETOWN II,ARNESS",1
17:19,,,,,"TURNOVER  by WILEY,KOKI",,,"TURNOVER  by WILEY,KOKI",1
17:19,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",1
17:19,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",1
16:53,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
