Time Remaining,BREV,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
19:35,,,,,"MISS 3PTR by BOULDIN,BLAKE",,,"MISS 3PTR by BOULDIN,BLAKE",1
--,"REBOUND DEF by BLEYNAT,LUKE",,,,,,,"REBOUND DEF by BLEYNAT,LUKE",1
19:09,"MISS LAYUP by BLEYNAT,LUKE(in the paint)",,,,,,,"MISS LAYUP by BLEYNAT,LUKE(in the paint)",1
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",1
19:07,"FOUL  by BLEYNAT,LUKE",,,,,,,"FOUL  by BLEYNAT,LUKE",1
19:02,,,,,"TURNOVER  by AVALIANI,LUKA",,,"TURNOVER  by AVALIANI,LUKA",1
19:02,"STEAL  by BLEYNAT,LUKE",,,,,,,"STEAL  by BLEYNAT,LUKE",1
18:45,"MISS LAYUP by CARTER,QUINCY(in the paint)",,,,,,,"MISS LAYUP by CARTER,QUINCY(in the paint)",1
18:45,,,,,"BLOCK  by BOULDIN,BLAKE",,,"BLOCK  by BOULDIN,BLAKE",1
--,"REBOUND OFF by CARTER,QUINCY",,,,,,,"REBOUND OFF by CARTER,QUINCY",1
18:39,"MISS LAYUP by CARTER,QUINCY(in the paint)",,,,,,,"MISS LAYUP by CARTER,QUINCY(in the paint)",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
18:35,,0,,2 (+2),"GOOD LAYUP by MARR,RUSS(fastbreak)(in the paint)",Sewan 0-2 (+2),,"GOOD LAYUP by MARR,RUSS(fastbreak)(in the paint)",1
18:10,"GOOD JUMPER by BOYETTE,LB(in the paint)",2,,2,,BREV 2-2 (0),,"GOOD JUMPER by BOYETTE,LB(in the paint)",1
17:56,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
17:56,"STEAL  by BOYETTE,LB",,,,,,,"STEAL  by BOYETTE,LB",1
17:49,"GOOD JUMPER by BOYETTE,LB(fastbreak)",4 (+2),,2,,BREV 4-2 (-2),,"GOOD JUMPER by BOYETTE,LB(fastbreak)",1
17:26,,4,,4,"GOOD JUMPER by BOULDIN,BLAKE(in the paint)",Sewan 4-4 (0),,"GOOD JUMPER by BOULDIN,BLAKE(in the paint)",1
17:06,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
16:53,"TURNOVER  by BOYETTE,LB",,,,,,,"TURNOVER  by BOYETTE,LB",1
16:53,,,,,"STEAL  by AVALIANI,LUKA",,,"STEAL  by AVALIANI,LUKA",1
16:32,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
16:32,"STEAL  by REED,CHARLES",,,,,,,"STEAL  by REED,CHARLES",1
16:20,"GOOD 3PTR by BLEYNAT,LUKE",7 (+3),,4,,BREV 7-4 (-3),,"GOOD 3PTR by BLEYNAT,LUKE",1
--,"ASSIST  by REED,CHARLES",,,,,,,"ASSIST  by REED,CHARLES",1
16:02,,7 (+1),,6,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",Sewan 7-6 (-1),,"GOOD JUMPER by AVALIANI,LUKA(in the paint)",1
16:02,"FOUL  by BLEYNAT,LUKE",,,,,,,"FOUL  by BLEYNAT,LUKE",1
16:02,"SUB OUT by BLEYNAT,LUKE",,,,,,,"SUB OUT by BLEYNAT,LUKE",1
16:02,"SUB IN by PETERS,MICHAEL",,,,,,,"SUB IN by PETERS,MICHAEL",1
16:02,,,,,"MISS FT by AVALIANI,LUKA",,,"MISS FT by AVALIANI,LUKA",1
--,"REBOUND DEF by CARTER,QUINCY",,,,,,,"REBOUND DEF by CARTER,QUINCY",1
15:45,"GOOD JUMPER by REED,CHARLES(in the paint)",9 (+3),,6,,BREV 9-6 (-3),,"GOOD JUMPER by REED,CHARLES(in the paint)",1
15:31,,9,,9,"GOOD 3PTR by MARR,RUSS",Sewan 9-9 (0),,"GOOD 3PTR by MARR,RUSS",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
15:17,,,,,"FOUL  by BOULDIN,BLAKE",,,"FOUL  by BOULDIN,BLAKE",1
15:17,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:17,,,,,"SUB OUT by BOULDIN,BLAKE",,,"SUB OUT by BOULDIN,BLAKE",1
15:17,,,,,"SUB OUT by MARR,RUSS",,,"SUB OUT by MARR,RUSS",1
15:17,,,,,"SUB IN by PERUSEK,COLE",,,"SUB IN by PERUSEK,COLE",1
15:17,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
15:17,"GOOD FT by CARTER,QUINCY",10 (+1),,9,,BREV 10-9 (-1),,"GOOD FT by CARTER,QUINCY",1
15:17,"GOOD FT by CARTER,QUINCY",11 (+2),,9,,BREV 11-9 (-2),,"GOOD FT by CARTER,QUINCY",1
15:07,,,,,"TURNOVER  by CORRIGAN,TRE",,,"TURNOVER  by CORRIGAN,TRE",1
14:38,"MISS 3PTR by REED,CHARLES",,,,,,,"MISS 3PTR by REED,CHARLES",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
14:30,,11,,12 (+1),"GOOD 3PTR by CORRIGAN,TRE(fastbreak)",Sewan 11-12 (+1),,"GOOD 3PTR by CORRIGAN,TRE(fastbreak)",1
--,,,,,"ASSIST  by AVALIANI,LUKA",,,"ASSIST  by AVALIANI,LUKA",1
14:09,"GOOD JUMPER by CARTER,QUINCY(in the paint)",13 (+1),,12,,BREV 13-12 (-1),,"GOOD JUMPER by CARTER,QUINCY(in the paint)",1
--,"ASSIST  by REED,CHARLES",,,,,,,"ASSIST  by REED,CHARLES",1
13:48,,,,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",,,"MISS LAYUP by AVALIANI,LUKA(in the paint)",1
--,,,,,"REBOUND OFF by KAHL,COLIN",,,"REBOUND OFF by KAHL,COLIN",1
13:43,,13,,14 (+1),"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 13-14 (+1),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
13:25,,,,,"FOUL  by AVALIANI,LUKA",,,"FOUL  by AVALIANI,LUKA",1
13:25,,,,,"SUB OUT by AVALIANI,LUKA",,,"SUB OUT by AVALIANI,LUKA",1
13:25,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
13:25,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",1
13:25,,,,,"SUB IN by MARR,RUSS",,,"SUB IN by MARR,RUSS",1
13:25,"SUB OUT by CARTER,QUINCY",,,,,,,"SUB OUT by CARTER,QUINCY",1
13:25,"SUB IN by WHITE,SLY",,,,,,,"SUB IN by WHITE,SLY",1
13:17,"MISS 3PTR by SEALY,DAVID",,,,,,,"MISS 3PTR by SEALY,DAVID",1
--,,,,,"REBOUND DEF by PERUSEK,COLE",,,"REBOUND DEF by PERUSEK,COLE",1
13:00,,,,,"MISS 3PTR by MARR,RUSS",,,"MISS 3PTR by MARR,RUSS",1
--,"REBOUND DEF by WHITE,SLY",,,,,,,"REBOUND DEF by WHITE,SLY",1
12:45,"MISS 3PTR by PETERS,MICHAEL",,,,,,,"MISS 3PTR by PETERS,MICHAEL",1
--,,,,,"REBOUND DEF by CORRIGAN,TRE",,,"REBOUND DEF by CORRIGAN,TRE",1
12:29,,13,,17 (+4),"GOOD 3PTR by CORRIGAN,TRE",Sewan 13-17 (+4),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by MARR,RUSS",,,"ASSIST  by MARR,RUSS",1
12:26,"SUB OUT by REED,CHARLES",,,,,,,"SUB OUT by REED,CHARLES",1
12:26,"SUB OUT by WHITE,SLY",,,,,,,"SUB OUT by WHITE,SLY",1
12:26,"SUB IN by CASSELL,HAYDEN",,,,,,,"SUB IN by CASSELL,HAYDEN",1
12:26,"SUB IN by WATSON,CHANCEY",,,,,,,"SUB IN by WATSON,CHANCEY",1
12:18,"MISS LAYUP by PETERS,MICHAEL(in the paint)",,,,,,,"MISS LAYUP by PETERS,MICHAEL(in the paint)",1
12:18,,,,,"BLOCK  by BOULDIN,BLAKE",,,"BLOCK  by BOULDIN,BLAKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:13,"GOOD LAYUP by BOYETTE,LB(in the paint)",15,,17 (+2),,BREV 15-17 (+2),,"GOOD LAYUP by BOYETTE,LB(in the paint)",1
11:59,,15,,20 (+5),"GOOD 3PTR by CORRIGAN,TRE",Sewan 15-20 (+5),,"GOOD 3PTR by CORRIGAN,TRE",1
--,,,,,"ASSIST  by BOULDIN,BLAKE",,,"ASSIST  by BOULDIN,BLAKE",1
11:55,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:55,,,,,"SUB OUT by PERUSEK,COLE",,,"SUB OUT by PERUSEK,COLE",1
11:55,,,,,"SUB OUT by SMITH,GRAHAM",,,"SUB OUT by SMITH,GRAHAM",1
11:55,,,,,"SUB IN by AVALIANI,LUKA",,,"SUB IN by AVALIANI,LUKA",1
11:55,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
11:46,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
11:46,,,,,"SUB OUT by KAHL,COLIN",,,"SUB OUT by KAHL,COLIN",1
11:46,,,,,"SUB IN by SMITH,GRAHAM",,,"SUB IN by SMITH,GRAHAM",1
11:38,"TURNOVER  by PETERS,MICHAEL",,,,,,,"TURNOVER  by PETERS,MICHAEL",1
11:38,,,,,"STEAL  by CORRIGAN,TRE",,,"STEAL  by CORRIGAN,TRE",1
