Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,BEREA,Game Score,Team Indicator,Play,Period
19:43,,0,,3 (+3),"GOOD 3PTR by CAUDILL,ISAAC",BEREA 0-3 (-3),,"GOOD 3PTR by CAUDILL,ISAAC",1
--,,,,,"ASSIST  by MINTER,TREY",,,"ASSIST  by MINTER,TREY",1
19:25,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",1
--,,,,,"REBOUND DEF by CAUDILL,ISAAC",,,"REBOUND DEF by CAUDILL,ISAAC",1
19:18,,,,,"MISS LAYUP by HUDSON,KEVION(in the paint)",,,"MISS LAYUP by HUDSON,KEVION(in the paint)",1
--,"REBOUND DEF by PERUSEK,COLE",,,,,,,"REBOUND DEF by PERUSEK,COLE",1
19:00,"MISS 3PTR by BOULDIN,BLAKE",,,,,,,"MISS 3PTR by BOULDIN,BLAKE",1
--,,,,,"REBOUND DEF by CHARLTON,QUAE",,,"REBOUND DEF by CHARLTON,QUAE",1
18:46,,,,,"MISS 3PTR by MINTER,TREY",,,"MISS 3PTR by MINTER,TREY",1
--,"REBOUND DEF by PERUSEK,COLE",,,,,,,"REBOUND DEF by PERUSEK,COLE",1
18:34,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2,,3 (+1),,Sewan 2-3 (-1),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
18:14,,,,,"MISS 3PTR by HUDSON,KEVION",,,"MISS 3PTR by HUDSON,KEVION",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
18:00,"TURNOVER  by BOULDIN,BLAKE",,,,,,,"TURNOVER  by BOULDIN,BLAKE",1
18:00,,,,,"STEAL  by SPENCER,THOMAS",,,"STEAL  by SPENCER,THOMAS",1
17:53,"FOUL  by BOULDIN,BLAKE",,,,,,,"FOUL  by BOULDIN,BLAKE",1
17:36,,,,,"MISS JUMPER by HUDSON,KEVION",,,"MISS JUMPER by HUDSON,KEVION",1
17:34,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",1
17:34,,,,,"STEAL  by MINTER,TREY",,,"STEAL  by MINTER,TREY",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
17:28,"MISS LAYUP by PERUSEK,COLE(in the paint)",,,,,,,"MISS LAYUP by PERUSEK,COLE(in the paint)",1
17:28,,2,,5 (+3),"GOOD LAYUP by MINTER,TREY(fastbreak)(in the paint)",BEREA 2-5 (-3),,"GOOD LAYUP by MINTER,TREY(fastbreak)(in the paint)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:05,"GOOD LAYUP by CRUMP,JOHN(in the paint)",4,,5 (+1),,Sewan 4-5 (-1),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
17:01,"MISS FT by CRUMP,JOHN",,,,,,,"MISS FT by CRUMP,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:54,,,,,"FOUL  by HUDSON,KEVION",,,"FOUL  by HUDSON,KEVION",1
16:51,"FOUL  by CRUMP,JOHN",,,,,,,"FOUL  by CRUMP,JOHN",1
16:50,,,,,"MISS LAYUP by BOGGS,TYLER(in the paint)",,,"MISS LAYUP by BOGGS,TYLER(in the paint)",1
16:50,"BLOCK  by KAHL,COLIN",,,,,,,"BLOCK  by KAHL,COLIN",1
16:44,,,,,"SUB OUT by HUDSON,KEVION",,,"SUB OUT by HUDSON,KEVION",1
16:44,,,,,"SUB IN by BOGGS,TYLER",,,"SUB IN by BOGGS,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:30,,4,,7 (+3),"GOOD JUMPER by MINTER,TREY(in the paint)",BEREA 4-7 (-3),,"GOOD JUMPER by MINTER,TREY(in the paint)",1
16:09,,,,,"FOUL  by BOGGS,TYLER",,,"FOUL  by BOGGS,TYLER",1
16:09,,,,,"SUB OUT by CHARLTON,QUAE",,,"SUB OUT by CHARLTON,QUAE",1
16:09,,,,,"SUB IN by MACKEY,MARQUIS",,,"SUB IN by MACKEY,MARQUIS",1
16:06,"GOOD 3PTR by CORRIGAN,TRE",7,,7,,Sewan 7-7 (0),,"GOOD 3PTR by CORRIGAN,TRE",1
--,"ASSIST  by BOULDIN,BLAKE",,,,,,,"ASSIST  by BOULDIN,BLAKE",1
15:53,,,,,"MISS 3PTR by CAUDILL,ISAAC",,,"MISS 3PTR by CAUDILL,ISAAC",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
15:33,"GOOD LAYUP by CRUMP,JOHN(in the paint)",9 (+2),,7,,Sewan 9-7 (+2),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",1
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",1
15:17,,,,,"TURNOVER  by CAUDILL,ISAAC",,,"TURNOVER  by CAUDILL,ISAAC",1
15:17,"STEAL  by CORRIGAN,TRE",,,,,,,"STEAL  by CORRIGAN,TRE",1
14:59,"MISS 3PTR by PERUSEK,COLE",,,,,,,"MISS 3PTR by PERUSEK,COLE",1
--,,,,,"REBOUND DEF by BOGGS,TYLER",,,"REBOUND DEF by BOGGS,TYLER",1
14:51,,,,,"MISS LAYUP by MINTER,TREY(in the paint)",,,"MISS LAYUP by MINTER,TREY(in the paint)",1
--,,,,,"REBOUND OFF by BOGGS,TYLER",,,"REBOUND OFF by BOGGS,TYLER",1
14:39,,9,,9,"GOOD LAYUP by MINTER,TREY(in the paint)",BEREA 9-9 (0),,"GOOD LAYUP by MINTER,TREY(in the paint)",1
--,,,,,"ASSIST  by MACKEY,MARQUIS",,,"ASSIST  by MACKEY,MARQUIS",1
14:22,"GOOD 3PTR by PERUSEK,COLE",12 (+3),,9,,Sewan 12-9 (+3),,"GOOD 3PTR by PERUSEK,COLE",1
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",1
14:06,,,,,"MISS 3PTR by SPENCER,THOMAS",,,"MISS 3PTR by SPENCER,THOMAS",1
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",1
13:35,"MISS 3PTR by PERUSEK,COLE",,,,,,,"MISS 3PTR by PERUSEK,COLE",1
--,,,,,"REBOUND DEF by BOGGS,TYLER",,,"REBOUND DEF by BOGGS,TYLER",1
13:32,"FOUL  by BOULDIN,BLAKE",,,,,,,"FOUL  by BOULDIN,BLAKE",1
13:32,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:32,,,,,"SUB OUT by MINTER,TREY",,,"SUB OUT by MINTER,TREY",1
13:32,,,,,"SUB OUT by CAUDILL,ISAAC",,,"SUB OUT by CAUDILL,ISAAC",1
13:32,,,,,"SUB OUT by SPENCER,THOMAS",,,"SUB OUT by SPENCER,THOMAS",1
