Time Remaining,Berry,Away Team Score,Play Team Indicator,Home Team Score,Sewan,Game Score,Team Indicator,Play,Period
19:44,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
--,"REBOUND OFF by BROOKS,AUSTIN",,,,,,,"REBOUND OFF by BROOKS,AUSTIN",1
19:40,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by BOULDIN,BLAKE",,,"REBOUND DEF by BOULDIN,BLAKE",1
19:27,,,,,"MISS LAYUP by KAHL,COLIN(in the paint)",,,"MISS LAYUP by KAHL,COLIN(in the paint)",1
--,"REBOUND DEF by BROOKS,AUSTIN",,,,,,,"REBOUND DEF by BROOKS,AUSTIN",1
19:20,"GOOD LAYUP by BROOKS,AUSTIN(fastbreak)(in the paint)",2 (+2),,0,,Berry 2-0 (-2),,"GOOD LAYUP by BROOKS,AUSTIN(fastbreak)(in the paint)",1
--,"ASSIST  by COSTAS,RILEY",,,,,,,"ASSIST  by COSTAS,RILEY",1
18:58,,2,,2,"GOOD LAYUP by KAHL,COLIN(in the paint)",Sewan 2-2 (0),,"GOOD LAYUP by KAHL,COLIN(in the paint)",1
18:36,"MISS LAYUP by COSTAS,RILEY(in the paint)",,,,,,,"MISS LAYUP by COSTAS,RILEY(in the paint)",1
--,,,,,"REBOUND DEF by MARR,RUSS",,,"REBOUND DEF by MARR,RUSS",1
18:18,,,,,"MISS LAYUP by MARR,RUSS(in the paint)",,,"MISS LAYUP by MARR,RUSS(in the paint)",1
--,,,,,"REBOUND OFF by MARR,RUSS",,,"REBOUND OFF by MARR,RUSS",1
18:16,,2,,4 (+2),"GOOD LAYUP by MARR,RUSS(in the paint)",Sewan 2-4 (+2),,"GOOD LAYUP by MARR,RUSS(in the paint)",1
18:04,,,,,"FOUL  by KAHL,COLIN",,,"FOUL  by KAHL,COLIN",1
17:52,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",,,,,,,"MISS LAYUP by BROOKS,AUSTIN(in the paint)",1
--,,,,,"REBOUND DEF by AVALIANI,LUKA",,,"REBOUND DEF by AVALIANI,LUKA",1
17:46,,,,,"MISS 3PTR by KAHL,COLIN",,,"MISS 3PTR by KAHL,COLIN",1
--,"REBOUND DEF by HONROTH,OWEN",,,,,,,"REBOUND DEF by HONROTH,OWEN",1
17:28,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",4,,4,,Berry 4-4 (0),,"GOOD LAYUP by BROOKS,AUSTIN(in the paint)",1
