Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,OUMBB,Game Score,Team Indicator,Play,Period
19:46,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",1
19:44,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",1
19:39,,0,,3 (+3),"GOOD 3PTR by CHAMBERS,DIMETRI",OUMBB 0-3 (-3),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",1
19:22,"MISS JUMPER by KAHL,COLIN",,,,,,,"MISS JUMPER by KAHL,COLIN",1
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",1
19:10,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
19:10,,0,,4 (+4),"GOOD FT by JENEI,RYAN",OUMBB 0-4 (-4),,"GOOD FT by JENEI,RYAN",1
19:10,,0,,5 (+5),"GOOD FT by JENEI,RYAN",OUMBB 0-5 (-5),,"GOOD FT by JENEI,RYAN",1
18:58,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
18:57,,,,,"STEAL  by EZIGBO,UBA",,,"STEAL  by EZIGBO,UBA",1
18:51,,,,,"MISS JUMPER by EZIGBO,UBA",,,"MISS JUMPER by EZIGBO,UBA",1
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",1
18:47,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
18:46,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",1
18:45,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",1
--,,,,,"REBOUND OFF by JENEI,RYAN",,,"REBOUND OFF by JENEI,RYAN",1
18:42,,0,,7 (+7),"GOOD TIPIN by JENEI,RYAN(in the paint)",OUMBB 0-7 (-7),,"GOOD TIPIN by JENEI,RYAN(in the paint)",1
18:20,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",1
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",1
