Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
16:11,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",1
16:11,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",1
16:11,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",1
15:53,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",1
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",1
15:49,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",1
15:48,,,,,"STEAL  by FOOTE,JORDAN",,,"STEAL  by FOOTE,JORDAN",1
15:42,,,,,"MISS 3PTR by JOLLY,RYAN",,,"MISS 3PTR by JOLLY,RYAN",1
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",1
15:25,"MISS JUMPER by AVALIANI,LUKA",,,,,,,"MISS JUMPER by AVALIANI,LUKA",1
--,,,,,"REBOUND DEF by FOOTE,JORDAN",,,"REBOUND DEF by FOOTE,JORDAN",1
15:16,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",1
15:16,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
15:01,,8,,11 (+3),"GOOD LAYUP by FOOTE,JORDAN(in the paint)",PUM 8-11 (-3),,"GOOD LAYUP by FOOTE,JORDAN(in the paint)",1
14:31,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",1
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",1
14:16,,,,,"MISS JUMPER by FOOTE,JORDAN",,,"MISS JUMPER by FOOTE,JORDAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:15,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",1
14:15,,,,,"SUB IN by MEELER,DALTON",,,"SUB IN by MEELER,DALTON",1
14:15,,,,,"SUB OUT by EASTON,EVAN",,,"SUB OUT by EASTON,EVAN",1
13:58,,,,,"MISS JUMPER by FOOTE,JORDAN",,,"MISS JUMPER by FOOTE,JORDAN",1
--,"REBOUND DEF by CRUMP,JOHN",,,,,,,"REBOUND DEF by CRUMP,JOHN",1
