Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,PUM,Game Score,Team Indicator,Play,Period
17:59,,,,,"FOUL  by PALMER,AARON",,,"FOUL  by PALMER,AARON",2
17:33,"FOUL  by CORRIGAN,TRE",,,,,,,"FOUL  by CORRIGAN,TRE",2
17:31,"FOUL  by BOULDIN,BLAKE",,,,,,,"FOUL  by BOULDIN,BLAKE",2
17:29,,36,,44 (+8),"GOOD JUMPER by EASTON,EVAN(in the paint)",PUM 36-44 (-8),,"GOOD JUMPER by EASTON,EVAN(in the paint)",2
17:12,"GOOD 3PTR by CRUMP,JOHN",39,,44 (+5),,SEWANEE 39-44 (-5),,"GOOD 3PTR by CRUMP,JOHN",2
--,"ASSIST  by KAHL,COLIN",,,,,,,"ASSIST  by KAHL,COLIN",2
16:58,,39,,46 (+7),"GOOD LAYUP by FOOTE,JORDAN(in the paint)",PUM 39-46 (-7),,"GOOD LAYUP by FOOTE,JORDAN(in the paint)",2
--,,,,,"ASSIST  by QUICK,JUSTIN",,,"ASSIST  by QUICK,JUSTIN",2
16:44,"MISS 3PTR by PERUSEK,COLE",,,,,,,"MISS 3PTR by PERUSEK,COLE",2
--,"REBOUND OFF by CRUMP,JOHN",,,,,,,"REBOUND OFF by CRUMP,JOHN",2
16:39,"GOOD LAYUP by KAHL,COLIN(in the paint)",41,,46 (+5),,SEWANEE 41-46 (-5),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
16:17,,41,,48 (+7),"GOOD LAYUP by FOOTE,JORDAN(in the paint)",PUM 41-48 (-7),,"GOOD LAYUP by FOOTE,JORDAN(in the paint)",2
--,,,,,"ASSIST  by QUICK,JUSTIN",,,"ASSIST  by QUICK,JUSTIN",2
16:05,,,,,"FOUL  by FOOTE,JORDAN",,,"FOUL  by FOOTE,JORDAN",2
16:05,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",2
16:05,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",2
16:05,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",2
16:05,"SUB OUT by PERUSEK,COLE",,,,,,,"SUB OUT by PERUSEK,COLE",2
15:58,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by FOOTE,JORDAN",,,"REBOUND DEF by FOOTE,JORDAN",2
15:27,,,,,"MISS JUMPER by JOLLY,RYAN",,,"MISS JUMPER by JOLLY,RYAN",2
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",2
15:15,"GOOD LAYUP by KAHL,COLIN(in the paint)",43,,48 (+5),,SEWANEE 43-48 (-5),,"GOOD LAYUP by KAHL,COLIN(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
14:55,,43,,50 (+7),"GOOD LAYUP by QUICK,JUSTIN(in the paint)",PUM 43-50 (-7),,"GOOD LAYUP by QUICK,JUSTIN(in the paint)",2
14:44,,,,,"FOUL  by CLEMENTS-OWENS,ORRY",,,"FOUL  by CLEMENTS-OWENS,ORRY",2
14:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
14:44,,,,,"SUB IN by MEELER,DALTON",,,"SUB IN by MEELER,DALTON",2
14:44,,,,,"SUB OUT by EASTON,EVAN",,,"SUB OUT by EASTON,EVAN",2
14:30,"GOOD 3PTR by CORRIGAN,TRE",46,,50 (+4),,SEWANEE 46-50 (-4),,"GOOD 3PTR by CORRIGAN,TRE",2
--,"ASSIST  by AVALIANI,LUKA",,,,,,,"ASSIST  by AVALIANI,LUKA",2
14:16,,,,,"SUB IN by RICHTER,WILL",,,"SUB IN by RICHTER,WILL",2
14:16,,,,,"SUB OUT by JOLLY,RYAN",,,"SUB OUT by JOLLY,RYAN",2
14:07,,46,,53 (+7),"GOOD 3PTR by RICHTER,WILL",PUM 46-53 (-7),,"GOOD 3PTR by RICHTER,WILL",2
--,,,,,"ASSIST  by QUICK,JUSTIN",,,"ASSIST  by QUICK,JUSTIN",2
13:44,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:31,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",2
--,,,,,"REBOUND DEF by CLEMENTS-OWENS,ORRY",,,"REBOUND DEF by CLEMENTS-OWENS,ORRY",2
13:22,,46,,55 (+9),"GOOD LAYUP by FOOTE,JORDAN(in the paint)",PUM 46-55 (-9),,"GOOD LAYUP by FOOTE,JORDAN(in the paint)",2
--,,,,,"ASSIST  by CLEMENTS-OWENS,ORRY",,,"ASSIST  by CLEMENTS-OWENS,ORRY",2
13:01,"MISS 3PTR by CRUMP,JOHN",,,,,,,"MISS 3PTR by CRUMP,JOHN",2
13:01,,,,,"BLOCK  by FOOTE,JORDAN",,,"BLOCK  by FOOTE,JORDAN",2
--,,,,,"REBOUND DEF by QUICK,JUSTIN",,,"REBOUND DEF by QUICK,JUSTIN",2
12:56,,46,,57 (+11),"GOOD LAYUP by QUICK,JUSTIN(fastbreak)(in the paint)",PUM 46-57 (-11),,"GOOD LAYUP by QUICK,JUSTIN(fastbreak)(in the paint)",2
12:56,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
12:56,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
12:56,,46,,58 (+12),"GOOD FT by QUICK,JUSTIN",PUM 46-58 (-12),,"GOOD FT by QUICK,JUSTIN",2
12:28,"GOOD 3PTR by MARR,RUSS",49,,58 (+9),,SEWANEE 49-58 (-9),,"GOOD 3PTR by MARR,RUSS",2
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",2
12:12,,49,,60 (+11),"GOOD LAYUP by RICHTER,WILL(in the paint)",PUM 49-60 (-11),,"GOOD LAYUP by RICHTER,WILL(in the paint)",2
--,,,,,"ASSIST  by FOOTE,JORDAN",,,"ASSIST  by FOOTE,JORDAN",2
11:59,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,2
11:48,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by MEELER,DALTON",,,"REBOUND DEF by MEELER,DALTON",2
11:41,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
11:39,,,,,"MISS LAYUP by FOOTE,JORDAN",,,"MISS LAYUP by FOOTE,JORDAN",2
--,"REBOUND DEF by KAHL,COLIN",,,,,,,"REBOUND DEF by KAHL,COLIN",2
11:26,"GOOD LAYUP by CRUMP,JOHN(in the paint)",51,,60 (+9),,SEWANEE 51-60 (-9),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
11:09,,51,,62 (+11),"GOOD LAYUP by RICHTER,WILL(in the paint)",PUM 51-62 (-11),,"GOOD LAYUP by RICHTER,WILL(in the paint)",2
--,,,,,"ASSIST  by FOOTE,JORDAN",,,"ASSIST  by FOOTE,JORDAN",2
10:47,"MISS JUMPER by AVALIANI,LUKA",,,,,,,"MISS JUMPER by AVALIANI,LUKA",2
--,"REBOUND OFF by KAHL,COLIN",,,,,,,"REBOUND OFF by KAHL,COLIN",2
10:44,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by QUICK,JUSTIN",,,"REBOUND DEF by QUICK,JUSTIN",2
10:39,"SUB IN by BOULDIN,BLAKE",,,,,,,"SUB IN by BOULDIN,BLAKE",2
10:39,"SUB OUT by KAHL,COLIN",,,,,,,"SUB OUT by KAHL,COLIN",2
10:39,,,,,"SUB IN by PALMER,AARON",,,"SUB IN by PALMER,AARON",2
10:39,,,,,"SUB IN by JOLLY,RYAN",,,"SUB IN by JOLLY,RYAN",2
10:39,,,,,"SUB OUT by QUICK,JUSTIN",,,"SUB OUT by QUICK,JUSTIN",2
10:39,,,,,"SUB OUT by CLEMENTS-OWENS,ORRY",,,"SUB OUT by CLEMENTS-OWENS,ORRY",2
10:23,,,,,"TURNOVER  by PALMER,AARON",,,"TURNOVER  by PALMER,AARON",2
10:23,,,,,"FOUL  by PALMER,AARON",,,"FOUL  by PALMER,AARON",2
10:07,"TURNOVER  by CORRIGAN,TRE",,,,,,,"TURNOVER  by CORRIGAN,TRE",2
10:07,,,,,"STEAL  by JOLLY,RYAN",,,"STEAL  by JOLLY,RYAN",2
09:55,,,,,"MISS JUMPER by JOLLY,RYAN",,,"MISS JUMPER by JOLLY,RYAN",2
09:55,"BLOCK  by MARR,RUSS",,,,,,,"BLOCK  by MARR,RUSS",2
--,,,,,"REBOUND OFF by JOLLY,RYAN",,,"REBOUND OFF by JOLLY,RYAN",2
09:42,,,,,"MISS JUMPER by MEELER,DALTON",,,"MISS JUMPER by MEELER,DALTON",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
09:28,,,,,"FOUL  by MEELER,DALTON",,,"FOUL  by MEELER,DALTON",2
09:28,"SUB IN by SMITH,GRAHAM",,,,,,,"SUB IN by SMITH,GRAHAM",2
09:28,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
09:28,,,,,"SUB IN by EASTON,EVAN",,,"SUB IN by EASTON,EVAN",2
09:28,,,,,"SUB OUT by MEELER,DALTON",,,"SUB OUT by MEELER,DALTON",2
09:10,"MISS 3PTR by AVALIANI,LUKA",,,,,,,"MISS 3PTR by AVALIANI,LUKA",2
--,,,,,"REBOUND DEF by JOLLY,RYAN",,,"REBOUND DEF by JOLLY,RYAN",2
08:57,,,,,"MISS LAYUP by QUICK,JUSTIN",,,"MISS LAYUP by QUICK,JUSTIN",2
--,,,,,"REBOUND OFF by QUICK,JUSTIN",,,"REBOUND OFF by QUICK,JUSTIN",2
08:48,,,,,"MISS LAYUP by JOLLY,RYAN",,,"MISS LAYUP by JOLLY,RYAN",2
--,"REBOUND DEF by BOULDIN,BLAKE",,,,,,,"REBOUND DEF by BOULDIN,BLAKE",2
08:40,"GOOD 3PTR by BOULDIN,BLAKE",54,,62 (+8),,SEWANEE 54-62 (-8),,"GOOD 3PTR by BOULDIN,BLAKE",2
--,"ASSIST  by CRUMP,JOHN",,,,,,,"ASSIST  by CRUMP,JOHN",2
08:20,,,,,"MISS LAYUP by RICHTER,WILL",,,"MISS LAYUP by RICHTER,WILL",2
--,,,,,"REBOUND OFF by EASTON,EVAN",,,"REBOUND OFF by EASTON,EVAN",2
08:16,,54,,64 (+10),"GOOD TIPIN by EASTON,EVAN(in the paint)",PUM 54-64 (-10),,"GOOD TIPIN by EASTON,EVAN(in the paint)",2
08:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:16,"SUB IN by KAHL,COLIN",,,,,,,"SUB IN by KAHL,COLIN",2
08:16,"SUB OUT by AVALIANI,LUKA",,,,,,,"SUB OUT by AVALIANI,LUKA",2
08:16,,,,,"SUB IN by QUICK,JUSTIN",,,"SUB IN by QUICK,JUSTIN",2
08:16,,,,,"SUB OUT by FOOTE,JORDAN",,,"SUB OUT by FOOTE,JORDAN",2
07:54,,,,,"FOUL  by QUICK,JUSTIN",,,"FOUL  by QUICK,JUSTIN",2
07:54,"MISS FT by SMITH,GRAHAM",,,,,,,"MISS FT by SMITH,GRAHAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:54,"GOOD FT by SMITH,GRAHAM",55,,64 (+9),,SEWANEE 55-64 (-9),,"GOOD FT by SMITH,GRAHAM",2
07:54,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
07:54,"SUB OUT by CRUMP,JOHN",,,,,,,"SUB OUT by CRUMP,JOHN",2
07:54,,,,,"SUB IN by CLEMENTS-OWENS,ORRY",,,"SUB IN by CLEMENTS-OWENS,ORRY",2
07:54,,,,,"SUB OUT by QUICK,JUSTIN",,,"SUB OUT by QUICK,JUSTIN",2
07:42,"FOUL  by BOULDIN,BLAKE",,,,,,,"FOUL  by BOULDIN,BLAKE",2
07:42,,55,,65 (+10),"GOOD FT by EASTON,EVAN",PUM 55-65 (-10),,"GOOD FT by EASTON,EVAN",2
07:42,,55,,66 (+11),"GOOD FT by EASTON,EVAN",PUM 55-66 (-11),,"GOOD FT by EASTON,EVAN",2
07:42,"SUB IN by PERUSEK,COLE",,,,,,,"SUB IN by PERUSEK,COLE",2
07:42,"SUB OUT by BOULDIN,BLAKE",,,,,,,"SUB OUT by BOULDIN,BLAKE",2
07:15,"MISS LAYUP by SMITH,GRAHAM",,,,,,,"MISS LAYUP by SMITH,GRAHAM",2
07:15,,,,,"BLOCK  by JOLLY,RYAN",,,"BLOCK  by JOLLY,RYAN",2
--,,,,,"REBOUND DEF by RICHTER,WILL",,,"REBOUND DEF by RICHTER,WILL",2
07:10,,,,,"TURNOVER  by RICHTER,WILL",,,"TURNOVER  by RICHTER,WILL",2
07:09,"STEAL  by CORRIGAN,TRE",,,,,,,"STEAL  by CORRIGAN,TRE",2
07:07,"GOOD LAYUP by SMITH,GRAHAM(fastbreak)(in the paint)",57,,66 (+9),,SEWANEE 57-66 (-9),,"GOOD LAYUP by SMITH,GRAHAM(fastbreak)(in the paint)",2
--,"ASSIST  by CORRIGAN,TRE",,,,,,,"ASSIST  by CORRIGAN,TRE",2
06:51,,,,,"TURNOVER  by JOLLY,RYAN",,,"TURNOVER  by JOLLY,RYAN",2
06:51,"STEAL  by CORRIGAN,TRE",,,,,,,"STEAL  by CORRIGAN,TRE",2
06:51,"SUB IN by CRUMP,JOHN",,,,,,,"SUB IN by CRUMP,JOHN",2
06:51,"SUB OUT by PERUSEK,COLE",,,,,,,"SUB OUT by PERUSEK,COLE",2
06:31,"GOOD LAYUP by CRUMP,JOHN(in the paint)",59,,66 (+7),,SEWANEE 59-66 (-7),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
06:31,,,,,"FOUL  by JOLLY,RYAN",,,"FOUL  by JOLLY,RYAN",2
06:31,"GOOD FT by CRUMP,JOHN",60,,66 (+6),,SEWANEE 60-66 (-6),,"GOOD FT by CRUMP,JOHN",2
06:31,"SUB IN by AVALIANI,LUKA",,,,,,,"SUB IN by AVALIANI,LUKA",2
06:31,"SUB OUT by MARR,RUSS",,,,,,,"SUB OUT by MARR,RUSS",2
06:31,,,,,"SUB IN by FOOTE,JORDAN",,,"SUB IN by FOOTE,JORDAN",2
06:31,,,,,"SUB IN by QUICK,JUSTIN",,,"SUB IN by QUICK,JUSTIN",2
06:31,,,,,"SUB OUT by PALMER,AARON",,,"SUB OUT by PALMER,AARON",2
06:31,,,,,"SUB OUT by JOLLY,RYAN",,,"SUB OUT by JOLLY,RYAN",2
06:16,,,,,"TURNOVER  by QUICK,JUSTIN",,,"TURNOVER  by QUICK,JUSTIN",2
05:50,"TURNOVER  by KAHL,COLIN",,,,,,,"TURNOVER  by KAHL,COLIN",2
05:50,"FOUL  by KAHL,COLIN",,,,,,,"FOUL  by KAHL,COLIN",2
05:23,,,,,"MISS LAYUP by FOOTE,JORDAN",,,"MISS LAYUP by FOOTE,JORDAN",2
05:23,"BLOCK  by SMITH,GRAHAM",,,,,,,"BLOCK  by SMITH,GRAHAM",2
--,,,,,"REBOUND OFF by EASTON,EVAN",,,"REBOUND OFF by EASTON,EVAN",2
05:17,,60,,68 (+8),"GOOD LAYUP by EASTON,EVAN(in the paint)",PUM 60-68 (-8),,"GOOD LAYUP by EASTON,EVAN(in the paint)",2
05:03,"GOOD LAYUP by CRUMP,JOHN(in the paint)",62,,68 (+6),,SEWANEE 62-68 (-6),,"GOOD LAYUP by CRUMP,JOHN(in the paint)",2
04:35,,62,,70 (+8),"GOOD JUMPER by RICHTER,WILL",PUM 62-70 (-8),,"GOOD JUMPER by RICHTER,WILL",2
--,,,,,"ASSIST  by CLEMENTS-OWENS,ORRY",,,"ASSIST  by CLEMENTS-OWENS,ORRY",2
04:35,"FOUL  by SMITH,GRAHAM",,,,,,,"FOUL  by SMITH,GRAHAM",2
04:35,,,,,"MISS FT by RICHTER,WILL",,,"MISS FT by RICHTER,WILL",2
--,,,,,"REBOUND OFF by EASTON,EVAN",,,"REBOUND OFF by EASTON,EVAN",2
04:15,,62,,73 (+11),"GOOD 3PTR by RICHTER,WILL",PUM 62-73 (-11),,"GOOD 3PTR by RICHTER,WILL",2
--,,,,,"ASSIST  by QUICK,JUSTIN",,,"ASSIST  by QUICK,JUSTIN",2
04:04,"SUB IN by MARR,RUSS",,,,,,,"SUB IN by MARR,RUSS",2
04:04,"SUB OUT by CORRIGAN,TRE",,,,,,,"SUB OUT by CORRIGAN,TRE",2
03:55,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",2
03:54,,,,,"STEAL  by RICHTER,WILL",,,"STEAL  by RICHTER,WILL",2
03:34,,,,,"TURNOVER  by QUICK,JUSTIN",,,"TURNOVER  by QUICK,JUSTIN",2
03:33,"STEAL  by KAHL,COLIN",,,,,,,"STEAL  by KAHL,COLIN",2
03:29,"TURNOVER  by AVALIANI,LUKA",,,,,,,"TURNOVER  by AVALIANI,LUKA",2
03:29,"FOUL  by AVALIANI,LUKA",,,,,,,"FOUL  by AVALIANI,LUKA",2
03:29,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:29,"SUB IN by CORRIGAN,TRE",,,,,,,"SUB IN by CORRIGAN,TRE",2
03:29,"SUB OUT by SMITH,GRAHAM",,,,,,,"SUB OUT by SMITH,GRAHAM",2
03:02,"FOUL  by MARR,RUSS",,,,,,,"FOUL  by MARR,RUSS",2
03:02,,,,,"MISS FT by FOOTE,JORDAN",,,"MISS FT by FOOTE,JORDAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:02,,62,,74 (+12),"GOOD FT by FOOTE,JORDAN",PUM 62-74 (-12),,"GOOD FT by FOOTE,JORDAN",2
02:52,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",2
02:51,,,,,"STEAL  by FOOTE,JORDAN",,,"STEAL  by FOOTE,JORDAN",2
02:37,,62,,76 (+14),"GOOD LAYUP by FOOTE,JORDAN(in the paint)",PUM 62-76 (-14),,"GOOD LAYUP by FOOTE,JORDAN(in the paint)",2
--,,,,,"ASSIST  by CLEMENTS-OWENS,ORRY",,,"ASSIST  by CLEMENTS-OWENS,ORRY",2
02:26,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by EASTON,EVAN",,,"REBOUND DEF by EASTON,EVAN",2
02:02,,,,,"MISS JUMPER by CLEMENTS-OWENS,ORRY",,,"MISS JUMPER by CLEMENTS-OWENS,ORRY",2
--,"REBOUND DEF by MARR,RUSS",,,,,,,"REBOUND DEF by MARR,RUSS",2
01:50,"MISS 3PTR by CORRIGAN,TRE",,,,,,,"MISS 3PTR by CORRIGAN,TRE",2
--,,,,,"REBOUND DEF by FOOTE,JORDAN",,,"REBOUND DEF by FOOTE,JORDAN",2
01:25,,,,,"MISS LAYUP by RICHTER,WILL",,,"MISS LAYUP by RICHTER,WILL",2
--,"REBOUND DEF by CORRIGAN,TRE",,,,,,,"REBOUND DEF by CORRIGAN,TRE",2
01:15,"MISS 3PTR by KAHL,COLIN",,,,,,,"MISS 3PTR by KAHL,COLIN",2
--,,,,,"REBOUND DEF by FOOTE,JORDAN",,,"REBOUND DEF by FOOTE,JORDAN",2
00:50,,62,,78 (+16),"GOOD LAYUP by EASTON,EVAN(in the paint)",PUM 62-78 (-16),,"GOOD LAYUP by EASTON,EVAN(in the paint)",2
00:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:46,,,,,"SUB IN by PALMER,AARON",,,"SUB IN by PALMER,AARON",2
00:46,,,,,"SUB IN by MEELER,DALTON",,,"SUB IN by MEELER,DALTON",2
00:46,,,,,"SUB IN by REARDON,NOAH",,,"SUB IN by REARDON,NOAH",2
00:46,,,,,"SUB OUT by FOOTE,JORDAN",,,"SUB OUT by FOOTE,JORDAN",2
00:46,,,,,"SUB OUT by QUICK,JUSTIN",,,"SUB OUT by QUICK,JUSTIN",2
00:46,,,,,"SUB OUT by EASTON,EVAN",,,"SUB OUT by EASTON,EVAN",2
00:32,"TURNOVER  by CRUMP,JOHN",,,,,,,"TURNOVER  by CRUMP,JOHN",2
00:21,,,,,"MISS LAYUP by CLEMENTS-OWENS,ORRY",,,"MISS LAYUP by CLEMENTS-OWENS,ORRY",2
--,,,,,"REBOUND OFF by RICHTER,WILL",,,"REBOUND OFF by RICHTER,WILL",2
00:19,,62,,80 (+18),"GOOD LAYUP by RICHTER,WILL(in the paint)",PUM 62-80 (-18),,"GOOD LAYUP by RICHTER,WILL(in the paint)",2
00:12,"MISS 3PTR by MARR,RUSS",,,,,,,"MISS 3PTR by MARR,RUSS",2
--,,,,,"REBOUND DEF by RICHTER,WILL",,,"REBOUND DEF by RICHTER,WILL",2
