Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:46,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
19:45,,,,,"STEAL  by CRUMLY,WILL",,,"STEAL  by CRUMLY,WILL",1
19:37,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:13,"GOOD 3PTR by SMITH,LUKE",3 (+3),,0,,SEWANEE 3-0 (+3),,"GOOD 3PTR by SMITH,LUKE",1
19:01,,,,,"MISS JUMPER by CRUMLY,WILL",,,"MISS JUMPER by CRUMLY,WILL",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
18:46,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
18:45,,,,,"STEAL  by CRUMLY,WILL",,,"STEAL  by CRUMLY,WILL",1
18:40,,,,,"MISS LAYUP by PALMER,NICK",,,"MISS LAYUP by PALMER,NICK",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
18:32,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
18:31,,,,,"STEAL  by SPRAGG,BAILEY",,,"STEAL  by SPRAGG,BAILEY",1
18:28,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
18:28,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
18:28,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
18:12,,,,,"MISS LAYUP by SPRAGG,BAILEY",,,"MISS LAYUP by SPRAGG,BAILEY",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
17:52,"GOOD 3PTR by SMITH,LUKE",6 (+6),,0,,SEWANEE 6-0 (+6),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by LEE,MATT",,,,,,,"ASSIST  by LEE,MATT",1
17:40,,6 (+4),,2,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",CCM 6-2 (+4),,"GOOD LAYUP by SPRAGG,BAILEY(in the paint)",1
17:11,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",1
17:10,,,,,"STEAL  by SPRAGG,BAILEY",,,"STEAL  by SPRAGG,BAILEY",1
16:51,,,,,"MISS 3PTR by PALMER,NICK",,,"MISS 3PTR by PALMER,NICK",1
--,,,,,"REBOUND OFF by CRUMLY,WILL",,,"REBOUND OFF by CRUMLY,WILL",1
16:45,,,,,"TURNOVER  by CRUMLY,WILL",,,"TURNOVER  by CRUMLY,WILL",1
16:44,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
16:41,"GOOD LAYUP by CALDWELL,CAM(fastbreak)(in the paint)",8 (+6),,2,,SEWANEE 8-2 (+6),,"GOOD LAYUP by CALDWELL,CAM(fastbreak)(in the paint)",1
16:28,,,,,"SUB IN by BRYAN,WILLIAM",,,"SUB IN by BRYAN,WILLIAM",1
16:28,,,,,"SUB OUT by CRUMLY,WILL",,,"SUB OUT by CRUMLY,WILL",1
16:13,,,,,"TURNOVER  by PALMER,NICK",,,"TURNOVER  by PALMER,NICK",1
16:12,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
15:49,"GOOD 3PTR by LEE,MATT",11 (+9),,2,,SEWANEE 11-2 (+9),,"GOOD 3PTR by LEE,MATT",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
15:35,,,,,"TURNOVER  by MITCHELL,JAMES",,,"TURNOVER  by MITCHELL,JAMES",1
15:35,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:35,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
15:35,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
15:35,"SUB OUT by SMITH,LUKE",,,,,,,"SUB OUT by SMITH,LUKE",1
15:35,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
15:35,,,,,"SUB IN by ROUNDTREE,TAVIAN",,,"SUB IN by ROUNDTREE,TAVIAN",1
15:35,,,,,"SUB IN by OETJEN,NOAH",,,"SUB IN by OETJEN,NOAH",1
15:35,,,,,"SUB OUT by MITCHELL,JAMES",,,"SUB OUT by MITCHELL,JAMES",1
15:35,,,,,"SUB OUT by HOLLIS,MITCHELL",,,"SUB OUT by HOLLIS,MITCHELL",1
15:19,"GOOD LAYUP by CALDWELL,CAM(in the paint)",13 (+11),,2,,SEWANEE 13-2 (+11),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
15:02,,13 (+9),,4,"GOOD JUMPER by BRYAN,WILLIAM",CCM 13-4 (+9),,"GOOD JUMPER by BRYAN,WILLIAM",1
14:38,"GOOD LAYUP by CALDWELL,CAM(in the paint)",15 (+11),,4,,SEWANEE 15-4 (+11),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
14:25,,15 (+9),,6,"GOOD LAYUP by BRYAN,WILLIAM(in the paint)",CCM 15-6 (+9),,"GOOD LAYUP by BRYAN,WILLIAM(in the paint)",1
--,,,,,"ASSIST  by PALMER,NICK",,,"ASSIST  by PALMER,NICK",1
13:58,"GOOD JUMPER by WARLICK,JORDAN(in the paint)",17 (+11),,6,,SEWANEE 17-6 (+11),,"GOOD JUMPER by WARLICK,JORDAN(in the paint)",1
13:42,,17 (+9),,8,"GOOD LAYUP by OETJEN,NOAH(in the paint)",CCM 17-8 (+9),,"GOOD LAYUP by OETJEN,NOAH(in the paint)",1
13:25,,,,,"FOUL  by ROUNDTREE,TAVIAN",,,"FOUL  by ROUNDTREE,TAVIAN",1
13:25,,,,,"SUB IN by MITCHELL,JAMES",,,"SUB IN by MITCHELL,JAMES",1
13:25,,,,,"SUB IN by HOLLIS,MITCHELL",,,"SUB IN by HOLLIS,MITCHELL",1
13:25,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
13:25,,,,,"SUB OUT by PALMER,NICK",,,"SUB OUT by PALMER,NICK",1
13:09,"GOOD LAYUP by CALDWELL,CAM(in the paint)",19 (+11),,8,,SEWANEE 19-8 (+11),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
13:00,,,,,"MISS 3PTR by HOLLIS,MITCHELL",,,"MISS 3PTR by HOLLIS,MITCHELL",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
12:39,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",21 (+13),,8,,SEWANEE 21-8 (+13),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
12:28,,21 (+11),,10,"GOOD JUMPER by MITCHELL,JAMES(in the paint)",CCM 21-10 (+11),,"GOOD JUMPER by MITCHELL,JAMES(in the paint)",1
12:00,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",1
--,,,,,"REBOUND DEF by ROUNDTREE,TAVIAN",,,"REBOUND DEF by ROUNDTREE,TAVIAN",1
11:53,,,,,"MISS 3PTR by MITCHELL,JAMES",,,"MISS 3PTR by MITCHELL,JAMES",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
11:36,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",1
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",1
11:34,"GOOD TIPIN by CALDWELL,CAM(in the paint)",23 (+13),,10,,SEWANEE 23-10 (+13),,"GOOD TIPIN by CALDWELL,CAM(in the paint)",1
11:10,,,,,"MISS JUMPER by OETJEN,NOAH",,,"MISS JUMPER by OETJEN,NOAH",1
11:10,"BLOCK  by KNOX,JOEY",,,,,,,"BLOCK  by KNOX,JOEY",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
10:47,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",1
--,,,,,"REBOUND DEF by OETJEN,NOAH",,,"REBOUND DEF by OETJEN,NOAH",1
10:39,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
10:39,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
10:39,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",1
10:39,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
10:39,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
10:39,,,,,"SUB IN by CRUMLY,WILL",,,"SUB IN by CRUMLY,WILL",1
10:39,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",1
10:39,,,,,"SUB IN by GILBERT,RYAN",,,"SUB IN by GILBERT,RYAN",1
10:39,,,,,"SUB OUT by ROUNDTREE,TAVIAN",,,"SUB OUT by ROUNDTREE,TAVIAN",1
