Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
10:57,,,,,"MISS LAYUP by BROWNLEY,HOGAN",,,"MISS LAYUP by BROWNLEY,HOGAN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
10:49,"GOOD 3PTR by CALDWELL,CAM",20 (+7),,13,,SEWANEE 20-13 (+7),,"GOOD 3PTR by CALDWELL,CAM",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
10:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:44,"SUB IN by SMITH,LUKE",,,,,,,"SUB IN by SMITH,LUKE",1
10:44,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
10:28,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",1
10:28,"BLOCK  by CALDWELL,CAM",,,,,,,"BLOCK  by CALDWELL,CAM",1
--,,,,,"REBOUND OFF by BROWNLEY,HOGAN",,,"REBOUND OFF by BROWNLEY,HOGAN",1
10:22,,20 (+5),,15,"GOOD LAYUP by BROWNLEY,HOGAN(in the paint)",CENTRE-M 20-15 (+5),,"GOOD LAYUP by BROWNLEY,HOGAN(in the paint)",1
10:07,"GOOD 3PTR by WARLICK,JORDAN",23 (+8),,15,,SEWANEE 23-15 (+8),,"GOOD 3PTR by WARLICK,JORDAN",1
--,"ASSIST  by CALDWELL,CAM",,,,,,,"ASSIST  by CALDWELL,CAM",1
09:52,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
09:52,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",1
09:52,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
09:52,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
09:52,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
09:34,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND DEF by CRUMLY,JONNY",,,,,,,"REBOUND DEF by CRUMLY,JONNY",1
09:04,"GOOD 3PTR by SMITH,LUKE",26 (+11),,15,,SEWANEE 26-15 (+11),,"GOOD 3PTR by SMITH,LUKE",1
08:48,,,,,"MISS JUMPER by SPITZER,JAKOB",,,"MISS JUMPER by SPITZER,JAKOB",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
08:41,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",1
08:41,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
08:40,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
08:40,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
08:40,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
08:40,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
08:40,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
08:40,,,,,"SUB OUT by BROWNLEY,HOGAN",,,"SUB OUT by BROWNLEY,HOGAN",1
08:40,,,,,"SUB OUT by GERALD,DUSTIN",,,"SUB OUT by GERALD,DUSTIN",1
08:40,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
08:40,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
08:40,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
08:28,,26 (+9),,17,"GOOD JUMPER by SINE,TUCKER",CENTRE-M 26-17 (+9),,"GOOD JUMPER by SINE,TUCKER",1
08:14,"GOOD JUMPER by SMITH,LUKE",28 (+11),,17,,SEWANEE 28-17 (+11),,"GOOD JUMPER by SMITH,LUKE",1
08:00,,28 (+8),,20,"GOOD 3PTR by WALKER,ART",CENTRE-M 28-20 (+8),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
07:39,"MISS 3PTR by CRUMLY,JONNY",,,,,,,"MISS 3PTR by CRUMLY,JONNY",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
07:22,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
07:12,"GOOD 3PTR by SMITH,LUKE",31 (+11),,20,,SEWANEE 31-20 (+11),,"GOOD 3PTR by SMITH,LUKE",1
07:05,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by CRUMLY,JONNY",,,,,,,"REBOUND DEF by CRUMLY,JONNY",1
06:53,"GOOD 3PTR by SMITH,LUKE",34 (+14),,20,,SEWANEE 34-20 (+14),,"GOOD 3PTR by SMITH,LUKE",1
06:20,,34 (+11),,23,"GOOD 3PTR by BATES,JACOB",CENTRE-M 34-23 (+11),,"GOOD 3PTR by BATES,JACOB",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
05:56,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",1
05:56,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",1
05:56,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
05:56,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
05:56,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
05:56,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
05:56,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
05:42,"FOUL  by KNOX,JOEY",,,,,,,"FOUL  by KNOX,JOEY",1
05:42,,34 (+10),,24,"GOOD FT by WALKER,ART",CENTRE-M 34-24 (+10),,"GOOD FT by WALKER,ART",1
05:42,,,,,"MISS FT by WALKER,ART",,,"MISS FT by WALKER,ART",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
05:31,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
05:21,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
05:21,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
05:20,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
05:20,"BLOCK  by CALDWELL,CAM",,,,,,,"BLOCK  by CALDWELL,CAM",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
05:20,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
05:20,,34 (+9),,25,"GOOD FT by BATES,JACOB",CENTRE-M 34-25 (+9),,"GOOD FT by BATES,JACOB",1
05:20,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
05:07,"MISS JUMPER by KNOX,JOEY",,,,,,,"MISS JUMPER by KNOX,JOEY",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
04:57,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by KNOX,JOEY",,,,,,,"REBOUND DEF by KNOX,JOEY",1
04:39,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
04:30,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
04:28,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",1
04:23,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
04:09,,34 (+6),,28,"GOOD 3PTR by WALKER,ART",CENTRE-M 34-28 (+6),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
03:50,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
03:49,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",1
03:46,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",1
03:46,"BLOCK  by CALDWELL,CAM",,,,,,,"BLOCK  by CALDWELL,CAM",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:46,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:35,"SUB IN by MCDONOUGH,SEAN",,,,,,,"SUB IN by MCDONOUGH,SEAN",1
03:35,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
03:35,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
03:35,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
03:35,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
03:35,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
03:19,,34 (+4),,30,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",CENTRE-M 34-30 (+4),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
03:00,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",36 (+6),,30,,SEWANEE 36-30 (+6),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
02:45,,36 (+4),,32,"GOOD LAYUP by SINE,TUCKER(in the paint)",CENTRE-M 36-32 (+4),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
02:29,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
02:29,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
02:29,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
02:29,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
02:29,,,,,"SUB IN by GERALD,DUSTIN",,,"SUB IN by GERALD,DUSTIN",1
02:29,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
02:08,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
01:48,"GOOD LAYUP by LEE,MATT(in the paint)",38 (+6),,32,,SEWANEE 38-32 (+6),,"GOOD LAYUP by LEE,MATT(in the paint)",1
01:47,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",1
01:47,"GOOD FT by LEE,MATT",39 (+7),,32,,SEWANEE 39-32 (+7),,"GOOD FT by LEE,MATT",1
01:38,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
01:38,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
01:07,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
00:44,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
00:44,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
00:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:44,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
00:44,"SUB IN by HEITZENRATER,ANDREW",,,,,,,"SUB IN by HEITZENRATER,ANDREW",1
00:44,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
00:44,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
00:44,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
00:36,"MISS JUMPER by LEE,MATT",,,,,,,"MISS JUMPER by LEE,MATT",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
00:08,,,,,"MISS JUMPER by CRUMP,DAWSON",,,"MISS JUMPER by CRUMP,DAWSON",1
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1
00:08,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
00:08,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:02,,39 (+6),,33,"GOOD FT by BATES,JACOB",CENTRE-M 39-33 (+6),,"GOOD FT by BATES,JACOB",1
00:02,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
00:02,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
00:00,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by GERALD,DUSTIN",,,"REBOUND DEF by GERALD,DUSTIN",1
19:42,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
19:23,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
19:07,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",2
19:05,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",2
18:49,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
18:40,,39 (+3),,36,"GOOD 3PTR by AYERS,PERRY",CENTRE-M 39-36 (+3),,"GOOD 3PTR by AYERS,PERRY",2
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",2
18:14,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",2
18:14,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",2
18:01,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
18:01,,39 (+2),,37,"GOOD FT by BATES,JACOB",CENTRE-M 39-37 (+2),,"GOOD FT by BATES,JACOB",2
18:01,,39 (+1),,38,"GOOD FT by BATES,JACOB",CENTRE-M 39-38 (+1),,"GOOD FT by BATES,JACOB",2
17:48,"GOOD 3PTR by SMITH,LUKE",42 (+4),,38,,SEWANEE 42-38 (+4),,"GOOD 3PTR by SMITH,LUKE",2
17:31,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",2
17:28,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",2
17:13,"GOOD 3PTR by CALDWELL,CAM",45 (+7),,38,,SEWANEE 45-38 (+7),,"GOOD 3PTR by CALDWELL,CAM",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
16:52,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
16:30,"GOOD LAYUP by LEE,MATT(in the paint)",47 (+9),,38,,SEWANEE 47-38 (+9),,"GOOD LAYUP by LEE,MATT(in the paint)",2
16:23,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:11,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",2
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",2
15:57,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
15:35,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:35,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",2
15:35,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
15:35,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
15:35,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
15:31,"FOUL  by CRUMLY,JONNY",,,,,,,"FOUL  by CRUMLY,JONNY",2
15:31,,47 (+8),,39,"GOOD FT by BATES,JACOB",CENTRE-M 47-39 (+8),,"GOOD FT by BATES,JACOB",2
15:31,,47 (+7),,40,"GOOD FT by BATES,JACOB",CENTRE-M 47-40 (+7),,"GOOD FT by BATES,JACOB",2
15:14,"GOOD LAYUP by CALDWELL,CAM(in the paint)",49 (+9),,40,,SEWANEE 49-40 (+9),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,"ASSIST  by WARLICK,JORDAN",,,,,,,"ASSIST  by WARLICK,JORDAN",2
14:52,,49 (+7),,42,"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 49-42 (+7),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
14:28,"TURNOVER  by CRUMLY,JONNY",,,,,,,"TURNOVER  by CRUMLY,JONNY",2
14:10,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",2
14:08,,49 (+6),,43,"GOOD FT by SINE,TUCKER",CENTRE-M 49-43 (+6),,"GOOD FT by SINE,TUCKER",2
14:08,,49 (+5),,44,"GOOD FT by SINE,TUCKER",CENTRE-M 49-44 (+5),,"GOOD FT by SINE,TUCKER",2
14:08,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
14:08,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
14:08,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
