Time Remaining,BREVARD,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
16:10,"GOOD JUMPER by HOPPER,DEMARI",2,,5 (+3),,BREVARD 2-5 (+3),,"GOOD JUMPER by HOPPER,DEMARI",1
15:55,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
15:54,"STEAL  by HOPPER,DEMARI",,,,,,,"STEAL  by HOPPER,DEMARI",1
15:51,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:44,"MISS JUMPER by LAMB,CANNON",,,,,,,"MISS JUMPER by LAMB,CANNON",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
15:26,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",1
15:26,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
15:14,"TURNOVER  by HOPPER,DEMARI",,,,,,,"TURNOVER  by HOPPER,DEMARI",1
15:13,,,,,"STEAL  by SMITH,LUKE",,,"STEAL  by SMITH,LUKE",1
14:52,,2,,8 (+6),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 2-8 (+6),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by CALDWELL,CAM",,,"ASSIST  by CALDWELL,CAM",1
14:23,"GOOD JUMPER by LAMB,LEVI",4,,8 (+4),,BREVARD 4-8 (+4),,"GOOD JUMPER by LAMB,LEVI",1
14:07,"FOUL  by HOPPER,DEMARI",,,,,,,"FOUL  by HOPPER,DEMARI",1
14:07,,4,,9 (+5),"GOOD FT by BUESCHER,HUNTER",SEWANEE 4-9 (+5),,"GOOD FT by BUESCHER,HUNTER",1
14:07,,4,,10 (+6),"GOOD FT by BUESCHER,HUNTER",SEWANEE 4-10 (+6),,"GOOD FT by BUESCHER,HUNTER",1
14:07,"SUB IN by MOSLEY,DREW",,,,,,,"SUB IN by MOSLEY,DREW",1
14:07,"SUB IN by LEA,NOAH",,,,,,,"SUB IN by LEA,NOAH",1
14:07,"SUB IN by KINGSBERRY,KE'VEL",,,,,,,"SUB IN by KINGSBERRY,KE'VEL",1
14:07,"SUB OUT by WILSON,JOSHUA",,,,,,,"SUB OUT by WILSON,JOSHUA",1
14:07,"SUB OUT by LAMB,LEVI",,,,,,,"SUB OUT by LAMB,LEVI",1
14:07,"SUB OUT by LAMB,CANNON",,,,,,,"SUB OUT by LAMB,CANNON",1
14:07,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",1
14:07,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
14:07,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
14:07,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",1
13:59,"MISS 3PTR by MOSLEY,DREW",,,,,,,"MISS 3PTR by MOSLEY,DREW",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:35,,,,,"TURNOVER  by CRUMLY,JONNY",,,"TURNOVER  by CRUMLY,JONNY",1
13:34,"STEAL  by MOSLEY,DREW",,,,,,,"STEAL  by MOSLEY,DREW",1
13:29,"MISS JUMPER by MOSLEY,DREW",,,,,,,"MISS JUMPER by MOSLEY,DREW",1
13:29,,,,,"BLOCK  by CRUMLY,JONNY",,,"BLOCK  by CRUMLY,JONNY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:19,"MISS JUMPER by KINGSBERRY,KE'VEL",,,,,,,"MISS JUMPER by KINGSBERRY,KE'VEL",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
13:00,"FOUL  by MOSLEY,DREW",,,,,,,"FOUL  by MOSLEY,DREW",1
13:00,,,,,"MISS FT by CRUMLY,JONNY",,,"MISS FT by CRUMLY,JONNY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:00,,,,,"MISS FT by CRUMLY,JONNY",,,"MISS FT by CRUMLY,JONNY",1
--,"REBOUND DEF by HOPPER,DEMARI",,,,,,,"REBOUND DEF by HOPPER,DEMARI",1
12:51,"FOUL  by MOSLEY,DREW",,,,,,,"FOUL  by MOSLEY,DREW",1
12:51,"TURNOVER  by MOSLEY,DREW",,,,,,,"TURNOVER  by MOSLEY,DREW",1
12:51,"SUB IN by PANKEY,MESSIAH",,,,,,,"SUB IN by PANKEY,MESSIAH",1
12:51,"SUB OUT by HOPPER,DEMARI",,,,,,,"SUB OUT by HOPPER,DEMARI",1
12:35,,4,,12 (+8),"GOOD LAYUP by WARLICK,JORDAN(in the paint)",SEWANEE 4-12 (+8),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",1
12:18,"MISS 3PTR by LEA,NOAH",,,,,,,"MISS 3PTR by LEA,NOAH",1
--,"REBOUND OFF by PANKEY,MESSIAH",,,,,,,"REBOUND OFF by PANKEY,MESSIAH",1
12:10,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
12:10,,,,,"SUB IN by LEE,MATT",,,"SUB IN by LEE,MATT",1
12:10,,,,,"SUB OUT by WARLICK,JORDAN",,,"SUB OUT by WARLICK,JORDAN",1
12:10,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",1
11:54,"TURNOVER  by TURNER,QADHAFI",,,,,,,"TURNOVER  by TURNER,QADHAFI",1
11:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:54,"SUB IN by LAMB,LEVI",,,,,,,"SUB IN by LAMB,LEVI",1
11:54,"SUB IN by LAMB,CANNON",,,,,,,"SUB IN by LAMB,CANNON",1
11:54,"SUB IN by HERRON-CUTHBER,MALON",,,,,,,"SUB IN by HERRON-CUTHBER,MALON",1
11:54,"SUB OUT by MOSLEY,DREW",,,,,,,"SUB OUT by MOSLEY,DREW",1
11:54,"SUB OUT by KINGSBERRY,KE'VEL",,,,,,,"SUB OUT by KINGSBERRY,KE'VEL",1
11:54,"SUB OUT by TURNER,QADHAFI",,,,,,,"SUB OUT by TURNER,QADHAFI",1
11:26,,,,,"MISS JUMPER by BUESCHER,HUNTER",,,"MISS JUMPER by BUESCHER,HUNTER",1
--,"REBOUND DEF by LEA,NOAH",,,,,,,"REBOUND DEF by LEA,NOAH",1
11:12,"MISS JUMPER by LAMB,CANNON",,,,,,,"MISS JUMPER by LAMB,CANNON",1
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",1
10:55,,,,,"MISS 3PTR by KNOX,JOEY",,,"MISS 3PTR by KNOX,JOEY",1
--,"REBOUND DEF by LAMB,LEVI",,,,,,,"REBOUND DEF by LAMB,LEVI",1
10:44,"TURNOVER  by LEA,NOAH",,,,,,,"TURNOVER  by LEA,NOAH",1
10:35,,4,,14 (+10),"GOOD JUMPER by LEE,MATT",SEWANEE 4-14 (+10),,"GOOD JUMPER by LEE,MATT",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
10:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:20,"GOOD 3PTR by LAMB,LEVI",7,,14 (+7),,BREVARD 7-14 (+7),,"GOOD 3PTR by LAMB,LEVI",1
10:17,,,,,"SUB IN by HOLLOWAY,JACK",,,"SUB IN by HOLLOWAY,JACK",1
10:17,,,,,"SUB IN by WARLICK,JORDAN",,,"SUB IN by WARLICK,JORDAN",1
10:17,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",1
10:17,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",1
10:17,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
10:17,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
10:00,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by LEA,NOAH",,,,,,,"REBOUND DEF by LEA,NOAH",1
09:16,"GOOD JUMPER by HERRON-CUTHBER,MALON",9,,14 (+5),,BREVARD 9-14 (+5),,"GOOD JUMPER by HERRON-CUTHBER,MALON",1
09:04,"FOUL  by HERRON-CUTHBER,MALON",,,,,,,"FOUL  by HERRON-CUTHBER,MALON",1
08:45,,9,,16 (+7),"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWANEE 9-16 (+7),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
08:23,"MISS 3PTR by HERRON-CUTHBER,MALON",,,,,,,"MISS 3PTR by HERRON-CUTHBER,MALON",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
08:10,,9,,18 (+9),"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWANEE 9-18 (+9),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
07:52,"TURNOVER  by LEA,NOAH",,,,,,,"TURNOVER  by LEA,NOAH",1
07:52,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:52,"SUB IN by WILSON,JOSHUA",,,,,,,"SUB IN by WILSON,JOSHUA",1
07:52,"SUB IN by TURNER,QADHAFI",,,,,,,"SUB IN by TURNER,QADHAFI",1
07:52,"SUB OUT by PANKEY,MESSIAH",,,,,,,"SUB OUT by PANKEY,MESSIAH",1
07:52,"SUB OUT by LEA,NOAH",,,,,,,"SUB OUT by LEA,NOAH",1
07:37,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",1
07:15,"MISS JUMPER by LAMB,LEVI",,,,,,,"MISS JUMPER by LAMB,LEVI",1
07:15,,,,,"BLOCK  by WARLICK,JORDAN",,,"BLOCK  by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
06:56,,,,,"MISS JUMPER by WARLICK,JORDAN",,,"MISS JUMPER by WARLICK,JORDAN",1
--,,,,,"REBOUND OFF by HOLLOWAY,JACK",,,"REBOUND OFF by HOLLOWAY,JACK",1
06:51,,9,,20 (+11),"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",SEWANEE 9-20 (+11),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
06:40,"GOOD JUMPER by LAMB,CANNON(in the paint)",11,,20 (+9),,BREVARD 11-20 (+9),,"GOOD JUMPER by LAMB,CANNON(in the paint)",1
06:20,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",1
06:19,"STEAL  by LAMB,CANNON",,,,,,,"STEAL  by LAMB,CANNON",1
06:07,"MISS JUMPER by LAMB,CANNON",,,,,,,"MISS JUMPER by LAMB,CANNON",1
--,,,,,"REBOUND DEF by HOLLOWAY,JACK",,,"REBOUND DEF by HOLLOWAY,JACK",1
05:49,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",1
05:49,"STEAL  by HERRON-CUTHBER,MALON",,,,,,,"STEAL  by HERRON-CUTHBER,MALON",1
05:45,"MISS LAYUP by HERRON-CUTHBER,MALON",,,,,,,"MISS LAYUP by HERRON-CUTHBER,MALON",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
05:25,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1
05:25,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
05:25,"SUB IN by HOPPER,DEMARI",,,,,,,"SUB IN by HOPPER,DEMARI",1
05:25,"SUB OUT by HERRON-CUTHBER,MALON",,,,,,,"SUB OUT by HERRON-CUTHBER,MALON",1
05:25,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
05:25,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
05:25,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",1
05:25,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
05:25,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
05:25,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",1
05:03,"MISS 3PTR by LAMB,LEVI",,,,,,,"MISS 3PTR by LAMB,LEVI",1
05:03,,,,,"BLOCK  by CALDWELL,CAM",,,"BLOCK  by CALDWELL,CAM",1
--,"REBOUND OFF by HOPPER,DEMARI",,,,,,,"REBOUND OFF by HOPPER,DEMARI",1
05:01,"MISS JUMPER by HOPPER,DEMARI",,,,,,,"MISS JUMPER by HOPPER,DEMARI",1
--,"REBOUND OFF by WILSON,JOSHUA",,,,,,,"REBOUND OFF by WILSON,JOSHUA",1
05:00,"GOOD LAYUP by HOPPER,DEMARI(in the paint)",13,,20 (+7),,BREVARD 13-20 (+7),,"GOOD LAYUP by HOPPER,DEMARI(in the paint)",1
--,"ASSIST  by WILSON,JOSHUA",,,,,,,"ASSIST  by WILSON,JOSHUA",1
04:38,,,,,"MISS 3PTR by MCDONOUGH,SEAN",,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,"REBOUND DEF by LAMB,LEVI",,,,,,,"REBOUND DEF by LAMB,LEVI",1
04:19,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",1
04:09,"GOOD FT by WILSON,JOSHUA",14,,20 (+6),,BREVARD 14-20 (+6),,"GOOD FT by WILSON,JOSHUA",1
04:09,"MISS FT by WILSON,JOSHUA",,,,,,,"MISS FT by WILSON,JOSHUA",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
03:43,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
03:41,"STEAL  by LAMB,CANNON",,,,,,,"STEAL  by LAMB,CANNON",1
03:29,"MISS JUMPER by LAMB,CANNON",,,,,,,"MISS JUMPER by LAMB,CANNON",1
03:29,,,,,"BLOCK  by CRUMLY,JONNY",,,"BLOCK  by CRUMLY,JONNY",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
03:17,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:15,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:15,"SUB IN by MOSLEY,DREW",,,,,,,"SUB IN by MOSLEY,DREW",1
03:15,"SUB OUT by LAMB,CANNON",,,,,,,"SUB OUT by LAMB,CANNON",1
03:15,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
03:15,,,,,"SUB OUT by SMITH,LUKE",,,"SUB OUT by SMITH,LUKE",1
03:09,"TURNOVER  by MOSLEY,DREW",,,,,,,"TURNOVER  by MOSLEY,DREW",1
03:08,,,,,"STEAL  by CRUMLY,JONNY",,,"STEAL  by CRUMLY,JONNY",1
02:55,,,,,"MISS JUMPER by CALDWELL,CAM",,,"MISS JUMPER by CALDWELL,CAM",1
--,,,,,"REBOUND OFF by CRUMLY,JONNY",,,"REBOUND OFF by CRUMLY,JONNY",1
02:53,,14,,22 (+8),"GOOD LAYUP by CRUMLY,JONNY(in the paint)",SEWANEE 14-22 (+8),,"GOOD LAYUP by CRUMLY,JONNY(in the paint)",1
02:37,"MISS 3PTR by TURNER,QADHAFI",,,,,,,"MISS 3PTR by TURNER,QADHAFI",1
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",1
02:08,,14,,24 (+10),"GOOD JUMPER by CALDWELL,CAM(in the paint)",SEWANEE 14-24 (+10),,"GOOD JUMPER by CALDWELL,CAM(in the paint)",1
01:56,,,,,"FOUL  by MCDONOUGH,SEAN",,,"FOUL  by MCDONOUGH,SEAN",1
01:56,,,,,"SUB IN by SMITH,LUKE",,,"SUB IN by SMITH,LUKE",1
01:56,,,,,"SUB OUT by MCDONOUGH,SEAN",,,"SUB OUT by MCDONOUGH,SEAN",1
01:51,"MISS 3PTR by TURNER,QADHAFI",,,,,,,"MISS 3PTR by TURNER,QADHAFI",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
01:30,,,,,"MISS LAYUP by BUESCHER,HUNTER",,,"MISS LAYUP by BUESCHER,HUNTER",1
--,"REBOUND DEF by HOPPER,DEMARI",,,,,,,"REBOUND DEF by HOPPER,DEMARI",1
01:19,"MISS 3PTR by WILSON,JOSHUA",,,,,,,"MISS 3PTR by WILSON,JOSHUA",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
00:52,,14,,27 (+13),"GOOD 3PTR by CALDWELL,CAM",SEWANEE 14-27 (+13),,"GOOD 3PTR by CALDWELL,CAM",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
00:34,"GOOD 3PTR by WILSON,JOSHUA",17,,27 (+10),,BREVARD 17-27 (+10),,"GOOD 3PTR by WILSON,JOSHUA",1
--,"ASSIST  by HOPPER,DEMARI",,,,,,,"ASSIST  by HOPPER,DEMARI",1
00:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:25,"SUB IN by KINGSBERRY,KE'VEL",,,,,,,"SUB IN by KINGSBERRY,KE'VEL",1
00:25,"SUB OUT by LAMB,LEVI",,,,,,,"SUB OUT by LAMB,LEVI",1
00:01,,,,,"MISS JUMPER by WARLICK,JORDAN",,,"MISS JUMPER by WARLICK,JORDAN",1
--,"REBOUND DEF by KINGSBERRY,KE'VEL",,,,,,,"REBOUND DEF by KINGSBERRY,KE'VEL",1
19:52,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,"REBOUND OFF by CALDWELL,CAM",,,"REBOUND OFF by CALDWELL,CAM",2
19:21,,17,,29 (+12),"GOOD LAYUP by SMITH,LUKE(in the paint)",SEWANEE 17-29 (+12),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
18:55,"MISS JUMPER by WILSON,JOSHUA",,,,,,,"MISS JUMPER by WILSON,JOSHUA",2
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",2
18:36,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",2
--,"REBOUND DEF by TURNER,QADHAFI",,,,,,,"REBOUND DEF by TURNER,QADHAFI",2
18:17,"GOOD 3PTR by HOPPER,DEMARI",20,,29 (+9),,BREVARD 20-29 (+9),,"GOOD 3PTR by HOPPER,DEMARI",2
--,"ASSIST  by WILSON,JOSHUA",,,,,,,"ASSIST  by WILSON,JOSHUA",2
17:58,,,,,"TURNOVER  by LEE,MATT",,,"TURNOVER  by LEE,MATT",2
17:58,"STEAL  by LAMB,CANNON",,,,,,,"STEAL  by LAMB,CANNON",2
17:58,,,,,"FOUL  by LEE,MATT",,,"FOUL  by LEE,MATT",2
17:43,"MISS JUMPER by WILSON,JOSHUA",,,,,,,"MISS JUMPER by WILSON,JOSHUA",2
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",2
17:29,,,,,"MISS JUMPER by LEE,MATT",,,"MISS JUMPER by LEE,MATT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
17:17,"TURNOVER  by LAMB,CANNON",,,,,,,"TURNOVER  by LAMB,CANNON",2
17:04,,20,,31 (+11),"GOOD JUMPER by WARLICK,JORDAN(in the paint)",SEWANEE 20-31 (+11),,"GOOD JUMPER by WARLICK,JORDAN(in the paint)",2
16:36,"GOOD JUMPER by HOPPER,DEMARI",22,,31 (+9),,BREVARD 22-31 (+9),,"GOOD JUMPER by HOPPER,DEMARI",2
16:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
16:33,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
16:16,,,,,"MISS DUNK by CALDWELL,CAM",,,"MISS DUNK by CALDWELL,CAM",2
--,"REBOUND DEF by WILSON,JOSHUA",,,,,,,"REBOUND DEF by WILSON,JOSHUA",2
16:16,,,,,"FOUL TECH by CALDWELL,CAM",,,"FOUL TECH by CALDWELL,CAM",2
16:16,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
16:16,"MISS FT by TURNER,QADHAFI",,,,,,,"MISS FT by TURNER,QADHAFI",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:00,"GOOD JUMPER by LAMB,LEVI",24,,31 (+7),,BREVARD 24-31 (+7),,"GOOD JUMPER by LAMB,LEVI",2
15:36,"FOUL  by TURNER,QADHAFI",,,,,,,"FOUL  by TURNER,QADHAFI",2
15:36,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:36,,24,,32 (+8),"GOOD FT by SMITH,LUKE",SEWANEE 24-32 (+8),,"GOOD FT by SMITH,LUKE",2
15:36,,24,,33 (+9),"GOOD FT by SMITH,LUKE",SEWANEE 24-33 (+9),,"GOOD FT by SMITH,LUKE",2
15:36,"SUB IN by LEA,NOAH",,,,,,,"SUB IN by LEA,NOAH",2
15:36,"SUB OUT by WILSON,JOSHUA",,,,,,,"SUB OUT by WILSON,JOSHUA",2
15:21,"MISS 3PTR by LAMB,CANNON",,,,,,,"MISS 3PTR by LAMB,CANNON",2
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",2
14:54,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",2
--,"REBOUND DEF by LEA,NOAH",,,,,,,"REBOUND DEF by LEA,NOAH",2
14:34,"GOOD 3PTR by LAMB,LEVI",27,,33 (+6),,BREVARD 27-33 (+6),,"GOOD 3PTR by LAMB,LEVI",2
14:15,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,"REBOUND OFF by WARLICK,JORDAN",,,"REBOUND OFF by WARLICK,JORDAN",2
14:08,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",2
14:06,"STEAL  by LAMB,LEVI",,,,,,,"STEAL  by LAMB,LEVI",2
14:05,"TURNOVER  by LAMB,LEVI",,,,,,,"TURNOVER  by LAMB,LEVI",2
14:03,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",2
14:02,,,,,"SUB IN by KNOX,JOEY",,,"SUB IN by KNOX,JOEY",2
14:02,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",2
14:02,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",2
14:02,,,,,"SUB OUT by LEE,MATT",,,"SUB OUT by LEE,MATT",2
13:53,,,,,"MISS JUMPER by WARLICK,JORDAN",,,"MISS JUMPER by WARLICK,JORDAN",2
--,,,,,"REBOUND OFF by CALDWELL,CAM",,,"REBOUND OFF by CALDWELL,CAM",2
13:51,,,,,"MISS JUMPER by CALDWELL,CAM",,,"MISS JUMPER by CALDWELL,CAM",2
--,,,,,"REBOUND OFF by WARLICK,JORDAN",,,"REBOUND OFF by WARLICK,JORDAN",2
13:48,,27,,35 (+8),"GOOD LAYUP by WARLICK,JORDAN(in the paint)",SEWANEE 27-35 (+8),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",2
13:24,"TURNOVER  by HOPPER,DEMARI",,,,,,,"TURNOVER  by HOPPER,DEMARI",2
13:24,"SUB IN by MOSLEY,DREW",,,,,,,"SUB IN by MOSLEY,DREW",2
13:24,"SUB IN by HERRON-CUTHBER,MALON",,,,,,,"SUB IN by HERRON-CUTHBER,MALON",2
13:24,"SUB OUT by LAMB,CANNON",,,,,,,"SUB OUT by LAMB,CANNON",2
13:24,"SUB OUT by TURNER,QADHAFI",,,,,,,"SUB OUT by TURNER,QADHAFI",2
13:01,,27,,37 (+10),"GOOD LAYUP by SMITH,LUKE(in the paint)",SEWANEE 27-37 (+10),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
12:43,"GOOD JUMPER by LAMB,LEVI",29,,37 (+8),,BREVARD 29-37 (+8),,"GOOD JUMPER by LAMB,LEVI",2
12:43,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",2
12:43,"MISS FT by LAMB,LEVI",,,,,,,"MISS FT by LAMB,LEVI",2
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",2
