Time Remaining,BOYCE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:46,"FOUL  by CALDWELL,AJ",,,,,,,"FOUL  by CALDWELL,AJ",1
19:46,,0,,1 (+1),"GOOD FT by WARLICK,JORDAN",SEWANEE 0-1 (+1),,"GOOD FT by WARLICK,JORDAN",1
19:46,,,,,"MISS FT by WARLICK,JORDAN",,,"MISS FT by WARLICK,JORDAN",1
--,"REBOUND DEF by MINNICK-TUCKER,D",,,,,,,"REBOUND DEF by MINNICK-TUCKER,D",1
19:28,"TURNOVER  by MINNICK-TUCKER,D",,,,,,,"TURNOVER  by MINNICK-TUCKER,D",1
19:27,,,,,"STEAL  by CALDWELL,CAM",,,"STEAL  by CALDWELL,CAM",1
19:25,,0,,3 (+3),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 0-3 (+3),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BUESCHER,HUNTER",,,"ASSIST  by BUESCHER,HUNTER",1
19:06,"GOOD 3PTR by CALDWELL,AJ",3,,3,,BOYCE 3-3 (0),,"GOOD 3PTR by CALDWELL,AJ",1
--,"ASSIST  by BENHAM,BAILEY",,,,,,,"ASSIST  by BENHAM,BAILEY",1
18:52,,3,,5 (+2),"GOOD JUMPER by LEE,MATT(in the paint)",SEWANEE 3-5 (+2),,"GOOD JUMPER by LEE,MATT(in the paint)",1
18:32,"MISS 3PTR by BENHAM,BAILEY",,,,,,,"MISS 3PTR by BENHAM,BAILEY",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
18:23,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",1
18:09,"GOOD LAYUP by CALDWELL,AJ(in the paint)",5,,5,,BOYCE 5-5 (0),,"GOOD LAYUP by CALDWELL,AJ(in the paint)",1
17:55,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
