Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,JOHNSON,Game Score,Team Indicator,Play,Period
20:00,SUB OUT by 0,,,,,,,SUB OUT by 0,1
20:00,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
20:00,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
20:00,"SUB OUT by WARLICK,JORDAN",,,,,,,"SUB OUT by WARLICK,JORDAN",1
20:00,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
20:00,,,,,"SUB OUT by GILPIN,TAYLOR",,,"SUB OUT by GILPIN,TAYLOR",1
20:00,,,,,"SUB OUT by GULLION,KENTON",,,"SUB OUT by GULLION,KENTON",1
20:00,,,,,"SUB OUT by ESTACIO,ESTIVEN",,,"SUB OUT by ESTACIO,ESTIVEN",1
20:00,,,,,"SUB OUT by JONES,COBY",,,"SUB OUT by JONES,COBY",1
20:00,,,,,"SUB OUT by MCCLAIN,CODY",,,"SUB OUT by MCCLAIN,CODY",1
19:43,,,,,"MISS JUMPER by ESTACIO,ESTIVEN",,,"MISS JUMPER by ESTACIO,ESTIVEN",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
19:20,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND OFF by LEE,MATT",,,,,,,"REBOUND OFF by LEE,MATT",1
19:14,"GOOD 3PTR by WARLICK,JORDAN",3 (+3),,0,,SEWANEE 3-0 (+3),,"GOOD 3PTR by WARLICK,JORDAN",1
19:05,,,,,"MISS JUMPER by GILPIN,TAYLOR",,,"MISS JUMPER by GILPIN,TAYLOR",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
18:42,"GOOD JUMPER by CALDWELL,CAM(in the paint)",5 (+5),,0,,SEWANEE 5-0 (+5),,"GOOD JUMPER by CALDWELL,CAM(in the paint)",1
18:31,,,,,"MISS JUMPER by JONES,COBY",,,"MISS JUMPER by JONES,COBY",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
18:15,"GOOD JUMPER by CALDWELL,CAM",7 (+7),,0,,SEWANEE 7-0 (+7),,"GOOD JUMPER by CALDWELL,CAM",1
17:56,,,,,"MISS JUMPER by MCCLAIN,CODY",,,"MISS JUMPER by MCCLAIN,CODY",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
17:32,"GOOD JUMPER by CALDWELL,CAM(in the paint)",9 (+9),,0,,SEWANEE 9-0 (+9),,"GOOD JUMPER by CALDWELL,CAM(in the paint)",1
17:32,,,,,"FOUL  by ESTACIO,ESTIVEN",,,"FOUL  by ESTACIO,ESTIVEN",1
17:32,"MISS FT by CALDWELL,CAM",,,,,,,"MISS FT by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by GULLION,KENTON",,,"REBOUND DEF by GULLION,KENTON",1
17:21,,9 (+6),,3,"GOOD 3PTR by GULLION,KENTON",JOHNSON 9-3 (+6),,"GOOD 3PTR by GULLION,KENTON",1
--,,,,,"ASSIST  by JONES,COBY",,,"ASSIST  by JONES,COBY",1
16:55,"MISS 3PTR by KNOX,JOEY",,,,,,,"MISS 3PTR by KNOX,JOEY",1
--,,,,,"REBOUND DEF by ESTACIO,ESTIVEN",,,"REBOUND DEF by ESTACIO,ESTIVEN",1
16:47,,9 (+4),,5,"GOOD JUMPER by JONES,COBY(in the paint)",JOHNSON 9-5 (+4),,"GOOD JUMPER by JONES,COBY(in the paint)",1
--,,,,,"ASSIST  by GULLION,KENTON",,,"ASSIST  by GULLION,KENTON",1
16:29,"GOOD 3PTR by SMITH,LUKE",12 (+7),,5,,SEWANEE 12-5 (+7),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by WARLICK,JORDAN",,,,,,,"ASSIST  by WARLICK,JORDAN",1
16:27,,,,,SUB IN by 0,,,SUB IN by 0,1
16:27,,,,,SUB IN by 0,,,SUB IN by 0,1
16:27,,,,,"SUB OUT by GULLION,KENTON",,,"SUB OUT by GULLION,KENTON",1
16:27,,,,,"SUB OUT by MCCLAIN,CODY",,,"SUB OUT by MCCLAIN,CODY",1
16:23,,,,,"MISS 3PTR by GILPIN,TAYLOR",,,"MISS 3PTR by GILPIN,TAYLOR",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
16:08,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",1
--,,,,,"REBOUND DEF by JONES,COBY",,,"REBOUND DEF by JONES,COBY",1
15:57,,,,,"MISS JUMPER by ESTACIO,ESTIVEN",,,"MISS JUMPER by ESTACIO,ESTIVEN",1
--,,,,,"REBOUND OFF by ESTACIO,ESTIVEN",,,"REBOUND OFF by ESTACIO,ESTIVEN",1
15:54,,12 (+5),,7,"GOOD JUMPER by ESTACIO,ESTIVEN(in the paint)",JOHNSON 12-7 (+5),,"GOOD JUMPER by ESTACIO,ESTIVEN(in the paint)",1
15:36,"MISS JUMPER by CALDWELL,CAM",,,,,,,"MISS JUMPER by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by ESTACIO,ESTIVEN",,,"REBOUND DEF by ESTACIO,ESTIVEN",1
15:23,,,,,"MISS 3PTR by BLAYLOCK,JAKE",,,"MISS 3PTR by BLAYLOCK,JAKE",1
