Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
19:46,,,,,"MISS JUMPER by LONG,CARSON",,,"MISS JUMPER by LONG,CARSON",1
--,,,,,"REBOUND OFF by CURRY,MARCUS",,,"REBOUND OFF by CURRY,MARCUS",1
19:42,,0,,2 (+2),"GOOD JUMPER by CURRY,MARCUS",GC 0-2 (-2),,"GOOD JUMPER by CURRY,MARCUS",1
19:09,"MISS DUNK by LEE,MATT",,,,,,,"MISS DUNK by LEE,MATT",1
--,,,,,"REBOUND DEF by GORE,JAYLEN",,,"REBOUND DEF by GORE,JAYLEN",1
19:00,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
19:00,,0,,3 (+3),"GOOD FT by GREGORY,KYLER",GC 0-3 (-3),,"GOOD FT by GREGORY,KYLER",1
19:00,,0,,4 (+4),"GOOD FT by GREGORY,KYLER",GC 0-4 (-4),,"GOOD FT by GREGORY,KYLER",1
18:43,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,,,,,"REBOUND DEF by GORE,JAYLEN",,,"REBOUND DEF by GORE,JAYLEN",1
18:26,,0,,7 (+7),"GOOD 3PTR by GREGORY,KYLER",GC 0-7 (-7),,"GOOD 3PTR by GREGORY,KYLER",1
--,,,,,"ASSIST  by GORE,JAYLEN",,,"ASSIST  by GORE,JAYLEN",1
18:13,"TURNOVER  by LEE,MATT",,,,,,,"TURNOVER  by LEE,MATT",1
18:12,,,,,"STEAL  by GREGORY,KYLER",,,"STEAL  by GREGORY,KYLER",1
18:08,,0,,9 (+9),"GOOD LAYUP by LONG,CARSON(fastbreak)(in the paint)",GC 0-9 (-9),,"GOOD LAYUP by LONG,CARSON(fastbreak)(in the paint)",1
18:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:58,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",1
--,,,,,"REBOUND DEF by GREGORY,KYLER",,,"REBOUND DEF by GREGORY,KYLER",1
17:49,,0,,11 (+11),"GOOD LAYUP by CURRY,MARCUS(in the paint)",GC 0-11 (-11),,"GOOD LAYUP by CURRY,MARCUS(in the paint)",1
17:40,"MISS JUMPER by BUESCHER,HUNTER",,,,,,,"MISS JUMPER by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by CURRY,MARCUS",,,"REBOUND DEF by CURRY,MARCUS",1
17:24,,,,,"MISS 3PTR by GORE,JAYLEN",,,"MISS 3PTR by GORE,JAYLEN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
17:12,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2,,11 (+9),,SEWANEE 2-11 (-9),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
16:53,,2,,13 (+11),"GOOD JUMPER by GORE,JAYLEN",GC 2-13 (-11),,"GOOD JUMPER by GORE,JAYLEN",1
16:39,"GOOD LAYUP by SMITH,LUKE(in the paint)",4,,13 (+9),,SEWANEE 4-13 (-9),,"GOOD LAYUP by SMITH,LUKE(in the paint)",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
16:25,,4,,15 (+11),"GOOD LAYUP by GREGORY,KYLER(in the paint)",GC 4-15 (-11),,"GOOD LAYUP by GREGORY,KYLER(in the paint)",1
16:13,"GOOD 3PTR by SMITH,LUKE",7,,15 (+8),,SEWANEE 7-15 (-8),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",1
15:58,,7,,18 (+11),"GOOD 3PTR by LOGAN,JOAH",GC 7-18 (-11),,"GOOD 3PTR by LOGAN,JOAH",1
--,,,,,"ASSIST  by GREGORY,KYLER",,,"ASSIST  by GREGORY,KYLER",1
15:46,"MISS 3PTR by STARR,RYAN",,,,,,,"MISS 3PTR by STARR,RYAN",1
--,,,,,"REBOUND DEF by CURRY,MARCUS",,,"REBOUND DEF by CURRY,MARCUS",1
15:39,,,,,"MISS LAYUP by LONG,CARSON",,,"MISS LAYUP by LONG,CARSON",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
15:30,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:30,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
15:30,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
