Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
14:57,,,,,"MISS FT by KOCH,WILL",,,"MISS FT by KOCH,WILL",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:56,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
12:56,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",2
12:56,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
12:56,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",2
12:56,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",2
12:56,,,,,"SUB OUT by RICE,TRE'",,,"SUB OUT by RICE,TRE'",2
12:56,,,,,"SUB OUT by SONE,CARLOS",,,"SUB OUT by SONE,CARLOS",2
12:49,"GOOD LAYUP by SMITH,LUKE(in the paint)",41,,45 (+4),,SEW 41-45 (-4),,"GOOD LAYUP by SMITH,LUKE(in the paint)",2
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",2
12:19,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:07,,,,,"SUB IN by SONE,CARLOS",,,"SUB IN by SONE,CARLOS",2
12:07,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",2
11:57,,41,,47 (+6),"GOOD LAYUP by PERRY,WILL(in the paint)",OU 41-47 (-6),,"GOOD LAYUP by PERRY,WILL(in the paint)",2
11:53,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
11:53,,41,,48 (+7),"GOOD FT by PERRY,WILL",OU 41-48 (-7),,"GOOD FT by PERRY,WILL",2
11:50,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
11:41,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",2
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",2
11:34,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
11:19,,41,,50 (+9),"GOOD JUMPER by KOCH,WILL(in the paint)",OU 41-50 (-9),,"GOOD JUMPER by KOCH,WILL(in the paint)",2
11:02,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",43,,50 (+7),,SEW 43-50 (-7),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2
10:46,,,,,"MISS 3PTR by KOCH,WILL",,,"MISS 3PTR by KOCH,WILL",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
10:28,"GOOD LAYUP by LEE,MATT(in the paint)",45,,50 (+5),,SEW 45-50 (-5),,"GOOD LAYUP by LEE,MATT(in the paint)",2
10:26,,,,,"FOUL  by KOCH,WILL",,,"FOUL  by KOCH,WILL",2
10:26,"GOOD FT by LEE,MATT",46,,50 (+4),,SEW 46-50 (-4),,"GOOD FT by LEE,MATT",2
10:26,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",2
10:26,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
10:26,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
10:26,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
10:26,,,,,"SUB IN by INUNGU,TOM",,,"SUB IN by INUNGU,TOM",2
10:26,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
09:58,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
--,"REBOUND OFF by MCDONOUGH,SEAN",,,,,,,"REBOUND OFF by MCDONOUGH,SEAN",2
09:55,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
09:55,,,,,"BLOCK  by INUNGU,TOM",,,"BLOCK  by INUNGU,TOM",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
09:33,,46,,52 (+6),"GOOD JUMPER by KOCH,WILL",OU 46-52 (-6),,"GOOD JUMPER by KOCH,WILL",2
09:15,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",48,,52 (+4),,SEW 48-52 (-4),,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",2
08:44,,48,,55 (+7),"GOOD 3PTR by PERRY,WILL",OU 48-55 (-7),,"GOOD 3PTR by PERRY,WILL",2
--,,,,,"ASSIST  by FOSTER,LANE",,,"ASSIST  by FOSTER,LANE",2
08:11,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",2
08:10,,,,,"STEAL  by SONE,CARLOS",,,"STEAL  by SONE,CARLOS",2
08:06,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",2
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",2
08:01,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",50,,55 (+5),,SEW 50-55 (-5),,"GOOD LAYUP by BUESCHER,HUNTER(fastbreak)(in the paint)",2
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",2
07:38,,50,,58 (+8),"GOOD 3PTR by FOSTER,LANE",OU 50-58 (-8),,"GOOD 3PTR by FOSTER,LANE",2
--,,,,,"ASSIST  by PERRY,WILL",,,"ASSIST  by PERRY,WILL",2
07:17,"GOOD LAYUP by CALDWELL,CAM(in the paint)",52,,58 (+6),,SEW 52-58 (-6),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",2
06:54,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",2
--,,,,,"REBOUND OFF by INUNGU,TOM",,,"REBOUND OFF by INUNGU,TOM",2
06:49,,52,,60 (+8),"GOOD LAYUP by INUNGU,TOM(in the paint)",OU 52-60 (-8),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
06:35,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",2
06:34,,,,,"STEAL  by INUNGU,TOM",,,"STEAL  by INUNGU,TOM",2
06:31,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
06:31,,,,,"MISS FT by INUNGU,TOM",,,"MISS FT by INUNGU,TOM",2
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",2
06:31,"SUB IN by LEE,MATT",,,,,,,"SUB IN by LEE,MATT",2
06:31,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
06:13,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",2
06:07,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",2
--,,,,,"REBOUND OFF by INUNGU,TOM",,,"REBOUND OFF by INUNGU,TOM",2
06:00,,52,,62 (+10),"GOOD LAYUP by INUNGU,TOM(in the paint)",OU 52-62 (-10),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
05:36,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
05:11,,52,,64 (+12),"GOOD LAYUP by INUNGU,TOM(in the paint)",OU 52-64 (-12),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
04:54,"MISS LAYUP by SMITH,LUKE",,,,,,,"MISS LAYUP by SMITH,LUKE",2
04:54,,,,,"BLOCK  by INUNGU,TOM",,,"BLOCK  by INUNGU,TOM",2
--,"REBOUND OFF by WARLICK,JORDAN",,,,,,,"REBOUND OFF by WARLICK,JORDAN",2
04:44,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
04:09,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",2
04:04,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
03:25,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:02,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
02:32,,,,,"MISS JUMPER by INUNGU,TOM",,,"MISS JUMPER by INUNGU,TOM",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
02:24,"GOOD 3PTR by SMITH,LUKE",55,,64 (+9),,SEW 55-64 (-9),,"GOOD 3PTR by SMITH,LUKE",2
01:48,,,,,"TURNOVER  by KOCH,WILL",,,"TURNOVER  by KOCH,WILL",2
01:48,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",2
01:48,,,,,"FOUL TECH by KOCH,WILL",,,"FOUL TECH by KOCH,WILL",2
01:48,"GOOD FT by SMITH,LUKE",56,,64 (+8),,SEW 56-64 (-8),,"GOOD FT by SMITH,LUKE",2
01:48,"GOOD FT by SMITH,LUKE",57,,64 (+7),,SEW 57-64 (-7),,"GOOD FT by SMITH,LUKE",2
01:48,"GOOD 3PTR by SMITH,LUKE",60,,64 (+4),,SEW 60-64 (-4),,"GOOD 3PTR by SMITH,LUKE",2
01:48,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:17,"FOUL  by WARLICK,JORDAN",,,,,,,"FOUL  by WARLICK,JORDAN",2
01:17,,,,,"MISS FT by INUNGU,TOM",,,"MISS FT by INUNGU,TOM",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
01:06,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",2
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",2
00:55,"FOUL  by SMITH,LUKE",,,,,,,"FOUL  by SMITH,LUKE",2
00:55,,60,,65 (+5),"GOOD FT by FOSTER,LANE",OU 60-65 (-5),,"GOOD FT by FOSTER,LANE",2
00:55,,,,,"MISS FT by FOSTER,LANE",,,"MISS FT by FOSTER,LANE",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
00:55,"MISS JUMPER by WARLICK,JORDAN",,,,,,,"MISS JUMPER by WARLICK,JORDAN",2
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",2
00:55,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",2
00:55,,,,,"MISS FT by INUNGU,TOM",,,"MISS FT by INUNGU,TOM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:55,,,,,"MISS FT by INUNGU,TOM",,,"MISS FT by INUNGU,TOM",2
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",2
00:13,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",2
00:12,,,,,"STEAL  by KOCH,WILL",,,"STEAL  by KOCH,WILL",2
00:10,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",2
00:10,,60,,66 (+6),"GOOD FT by INUNGU,TOM",OU 60-66 (-6),,"GOOD FT by INUNGU,TOM",2
00:10,,60,,67 (+7),"GOOD FT by INUNGU,TOM",OU 60-67 (-7),,"GOOD FT by INUNGU,TOM",2
00:10,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",2
00:10,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",2
00:06,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",2
00:06,,,,,"BLOCK  by INUNGU,TOM",,,"BLOCK  by INUNGU,TOM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:02,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",2
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",2
