Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,BELHAVEN,Game Score,Team Indicator,Play,Period
19:40,,0,,2 (+2),"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",BELHAVEN 0-2 (-2),,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",1
--,,,,,"ASSIST  by JONES,JOSEPH",,,"ASSIST  by JONES,JOSEPH",1
19:05,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",1
18:55,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2,,2,,SEWANEE 2-2 (0),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
18:44,,,,,"FOUL  by JONES,JOSEPH",,,"FOUL  by JONES,JOSEPH",1
18:36,"GOOD FT by CALDWELL,CAM",3 (+1),,2,,SEWANEE 3-2 (+1),,"GOOD FT by CALDWELL,CAM",1
18:32,,,,,"MISS 3PTR by JONES,JUSTIN",,,"MISS 3PTR by JONES,JUSTIN",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
18:32,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by COOKS,BROSNAN",,,"REBOUND DEF by COOKS,BROSNAN",1
18:28,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
18:23,,,,,"MISS FT by MCCOY,TOMMY",,,"MISS FT by MCCOY,TOMMY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:23,,3,,3,"GOOD FT by MCCOY,TOMMY",BELHAVEN 3-3 (0),,"GOOD FT by MCCOY,TOMMY",1
18:03,"MISS JUMPER by BUESCHER,HUNTER",,,,,,,"MISS JUMPER by BUESCHER,HUNTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:53,,,,,"FOUL  by JONES,JOSEPH",,,"FOUL  by JONES,JOSEPH",1
17:53,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",1
17:53,,,,,"SUB OUT by JONES,JOSEPH",,,"SUB OUT by JONES,JOSEPH",1
17:52,"MISS JUMPER by WARLICK,JORDAN",,,,,,,"MISS JUMPER by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by HODUM,RICK",,,"REBOUND DEF by HODUM,RICK",1
17:43,,,,,"MISS JUMPER by COOKS,BROSNAN",,,"MISS JUMPER by COOKS,BROSNAN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
17:31,"GOOD LAYUP by LEE,MATT(in the paint)",5 (+2),,3,,SEWANEE 5-3 (+2),,"GOOD LAYUP by LEE,MATT(in the paint)",1
--,"ASSIST  by WARLICK,JORDAN",,,,,,,"ASSIST  by WARLICK,JORDAN",1
17:06,,5,,5,"GOOD JUMPER by JONES,JUSTIN(in the paint)",BELHAVEN 5-5 (0),,"GOOD JUMPER by JONES,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by ROBERTS,JOSHUA",,,"ASSIST  by ROBERTS,JOSHUA",1
16:47,,,,,"SUB IN by LONG,LARAMIE",,,"SUB IN by LONG,LARAMIE",1
16:47,,,,,"SUB OUT by ROBERTS,JOSHUA",,,"SUB OUT by ROBERTS,JOSHUA",1
16:41,"FOUL  by LEE,MATT",,,,,,,"FOUL  by LEE,MATT",1
16:41,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
16:41,"SUB OUT by LEE,MATT",,,,,,,"SUB OUT by LEE,MATT",1
16:38,,,,,"TURNOVER  by COOKS,BROSNAN",,,"TURNOVER  by COOKS,BROSNAN",1
16:38,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",1
16:28,"MISS JUMPER by SMITH,LUKE",,,,,,,"MISS JUMPER by SMITH,LUKE",1
--,,,,,"REBOUND DEF by HODUM,RICK",,,"REBOUND DEF by HODUM,RICK",1
16:13,,5,,8 (+3),"GOOD 3PTR by HODUM,RICK",BELHAVEN 5-8 (-3),,"GOOD 3PTR by HODUM,RICK",1
16:03,"GOOD 3PTR by BUESCHER,HUNTER",8,,8,,SEWANEE 8-8 (0),,"GOOD 3PTR by BUESCHER,HUNTER",1
15:57,,,,,"TURNOVER  by LONG,LARAMIE",,,"TURNOVER  by LONG,LARAMIE",1
15:57,"STEAL  by WARLICK,JORDAN",,,,,,,"STEAL  by WARLICK,JORDAN",1
15:42,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",10 (+2),,8,,SEWANEE 10-8 (+2),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
--,"ASSIST  by WARLICK,JORDAN",,,,,,,"ASSIST  by WARLICK,JORDAN",1
15:30,,,,,"MISS 3PTR by JONES,JUSTIN",,,"MISS 3PTR by JONES,JUSTIN",1
--,,,,,"REBOUND OFF by LONG,LARAMIE",,,"REBOUND OFF by LONG,LARAMIE",1
15:21,,10,,11 (+1),"GOOD 3PTR by HODUM,RICK",BELHAVEN 10-11 (-1),,"GOOD 3PTR by HODUM,RICK",1
--,,,,,"ASSIST  by JONES,JUSTIN",,,"ASSIST  by JONES,JUSTIN",1
14:59,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",1
--,,,,,"REBOUND DEF by COOKS,BROSNAN",,,"REBOUND DEF by COOKS,BROSNAN",1
14:38,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
14:38,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
14:38,,,,,"MISS FT by MCCOY,TOMMY",,,"MISS FT by MCCOY,TOMMY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
