Time Remaining,BC,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
19:43,"FOUL  by SIMPKINS,MONTE",,,,,,,"FOUL  by SIMPKINS,MONTE",1
19:41,"MISS 3PTR by SIMPKINS,MONTE",,,,,,,"MISS 3PTR by SIMPKINS,MONTE",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
19:19,,,,,"TURNOVER  by THOMAS,ADRIAN",,,"TURNOVER  by THOMAS,ADRIAN",1
19:17,"STEAL  by CAMMON,JOSH",,,,,,,"STEAL  by CAMMON,JOSH",1
19:03,"MISS LAYUP by GRIER,DAVRION",,,,,,,"MISS LAYUP by GRIER,DAVRION",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
18:46,"FOUL  by GRIER,DAVRION",,,,,,,"FOUL  by GRIER,DAVRION",1
18:46,,0,,1 (+1),"GOOD FT by BUESCHER,HUNTER",SEW 0-1 (+1),,"GOOD FT by BUESCHER,HUNTER",1
18:46,,0,,2 (+2),"GOOD FT by BUESCHER,HUNTER",SEW 0-2 (+2),,"GOOD FT by BUESCHER,HUNTER",1
18:35,"MISS 3PTR by SANDERS,JIMMIE",,,,,,,"MISS 3PTR by SANDERS,JIMMIE",1
--,,,,,"REBOUND DEF by LEE,MATT",,,"REBOUND DEF by LEE,MATT",1
18:18,,0,,4 (+4),"GOOD LAYUP by LEE,MATT(in the paint)",SEW 0-4 (+4),,"GOOD LAYUP by LEE,MATT(in the paint)",1
--,,,,,"ASSIST  by THOMAS,ADRIAN",,,"ASSIST  by THOMAS,ADRIAN",1
17:55,"MISS 3PTR by CAMMON,JOSH",,,,,,,"MISS 3PTR by CAMMON,JOSH",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
17:40,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",1
17:40,,0,,5 (+5),"GOOD FT by SMITH,LUKE",SEW 0-5 (+5),,"GOOD FT by SMITH,LUKE",1
17:40,,0,,6 (+6),"GOOD FT by SMITH,LUKE",SEW 0-6 (+6),,"GOOD FT by SMITH,LUKE",1
17:40,"SUB IN by STANCIEL,KEN",,,,,,,"SUB IN by STANCIEL,KEN",1
17:40,"SUB IN by MURRAY,CHANDLER",,,,,,,"SUB IN by MURRAY,CHANDLER",1
17:40,"SUB OUT by SIMPKINS,MONTE",,,,,,,"SUB OUT by SIMPKINS,MONTE",1
17:40,"SUB OUT by SANDERS,JIMMIE",,,,,,,"SUB OUT by SANDERS,JIMMIE",1
17:25,"MISS LAYUP by GRIER,DAVRION",,,,,,,"MISS LAYUP by GRIER,DAVRION",1
--,"REBOUND OFF by STANCIEL,KEN",,,,,,,"REBOUND OFF by STANCIEL,KEN",1
17:23,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
17:23,"GOOD FT by STANCIEL,KEN",1,,6 (+5),,BC 1-6 (+5),,"GOOD FT by STANCIEL,KEN",1
