Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:40,"MISS JUMPER by HARRIS,JAMES",,,,,,,"MISS JUMPER by HARRIS,JAMES",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
19:13,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by ZACHERY,CEAUNTE",,,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",1
19:04,"MISS LAYUP by LIVINGSTON,TREY",,,,,,,"MISS LAYUP by LIVINGSTON,TREY",1
19:04,,,,,"BLOCK  by CRUMLY,JONNY",,,"BLOCK  by CRUMLY,JONNY",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
18:41,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by KING,ISAIAH",,,,,,,"REBOUND DEF by KING,ISAIAH",1
18:33,"MISS 3PTR by LIVINGSTON,TREY",,,,,,,"MISS 3PTR by LIVINGSTON,TREY",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
18:10,"FOUL  by PINES,KYANTE",,,,,,,"FOUL  by PINES,KYANTE",1
18:09,,0,,2 (+2),"GOOD LAYUP by CRUMLY,JONNY(in the paint)",SEWANEE 0-2 (+2),,"GOOD LAYUP by CRUMLY,JONNY(in the paint)",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
17:37,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
17:37,"SUB IN by CHADWICK,SCOTTY",,,,,,,"SUB IN by CHADWICK,SCOTTY",1
17:37,"SUB OUT by LIVINGSTON,TREY",,,,,,,"SUB OUT by LIVINGSTON,TREY",1
17:16,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND DEF by HARRIS,JAMES",,,,,,,"REBOUND DEF by HARRIS,JAMES",1
17:06,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
17:06,,0,,3 (+3),"GOOD FT by BUESCHER,HUNTER",SEWANEE 0-3 (+3),,"GOOD FT by BUESCHER,HUNTER",1
16:57,"MISS JUMPER by PINES,KYANTE",,,,,,,"MISS JUMPER by PINES,KYANTE",1
--,"REBOUND OFF by ZACHERY,CEAUNTE",,,,,,,"REBOUND OFF by ZACHERY,CEAUNTE",1
16:55,"MISS LAYUP by ZACHERY,CEAUNTE",,,,,,,"MISS LAYUP by ZACHERY,CEAUNTE",1
--,"REBOUND OFF by ZACHERY,CEAUNTE",,,,,,,"REBOUND OFF by ZACHERY,CEAUNTE",1
16:54,"MISS LAYUP by ZACHERY,CEAUNTE",,,,,,,"MISS LAYUP by ZACHERY,CEAUNTE",1
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",1
16:30,,,,,"MISS 3PTR by CALDWELL,CAM",,,"MISS 3PTR by CALDWELL,CAM",1
--,"REBOUND DEF by CHADWICK,SCOTTY",,,,,,,"REBOUND DEF by CHADWICK,SCOTTY",1
16:17,"MISS 3PTR by CHADWICK,SCOTTY",,,,,,,"MISS 3PTR by CHADWICK,SCOTTY",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
16:03,,,,,"MISS 3PTR by CALDWELL,CAM",,,"MISS 3PTR by CALDWELL,CAM",1
--,"REBOUND DEF by ZACHERY,CEAUNTE",,,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",1
15:48,,,,,"FOUL  by CRUMLY,JONNY",,,"FOUL  by CRUMLY,JONNY",1
15:48,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:48,"GOOD FT by HARRIS,JAMES",1,,3 (+2),,HCM 1-3 (+2),,"GOOD FT by HARRIS,JAMES",1
15:48,"GOOD FT by HARRIS,JAMES",2,,3 (+1),,HCM 2-3 (+1),,"GOOD FT by HARRIS,JAMES",1
15:48,"SUB IN by MADISON,DAMIEN",,,,,,,"SUB IN by MADISON,DAMIEN",1
15:48,"SUB IN by REID,BRYANT",,,,,,,"SUB IN by REID,BRYANT",1
15:48,"SUB IN by GREEN,THOMAS",,,,,,,"SUB IN by GREEN,THOMAS",1
