Time Remaining,EUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:44,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
19:31,"MISS JUMPER by BOMMARITO,BEAU",,,,,,,"MISS JUMPER by BOMMARITO,BEAU",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
19:13,,,,,"MISS JUMPER by CALDWELL,CAM",,,"MISS JUMPER by CALDWELL,CAM",1
--,"REBOUND DEF by ROWLEY,LAWRENCE",,,,,,,"REBOUND DEF by ROWLEY,LAWRENCE",1
19:01,"MISS 3PTR by ROWLEY,LAWRENCE",,,,,,,"MISS 3PTR by ROWLEY,LAWRENCE",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
18:48,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
18:47,"STEAL  by BOMMARITO,BEAU",,,,,,,"STEAL  by BOMMARITO,BEAU",1
18:44,"MISS LAYUP by BOMMARITO,BEAU",,,,,,,"MISS LAYUP by BOMMARITO,BEAU",1
--,,,,,"REBOUND DEF by SMITH,LUKE",,,"REBOUND DEF by SMITH,LUKE",1
18:39,,0,,2 (+2),"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",SEWANEE 0-2 (+2),,"GOOD LAYUP by SMITH,LUKE(fastbreak)(in the paint)",1
18:39,"FOUL  by WILLIAMS,ROMIN",,,,,,,"FOUL  by WILLIAMS,ROMIN",1
18:39,,,,,"MISS FT by SMITH,LUKE",,,"MISS FT by SMITH,LUKE",1
--,"REBOUND DEF by SCHNER,MATTHEW",,,,,,,"REBOUND DEF by SCHNER,MATTHEW",1
18:16,"TURNOVER  by BAITEY,GEBEREAL",,,,,,,"TURNOVER  by BAITEY,GEBEREAL",1
18:14,,,,,"STEAL  by CALDWELL,CAM",,,"STEAL  by CALDWELL,CAM",1
17:59,,,,,"TURNOVER  by SMITH,LUKE",,,"TURNOVER  by SMITH,LUKE",1
17:57,"STEAL  by WILLIAMS,ROMIN",,,,,,,"STEAL  by WILLIAMS,ROMIN",1
17:30,"GOOD JUMPER by BAITEY,GEBEREAL",2,,2,,EUM 2-2 (0),,"GOOD JUMPER by BAITEY,GEBEREAL",1
