Time Remaining,JOHNSON,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:42,,,,,"FOUL  by SMITH,LUKE",,,"FOUL  by SMITH,LUKE",1
19:35,"TURNOVER  by ESTACIO,ESTIVEN",,,,,,,"TURNOVER  by ESTACIO,ESTIVEN",1
19:17,,,,,"MISS 3PTR by LEE,MATT",,,"MISS 3PTR by LEE,MATT",1
--,"REBOUND DEF by JONES,COBY",,,,,,,"REBOUND DEF by JONES,COBY",1
19:08,"GOOD 3PTR by JONES,COBY",3 (+3),,0,,JOHNSON 3-0 (-3),,"GOOD 3PTR by JONES,COBY",1
--,"ASSIST  by GULLION,KENTON",,,,,,,"ASSIST  by GULLION,KENTON",1
18:50,,3,,3,"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 3-3 (0),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by LEE,MATT",,,"ASSIST  by LEE,MATT",1
18:34,"GOOD JUMPER by JONES,COBY",5 (+2),,3,,JOHNSON 5-3 (-2),,"GOOD JUMPER by JONES,COBY",1
18:14,,5,,6 (+1),"GOOD 3PTR by WARLICK,JORDAN",SEWANEE 5-6 (+1),,"GOOD 3PTR by WARLICK,JORDAN",1
--,,,,,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1
17:52,"MISS JUMPER by ESTACIO,ESTIVEN",,,,,,,"MISS JUMPER by ESTACIO,ESTIVEN",1
17:52,,,,,"BLOCK  by LEE,MATT",,,"BLOCK  by LEE,MATT",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
17:44,,,,,"MISS LAYUP by SMITH,LUKE",,,"MISS LAYUP by SMITH,LUKE",1
--,"REBOUND DEF by ESTACIO,ESTIVEN",,,,,,,"REBOUND DEF by ESTACIO,ESTIVEN",1
17:31,"FOUL  by JONES,COBY",,,,,,,"FOUL  by JONES,COBY",1
17:31,"TURNOVER  by JONES,COBY",,,,,,,"TURNOVER  by JONES,COBY",1
17:31,"SUB IN by GRUBB,CAVIN",,,,,,,"SUB IN by GRUBB,CAVIN",1
17:31,"SUB OUT by MCCLAIN,CODY",,,,,,,"SUB OUT by MCCLAIN,CODY",1
17:14,,,,,"MISS DUNK by CALDWELL,CAM",,,"MISS DUNK by CALDWELL,CAM",1
--,"REBOUND DEF by JONES,COBY",,,,,,,"REBOUND DEF by JONES,COBY",1
17:04,"TURNOVER  by ESTACIO,ESTIVEN",,,,,,,"TURNOVER  by ESTACIO,ESTIVEN",1
16:47,,5,,9 (+4),"GOOD 3PTR by BUESCHER,HUNTER",SEWANEE 5-9 (+4),,"GOOD 3PTR by BUESCHER,HUNTER",1
--,,,,,"ASSIST  by WARLICK,JORDAN",,,"ASSIST  by WARLICK,JORDAN",1
16:31,"GOOD 3PTR by GULLION,KENTON",8,,9 (+1),,JOHNSON 8-9 (+1),,"GOOD 3PTR by GULLION,KENTON",1
--,"ASSIST  by GRUBB,CAVIN",,,,,,,"ASSIST  by GRUBB,CAVIN",1
16:11,,,,,"MISS 3PTR by SMITH,LUKE",,,"MISS 3PTR by SMITH,LUKE",1
