Time Remaining,,Away Team Score,Play Team Indicator,Home Team Score,,Game Score,Team Indicator,Play,Period
19:28,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND OFF by GONDA,MATT",,,,,,,"REBOUND OFF by GONDA,MATT",1
19:24,"MISS JUMPER by GONDA,MATT",,,,,,,"MISS JUMPER by GONDA,MATT",1
--,"REBOUND OFF by SPENCE,BEN",,,,,,,"REBOUND OFF by SPENCE,BEN",1
19:21,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
18:56,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",2 (+2),,0,,2-0 (+2),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
18:43,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",1
18:43,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
18:43,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
18:30,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
18:30,"MISS FT by BUESCHER,HUNTER",,,,,,,"MISS FT by BUESCHER,HUNTER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:30,"GOOD FT by BUESCHER,HUNTER",3 (+3),,0,,3-0 (+3),,"GOOD FT by BUESCHER,HUNTER",1
18:01,"TURNOVER  by ALLISON,ZACH",,,,,,,"TURNOVER  by ALLISON,ZACH",1
18:01,"STEAL  by SMITH,LUKE",,,,,,,"STEAL  by SMITH,LUKE",1
17:56,"MISS LAYUP by BUESCHER,HUNTER",,,,,,,"MISS LAYUP by BUESCHER,HUNTER",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
17:50,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
17:33,"GOOD JUMPER by CALDWELL,CAM(in the paint)",5 (+5),,0,,5-0 (+5),,"GOOD JUMPER by CALDWELL,CAM(in the paint)",1
17:16,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",1
17:01,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",7 (+7),,0,,7-0 (+7),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",1
17:01,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:44,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
16:44,"BLOCK  by LEE,MATT",,,,,,,"BLOCK  by LEE,MATT",1
--,"REBOUND DEF by LEE,MATT",,,,,,,"REBOUND DEF by LEE,MATT",1
