Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,LIP,Game Score,Team Indicator,Play,Period
19:54,,,,,"MISS 3PTR by MATHEWS,GARRISON",,,"MISS 3PTR by MATHEWS,GARRISON",1
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",1
19:27,"MISS 3PTR by LEE,MATT",,,,,,,"MISS 3PTR by LEE,MATT",1
--,,,,,"REBOUND DEF by BUCKLAND,MICHAEL",,,"REBOUND DEF by BUCKLAND,MICHAEL",1
19:03,,,,,"MISS 3PTR by PEPPER,ELI",,,"MISS 3PTR by PEPPER,ELI",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
18:45,"MISS 3PTR by CRUMLY,JONNY",,,,,,,"MISS 3PTR by CRUMLY,JONNY",1
--,,,,,"REBOUND DEF by COOPER,KENNY",,,"REBOUND DEF by COOPER,KENNY",1
18:30,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
18:30,,0,,1 (+1),"GOOD FT by MATHEWS,GARRISON",LIP 0-1 (-1),,"GOOD FT by MATHEWS,GARRISON",1
18:30,,0,,2 (+2),"GOOD FT by MATHEWS,GARRISON",LIP 0-2 (-2),,"GOOD FT by MATHEWS,GARRISON",1
18:30,,0,,3 (+3),"GOOD FT by MATHEWS,GARRISON",LIP 0-3 (-3),,"GOOD FT by MATHEWS,GARRISON",1
18:17,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
18:17,,,,,"STEAL  by COOPER,KENNY",,,"STEAL  by COOPER,KENNY",1
18:16,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
18:16,,0,,4 (+4),"GOOD FT by COOPER,KENNY",LIP 0-4 (-4),,"GOOD FT by COOPER,KENNY",1
18:16,,,,,"MISS FT by COOPER,KENNY",,,"MISS FT by COOPER,KENNY",1
--,,,,,"REBOUND OFF by ASADULLAH,AHSAN",,,"REBOUND OFF by ASADULLAH,AHSAN",1
18:16,"SUB IN by KNOX,JOEY",,,,,,,"SUB IN by KNOX,JOEY",1
18:16,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
18:13,,,,,"TURNOVER  by ASADULLAH,AHSAN",,,"TURNOVER  by ASADULLAH,AHSAN",1
18:00,"TURNOVER  by SMITH,LUKE",,,,,,,"TURNOVER  by SMITH,LUKE",1
17:52,,,,,"MISS LAYUP by ASADULLAH,AHSAN",,,"MISS LAYUP by ASADULLAH,AHSAN",1
17:52,"BLOCK  by BUESCHER,HUNTER",,,,,,,"BLOCK  by BUESCHER,HUNTER",1
--,"REBOUND DEF by SMITH,LUKE",,,,,,,"REBOUND DEF by SMITH,LUKE",1
