Time Remaining,CENTREM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:30,"TURNOVER  by WHITESIDE,DONOVAN",,,,,,,"TURNOVER  by WHITESIDE,DONOVAN",1
19:09,,,,,"MISS 3PTR by HOLLAND,JASON",,,"MISS 3PTR by HOLLAND,JASON",1
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",1
18:56,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
18:47,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
18:45,"STEAL  by LOPEZ,COLLIN",,,,,,,"STEAL  by LOPEZ,COLLIN",1
18:30,"GOOD JUMPER by WESLEY,TYLER(in the paint)",2 (+2),,0,,CENTREM 2-0 (-2),,"GOOD JUMPER by WESLEY,TYLER(in the paint)",1
18:13,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
17:57,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
17:43,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
17:21,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",1
17:16,,,,,"MISS JUMPER by THOMAS,LARRY",,,"MISS JUMPER by THOMAS,LARRY",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
17:06,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
16:56,"MISS JUMPER by WHITESIDE,DONOVAN",,,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
16:43,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
16:43,,2 (+1),,1,"GOOD FT by SCHAMP,GRIFFIN",BSC 2-1 (-1),,"GOOD FT by SCHAMP,GRIFFIN",1
16:43,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
