Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
19:42,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by HOPKINS,JAKE",,,"REBOUND DEF by HOPKINS,JAKE",1
19:32,,,,,"MISS 3PTR by HOPKINS,JAKE",,,"MISS 3PTR by HOPKINS,JAKE",1
--,,,,,"REBOUND OFF by RICHARDSON,ZEB",,,"REBOUND OFF by RICHARDSON,ZEB",1
19:22,,,,,"MISS LAYUP by HOPKINS,JAKE",,,"MISS LAYUP by HOPKINS,JAKE",1
19:22,"BLOCK  by SCHAMP,GRIFFIN",,,,,,,"BLOCK  by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
19:11,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by RICHARDSON,ZEB",,,"REBOUND DEF by RICHARDSON,ZEB",1
19:05,,,,,"TURNOVER  by RICHARDSON,ZEB",,,"TURNOVER  by RICHARDSON,ZEB",1
19:04,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
19:02,"GOOD 3PTR by WELCH,ROSS",3 (+3),,0,,BSC 3-0 (+3),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
18:52,,,,,"TURNOVER  by MCCARTHY,MATT",,,"TURNOVER  by MCCARTHY,MATT",1
18:51,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
18:47,"GOOD 3PTR by THOMAS,LARRY",6 (+6),,0,,BSC 6-0 (+6),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
18:31,,6 (+4),,2,"GOOD JUMPER by SPAINHOUR,JOSH",GC 6-2 (+4),,"GOOD JUMPER by SPAINHOUR,JOSH",1
18:05,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by MCCARTHY,MATT",,,"REBOUND DEF by MCCARTHY,MATT",1
17:55,,,,,"MISS 3PTR by SPAINHOUR,JOSH",,,"MISS 3PTR by SPAINHOUR,JOSH",1
--,,,,,"REBOUND OFF by RICHARDSON,ZEB",,,"REBOUND OFF by RICHARDSON,ZEB",1
17:50,,6 (+2),,4,"GOOD LAYUP by RICHARDSON,ZEB(in the paint)",GC 6-4 (+2),,"GOOD LAYUP by RICHARDSON,ZEB(in the paint)",1
17:27,"GOOD JUMPER by THOMAS,LARRY",8 (+4),,4,,BSC 8-4 (+4),,"GOOD JUMPER by THOMAS,LARRY",1
17:20,,,,,"TURNOVER  by SPAINHOUR,JOSH",,,"TURNOVER  by SPAINHOUR,JOSH",1
17:18,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
17:16,"GOOD 3PTR by THOMAS,LARRY",11 (+7),,4,,BSC 11-4 (+7),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
16:49,,11 (+5),,6,"GOOD JUMPER by MCCARTHY,MATT",GC 11-6 (+5),,"GOOD JUMPER by MCCARTHY,MATT",1
16:31,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by MCCARTHY,MATT",,,"REBOUND DEF by MCCARTHY,MATT",1
16:26,,11 (+3),,8,"GOOD JUMPER by MCCARTHY,MATT",GC 11-8 (+3),,"GOOD JUMPER by MCCARTHY,MATT",1
16:20,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
16:20,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
16:20,,,,,"SUB IN by STOKELY,ROBBIE",,,"SUB IN by STOKELY,ROBBIE",1
16:20,,,,,"SUB IN by HYATT,TREVER",,,"SUB IN by HYATT,TREVER",1
16:20,,,,,"SUB OUT by RICHARDSON,ZEB",,,"SUB OUT by RICHARDSON,ZEB",1
16:20,,,,,"SUB OUT by MCCARTHY,MATT",,,"SUB OUT by MCCARTHY,MATT",1
16:01,"GOOD LAYUP by THOMAS,LARRY(in the paint)",13 (+5),,8,,BSC 13-8 (+5),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
15:51,,,,,"TURNOVER  by FURR,ALSTON",,,"TURNOVER  by FURR,ALSTON",1
