Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by FRIERSON,NATE",,,"REBOUND DEF by FRIERSON,NATE",1
16:46,,,,,"MISS LAYUP by MCGRIFF,COLTON",,,"MISS LAYUP by MCGRIFF,COLTON",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
16:32,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",1
16:24,,12 (+8),,4,"GOOD LAYUP by TURNER,MICAH(in the paint)",CCM 12-4 (+8),,"GOOD LAYUP by TURNER,MICAH(in the paint)",1
16:01,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",1
15:52,,,,,"MISS 3PTR by BELL,ROBBY",,,"MISS 3PTR by BELL,ROBBY",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
15:42,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by BELL,ROBBY",,,"REBOUND DEF by BELL,ROBBY",1
15:38,,,,,"TURNOVER  by BELL,ROBBY",,,"TURNOVER  by BELL,ROBBY",1
15:36,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
15:34,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
15:34,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
15:34,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
15:34,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
15:34,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
15:34,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
15:34,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
15:34,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
15:34,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
15:34,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
15:34,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
15:34,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
15:34,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",1
15:34,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
15:34,,,,,"SUB IN by PORTLOCK,WILL",,,"SUB IN by PORTLOCK,WILL",1
15:34,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",1
15:34,,,,,"SUB OUT by BELL,ROBBY",,,"SUB OUT by BELL,ROBBY",1
15:34,,,,,"SUB OUT by TURNER,MICAH",,,"SUB OUT by TURNER,MICAH",1
15:33,,,,,"TURNOVER  by PORTLOCK,WILL",,,"TURNOVER  by PORTLOCK,WILL",1
15:31,"STEAL  by THOM,IAN",,,,,,,"STEAL  by THOM,IAN",1
15:13,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:34,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
14:34,,,,,"SUB IN by DELANEY,JAKE",,,"SUB IN by DELANEY,JAKE",1
14:34,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",1
14:26,"MISS LAYUP by MARSCHNER,BRENDAN",,,,,,,"MISS LAYUP by MARSCHNER,BRENDAN",1
--,,,,,"REBOUND DEF by BOYD,CHRIS",,,"REBOUND DEF by BOYD,CHRIS",1
14:11,,,,,"MISS 3PTR by PORTLOCK,WILL",,,"MISS 3PTR by PORTLOCK,WILL",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
13:45,"MISS JUMPER by LEWIS,EVAN",,,,,,,"MISS JUMPER by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",1
13:38,,,,,"MISS JUMPER by BOYD,CHRIS",,,"MISS JUMPER by BOYD,CHRIS",1
--,"REBOUND DEF by MARSCHNER,BRENDAN",,,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",1
13:26,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1
13:26,,,,,"BLOCK  by BOYD,CHRIS",,,"BLOCK  by BOYD,CHRIS",1
--,,,,,"REBOUND DEF by DELANEY,JAKE",,,"REBOUND DEF by DELANEY,JAKE",1
13:19,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",1
13:19,,12 (+7),,5,"GOOD FT by PHELPS,BEN",CCM 12-5 (+7),,"GOOD FT by PHELPS,BEN",1
13:19,,12 (+6),,6,"GOOD FT by PHELPS,BEN",CCM 12-6 (+6),,"GOOD FT by PHELPS,BEN",1
13:19,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
13:19,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
13:19,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
13:19,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
13:19,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",1
13:19,,,,,"SUB OUT by MCGRIFF,COLTON",,,"SUB OUT by MCGRIFF,COLTON",1
13:02,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by ENGBERS,BRYANT",,,"REBOUND DEF by ENGBERS,BRYANT",1
12:50,,,,,"MISS JUMPER by PORTLOCK,WILL",,,"MISS JUMPER by PORTLOCK,WILL",1
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",1
12:28,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",14 (+8),,6,,BSCM 14-6 (+8),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
11:58,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
11:58,,,,,"MISS FT by DELANEY,JAKE",,,"MISS FT by DELANEY,JAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:58,,,,,"MISS FT by DELANEY,JAKE",,,"MISS FT by DELANEY,JAKE",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
11:58,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",1
11:58,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
11:58,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
11:58,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
11:58,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
11:58,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
11:58,,,,,"SUB IN by MCGRIFF,COLTON",,,"SUB IN by MCGRIFF,COLTON",1
11:58,,,,,"SUB IN by FRIERSON,NATE",,,"SUB IN by FRIERSON,NATE",1
11:58,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
11:58,,,,,"SUB OUT by PORTLOCK,WILL",,,"SUB OUT by PORTLOCK,WILL",1
11:48,,,,,"SUB IN by TURNER,MICAH",,,"SUB IN by TURNER,MICAH",1
11:48,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",1
11:25,"MISS JUMPER by HOLLE,MASON",,,,,,,"MISS JUMPER by HOLLE,MASON",1
--,,,,,"REBOUND DEF by BOYD,CHRIS",,,"REBOUND DEF by BOYD,CHRIS",1
11:14,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
11:14,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
11:14,,,,,"SUB OUT by DELANEY,JAKE",,,"SUB OUT by DELANEY,JAKE",1
10:56,,,,,"MISS LAYUP by PHELPS,BEN",,,"MISS LAYUP by PHELPS,BEN",1
--,,,,,"REBOUND OFF by BOYD,CHRIS",,,"REBOUND OFF by BOYD,CHRIS",1
10:54,,,,,"MISS LAYUP by BOYD,CHRIS",,,"MISS LAYUP by BOYD,CHRIS",1
--,"REBOUND DEF by HOLLE,MASON",,,,,,,"REBOUND DEF by HOLLE,MASON",1
10:39,,,,,"FOUL  by FRIERSON,NATE",,,"FOUL  by FRIERSON,NATE",1
10:33,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",1
10:25,,,,,"MISS 3PTR by PHELPS,BEN",,,"MISS 3PTR by PHELPS,BEN",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
10:02,"TURNOVER  by HAYES,CONNER",,,,,,,"TURNOVER  by HAYES,CONNER",1
10:01,,,,,"STEAL  by FRIERSON,NATE",,,"STEAL  by FRIERSON,NATE",1
09:45,,,,,"MISS LAYUP by BOYD,CHRIS",,,"MISS LAYUP by BOYD,CHRIS",1
09:45,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by HOLLE,MASON",,,,,,,"REBOUND DEF by HOLLE,MASON",1
09:35,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",1
09:28,"FOUL  by HAYES,CONNER",,,,,,,"FOUL  by HAYES,CONNER",1
09:28,,,,,"TURNOVER  by TURNER,MICAH",,,"TURNOVER  by TURNER,MICAH",1
09:28,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
09:28,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
09:28,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
09:28,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
09:28,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",1
09:28,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
09:28,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
09:28,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
09:28,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",1
09:28,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
09:07,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
09:00,"GOOD LAYUP by THOMAS,LARRY(in the paint)",16 (+10),,6,,BSCM 16-6 (+10),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
08:57,,,,,"MISS JUMPER by TURNER,MICAH",,,"MISS JUMPER by TURNER,MICAH",1
--,,,,,"REBOUND OFF by FERGUSON,TERON",,,"REBOUND OFF by FERGUSON,TERON",1
08:54,,16 (+8),,8,"GOOD LAYUP by FERGUSON,TERON(in the paint)",CCM 16-8 (+8),,"GOOD LAYUP by FERGUSON,TERON(in the paint)",1
08:24,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
08:24,,,,,"BLOCK  by TURNER,MICAH",,,"BLOCK  by TURNER,MICAH",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:24,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
08:24,,,,,"SUB IN by PORTLOCK,WILL",,,"SUB IN by PORTLOCK,WILL",1
08:24,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
08:24,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",1
08:09,,,,,"MISS JUMPER by MCGRIFF,COLTON",,,"MISS JUMPER by MCGRIFF,COLTON",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
07:58,,,,,"FOUL  by FERGUSON,TERON",,,"FOUL  by FERGUSON,TERON",1
07:50,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,,,,,"REBOUND DEF by TURNER,MICAH",,,"REBOUND DEF by TURNER,MICAH",1
07:47,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
07:30,,,,,"FOUL  by ARIMA,Z",,,"FOUL  by ARIMA,Z",1
07:30,,,,,"TURNOVER  by ARIMA,Z",,,"TURNOVER  by ARIMA,Z",1
07:04,,,,,"FOUL  by FERGUSON,TERON",,,"FOUL  by FERGUSON,TERON",1
07:04,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:04,"GOOD FT by SCHAMP,GRIFFIN",17 (+9),,8,,BSCM 17-8 (+9),,"GOOD FT by SCHAMP,GRIFFIN",1
07:04,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",1
07:04,,,,,"SUB OUT by FERGUSON,TERON",,,"SUB OUT by FERGUSON,TERON",1
06:48,,,,,"MISS JUMPER by ARIMA,Z",,,"MISS JUMPER by ARIMA,Z",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
06:45,,,,,"FOUL  by ARIMA,Z",,,"FOUL  by ARIMA,Z",1
06:45,"GOOD FT by SCHAMP,GRIFFIN",18 (+10),,8,,BSCM 18-8 (+10),,"GOOD FT by SCHAMP,GRIFFIN",1
06:45,"GOOD FT by SCHAMP,GRIFFIN",19 (+11),,8,,BSCM 19-8 (+11),,"GOOD FT by SCHAMP,GRIFFIN",1
06:45,,,,,"SUB IN by BELL,ROBBY",,,"SUB IN by BELL,ROBBY",1
06:45,,,,,"SUB IN by DELANEY,JAKE",,,"SUB IN by DELANEY,JAKE",1
06:45,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",1
06:45,,,,,"SUB OUT by TURNER,MICAH",,,"SUB OUT by TURNER,MICAH",1
06:36,,19 (+9),,10,"GOOD LAYUP by PORTLOCK,WILL(in the paint)",CCM 19-10 (+9),,"GOOD LAYUP by PORTLOCK,WILL(in the paint)",1
--,,,,,"ASSIST  by BELL,ROBBY",,,"ASSIST  by BELL,ROBBY",1
06:18,"GOOD 3PTR by THOMAS,LARRY",22 (+12),,10,,BSCM 22-10 (+12),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
05:56,,,,,"MISS JUMPER by BOYD,CHRIS",,,"MISS JUMPER by BOYD,CHRIS",1
--,,,,,"REBOUND OFF by PORTLOCK,WILL",,,"REBOUND OFF by PORTLOCK,WILL",1
05:50,,,,,"MISS LAYUP by PORTLOCK,WILL",,,"MISS LAYUP by PORTLOCK,WILL",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
05:31,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
05:31,,,,,"FOUL  by MCGRIFF,COLTON",,,"FOUL  by MCGRIFF,COLTON",1
05:31,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by BOYD,CHRIS",,,"REBOUND DEF by BOYD,CHRIS",1
05:31,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
05:31,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
05:31,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",1
05:31,,,,,"SUB IN by FRIERSON,NATE",,,"SUB IN by FRIERSON,NATE",1
05:31,,,,,"SUB OUT by MCGRIFF,COLTON",,,"SUB OUT by MCGRIFF,COLTON",1
05:31,,,,,"SUB OUT by PORTLOCK,WILL",,,"SUB OUT by PORTLOCK,WILL",1
05:04,,,,,"MISS JUMPER by FERGUSON,TERON",,,"MISS JUMPER by FERGUSON,TERON",1
--,,,,,"REBOUND OFF by BOYD,CHRIS",,,"REBOUND OFF by BOYD,CHRIS",1
05:00,,22 (+10),,12,"GOOD JUMPER by BOYD,CHRIS",CCM 22-12 (+10),,"GOOD JUMPER by BOYD,CHRIS",1
04:43,"GOOD LAYUP by THOMAS,LARRY(in the paint)",24 (+12),,12,,BSCM 24-12 (+12),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
04:28,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
04:28,,24 (+11),,13,"GOOD FT by BOYD,CHRIS",CCM 24-13 (+11),,"GOOD FT by BOYD,CHRIS",1
04:28,,24 (+10),,14,"GOOD FT by BOYD,CHRIS",CCM 24-14 (+10),,"GOOD FT by BOYD,CHRIS",1
04:28,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
04:28,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
04:28,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
04:28,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
04:28,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
04:28,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
04:01,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
04:01,"GOOD FT by FREEMAN,SCHYLAR",25 (+11),,14,,BSCM 25-14 (+11),,"GOOD FT by FREEMAN,SCHYLAR",1
04:01,"MISS FT by FREEMAN,SCHYLAR",,,,,,,"MISS FT by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by BOYD,CHRIS",,,"REBOUND DEF by BOYD,CHRIS",1
03:44,,25 (+8),,17,"GOOD 3PTR by BELL,ROBBY",CCM 25-17 (+8),,"GOOD 3PTR by BELL,ROBBY",1
--,,,,,"ASSIST  by FRIERSON,NATE",,,"ASSIST  by FRIERSON,NATE",1
03:19,"TURNOVER  by GALFSKY,ANDER",,,,,,,"TURNOVER  by GALFSKY,ANDER",1
03:18,,,,,"STEAL  by FERGUSON,TERON",,,"STEAL  by FERGUSON,TERON",1
03:15,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
03:15,,25 (+7),,18,"GOOD FT by FERGUSON,TERON",CCM 25-18 (+7),,"GOOD FT by FERGUSON,TERON",1
03:15,,25 (+6),,19,"GOOD FT by FERGUSON,TERON",CCM 25-19 (+6),,"GOOD FT by FERGUSON,TERON",1
03:15,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
03:15,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:15,,,,,"SUB IN by MCGRIFF,COLTON",,,"SUB IN by MCGRIFF,COLTON",1
03:15,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
02:52,"TURNOVER  by MARSCHNER,BRENDAN",,,,,,,"TURNOVER  by MARSCHNER,BRENDAN",1
02:51,,,,,"STEAL  by FERGUSON,TERON",,,"STEAL  by FERGUSON,TERON",1
02:48,,,,,"TURNOVER  by DELANEY,JAKE",,,"TURNOVER  by DELANEY,JAKE",1
02:48,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",1
02:48,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
02:48,,,,,"SUB OUT by BELL,ROBBY",,,"SUB OUT by BELL,ROBBY",1
02:48,,,,,"SUB OUT by FERGUSON,TERON",,,"SUB OUT by FERGUSON,TERON",1
02:33,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
02:33,"GOOD FT by LEWIS,EVAN",26 (+7),,19,,BSCM 26-19 (+7),,"GOOD FT by LEWIS,EVAN",1
02:33,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",1
--,,,,,"REBOUND DEF by FERGUSON,TERON",,,"REBOUND DEF by FERGUSON,TERON",1
02:33,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
02:33,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
02:33,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
02:33,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
02:33,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
02:33,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
02:33,,,,,"SUB IN by FERGUSON,TERON",,,"SUB IN by FERGUSON,TERON",1
02:33,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
02:12,,,,,"MISS JUMPER by FRIERSON,NATE",,,"MISS JUMPER by FRIERSON,NATE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
02:03,"GOOD 3PTR by LEWIS,EVAN",29 (+10),,19,,BSCM 29-19 (+10),,"GOOD 3PTR by LEWIS,EVAN",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
01:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:49,,,,,"SUB IN by PORTLOCK,WILL",,,"SUB IN by PORTLOCK,WILL",1
01:49,,,,,"SUB IN by TURNER,MICAH",,,"SUB IN by TURNER,MICAH",1
01:49,,,,,"SUB OUT by DELANEY,JAKE",,,"SUB OUT by DELANEY,JAKE",1
01:49,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",1
01:44,,,,,"MISS LAYUP by TURNER,MICAH",,,"MISS LAYUP by TURNER,MICAH",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
01:11,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",31 (+12),,19,,BSCM 31-19 (+12),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
01:03,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
01:03,,,,,"MISS FT by TURNER,MICAH",,,"MISS FT by TURNER,MICAH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:03,,,,,"MISS FT by TURNER,MICAH",,,"MISS FT by TURNER,MICAH",1
--,,,,,"REBOUND OFF by FERGUSON,TERON",,,"REBOUND OFF by FERGUSON,TERON",1
