Time Remaining,SAL,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:31,,0,,3 (+3),"GOOD 3PTR by WELCH,ROSS",BSC 0-3 (+3),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
19:00,"MISS 3PTR by JETER,GORDON",,,,,,,"MISS 3PTR by JETER,GORDON",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
18:46,"FOUL  by SAVERCOOL,KYLE",,,,,,,"FOUL  by SAVERCOOL,KYLE",1
18:46,,0,,4 (+4),"GOOD FT by SCHAMP,GRIFFIN",BSC 0-4 (+4),,"GOOD FT by SCHAMP,GRIFFIN",1
18:46,,0,,5 (+5),"GOOD FT by SCHAMP,GRIFFIN",BSC 0-5 (+5),,"GOOD FT by SCHAMP,GRIFFIN",1
18:41,"TURNOVER  by JETER,GORDON",,,,,,,"TURNOVER  by JETER,GORDON",1
18:40,,,,,"STEAL  by FREEMAN,SCHYLAR",,,"STEAL  by FREEMAN,SCHYLAR",1
18:39,,0,,7 (+7),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 0-7 (+7),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
18:20,"MISS LAYUP by JETER,GORDON",,,,,,,"MISS LAYUP by JETER,GORDON",1
--,"REBOUND OFF by JETER,GORDON",,,,,,,"REBOUND OFF by JETER,GORDON",1
18:18,"GOOD LAYUP by JETER,GORDON(in the paint)",2,,7 (+5),,SAL 2-7 (+5),,"GOOD LAYUP by JETER,GORDON(in the paint)",1
17:40,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by RULAND,LUKE",,,,,,,"REBOUND DEF by RULAND,LUKE",1
17:31,"MISS 3PTR by RULAND,LUKE",,,,,,,"MISS 3PTR by RULAND,LUKE",1
--,"REBOUND OFF by JETER,GORDON",,,,,,,"REBOUND OFF by JETER,GORDON",1
17:21,"MISS 3PTR by SAVERCOOL,KYLE",,,,,,,"MISS 3PTR by SAVERCOOL,KYLE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:21,"SUB IN by PORTER,CHARLES",,,,,,,"SUB IN by PORTER,CHARLES",1
17:21,"SUB IN by VIQUEIRA,CHRIS",,,,,,,"SUB IN by VIQUEIRA,CHRIS",1
17:21,"SUB OUT by STRICKLAND,CONOR",,,,,,,"SUB OUT by STRICKLAND,CONOR",1
17:21,"SUB OUT by JETER,GORDON",,,,,,,"SUB OUT by JETER,GORDON",1
17:09,"GOOD 3PTR by HARWOOD,TIM",5,,7 (+2),,SAL 5-7 (+2),,"GOOD 3PTR by HARWOOD,TIM",1
16:48,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
16:35,"MISS 3PTR by HARWOOD,TIM",,,,,,,"MISS 3PTR by HARWOOD,TIM",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
16:23,,5,,9 (+4),"GOOD LAYUP by WELCH,ROSS(in the paint)",BSC 5-9 (+4),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
16:08,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
16:08,"GOOD FT by SAVERCOOL,KYLE",6,,9 (+3),,SAL 6-9 (+3),,"GOOD FT by SAVERCOOL,KYLE",1
16:08,"GOOD FT by SAVERCOOL,KYLE",7,,9 (+2),,SAL 7-9 (+2),,"GOOD FT by SAVERCOOL,KYLE",1
16:08,"SUB IN by WITMER,JUSTIN",,,,,,,"SUB IN by WITMER,JUSTIN",1
16:08,"SUB IN by MILBURN,DOMINIC",,,,,,,"SUB IN by MILBURN,DOMINIC",1
16:08,"SUB OUT by HARWOOD,TIM",,,,,,,"SUB OUT by HARWOOD,TIM",1
16:08,"SUB OUT by RULAND,LUKE",,,,,,,"SUB OUT by RULAND,LUKE",1
