Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,BSCM,Game Score,Team Indicator,Play,Period
14:07,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
13:55,,,,,"MISS JUMPER by AVERY,ALEX",,,"MISS JUMPER by AVERY,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:54,"FOUL  by COURSON,TYLER",,,,,,,"FOUL  by COURSON,TYLER",1
13:52,,11,,15 (+4),"GOOD LAYUP by GALFSKY,ANDER(in the paint)",BSCM 11-15 (+4),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",1
--,,,,,"ASSIST  by MCKAY,COLLIN",,,"ASSIST  by MCKAY,COLLIN",1
13:42,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",1
13:41,,,,,"STEAL  by AVERY,ALEX",,,"STEAL  by AVERY,ALEX",1
13:29,,,,,"TURNOVER  by GALFSKY,ANDER",,,"TURNOVER  by GALFSKY,ANDER",1
13:28,"STEAL  by COURSON,TYLER",,,,,,,"STEAL  by COURSON,TYLER",1
13:09,"GOOD 3PTR by SMITH,CONNOR",14,,15 (+1),,OUM 14-15 (+1),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by ROHLFS,VICTOR",,,,,,,"ASSIST  by ROHLFS,VICTOR",1
12:49,"FOUL  by COURSON,TYLER",,,,,,,"FOUL  by COURSON,TYLER",1
12:49,,14,,16 (+2),"GOOD FT by AVERY,ALEX",BSCM 14-16 (+2),,"GOOD FT by AVERY,ALEX",1
12:49,,14,,17 (+3),"GOOD FT by AVERY,ALEX",BSCM 14-17 (+3),,"GOOD FT by AVERY,ALEX",1
12:49,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
12:49,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",1
12:49,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
12:49,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
12:49,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
12:49,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
12:49,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
12:49,,,,,"SUB IN by DANIELS,ROB",,,"SUB IN by DANIELS,ROB",1
12:49,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",1
12:49,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
12:49,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
12:49,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",1
12:49,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
12:49,,,,,"SUB OUT by MCKAY,COLLIN",,,"SUB OUT by MCKAY,COLLIN",1
12:33,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",1
--,"REBOUND OFF by PERRY,WILL",,,,,,,"REBOUND OFF by PERRY,WILL",1
12:29,,,,,"FOUL  by PERKINS,ALEX",,,"FOUL  by PERKINS,ALEX",1
12:29,"GOOD FT by PERRY,WILL",15,,17 (+2),,OUM 15-17 (+2),,"GOOD FT by PERRY,WILL",1
12:29,"GOOD FT by PERRY,WILL",16,,17 (+1),,OUM 16-17 (+1),,"GOOD FT by PERRY,WILL",1
12:24,,,,,"MISS 3PTR by HOLLE,MASON",,,"MISS 3PTR by HOLLE,MASON",1
--,"REBOUND DEF by ROHLFS,VICTOR",,,,,,,"REBOUND DEF by ROHLFS,VICTOR",1
12:17,"TURNOVER  by ROHLFS,VICTOR",,,,,,,"TURNOVER  by ROHLFS,VICTOR",1
11:50,,,,,"MISS JUMPER by HOLLE,MASON",,,"MISS JUMPER by HOLLE,MASON",1
--,,,,,"REBOUND OFF by HOLLE,MASON",,,"REBOUND OFF by HOLLE,MASON",1
11:25,,,,,"MISS 3PTR by PERKINS,ALEX",,,"MISS 3PTR by PERKINS,ALEX",1
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",1
11:23,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
11:23,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
11:23,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
11:23,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
11:23,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
11:23,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
11:23,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
11:23,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
11:23,,,,,"SUB OUT by MARSCHNER,BRENDAN",,,"SUB OUT by MARSCHNER,BRENDAN",1
11:23,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
11:23,,,,,"SUB OUT by DANIELS,ROB",,,"SUB OUT by DANIELS,ROB",1
11:23,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
11:19,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",1
11:18,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
10:58,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
10:38,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
10:38,"STEAL  by KINNEY,JORDAN",,,,,,,"STEAL  by KINNEY,JORDAN",1
10:38,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
10:38,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
10:25,"TURNOVER  by BATES,ROMELLO",,,,,,,"TURNOVER  by BATES,ROMELLO",1
10:12,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
09:56,,16,,19 (+3),"GOOD JUMPER by HENRY,COLIN(in the paint)",BSCM 16-19 (+3),,"GOOD JUMPER by HENRY,COLIN(in the paint)",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
09:33,"GOOD 3PTR by ROHLFS,VICTOR",19,,19,,OUM 19-19 (0),,"GOOD 3PTR by ROHLFS,VICTOR",1
08:54,,,,,"MISS 3PTR by HOLLAND,JASON",,,"MISS 3PTR by HOLLAND,JASON",1
08:54,"BLOCK  by ROHLFS,VICTOR",,,,,,,"BLOCK  by ROHLFS,VICTOR",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
08:54,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
08:54,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
08:54,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
08:54,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
08:54,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
08:54,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",1
08:53,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by ROHLFS,VICTOR",,,,,,,"REBOUND DEF by ROHLFS,VICTOR",1
08:49,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
08:39,"GOOD 3PTR by COURSON,TYLER",22 (+3),,19,,OUM 22-19 (-3),,"GOOD 3PTR by COURSON,TYLER",1
08:36,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
08:36,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
08:18,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",1
08:08,"MISS 3PTR by PERRY,WILL",,,,,,,"MISS 3PTR by PERRY,WILL",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
07:58,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",1
07:58,,22 (+2),,20,"GOOD FT by LEWIS,EVAN",BSCM 22-20 (-2),,"GOOD FT by LEWIS,EVAN",1
07:58,,,,,"MISS FT by LEWIS,EVAN",,,"MISS FT by LEWIS,EVAN",1
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",1
07:58,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",1
07:58,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
07:31,,22,,22,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",BSCM 22-22 (0),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
07:10,"MISS LAYUP by BATES,ROMELLO",,,,,,,"MISS LAYUP by BATES,ROMELLO",1
--,"REBOUND OFF by BATES,ROMELLO",,,,,,,"REBOUND OFF by BATES,ROMELLO",1
07:00,"TURNOVER  by COURSON,TYLER",,,,,,,"TURNOVER  by COURSON,TYLER",1
06:59,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
06:57,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
06:56,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND OFF by KINNEY,JORDAN",,,,,,,"REBOUND OFF by KINNEY,JORDAN",1
06:50,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",1
06:48,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
06:14,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:13,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
06:13,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
06:13,"SUB OUT by COURSON,TYLER",,,,,,,"SUB OUT by COURSON,TYLER",1
06:13,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",1
06:13,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
06:13,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
06:13,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",1
06:13,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
06:13,,,,,"SUB IN by MCKAY,COLLIN",,,"SUB IN by MCKAY,COLLIN",1
06:13,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
06:13,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
06:13,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
06:13,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
06:13,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
05:52,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
05:35,,,,,"MISS JUMPER by AVERY,ALEX",,,"MISS JUMPER by AVERY,ALEX",1
05:35,"BLOCK  by DAVIS,ALEX",,,,,,,"BLOCK  by DAVIS,ALEX",1
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",1
05:11,"MISS LAYUP by PERRY,WILL",,,,,,,"MISS LAYUP by PERRY,WILL",1
05:07,,,,,"BLOCK  by AVERY,ALEX",,,"BLOCK  by AVERY,ALEX",1
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",1
05:00,,,,,"MISS JUMPER by CRAIN,JOHN",,,"MISS JUMPER by CRAIN,JOHN",1
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",1
04:45,"MISS 3PTR by ROHLFS,VICTOR",,,,,,,"MISS 3PTR by ROHLFS,VICTOR",1
--,"REBOUND OFF by KINNEY,JORDAN",,,,,,,"REBOUND OFF by KINNEY,JORDAN",1
04:37,"TURNOVER  by KINNEY,JORDAN",,,,,,,"TURNOVER  by KINNEY,JORDAN",1
04:36,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
04:36,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
04:21,"FOUL  by SIGRIST,CONNOR",,,,,,,"FOUL  by SIGRIST,CONNOR",1
04:18,,22,,24 (+2),"GOOD JUMPER by AVERY,ALEX(in the paint)",BSCM 22-24 (+2),,"GOOD JUMPER by AVERY,ALEX(in the paint)",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
04:17,,,,,"FOUL  by GALFSKY,ANDER",,,"FOUL  by GALFSKY,ANDER",1
04:17,"SUB IN by COURSON,TYLER",,,,,,,"SUB IN by COURSON,TYLER",1
04:17,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
03:51,"GOOD 3PTR by SMITH,CONNOR",25 (+1),,24,,OUM 25-24 (-1),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by COURSON,TYLER",,,,,,,"ASSIST  by COURSON,TYLER",1
03:22,,,,,"MISS JUMPER by AVERY,ALEX",,,"MISS JUMPER by AVERY,ALEX",1
--,,,,,"REBOUND OFF by GALFSKY,ANDER",,,"REBOUND OFF by GALFSKY,ANDER",1
03:12,,25,,26 (+1),"GOOD TIPIN by GALFSKY,ANDER(in the paint)",BSCM 25-26 (+1),,"GOOD TIPIN by GALFSKY,ANDER(in the paint)",1
03:02,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",1
03:01,,,,,"STEAL  by THOM,IAN",,,"STEAL  by THOM,IAN",1
03:00,,25,,28 (+3),"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",BSCM 25-28 (+3),,"GOOD LAYUP by THOM,IAN(fastbreak)(in the paint)",1
02:58,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",1
02:58,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",1
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",1
02:58,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
02:58,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
02:58,,,,,"SUB IN by DANIELS,ROB",,,"SUB IN by DANIELS,ROB",1
02:58,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",1
02:58,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
02:58,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",1
02:58,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
02:58,,,,,"SUB OUT by MCKAY,COLLIN",,,"SUB OUT by MCKAY,COLLIN",1
02:35,,,,,"FOUL  by DANIELS,ROB",,,"FOUL  by DANIELS,ROB",1
02:35,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
02:35,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
02:30,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
02:30,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
02:30,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
02:30,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
02:30,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
02:30,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
02:30,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
02:30,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
02:30,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
02:30,,,,,"SUB OUT by MARSCHNER,BRENDAN",,,"SUB OUT by MARSCHNER,BRENDAN",1
02:30,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
02:30,,,,,"SUB OUT by DANIELS,ROB",,,"SUB OUT by DANIELS,ROB",1
02:30,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
02:26,"MISS JUMPER by DAVIS,ALEX",,,,,,,"MISS JUMPER by DAVIS,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:23,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",1
02:23,,25,,29 (+4),"GOOD FT by SCHAMP,GRIFFIN",BSCM 25-29 (+4),,"GOOD FT by SCHAMP,GRIFFIN",1
02:23,,25,,30 (+5),"GOOD FT by SCHAMP,GRIFFIN",BSCM 25-30 (+5),,"GOOD FT by SCHAMP,GRIFFIN",1
02:23,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",1
02:23,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
02:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:50,"GOOD 3PTR by SMITH,CONNOR",28,,30 (+2),,OUM 28-30 (+2),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by ROHLFS,VICTOR",,,,,,,"ASSIST  by ROHLFS,VICTOR",1
01:37,,28,,33 (+5),"GOOD 3PTR by WELCH,ROSS",BSCM 28-33 (+5),,"GOOD 3PTR by WELCH,ROSS",1
01:02,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
01:02,"GOOD FT by KINNEY,JORDAN",29,,33 (+4),,OUM 29-33 (+4),,"GOOD FT by KINNEY,JORDAN",1
01:02,"GOOD FT by KINNEY,JORDAN",30,,33 (+3),,OUM 30-33 (+3),,"GOOD FT by KINNEY,JORDAN",1
01:02,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
01:02,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
