Time Remaining,MVCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
08:32,,,,,"MISS LAYUP by HOLLAND,JASON",,,"MISS LAYUP by HOLLAND,JASON",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
08:28,"SUB IN by BUTLER,OSCAR",,,,,,,"SUB IN by BUTLER,OSCAR",1
08:28,"SUB OUT by PEAKE,SPENCER",,,,,,,"SUB OUT by PEAKE,SPENCER",1
08:28,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
08:28,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
08:21,,22,,30 (+8),"GOOD LAYUP by HENRY,COLIN(in the paint)",BSC 22-30 (+8),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
08:06,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
08:00,"GOOD LAYUP by BUTLER,OSCAR(in the paint)",24,,30 (+6),,MVCM 24-30 (+6),,"GOOD LAYUP by BUTLER,OSCAR(in the paint)",1
07:40,,24,,32 (+8),"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",BSC 24-32 (+8),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
07:24,"GOOD 3PTR by FORD,CHRISTIAN",27,,32 (+5),,MVCM 27-32 (+5),,"GOOD 3PTR by FORD,CHRISTIAN",1
07:08,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
07:07,"STEAL  by BUTLER,OSCAR",,,,,,,"STEAL  by BUTLER,OSCAR",1
06:54,"GOOD JUMPER by BYRD,JAUMONEE",29,,32 (+3),,MVCM 29-32 (+3),,"GOOD JUMPER by BYRD,JAUMONEE",1
--,"ASSIST  by FORD,CHRISTIAN",,,,,,,"ASSIST  by FORD,CHRISTIAN",1
06:41,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
06:41,"SUB IN by RAYE,CRAIG",,,,,,,"SUB IN by RAYE,CRAIG",1
06:41,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",1
06:41,"SUB OUT by BURRIS,JP",,,,,,,"SUB OUT by BURRIS,JP",1
06:41,"SUB OUT by BYRD,JAUMONEE",,,,,,,"SUB OUT by BYRD,JAUMONEE",1
06:26,"GOOD LAYUP by RAYE,CRAIG(in the paint)",31,,32 (+1),,MVCM 31-32 (+1),,"GOOD LAYUP by RAYE,CRAIG(in the paint)",1
--,"ASSIST  by BODEWIG,JOEY",,,,,,,"ASSIST  by BODEWIG,JOEY",1
06:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:25,"SUB OUT by SHOFFNER,SPENCER",,,,,,,"SUB OUT by SHOFFNER,SPENCER",1
06:25,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
06:25,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
06:25,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
06:25,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
06:23,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND DEF by FORD,CHRISTIAN",,,,,,,"REBOUND DEF by FORD,CHRISTIAN",1
06:10,"GOOD 3PTR by SHOFFNER,SPENCER",34 (+2),,32,,MVCM 34-32 (-2),,"GOOD 3PTR by SHOFFNER,SPENCER",1
--,"ASSIST  by RAYE,CRAIG",,,,,,,"ASSIST  by RAYE,CRAIG",1
05:28,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",1
04:58,"FOUL  by BODEWIG,JOEY",,,,,,,"FOUL  by BODEWIG,JOEY",1
04:58,,34 (+1),,33,"GOOD FT by THOMAS,LARRY",BSC 34-33 (-1),,"GOOD FT by THOMAS,LARRY",1
04:58,,34,,34,"GOOD FT by THOMAS,LARRY",BSC 34-34 (0),,"GOOD FT by THOMAS,LARRY",1
04:40,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
04:40,"GOOD FT by SHOFFNER,SPENCER",35 (+1),,34,,MVCM 35-34 (-1),,"GOOD FT by SHOFFNER,SPENCER",1
04:40,"GOOD FT by SHOFFNER,SPENCER",36 (+2),,34,,MVCM 36-34 (-2),,"GOOD FT by SHOFFNER,SPENCER",1
04:40,"SUB IN by BYRD,JAUMONEE",,,,,,,"SUB IN by BYRD,JAUMONEE",1
04:40,"SUB IN by JACKSON,ANTONIO",,,,,,,"SUB IN by JACKSON,ANTONIO",1
04:40,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",1
04:40,"SUB OUT by BODEWIG,JOEY",,,,,,,"SUB OUT by BODEWIG,JOEY",1
04:40,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",1
04:40,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
04:40,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
04:40,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
04:18,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
04:12,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
04:08,,,,,"MISS TIPIN by THOMAS,LARRY",,,"MISS TIPIN by THOMAS,LARRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
04:02,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",38 (+4),,34,,MVCM 38-34 (-4),,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",1
03:38,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by BUTLER,OSCAR",,,,,,,"REBOUND DEF by BUTLER,OSCAR",1
03:29,"FOUL  by BUTLER,OSCAR",,,,,,,"FOUL  by BUTLER,OSCAR",1
03:29,"TURNOVER  by BUTLER,OSCAR",,,,,,,"TURNOVER  by BUTLER,OSCAR",1
03:24,"SUB IN by BURRIS,JP",,,,,,,"SUB IN by BURRIS,JP",1
03:10,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
02:53,"TURNOVER  by RAYE,CRAIG",,,,,,,"TURNOVER  by RAYE,CRAIG",1
02:39,,,,,"FOUL  by SCHAMP,GRIFFIN",,,"FOUL  by SCHAMP,GRIFFIN",1
02:39,,,,,"TURNOVER  by SCHAMP,GRIFFIN",,,"TURNOVER  by SCHAMP,GRIFFIN",1
02:21,"GOOD 3PTR by BUTLER,OSCAR",41 (+7),,34,,MVCM 41-34 (-7),,"GOOD 3PTR by BUTLER,OSCAR",1
--,"ASSIST  by BURRIS,JP",,,,,,,"ASSIST  by BURRIS,JP",1
02:11,"FOUL  by JACKSON,ANTONIO",,,,,,,"FOUL  by JACKSON,ANTONIO",1
02:11,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",1
02:11,"SUB OUT by JACKSON,ANTONIO",,,,,,,"SUB OUT by JACKSON,ANTONIO",1
01:55,,41 (+4),,37,"GOOD 3PTR by CRAIN,JOHN",BSC 41-37 (-4),,"GOOD 3PTR by CRAIN,JOHN",1
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",1
01:19,"GOOD JUMPER by RAYE,CRAIG(in the paint)",43 (+6),,37,,MVCM 43-37 (-6),,"GOOD JUMPER by RAYE,CRAIG(in the paint)",1
01:01,"FOUL  by BURRIS,JP",,,,,,,"FOUL  by BURRIS,JP",1
01:01,,43 (+5),,38,"GOOD FT by WELCH,ROSS",BSC 43-38 (-5),,"GOOD FT by WELCH,ROSS",1
01:01,,,,,"MISS FT by WELCH,ROSS",,,"MISS FT by WELCH,ROSS",1
--,"REBOUND DEF by BUTLER,OSCAR",,,,,,,"REBOUND DEF by BUTLER,OSCAR",1
01:01,"SUB IN by SHOFFNER,SPENCER",,,,,,,"SUB IN by SHOFFNER,SPENCER",1
01:01,"SUB OUT by BURRIS,JP",,,,,,,"SUB OUT by BURRIS,JP",1
01:01,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
01:01,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
00:38,"TURNOVER  by BYRD,JAUMONEE",,,,,,,"TURNOVER  by BYRD,JAUMONEE",1
00:38,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
00:38,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
00:04,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by RAYE,CRAIG",,,,,,,"REBOUND DEF by RAYE,CRAIG",1
19:29,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",,,"REBOUND OFF by FREEMAN,SCHYLAR",2
19:24,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",,,"MISS JUMPER by FREEMAN,SCHYLAR",2
--,"REBOUND DEF by BUTLER,OSCAR",,,,,,,"REBOUND DEF by BUTLER,OSCAR",2
19:15,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",45 (+7),,38,,MVCM 45-38 (-7),,"GOOD LAYUP by BYRD,JAUMONEE(in the paint)",2
--,"ASSIST  by BURRIS,JP",,,,,,,"ASSIST  by BURRIS,JP",2
18:51,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",2
18:48,"STEAL  by BUTLER,OSCAR",,,,,,,"STEAL  by BUTLER,OSCAR",2
18:47,"GOOD DUNK by BUTLER,OSCAR(in the paint)",47 (+9),,38,,MVCM 47-38 (-9),,"GOOD DUNK by BUTLER,OSCAR(in the paint)",2
18:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
18:47,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",2
18:47,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",2
18:17,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",2
18:08,"GOOD JUMPER by BYRD,JAUMONEE",49 (+11),,38,,MVCM 49-38 (-11),,"GOOD JUMPER by BYRD,JAUMONEE",2
17:51,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",2
17:50,"STEAL  by SHOFFNER,SPENCER",,,,,,,"STEAL  by SHOFFNER,SPENCER",2
17:45,"MISS DUNK by BUTLER,OSCAR",,,,,,,"MISS DUNK by BUTLER,OSCAR",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
17:42,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND OFF by AVERY,ALEX",,,"REBOUND OFF by AVERY,ALEX",2
17:37,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
17:37,"BLOCK  by BYRD,JAUMONEE",,,,,,,"BLOCK  by BYRD,JAUMONEE",2
--,"REBOUND DEF by BYRD,JAUMONEE",,,,,,,"REBOUND DEF by BYRD,JAUMONEE",2
17:25,"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",51 (+13),,38,,MVCM 51-38 (-13),,"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",2
17:10,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by SHOFFNER,SPENCER",,,,,,,"REBOUND DEF by SHOFFNER,SPENCER",2
16:58,"MISS JUMPER by SHOFFNER,SPENCER",,,,,,,"MISS JUMPER by SHOFFNER,SPENCER",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
16:50,"FOUL  by BYRD,JAUMONEE",,,,,,,"FOUL  by BYRD,JAUMONEE",2
16:50,,51 (+12),,39,"GOOD FT by THOMAS,LARRY",BSC 51-39 (-12),,"GOOD FT by THOMAS,LARRY",2
16:50,,,,,"MISS FT by THOMAS,LARRY",,,"MISS FT by THOMAS,LARRY",2
--,"REBOUND DEF by BODEWIG,JOEY",,,,,,,"REBOUND DEF by BODEWIG,JOEY",2
16:50,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",2
