Time Remaining,SU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:29,,0,,3 (+3),"GOOD 3PTR by WELCH,ROSS",BSC 0-3 (+3),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
19:06,"MISS 3PTR by GABRIEL,BRANDON",,,,,,,"MISS 3PTR by GABRIEL,BRANDON",1
--,"REBOUND OFF by HAMILTON,QUAYSHAUN",,,,,,,"REBOUND OFF by HAMILTON,QUAYSHAUN",1
19:03,"GOOD LAYUP by HAMILTON,QUAYSHAUN(in the paint)",2,,3 (+1),,SU 2-3 (+1),,"GOOD LAYUP by HAMILTON,QUAYSHAUN(in the paint)",1
18:53,"FOUL  by GABRIEL,BRANDON",,,,,,,"FOUL  by GABRIEL,BRANDON",1
18:31,"FOUL  by HAMILTON,QUAYSHAUN",,,,,,,"FOUL  by HAMILTON,QUAYSHAUN",1
18:31,,2,,4 (+2),"GOOD FT by THOMAS,LARRY",BSC 2-4 (+2),,"GOOD FT by THOMAS,LARRY",1
18:31,,2,,5 (+3),"GOOD FT by THOMAS,LARRY",BSC 2-5 (+3),,"GOOD FT by THOMAS,LARRY",1
18:11,"MISS 3PTR by GOEING,BRANDON",,,,,,,"MISS 3PTR by GOEING,BRANDON",1
--,"REBOUND OFF by HAMILTON,QUAYSHAUN",,,,,,,"REBOUND OFF by HAMILTON,QUAYSHAUN",1
18:07,"MISS LAYUP by HAMILTON,QUAYSHAUN",,,,,,,"MISS LAYUP by HAMILTON,QUAYSHAUN",1
18:07,,,,,"BLOCK  by SCHAMP,GRIFFIN",,,"BLOCK  by SCHAMP,GRIFFIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:42,"GOOD JUMPER by BLAKEMORE,THOMAS",4,,5 (+1),,SU 4-5 (+1),,"GOOD JUMPER by BLAKEMORE,THOMAS",1
--,"ASSIST  by GABRIEL,BRANDON",,,,,,,"ASSIST  by GABRIEL,BRANDON",1
17:29,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND DEF by MOORE,RENALDO",,,,,,,"REBOUND DEF by MOORE,RENALDO",1
17:24,"TURNOVER  by MOORE,RENALDO",,,,,,,"TURNOVER  by MOORE,RENALDO",1
17:24,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
17:24,"FOUL  by MOORE,RENALDO",,,,,,,"FOUL  by MOORE,RENALDO",1
17:24,"SUB IN by KING,TAYLOR",,,,,,,"SUB IN by KING,TAYLOR",1
17:24,"SUB OUT by MOORE,RENALDO",,,,,,,"SUB OUT by MOORE,RENALDO",1
17:21,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
17:21,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
17:10,"TURNOVER  by KING,TAYLOR",,,,,,,"TURNOVER  by KING,TAYLOR",1
17:06,,,,,"STEAL  by SCHAMP,GRIFFIN",,,"STEAL  by SCHAMP,GRIFFIN",1
17:04,"FOUL  by KING,TAYLOR",,,,,,,"FOUL  by KING,TAYLOR",1
16:51,,,,,"MISS JUMPER by WELCH,ROSS",,,"MISS JUMPER by WELCH,ROSS",1
--,"REBOUND DEF by HAMILTON,QUAYSHAUN",,,,,,,"REBOUND DEF by HAMILTON,QUAYSHAUN",1
16:20,"TURNOVER  by GOEING,BRANDON",,,,,,,"TURNOVER  by GOEING,BRANDON",1
16:19,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
16:10,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by BLAKEMORE,THOMAS",,,,,,,"REBOUND DEF by BLAKEMORE,THOMAS",1
16:04,"GOOD LAYUP by GOEING,BRANDON(fastbreak)(in the paint)",6 (+1),,5,,SU 6-5 (-1),,"GOOD LAYUP by GOEING,BRANDON(fastbreak)(in the paint)",1
--,"ASSIST  by BLAKEMORE,THOMAS",,,,,,,"ASSIST  by BLAKEMORE,THOMAS",1
15:41,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
15:34,"GOOD LAYUP by KING,TAYLOR(fastbreak)(in the paint)",8 (+3),,5,,SU 8-5 (-3),,"GOOD LAYUP by KING,TAYLOR(fastbreak)(in the paint)",1
--,"ASSIST  by GABRIEL,BRANDON",,,,,,,"ASSIST  by GABRIEL,BRANDON",1
15:17,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by KING,TAYLOR",,,,,,,"REBOUND DEF by KING,TAYLOR",1
15:10,"GOOD JUMPER by GABRIEL,BRANDON(fastbreak)(in the paint)",10 (+5),,5,,SU 10-5 (-5),,"GOOD JUMPER by GABRIEL,BRANDON(fastbreak)(in the paint)",1
15:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:07,"SUB IN by BARBER,WILLIAM",,,,,,,"SUB IN by BARBER,WILLIAM",1
15:07,"SUB IN by SMITH,TEREZ",,,,,,,"SUB IN by SMITH,TEREZ",1
15:07,"SUB IN by MAYFIELD,DEVIN",,,,,,,"SUB IN by MAYFIELD,DEVIN",1
