Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
19:43,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by COURSON,TYLER",,,"REBOUND DEF by COURSON,TYLER",1
19:19,,0,,2 (+2),"GOOD LAYUP by KINNEY,JORDAN(in the paint)",OUM 0-2 (-2),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
18:59,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2,,2,,BSCM 2-2 (0),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
18:46,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
18:38,,2,,4 (+2),"GOOD JUMPER by ROHLFS,VICTOR(in the paint)",OUM 2-4 (-2),,"GOOD JUMPER by ROHLFS,VICTOR(in the paint)",1
18:24,"GOOD JUMPER by THOMAS,LARRY(in the paint)",4,,4,,BSCM 4-4 (0),,"GOOD JUMPER by THOMAS,LARRY(in the paint)",1
18:16,,4,,6 (+2),"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",OUM 4-6 (-2),,"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",1
17:49,"GOOD JUMPER by FREEMAN,SCHYLAR",6,,6,,BSCM 6-6 (0),,"GOOD JUMPER by FREEMAN,SCHYLAR",1
17:37,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
17:37,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
17:37,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
17:33,,,,,"MISS LAYUP by COURSON,TYLER",,,"MISS LAYUP by COURSON,TYLER",1
17:33,"BLOCK  by THOMAS,LARRY",,,,,,,"BLOCK  by THOMAS,LARRY",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
17:12,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
17:08,"GOOD TIPIN by FREEMAN,SCHYLAR(in the paint)",8 (+2),,6,,BSCM 8-6 (+2),,"GOOD TIPIN by FREEMAN,SCHYLAR(in the paint)",1
17:00,,,,,"TURNOVER  by BATES,ROMELLO",,,"TURNOVER  by BATES,ROMELLO",1
16:32,,,,,"FOUL  by DAVIS,ALEX",,,"FOUL  by DAVIS,ALEX",1
16:17,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
15:51,,,,,"FOUL  by KINNEY,JORDAN",,,"FOUL  by KINNEY,JORDAN",1
15:51,,,,,"TURNOVER  by KINNEY,JORDAN",,,"TURNOVER  by KINNEY,JORDAN",1
15:29,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
15:29,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:16,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",1
15:16,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND OFF by DAVIS,ALEX",,,"REBOUND OFF by DAVIS,ALEX",1
15:00,,,,,"MISS JUMPER by DAVIS,ALEX",,,"MISS JUMPER by DAVIS,ALEX",1
--,,,,,"REBOUND OFF by ROHLFS,VICTOR",,,"REBOUND OFF by ROHLFS,VICTOR",1
14:57,,8,,8,"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",OUM 8-8 (0),,"GOOD LAYUP by ROHLFS,VICTOR(in the paint)",1
14:47,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by BATES,ROMELLO",,,"REBOUND DEF by BATES,ROMELLO",1
14:43,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
14:43,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
14:43,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
14:34,,8,,11 (+3),"GOOD 3PTR by COURSON,TYLER(fastbreak)",OUM 8-11 (-3),,"GOOD 3PTR by COURSON,TYLER(fastbreak)",1
--,,,,,"ASSIST  by BATES,ROMELLO",,,"ASSIST  by BATES,ROMELLO",1
14:20,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
14:20,,,,,"SUB IN by SMITH,CONNOR",,,"SUB IN by SMITH,CONNOR",1
14:20,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",1
14:19,,,,,"SUB IN by PERRY,WILL",,,"SUB IN by PERRY,WILL",1
14:19,,,,,"SUB OUT by KINNEY,JORDAN",,,"SUB OUT by KINNEY,JORDAN",1
14:16,,,,,"TURNOVER  by COURSON,TYLER",,,"TURNOVER  by COURSON,TYLER",1
14:15,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
14:13,"GOOD 3PTR by WELCH,ROSS(fastbreak)",11,,11,,BSCM 11-11 (0),,"GOOD 3PTR by WELCH,ROSS(fastbreak)",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
14:00,,,,,"TURNOVER  by ROHLFS,VICTOR",,,"TURNOVER  by ROHLFS,VICTOR",1
