Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EUM,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS JUMPER by DAVIS,JAKE",,,"MISS JUMPER by DAVIS,JAKE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
19:24,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
19:08,"GOOD JUMPER by FREEMAN,SCHYLAR(in the paint)",2 (+2),,0,,BSC 2-0 (+2),,"GOOD JUMPER by FREEMAN,SCHYLAR(in the paint)",1
18:36,,,,,"MISS JUMPER by DAVIS,JAKE",,,"MISS JUMPER by DAVIS,JAKE",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
18:30,"GOOD 3PTR by WELCH,ROSS(fastbreak)",5 (+5),,0,,BSC 5-0 (+5),,"GOOD 3PTR by WELCH,ROSS(fastbreak)",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
18:16,,5 (+3),,2,"GOOD LAYUP by FLORIN,MICHAEL(fastbreak)(in the paint)",EUM 5-2 (+3),,"GOOD LAYUP by FLORIN,MICHAEL(fastbreak)(in the paint)",1
17:53,"GOOD JUMPER by THOMAS,LARRY",7 (+5),,2,,BSC 7-2 (+5),,"GOOD JUMPER by THOMAS,LARRY",1
17:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:49,,,,,"SUB IN by TRAWICK,WILL",,,"SUB IN by TRAWICK,WILL",1
17:49,,,,,"SUB OUT by MOORE,MCPHERSON",,,"SUB OUT by MOORE,MCPHERSON",1
17:32,,,,,"MISS LAYUP by FLORIN,MICHAEL",,,"MISS LAYUP by FLORIN,MICHAEL",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
17:21,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
17:15,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
17:14,,,,,"STEAL  by DAVIS,JAKE",,,"STEAL  by DAVIS,JAKE",1
17:10,,,,,"MISS 3PTR by RAO,DAVIS",,,"MISS 3PTR by RAO,DAVIS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:56,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",1
16:56,,,,,"STEAL  by TRAWICK,WILL",,,"STEAL  by TRAWICK,WILL",1
16:48,,,,,"MISS 3PTR by FOSTER,ALEX",,,"MISS 3PTR by FOSTER,ALEX",1
--,,,,,"REBOUND OFF by TRAWICK,WILL",,,"REBOUND OFF by TRAWICK,WILL",1
16:28,,,,,"MISS JUMPER by MOORE,MCPHERSON",,,"MISS JUMPER by MOORE,MCPHERSON",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
16:22,,,,,"SUB IN by MOORE,MCPHERSON",,,"SUB IN by MOORE,MCPHERSON",1
16:22,,,,,"SUB OUT by RAO,DAVIS",,,"SUB OUT by RAO,DAVIS",1
16:11,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by TRAWICK,WILL",,,"REBOUND DEF by TRAWICK,WILL",1
16:02,,,,,"MISS LAYUP by FLORIN,MICHAEL",,,"MISS LAYUP by FLORIN,MICHAEL",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
15:49,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by TRAWICK,WILL",,,"REBOUND DEF by TRAWICK,WILL",1
15:38,,,,,"FOUL  by TRAWICK,WILL",,,"FOUL  by TRAWICK,WILL",1
15:38,,,,,"TURNOVER  by TRAWICK,WILL",,,"TURNOVER  by TRAWICK,WILL",1
15:38,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
15:38,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
15:38,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
15:38,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
15:38,,,,,"SUB IN by RAO,DAVIS",,,"SUB IN by RAO,DAVIS",1
15:38,,,,,"SUB OUT by FLORIN,MICHAEL",,,"SUB OUT by FLORIN,MICHAEL",1
