Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
19:45,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
19:44,,,,,"STEAL  by DAVIS,JEROME",,,"STEAL  by DAVIS,JEROME",1
19:15,,,,,"MISS 3PTR by DAVIS,JEROME",,,"MISS 3PTR by DAVIS,JEROME",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
18:59,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by MOORER,TERRY",,,"REBOUND DEF by MOORER,TERRY",1
18:54,,,,,"TURNOVER  by DAVIS,JEROME",,,"TURNOVER  by DAVIS,JEROME",1
18:51,,,,,"FOUL  by DAVIS,JEROME",,,"FOUL  by DAVIS,JEROME",1
18:45,,,,,"FOUL  by ASHLEY,ANDRE",,,"FOUL  by ASHLEY,ANDRE",1
18:45,"GOOD FT by THOMAS,LARRY",1 (+1),,0,,BSC 1-0 (+1),,"GOOD FT by THOMAS,LARRY",1
18:45,"GOOD FT by THOMAS,LARRY",2 (+2),,0,,BSC 2-0 (+2),,"GOOD FT by THOMAS,LARRY",1
18:37,,2,,2,"GOOD LAYUP by MOORER,TERRY(in the paint)",HCM 2-2 (0),,"GOOD LAYUP by MOORER,TERRY(in the paint)",1
--,,,,,"ASSIST  by DAVIS,JEROME",,,"ASSIST  by DAVIS,JEROME",1
18:15,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",4 (+2),,2,,BSC 4-2 (+2),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
18:15,,,,,"FOUL  by HILL,AUSTIN",,,"FOUL  by HILL,AUSTIN",1
18:15,"GOOD FT by FREEMAN,SCHYLAR",5 (+3),,2,,BSC 5-2 (+3),,"GOOD FT by FREEMAN,SCHYLAR",1
18:08,,,,,"TURNOVER  by ASHLEY,ANDRE",,,"TURNOVER  by ASHLEY,ANDRE",1
18:07,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
17:59,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
17:59,,,,,"TURNOVER  by ASHLEY,ANDRE",,,"TURNOVER  by ASHLEY,ANDRE",1
17:45,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by HILL,AUSTIN",,,"REBOUND DEF by HILL,AUSTIN",1
17:36,,5,,5,"GOOD 3PTR by HILL,AUSTIN",HCM 5-5 (0),,"GOOD 3PTR by HILL,AUSTIN",1
--,,,,,"ASSIST  by ASHLEY,ANDRE",,,"ASSIST  by ASHLEY,ANDRE",1
17:23,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by HOLLAND,JASON",,,,,,,"REBOUND OFF by HOLLAND,JASON",1
16:53,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by HILL,AUSTIN",,,"REBOUND DEF by HILL,AUSTIN",1
16:46,,,,,"MISS JUMPER by DAVIS,JEROME",,,"MISS JUMPER by DAVIS,JEROME",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
16:37,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by MOORER,TERRY",,,"REBOUND DEF by MOORER,TERRY",1
16:30,,5,,8 (+3),"GOOD 3PTR by ELMORE,TC(fastbreak)(in the paint)",HCM 5-8 (-3),,"GOOD 3PTR by ELMORE,TC(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by DAVIS,JEROME",,,"ASSIST  by DAVIS,JEROME",1
16:05,,,,,"FOUL  by MOORER,TERRY",,,"FOUL  by MOORER,TERRY",1
16:05,"GOOD FT by SCHAMP,GRIFFIN",6,,8 (+2),,BSC 6-8 (-2),,"GOOD FT by SCHAMP,GRIFFIN",1
16:05,"GOOD FT by SCHAMP,GRIFFIN",7,,8 (+1),,BSC 7-8 (-1),,"GOOD FT by SCHAMP,GRIFFIN",1
16:05,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
16:05,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
16:05,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
16:05,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
16:05,,,,,"SUB IN by DUDLEY,BYRON",,,"SUB IN by DUDLEY,BYRON",1
16:05,,,,,"SUB IN by WASHINGTON,DANTAVIUS",,,"SUB IN by WASHINGTON,DANTAVIUS",1
16:05,,,,,"SUB OUT by HILL,AUSTIN",,,"SUB OUT by HILL,AUSTIN",1
16:05,,,,,"SUB OUT by ASHLEY,ANDRE",,,"SUB OUT by ASHLEY,ANDRE",1
16:04,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
15:49,,7,,10 (+3),"GOOD JUMPER by ELMORE,TC(in the paint)",HCM 7-10 (-3),,"GOOD JUMPER by ELMORE,TC(in the paint)",1
15:37,"MISS JUMPER by AVERY,ALEX",,,,,,,"MISS JUMPER by AVERY,ALEX",1
--,,,,,"REBOUND DEF by MOORER,TERRY",,,"REBOUND DEF by MOORER,TERRY",1
15:25,,7,,12 (+5),"GOOD LAYUP by DUDLEY,BYRON(in the paint)",HCM 7-12 (-5),,"GOOD LAYUP by DUDLEY,BYRON(in the paint)",1
--,,,,,"ASSIST  by ELMORE,TC",,,"ASSIST  by ELMORE,TC",1
14:55,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",1
14:55,,,,,"BLOCK  by DUDLEY,BYRON",,,"BLOCK  by DUDLEY,BYRON",1
--,,,,,"REBOUND DEF by DAVIS,JEROME",,,"REBOUND DEF by DAVIS,JEROME",1
14:46,,,,,"MISS DUNK by DUDLEY,BYRON",,,"MISS DUNK by DUDLEY,BYRON",1
--,,,,,"REBOUND OFF by DUDLEY,BYRON",,,"REBOUND OFF by DUDLEY,BYRON",1
14:31,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
14:31,,7,,13 (+6),"GOOD FT by WASHINGTON,DANTAVIUS",HCM 7-13 (-6),,"GOOD FT by WASHINGTON,DANTAVIUS",1
14:31,,,,,"MISS FT by WASHINGTON,DANTAVIUS",,,"MISS FT by WASHINGTON,DANTAVIUS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:31,,,,,"FOUL  by HILL,AUSTIN",,,"FOUL  by HILL,AUSTIN",1
14:31,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
14:31,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
14:31,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
14:31,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
14:31,,,,,"SUB IN by HILL,AUSTIN",,,"SUB IN by HILL,AUSTIN",1
14:31,,,,,"SUB IN by LAYSON,ALEX",,,"SUB IN by LAYSON,ALEX",1
14:31,,,,,"SUB OUT by MOORER,TERRY",,,"SUB OUT by MOORER,TERRY",1
14:31,,,,,"SUB OUT by ELMORE,TC",,,"SUB OUT by ELMORE,TC",1
14:12,,,,,"FOUL  by DUDLEY,BYRON",,,"FOUL  by DUDLEY,BYRON",1
14:12,,,,,"SUB IN by ASHLEY,ANDRE",,,"SUB IN by ASHLEY,ANDRE",1
14:12,,,,,"SUB OUT by HILL,AUSTIN",,,"SUB OUT by HILL,AUSTIN",1
14:08,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,"REBOUND DEF by DUDLEY,BYRON",,,"REBOUND DEF by DUDLEY,BYRON",1
13:44,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
13:44,,,,,"MISS FT by DUDLEY,BYRON",,,"MISS FT by DUDLEY,BYRON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:44,,,,,"MISS FT by DUDLEY,BYRON",,,"MISS FT by DUDLEY,BYRON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:44,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
13:44,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
13:44,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
13:44,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
13:44,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
13:44,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
13:44,,,,,"SUB IN by MOORER,TERRY",,,"SUB IN by MOORER,TERRY",1
13:44,,,,,"SUB IN by III,JOHN COLEY",,,"SUB IN by III,JOHN COLEY",1
13:44,,,,,"SUB OUT by WASHINGTON,DANTAVIUS",,,"SUB OUT by WASHINGTON,DANTAVIUS",1
13:44,,,,,"SUB OUT by DAVIS,JEROME",,,"SUB OUT by DAVIS,JEROME",1
13:41,,,,,"MISS LAYUP by DUDLEY,BYRON",,,"MISS LAYUP by DUDLEY,BYRON",1
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",1
13:24,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,"REBOUND DEF by LAYSON,ALEX",,,"REBOUND DEF by LAYSON,ALEX",1
13:10,,7,,15 (+8),"GOOD LAYUP by MOORER,TERRY(in the paint)",HCM 7-15 (-8),,"GOOD LAYUP by MOORER,TERRY(in the paint)",1
--,,,,,"ASSIST  by DUDLEY,BYRON",,,"ASSIST  by DUDLEY,BYRON",1
12:49,,,,,"FOUL  by III,JOHN COLEY",,,"FOUL  by III,JOHN COLEY",1
12:49,"GOOD FT by HOLLE,MASON",8,,15 (+7),,BSC 8-15 (-7),,"GOOD FT by HOLLE,MASON",1
12:49,"GOOD FT by HOLLE,MASON",9,,15 (+6),,BSC 9-15 (-6),,"GOOD FT by HOLLE,MASON",1
12:28,,,,,"MISS DUNK by MOORER,TERRY",,,"MISS DUNK by MOORER,TERRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:28,,,,,"FOUL TECH by HUGHES,TAYLOR",,,"FOUL TECH by HUGHES,TAYLOR",1
12:28,"GOOD FT by THOMAS,LARRY",10,,15 (+5),,BSC 10-15 (-5),,"GOOD FT by THOMAS,LARRY",1
12:28,"MISS FT by THOMAS,LARRY",,,,,,,"MISS FT by THOMAS,LARRY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:28,,,,,"SUB IN by DAVIS,JEROME",,,"SUB IN by DAVIS,JEROME",1
12:28,,,,,"SUB OUT by III,JOHN COLEY",,,"SUB OUT by III,JOHN COLEY",1
12:21,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",1
12:21,"FOUL  by HOLLE,MASON",,,,,,,"FOUL  by HOLLE,MASON",1
12:14,,10,,18 (+8),"GOOD 3PTR by LAYSON,ALEX",HCM 10-18 (-8),,"GOOD 3PTR by LAYSON,ALEX",1
--,,,,,"ASSIST  by DAVIS,JEROME",,,"ASSIST  by DAVIS,JEROME",1
12:03,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
12:03,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
11:55,"GOOD LAYUP by THOMAS,LARRY(in the paint)",12,,18 (+6),,BSC 12-18 (-6),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,"ASSIST  by FREEMAN,SCHYLAR",,,,,,,"ASSIST  by FREEMAN,SCHYLAR",1
11:32,,12,,21 (+9),"GOOD 3PTR by DUDLEY,BYRON",HCM 12-21 (-9),,"GOOD 3PTR by DUDLEY,BYRON",1
11:08,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
10:55,,,,,"FOUL  by MOORER,TERRY",,,"FOUL  by MOORER,TERRY",1
10:55,"GOOD FT by SCHAMP,GRIFFIN",13,,21 (+8),,BSC 13-21 (-8),,"GOOD FT by SCHAMP,GRIFFIN",1
10:55,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by MOORER,TERRY",,,"REBOUND DEF by MOORER,TERRY",1
10:55,,,,,"SUB IN by ELMORE,TC",,,"SUB IN by ELMORE,TC",1
10:55,,,,,"SUB IN by HILL,AUSTIN",,,"SUB IN by HILL,AUSTIN",1
10:55,,,,,"SUB OUT by DUDLEY,BYRON",,,"SUB OUT by DUDLEY,BYRON",1
10:55,,,,,"SUB OUT by LAYSON,ALEX",,,"SUB OUT by LAYSON,ALEX",1
10:43,,13,,23 (+10),"GOOD JUMPER by DAVIS,JEROME(in the paint)",HCM 13-23 (-10),,"GOOD JUMPER by DAVIS,JEROME(in the paint)",1
10:18,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by MOORER,TERRY",,,"REBOUND DEF by MOORER,TERRY",1
10:11,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
10:11,,13,,24 (+11),"GOOD FT by ASHLEY,ANDRE",HCM 13-24 (-11),,"GOOD FT by ASHLEY,ANDRE",1
10:11,,,,,"MISS FT by ASHLEY,ANDRE",,,"MISS FT by ASHLEY,ANDRE",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
10:11,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",1
10:11,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
10:11,,,,,"SUB IN by WASHINGTON,DANTAVIUS",,,"SUB IN by WASHINGTON,DANTAVIUS",1
10:11,,,,,"SUB OUT by MOORER,TERRY",,,"SUB OUT by MOORER,TERRY",1
09:58,"GOOD 3PTR by CRAIN,JOHN",16,,24 (+8),,BSC 16-24 (-8),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
09:49,,,,,"MISS 3PTR by ELMORE,TC",,,"MISS 3PTR by ELMORE,TC",1
--,"REBOUND DEF by HAYES,CONNER",,,,,,,"REBOUND DEF by HAYES,CONNER",1
09:32,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by ASHLEY,ANDRE",,,"REBOUND DEF by ASHLEY,ANDRE",1
09:29,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
09:29,,,,,"SUB IN by DUDLEY,BYRON",,,"SUB IN by DUDLEY,BYRON",1
09:29,,,,,"SUB IN by HUGHES,TAYLOR",,,"SUB IN by HUGHES,TAYLOR",1
09:29,,,,,"SUB OUT by ELMORE,TC",,,"SUB OUT by ELMORE,TC",1
09:29,,,,,"SUB OUT by ASHLEY,ANDRE",,,"SUB OUT by ASHLEY,ANDRE",1
09:20,,,,,"MISS JUMPER by DAVIS,JEROME",,,"MISS JUMPER by DAVIS,JEROME",1
--,,,,,"REBOUND OFF by DAVIS,JEROME",,,"REBOUND OFF by DAVIS,JEROME",1
09:03,,,,,"TURNOVER  by WASHINGTON,DANTAVIUS",,,"TURNOVER  by WASHINGTON,DANTAVIUS",1
09:00,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
09:00,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
08:46,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
08:41,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by HOLLAND,JASON",,,,,,,"REBOUND OFF by HOLLAND,JASON",1
08:13,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",1
