Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
19:27,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
19:23,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",1
19:23,"BLOCK  by GRAHAM,LAKE",,,,,,,"BLOCK  by GRAHAM,LAKE",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
19:19,,,,,"MISS JUMPER by THOMAS,LARRY",,,"MISS JUMPER by THOMAS,LARRY",1
--,"REBOUND DEF by MCCLOUD,LEE",,,,,,,"REBOUND DEF by MCCLOUD,LEE",1
19:12,"MISS LAYUP by SMOAK,HUNTER",,,,,,,"MISS LAYUP by SMOAK,HUNTER",1
19:12,,,,,"BLOCK  by HOLLAND,JASON",,,"BLOCK  by HOLLAND,JASON",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
19:08,,,,,"MISS LAYUP by PLAYER,MATT",,,"MISS LAYUP by PLAYER,MATT",1
19:08,"BLOCK  by GRAHAM,LAKE",,,,,,,"BLOCK  by GRAHAM,LAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:01,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",,,"REBOUND OFF by SCHAMP,GRIFFIN",1
18:37,,,,,"MISS 3PTR by PLAYER,MATT",,,"MISS 3PTR by PLAYER,MATT",1
--,"REBOUND DEF by MCCLOUD,LEE",,,,,,,"REBOUND DEF by MCCLOUD,LEE",1
18:15,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
18:15,"GOOD FT by SMOAK,HUNTER",1 (+1),,0,,BCM 1-0 (-1),,"GOOD FT by SMOAK,HUNTER",1
18:15,"MISS FT by SMOAK,HUNTER",,,,,,,"MISS FT by SMOAK,HUNTER",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
17:59,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
17:59,"STEAL  by MCCLOUD,LEE",,,,,,,"STEAL  by MCCLOUD,LEE",1
17:55,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
17:55,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
17:55,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
17:55,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
17:55,,,,,"SUB OUT by PLAYER,MATT",,,"SUB OUT by PLAYER,MATT",1
17:43,"GOOD JUMPER by JACOBS,OWEN(in the paint)",3 (+3),,0,,BCM 3-0 (-3),,"GOOD JUMPER by JACOBS,OWEN(in the paint)",1
17:36,,3 (+1),,2,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 3-2 (-1),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
17:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:33,"TURNOVER  by WHALEN,MAC",,,,,,,"TURNOVER  by WHALEN,MAC",1
