Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",1
15:05,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
15:05,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
15:05,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
15:05,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
15:03,,,,,"FOUL  by WHALEN,MAC",,,"FOUL  by WHALEN,MAC",1
15:03,,,,,"SUB IN by PARK,BRANDON",,,"SUB IN by PARK,BRANDON",1
15:03,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",1
15:02,,,,,"FOUL  by PARK,BRANDON",,,"FOUL  by PARK,BRANDON",1
14:42,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
14:42,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
14:42,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
14:42,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
14:42,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
14:42,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
14:42,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
14:32,"GOOD LAYUP by THOMAS,LARRY(in the paint)",8,,12 (+4),,BSC-M 8-12 (-4),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
14:26,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
13:50,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
13:50,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
13:50,,,,,"SUB IN by JONES,RON",,,"SUB IN by JONES,RON",1
13:50,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
13:41,,,,,"TURNOVER  by JONES,RON",,,"TURNOVER  by JONES,RON",1
13:38,"STEAL  by FREEMAN,SCHYLAR",,,,,,,"STEAL  by FREEMAN,SCHYLAR",1
13:25,"GOOD 3PTR by WELCH,ROSS",11,,12 (+1),,BSC-M 11-12 (-1),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by FREEMAN,SCHYLAR",,,,,,,"ASSIST  by FREEMAN,SCHYLAR",1
13:14,,,,,"TURNOVER  by PARK,BRANDON",,,"TURNOVER  by PARK,BRANDON",1
13:12,"STEAL  by FREEMAN,SCHYLAR",,,,,,,"STEAL  by FREEMAN,SCHYLAR",1
13:11,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
13:06,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
13:06,"BLOCK  by THOMAS,LARRY",,,,,,,"BLOCK  by THOMAS,LARRY",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
13:06,"GOOD 3PTR by THOMAS,LARRY",14 (+2),,12,,BSC-M 14-12 (+2),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
13:06,,,,,"MISS LAYUP by PARK,BRANDON",,,"MISS LAYUP by PARK,BRANDON",1
13:06,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",1
13:06,"GOOD LAYUP by WELCH,ROSS(fastbreak)(in the paint)",16 (+4),,12,,BSC-M 16-12 (+4),,"GOOD LAYUP by WELCH,ROSS(fastbreak)(in the paint)",1
13:06,,,,,"TURNOVER  by GRAHAM,LAKE",,,"TURNOVER  by GRAHAM,LAKE",1
13:06,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",1
13:06,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
11:40,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by COTTER,DOUGLAS",,,"REBOUND DEF by COTTER,DOUGLAS",1
11:12,,16 (+2),,14,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 16-14 (+2),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
--,,,,,"ASSIST  by PARK,BRANDON",,,"ASSIST  by PARK,BRANDON",1
11:07,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
11:04,,,,,"STEAL  by SMOAK,HUNTER",,,"STEAL  by SMOAK,HUNTER",1
11:01,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1
11:01,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
11:01,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
11:01,,,,,"SUB IN by LEWIS,AJ",,,"SUB IN by LEWIS,AJ",1
11:01,,,,,"SUB OUT by JONES,RON",,,"SUB OUT by JONES,RON",1
10:50,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
10:49,,,,,"STEAL  by PARK,BRANDON",,,"STEAL  by PARK,BRANDON",1
10:46,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
10:46,,16 (+1),,15,"GOOD FT by PARK,BRANDON",BCM 16-15 (+1),,"GOOD FT by PARK,BRANDON",1
10:46,,16,,16,"GOOD FT by PARK,BRANDON",BCM 16-16 (0),,"GOOD FT by PARK,BRANDON",1
10:46,,,,,"SUB IN by WEBBER,CONNOR",,,"SUB IN by WEBBER,CONNOR",1
10:46,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
10:42,,,,,"FOUL  by PARK,BRANDON",,,"FOUL  by PARK,BRANDON",1
10:42,"GOOD FT by HOLLAND,JASON",17 (+1),,16,,BSC-M 17-16 (+1),,"GOOD FT by HOLLAND,JASON",1
10:42,"GOOD FT by HOLLAND,JASON",18 (+2),,16,,BSC-M 18-16 (+2),,"GOOD FT by HOLLAND,JASON",1
10:42,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
10:42,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
10:42,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
10:42,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
10:42,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",1
10:42,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
10:08,,,,,"MISS LAYUP by PARK,BRANDON",,,"MISS LAYUP by PARK,BRANDON",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
09:56,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by COTTER,DOUGLAS",,,"REBOUND DEF by COTTER,DOUGLAS",1
09:51,,,,,"TURNOVER  by COTTER,DOUGLAS",,,"TURNOVER  by COTTER,DOUGLAS",1
09:47,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
09:34,"GOOD 3PTR by THOMAS,LARRY",21 (+5),,16,,BSC-M 21-16 (+5),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
09:34,,,,,"TURNOVER  by LEWIS,AJ",,,"TURNOVER  by LEWIS,AJ",1
