Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
17:51,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
17:51,"BLOCK  by SCHAMP,GRIFFIN",,,,,,,"BLOCK  by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",,,"REBOUND OFF by WHITESIDE,DONOVAN",1
17:36,,2,,7 (+5),"GOOD 3PTR by MURRAY,RYAN",CENTRE_M 2-7 (-5),,"GOOD 3PTR by MURRAY,RYAN",1
17:31,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
17:27,,,,,"TURNOVER  by WHITESIDE,DONOVAN",,,"TURNOVER  by WHITESIDE,DONOVAN",1
17:25,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
17:15,"GOOD JUMPER by SCHAMP,GRIFFIN",4,,7 (+3),,BSCM 4-7 (-3),,"GOOD JUMPER by SCHAMP,GRIFFIN",1
17:00,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
16:48,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
16:48,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
16:48,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
16:43,,4,,9 (+5),"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",CENTRE_M 4-9 (-5),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",1
16:31,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
16:31,"GOOD FT by THOMAS,LARRY",5,,9 (+4),,BSCM 5-9 (-4),,"GOOD FT by THOMAS,LARRY",1
16:31,"GOOD FT by THOMAS,LARRY",6,,9 (+3),,BSCM 6-9 (-3),,"GOOD FT by THOMAS,LARRY",1
16:14,,6,,11 (+5),"GOOD LAYUP by KARSNER,JOSH(in the paint)",CENTRE_M 6-11 (-5),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",1
15:58,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
15:56,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
15:49,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",1
15:49,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
15:49,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
15:49,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
15:49,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
15:49,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",1
15:49,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
15:49,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
15:49,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
15:49,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
15:49,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
15:49,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
15:49,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
15:35,,,,,"MISS JUMPER by WHITESIDE,DONOVAN",,,"MISS JUMPER by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
15:11,"MISS 3PTR by HAYES,CONNER",,,,,,,"MISS 3PTR by HAYES,CONNER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
14:59,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
14:59,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
14:59,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
14:59,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
14:58,,6,,14 (+8),"GOOD 3PTR by WHITESIDE,DONOVAN",CENTRE_M 6-14 (-8),,"GOOD 3PTR by WHITESIDE,DONOVAN",1
14:46,"GOOD 3PTR by THOM,IAN",9,,14 (+5),,BSCM 9-14 (-5),,"GOOD 3PTR by THOM,IAN",1
14:32,,9,,16 (+7),"GOOD LAYUP by WESLEY,TYLER(in the paint)",CENTRE_M 9-16 (-7),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
14:21,"MISS LAYUP by GALFSKY,ANDER",,,,,,,"MISS LAYUP by GALFSKY,ANDER",1
--,"REBOUND OFF by HAYES,CONNER",,,,,,,"REBOUND OFF by HAYES,CONNER",1
13:57,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
13:54,,,,,"STEAL  by WESLEY,TYLER",,,"STEAL  by WESLEY,TYLER",1
13:40,,9,,18 (+9),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 9-18 (-9),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
13:35,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
13:35,,,,,"MISS FT by GUMP,MATT",,,"MISS FT by GUMP,MATT",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
13:35,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
13:35,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
13:35,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
13:35,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
13:35,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
13:35,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
13:35,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
13:35,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",1
13:35,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
13:35,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
13:35,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
13:35,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
13:35,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
13:35,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
13:19,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:00,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",11,,18 (+7),,BSCM 11-18 (-7),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
12:41,,,,,"MISS LAYUP by STEGGEMAN,ANDREW",,,"MISS LAYUP by STEGGEMAN,ANDREW",1
12:41,"BLOCK  by HOLLAND,JASON",,,,,,,"BLOCK  by HOLLAND,JASON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:24,,11,,21 (+10),"GOOD 3PTR by GUMP,MATT",CENTRE_M 11-21 (-10),,"GOOD 3PTR by GUMP,MATT",1
--,,,,,"ASSIST  by GEEGAN,MIKE",,,"ASSIST  by GEEGAN,MIKE",1
12:04,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",1
12:04,,,,,"BLOCK  by KARSNER,JOSH",,,"BLOCK  by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
11:41,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",,,"MISS 3PTR by STEGGEMAN,ANDREW",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
11:32,,,,,"MISS JUMPER by GEEGAN,MIKE",,,"MISS JUMPER by GEEGAN,MIKE",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
11:23,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:21,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
11:21,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
11:21,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
11:21,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
11:21,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
11:21,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
11:04,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",1
10:59,,11,,23 (+12),"GOOD LAYUP by KARSNER,JOSH(in the paint)",CENTRE_M 11-23 (-12),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
10:53,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
10:53,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
10:53,,,,,"MISS 3PTR by MURRAY,RYAN",,,"MISS 3PTR by MURRAY,RYAN",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
10:34,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
10:31,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",1
10:27,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",,,"MISS LAYUP by WHITESIDE,DONOVAN",1
10:27,"BLOCK  by HOLLAND,JASON",,,,,,,"BLOCK  by HOLLAND,JASON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
10:27,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
10:27,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
10:27,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
10:27,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
10:08,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
10:00,"FOUL  by FREEMAN,SCHYLAR",,,,,,,"FOUL  by FREEMAN,SCHYLAR",1
09:53,,11,,24 (+13),"GOOD FT by WESLEY,TYLER",CENTRE_M 11-24 (-13),,"GOOD FT by WESLEY,TYLER",1
09:53,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
09:53,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
09:53,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
09:41,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",1
09:41,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",1
09:28,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,,,,,"REBOUND OFF by SCINTA,BLAKE",,,"REBOUND OFF by SCINTA,BLAKE",1
09:25,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
09:25,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
09:25,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
09:25,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
09:19,"MISS LAYUP by CRAIN,JOHN",,,,,,,"MISS LAYUP by CRAIN,JOHN",1
09:19,,,,,"BLOCK  by SCINTA,BLAKE",,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
09:05,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
09:05,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
09:05,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
09:04,"GOOD 3PTR by HENRY,COLIN",14,,24 (+10),,BSCM 14-24 (-10),,"GOOD 3PTR by HENRY,COLIN",1
08:56,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",1
08:56,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:56,,14,,25 (+11),"GOOD FT by WESLEY,TYLER",CENTRE_M 14-25 (-11),,"GOOD FT by WESLEY,TYLER",1
08:56,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
08:56,,,,,"SUB IN by STEGGEMAN,ANDREW",,,"SUB IN by STEGGEMAN,ANDREW",1
08:56,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
08:56,,,,,"SUB OUT by MURRAY,RYAN",,,"SUB OUT by MURRAY,RYAN",1
08:42,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
08:42,"GOOD FT by HENRY,COLIN",15,,25 (+10),,BSCM 15-25 (-10),,"GOOD FT by HENRY,COLIN",1
08:42,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
08:42,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
08:42,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
08:17,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
08:17,,15,,26 (+11),"GOOD FT by GUMP,MATT",CENTRE_M 15-26 (-11),,"GOOD FT by GUMP,MATT",1
08:17,,15,,27 (+12),"GOOD FT by GUMP,MATT",CENTRE_M 15-27 (-12),,"GOOD FT by GUMP,MATT",1
08:06,"GOOD 3PTR by CRAIN,JOHN",18,,27 (+9),,BSCM 18-27 (-9),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
07:49,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
07:41,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
07:41,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
07:41,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
07:41,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
07:41,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
07:24,"GOOD JUMPER by FREEMAN,SCHYLAR",20,,27 (+7),,BSCM 20-27 (-7),,"GOOD JUMPER by FREEMAN,SCHYLAR",1
07:17,,20,,29 (+9),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 20-29 (-9),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
06:55,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
06:55,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
06:55,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
06:55,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
06:55,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
06:53,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
06:34,,20,,32 (+12),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 20-32 (-12),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
06:06,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
06:05,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
06:05,,20,,33 (+13),"GOOD FT by STEGGEMAN,ANDREW",CENTRE_M 20-33 (-13),,"GOOD FT by STEGGEMAN,ANDREW",1
06:05,,20,,34 (+14),"GOOD FT by STEGGEMAN,ANDREW",CENTRE_M 20-34 (-14),,"GOOD FT by STEGGEMAN,ANDREW",1
06:05,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
06:05,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
06:05,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
06:05,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
06:05,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
06:05,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
05:47,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
05:45,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",1
05:23,,20,,36 (+16),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 20-36 (-16),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
05:23,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
05:23,,,,,"MISS FT by SCINTA,BLAKE",,,"MISS FT by SCINTA,BLAKE",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
05:23,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
05:23,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
05:23,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
05:23,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
05:23,,,,,"SUB IN by GUMP,MATT",,,"SUB IN by GUMP,MATT",1
05:23,,,,,"SUB IN by MURRAY,RYAN",,,"SUB IN by MURRAY,RYAN",1
05:23,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
05:23,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
05:16,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",22,,36 (+14),,BSCM 22-36 (-14),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
04:47,,22,,39 (+17),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 22-39 (-17),,"GOOD 3PTR by LOPEZ,COLLIN",1
04:21,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",24,,39 (+15),,BSCM 24-39 (-15),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
04:16,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1
04:10,"GOOD FT by SCHAMP,GRIFFIN",25,,39 (+14),,BSCM 25-39 (-14),,"GOOD FT by SCHAMP,GRIFFIN",1
04:10,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
04:10,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
03:52,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
03:52,,25,,40 (+15),"GOOD FT by GUMP,MATT",CENTRE_M 25-40 (-15),,"GOOD FT by GUMP,MATT",1
03:52,,25,,41 (+16),"GOOD FT by GUMP,MATT",CENTRE_M 25-41 (-16),,"GOOD FT by GUMP,MATT",1
03:34,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
03:28,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",27,,41 (+14),,BSCM 27-41 (-14),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
03:16,,27,,43 (+16),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 27-43 (-16),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
03:00,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
02:48,,27,,46 (+19),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 27-46 (-19),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",1
02:34,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
02:24,,,,,"TURNOVER  by MURRAY,RYAN",,,"TURNOVER  by MURRAY,RYAN",1
02:20,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
02:17,,,,,"FOUL  by MURRAY,RYAN",,,"FOUL  by MURRAY,RYAN",1
02:17,"GOOD FT by SCHAMP,GRIFFIN",28,,46 (+18),,BSCM 28-46 (-18),,"GOOD FT by SCHAMP,GRIFFIN",1
02:17,"GOOD FT by SCHAMP,GRIFFIN",29,,46 (+17),,BSCM 29-46 (-17),,"GOOD FT by SCHAMP,GRIFFIN",1
02:17,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",1
02:17,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
02:17,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",1
02:17,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
02:16,,,,,"TURNOVER  by KARSNER,JOSH",,,"TURNOVER  by KARSNER,JOSH",1
02:14,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
02:11,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",1
--,"REBOUND OFF by HAYES,CONNER",,,,,,,"REBOUND OFF by HAYES,CONNER",1
