Time Remaining,EU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:46,"GOOD JUMPER by DAVIS, JAKE",2 (+2),,0,,EU 2-0 (-2),,"GOOD JUMPER by DAVIS, JAKE",1
19:32,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",,,"MISS LAYUP by SCHAMP,GRIFFIN",1
--,"REBOUND DEF by SCHATTIE, JOSH",,,,,,,"REBOUND DEF by SCHATTIE, JOSH",1
19:21,"MISS JUMPER by MOORE, MCPHERSON",,,,,,,"MISS JUMPER by MOORE, MCPHERSON",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
19:00,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",1
18:49,"MISS JUMPER by DAVIS, JAKE",,,,,,,"MISS JUMPER by DAVIS, JAKE",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
18:32,,2,,2,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 2-2 (0),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
18:21,"MISS 3PTR by FLORIN, MICHAEL",,,,,,,"MISS 3PTR by FLORIN, MICHAEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:06,,2,,4 (+2),"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",BSC 2-4 (+2),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
17:47,"MISS 3PTR by FLORIN, MICHAEL",,,,,,,"MISS 3PTR by FLORIN, MICHAEL",1
--,"REBOUND OFF by TRAWICK, WILL",,,,,,,"REBOUND OFF by TRAWICK, WILL",1
17:40,"FOUL  by DAVIS, JAKE",,,,,,,"FOUL  by DAVIS, JAKE",1
17:40,"TURNOVER  by DAVIS, JAKE",,,,,,,"TURNOVER  by DAVIS, JAKE",1
17:08,,2,,6 (+4),"GOOD JUMPER by HOLLAND,JASON",BSC 2-6 (+4),,"GOOD JUMPER by HOLLAND,JASON",1
17:00,"TURNOVER  by FLORIN, MICHAEL",,,,,,,"TURNOVER  by FLORIN, MICHAEL",1
16:58,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
16:54,,,,,"MISS DUNK by FREEMAN,SCHYLAR",,,"MISS DUNK by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by SCHATTIE, JOSH",,,,,,,"REBOUND DEF by SCHATTIE, JOSH",1
16:47,"MISS LAYUP by FLORIN, MICHAEL",,,,,,,"MISS LAYUP by FLORIN, MICHAEL",1
--,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",,,"REBOUND DEF by SCHAMP,GRIFFIN",1
16:46,"SUB IN by DAGUE, AUSTIN",,,,,,,"SUB IN by DAGUE, AUSTIN",1
16:46,"SUB OUT by DAVIS, JAKE",,,,,,,"SUB OUT by DAVIS, JAKE",1
16:28,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
16:23,"MISS 3PTR by SCHATTIE, JOSH",,,,,,,"MISS 3PTR by SCHATTIE, JOSH",1
--,"REBOUND OFF by MOORE, MCPHERSON",,,,,,,"REBOUND OFF by MOORE, MCPHERSON",1
16:12,"TURNOVER  by FLORIN, MICHAEL",,,,,,,"TURNOVER  by FLORIN, MICHAEL",1
16:12,"SUB IN by FOSTER, ALEX",,,,,,,"SUB IN by FOSTER, ALEX",1
16:12,"SUB OUT by TRAWICK, WILL",,,,,,,"SUB OUT by TRAWICK, WILL",1
16:03,"FOUL  by DAGUE, AUSTIN",,,,,,,"FOUL  by DAGUE, AUSTIN",1
16:03,,2,,7 (+5),"GOOD FT by SCHAMP,GRIFFIN",BSC 2-7 (+5),,"GOOD FT by SCHAMP,GRIFFIN",1
16:03,,2,,8 (+6),"GOOD FT by SCHAMP,GRIFFIN",BSC 2-8 (+6),,"GOOD FT by SCHAMP,GRIFFIN",1
15:57,"FOUL  by SCHATTIE, JOSH",,,,,,,"FOUL  by SCHATTIE, JOSH",1
15:57,"TURNOVER  by SCHATTIE, JOSH",,,,,,,"TURNOVER  by SCHATTIE, JOSH",1
15:35,,2,,11 (+9),"GOOD 3PTR by THOMAS,LARRY",BSC 2-11 (+9),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
15:17,"GOOD LAYUP by MOORE, MCPHERSON(in the paint)",4,,11 (+7),,EU 4-11 (+7),,"GOOD LAYUP by MOORE, MCPHERSON(in the paint)",1
14:53,,4,,13 (+9),"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 4-13 (+9),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
14:50,"SUB IN by DAVIS, JAKE",,,,,,,"SUB IN by DAVIS, JAKE",1
14:50,"SUB IN by RAO, DAVIS",,,,,,,"SUB IN by RAO, DAVIS",1
14:50,"SUB OUT by SCHATTIE, JOSH",,,,,,,"SUB OUT by SCHATTIE, JOSH",1
14:50,"SUB OUT by MOORE, MCPHERSON",,,,,,,"SUB OUT by MOORE, MCPHERSON",1
14:50,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
14:50,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
14:50,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",1
14:50,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
14:50,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
14:50,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
14:50,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
14:50,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
14:36,"TURNOVER  by DAVIS, JAKE",,,,,,,"TURNOVER  by DAVIS, JAKE",1
14:34,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
14:30,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",1
--,"REBOUND DEF by FOSTER, ALEX",,,,,,,"REBOUND DEF by FOSTER, ALEX",1
14:24,"MISS JUMPER by RAO, DAVIS",,,,,,,"MISS JUMPER by RAO, DAVIS",1
--,"REBOUND OFF by DAGUE, AUSTIN",,,,,,,"REBOUND OFF by DAGUE, AUSTIN",1
14:17,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
14:12,"TURNOVER  by FOSTER, ALEX",,,,,,,"TURNOVER  by FOSTER, ALEX",1
13:55,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
13:55,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
13:30,"GOOD JUMPER by RAO, DAVIS(in the paint)",6,,13 (+7),,EU 6-13 (+7),,"GOOD JUMPER by RAO, DAVIS(in the paint)",1
12:58,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:55,"SUB IN by SCHATTIE, JOSH",,,,,,,"SUB IN by SCHATTIE, JOSH",1
12:55,"SUB OUT by DAGUE, AUSTIN",,,,,,,"SUB OUT by DAGUE, AUSTIN",1
12:55,,,,,"SUB IN by HAYES,CONNER",,,"SUB IN by HAYES,CONNER",1
12:55,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
12:55,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
12:55,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
12:45,"MISS 3PTR by FOSTER, ALEX",,,,,,,"MISS 3PTR by FOSTER, ALEX",1
--,,,,,"REBOUND DEF by GALFSKY,ANDER",,,"REBOUND DEF by GALFSKY,ANDER",1
12:20,,,,,"MISS 3PTR by HAYES,CONNER",,,"MISS 3PTR by HAYES,CONNER",1
--,"REBOUND DEF by FLORIN, MICHAEL",,,,,,,"REBOUND DEF by FLORIN, MICHAEL",1
12:10,"GOOD LAYUP by FLORIN, MICHAEL(fastbreak)(in the paint)",8,,13 (+5),,EU 8-13 (+5),,"GOOD LAYUP by FLORIN, MICHAEL(fastbreak)(in the paint)",1
12:10,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
12:10,"MISS FT by FLORIN, MICHAEL",,,,,,,"MISS FT by FLORIN, MICHAEL",1
--,"REBOUND OFF by FOSTER, ALEX",,,,,,,"REBOUND OFF by FOSTER, ALEX",1
12:10,"GOOD LAYUP by FOSTER, ALEX(in the paint)",10,,13 (+3),,EU 10-13 (+3),,"GOOD LAYUP by FOSTER, ALEX(in the paint)",1
12:10,"SUB IN by MOORE, MCPHERSON",,,,,,,"SUB IN by MOORE, MCPHERSON",1
12:10,"SUB OUT by SCHATTIE, JOSH",,,,,,,"SUB OUT by SCHATTIE, JOSH",1
12:10,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
12:10,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
12:10,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
12:10,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
12:10,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
12:10,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
12:10,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
12:10,,,,,"SUB OUT by HAYES,CONNER",,,"SUB OUT by HAYES,CONNER",1
12:10,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
12:10,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
11:52,,,,,"MISS JUMPER by HOLLAND,JASON",,,"MISS JUMPER by HOLLAND,JASON",1
--,"REBOUND DEF by MOORE, MCPHERSON",,,,,,,"REBOUND DEF by MOORE, MCPHERSON",1
11:40,"MISS JUMPER by DAVIS, JAKE",,,,,,,"MISS JUMPER by DAVIS, JAKE",1
--,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",,,"REBOUND DEF by FREEMAN,SCHYLAR",1
11:25,,10,,16 (+6),"GOOD 3PTR by THOMAS,LARRY",BSC 10-16 (+6),,"GOOD 3PTR by THOMAS,LARRY",1
