Time Remaining,BSCMEN,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
14:11,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
13:53,,16 (+1),,15,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 16-15 (+1),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
13:22,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
13:22,"GOOD FT by SCHAMP,GRIFFIN",17 (+2),,15,,BSCMEN 17-15 (+2),,"GOOD FT by SCHAMP,GRIFFIN",1
13:22,"GOOD FT by SCHAMP,GRIFFIN",18 (+3),,15,,BSCMEN 18-15 (+3),,"GOOD FT by SCHAMP,GRIFFIN",1
13:22,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
13:22,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",1
13:22,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
13:22,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
13:22,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
13:22,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
13:22,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
13:22,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
13:22,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
13:22,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",1
13:22,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
13:22,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
12:56,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by HAYES,CONNER",,,,,,,"REBOUND DEF by HAYES,CONNER",1
12:40,"TURNOVER  by CRAIN,JOHN",,,,,,,"TURNOVER  by CRAIN,JOHN",1
12:39,,,,,"STEAL  by MCELVEEN,MAC",,,"STEAL  by MCELVEEN,MAC",1
12:36,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
12:36,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",1
12:36,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
12:36,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
12:31,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
12:31,,18 (+2),,16,"GOOD FT by MCELVEEN,MAC",MILLSAPS 18-16 (+2),,"GOOD FT by MCELVEEN,MAC",1
12:31,,18 (+1),,17,"GOOD FT by MCELVEEN,MAC",MILLSAPS 18-17 (+1),,"GOOD FT by MCELVEEN,MAC",1
12:31,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
12:31,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
12:09,"MISS 3PTR by HAYES,CONNER",,,,,,,"MISS 3PTR by HAYES,CONNER",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
12:02,"FOUL  by HAYES,CONNER",,,,,,,"FOUL  by HAYES,CONNER",1
12:02,,,,,"MISS FT by MCELVEEN,MAC",,,"MISS FT by MCELVEEN,MAC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:02,,,,,"MISS FT by MCELVEEN,MAC",,,"MISS FT by MCELVEEN,MAC",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
11:40,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",1
11:30,,,,,"TURNOVER  by MCELVEEN,MAC",,,"TURNOVER  by MCELVEEN,MAC",1
11:28,"STEAL  by CRAIN,JOHN",,,,,,,"STEAL  by CRAIN,JOHN",1
11:18,"MISS 3PTR by HOLLE,MASON",,,,,,,"MISS 3PTR by HOLLE,MASON",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
10:42,,,,,"TURNOVER  by DEILLIEU,RYAN",,,"TURNOVER  by DEILLIEU,RYAN",1
10:42,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
10:42,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
10:42,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
10:42,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
10:42,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
10:42,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",1
10:42,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
10:42,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
10:42,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
10:42,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
10:27,,,,,"FOUL  by HANTSAD,RAJAN",,,"FOUL  by HANTSAD,RAJAN",1
10:21,"GOOD FT by CRAIN,JOHN",19 (+2),,17,,BSCMEN 19-17 (+2),,"GOOD FT by CRAIN,JOHN",1
10:06,"GOOD FT by CRAIN,JOHN",20 (+3),,17,,BSCMEN 20-17 (+3),,"GOOD FT by CRAIN,JOHN",1
10:06,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
10:06,,,,,"SUB OUT by HANTSAD,RAJAN",,,"SUB OUT by HANTSAD,RAJAN",1
09:50,,20,,20,"GOOD 3PTR by DEILLIEU,RYAN",MILLSAPS 20-20 (0),,"GOOD 3PTR by DEILLIEU,RYAN",1
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",1
09:35,"GOOD 3PTR by CRAIN,JOHN",23 (+3),,20,,BSCMEN 23-20 (+3),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
08:57,,23 (+1),,22,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 23-22 (+1),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",1
08:45,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
08:44,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
08:34,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
08:29,,,,,"TURNOVER  by FREBIS,RONNIE",,,"TURNOVER  by FREBIS,RONNIE",1
08:29,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
08:29,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
08:29,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
08:29,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
08:29,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
08:29,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",1
08:15,"GOOD LAYUP by WELCH,ROSS(in the paint)",25 (+3),,22,,BSCMEN 25-22 (+3),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
07:50,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
07:41,"GOOD DUNK by FREEMAN,SCHYLAR(in the paint)",27 (+5),,22,,BSCMEN 27-22 (+5),,"GOOD DUNK by FREEMAN,SCHYLAR(in the paint)",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
07:19,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
07:19,,27 (+4),,23,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 27-23 (+4),,"GOOD FT by AUBERT,DUSTIN",1
07:19,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",1
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",1
07:19,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
07:19,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
07:18,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
06:52,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
06:38,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
06:38,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
06:38,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
06:32,,,,,"MISS JUMPER by AUBERT,DUSTIN",,,"MISS JUMPER by AUBERT,DUSTIN",1
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",1
06:21,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
06:11,"MISS LAYUP by GALFSKY,ANDER",,,,,,,"MISS LAYUP by GALFSKY,ANDER",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
05:34,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
05:34,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
05:34,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
05:34,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
05:34,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
05:10,"GOOD LAYUP by AVERY,ALEX(in the paint)",29 (+6),,23,,BSCMEN 29-23 (+6),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
04:43,,29 (+4),,25,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",MILLSAPS 29-25 (+4),,"GOOD JUMPER by GILLIGAN,TULLY(in the paint)",1
04:22,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:18,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
04:18,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
04:18,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
04:18,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",1
04:18,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
04:18,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
04:06,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
04:06,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
04:06,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
04:06,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
04:06,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
04:06,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
04:06,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
04:02,,,,,"TURNOVER  by DEILLIEU,RYAN",,,"TURNOVER  by DEILLIEU,RYAN",1
04:01,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
03:57,"GOOD LAYUP by SCHAMP,GRIFFIN(fastbreak)(in the paint)",31 (+6),,25,,BSCMEN 31-25 (+6),,"GOOD LAYUP by SCHAMP,GRIFFIN(fastbreak)(in the paint)",1
03:27,,,,,"MISS 3PTR by DEILLIEU,RYAN",,,"MISS 3PTR by DEILLIEU,RYAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
03:20,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
03:20,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
03:20,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
03:20,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
03:04,,31 (+4),,27,"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 31-27 (+4),,"GOOD JUMPER by MCELVEEN,MAC",1
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",1
02:45,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",1
02:37,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
02:34,,,,,"FOUL  by DEILLIEU,RYAN",,,"FOUL  by DEILLIEU,RYAN",1
02:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:23,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
01:58,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
01:54,,,,,"FOUL  by GILLIGAN,TULLY",,,"FOUL  by GILLIGAN,TULLY",1
01:40,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",33 (+6),,27,,BSCMEN 33-27 (+6),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
01:09,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
00:56,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
00:55,,,,,"STEAL  by DEILLIEU,RYAN",,,"STEAL  by DEILLIEU,RYAN",1
00:45,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
00:44,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
00:39,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
00:39,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
00:26,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
00:26,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
00:13,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
00:08,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
00:08,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
00:08,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
00:08,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
00:08,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",1
00:08,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
00:00,,33 (+4),,29,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 33-29 (+4),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
19:45,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
19:44,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
19:41,,33 (+2),,31,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",MILLSAPS 33-31 (+2),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",2
19:23,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
19:09,,,,,"MISS LAYUP by BERGER,RYAN",,,"MISS LAYUP by BERGER,RYAN",2
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",2
19:01,"GOOD 3PTR by THOMAS,LARRY",36 (+5),,31,,BSCMEN 36-31 (+5),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
18:54,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",2
18:32,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
18:11,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
18:11,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:11,,,,,"MISS FT by BERGER,RYAN",,,"MISS FT by BERGER,RYAN",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
17:54,"GOOD LAYUP by WELCH,ROSS(in the paint)",38 (+7),,31,,BSCMEN 38-31 (+7),,"GOOD LAYUP by WELCH,ROSS(in the paint)",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
17:21,,38 (+5),,33,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 38-33 (+5),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
17:01,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",2
16:55,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",2
16:54,"STEAL  by WELCH,ROSS",,,,,,,"STEAL  by WELCH,ROSS",2
16:51,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",2
16:51,"MISS FT by THOMAS,LARRY",,,,,,,"MISS FT by THOMAS,LARRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:51,"GOOD FT by THOMAS,LARRY",39 (+6),,33,,BSCMEN 39-33 (+6),,"GOOD FT by THOMAS,LARRY",2
16:51,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
16:51,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
16:47,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
16:43,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",2
16:41,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",2
16:41,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
16:41,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
16:29,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
16:29,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
16:29,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
16:15,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",2
16:08,,39 (+4),,35,"GOOD DUNK by BERGER,RYAN(in the paint)",MILLSAPS 39-35 (+4),,"GOOD DUNK by BERGER,RYAN(in the paint)",2
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",2
