Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,R-MCMB~1,Game Score,Team Indicator,Play,Period
19:50,,,,,"MISS JUMPER by BADGER,MARCUS",,,"MISS JUMPER by BADGER,MARCUS",1
--,,,,,"REBOUND OFF by HASSELL,JOE",,,"REBOUND OFF by HASSELL,JOE",1
19:45,,,,,"MISS LAYUP by HASSELL,JOE",,,"MISS LAYUP by HASSELL,JOE",1
--,,,,,"REBOUND OFF by HASSELL,JOE",,,"REBOUND OFF by HASSELL,JOE",1
19:39,,0,,2 (+2),"GOOD LAYUP by HASSELL,JOE(in the paint)",R-MCMB~1 0-2 (-2),,"GOOD LAYUP by HASSELL,JOE(in the paint)",1
19:22,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2,,2,,BSC-M 2-2 (0),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
19:16,,2,,4 (+2),"GOOD LAYUP by MOORE,LAMONT(in the paint)",R-MCMB~1 2-4 (-2),,"GOOD LAYUP by MOORE,LAMONT(in the paint)",1
--,,,,,"ASSIST  by BADGER,MARCUS",,,"ASSIST  by BADGER,MARCUS",1
18:41,"MISS LAYUP by HOLLAND,JASON",,,,,,,"MISS LAYUP by HOLLAND,JASON",1
18:41,,,,,"BLOCK  by HASSELL,JOE",,,"BLOCK  by HASSELL,JOE",1
--,,,,,"REBOUND DEF by BADGER,MARCUS",,,"REBOUND DEF by BADGER,MARCUS",1
18:27,,,,,"MISS LAYUP by SIMON,ANDRE",,,"MISS LAYUP by SIMON,ANDRE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
18:07,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by MOORE,LAMONT",,,"REBOUND DEF by MOORE,LAMONT",1
17:46,,,,,"MISS JUMPER by HASSELL,JOE",,,"MISS JUMPER by HASSELL,JOE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
17:23,"MISS LAYUP by WELCH,ROSS",,,,,,,"MISS LAYUP by WELCH,ROSS",1
--,,,,,"REBOUND DEF by MOORE,LAMONT",,,"REBOUND DEF by MOORE,LAMONT",1
17:13,,2,,6 (+4),"GOOD LAYUP by SIMON,ANDRE(in the paint)",R-MCMB~1 2-6 (-4),,"GOOD LAYUP by SIMON,ANDRE(in the paint)",1
--,,,,,"ASSIST  by BADGER,MARCUS",,,"ASSIST  by BADGER,MARCUS",1
17:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
16:55,"GOOD 3PTR by WELCH,ROSS",5,,6 (+1),,BSC-M 5-6 (-1),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
16:49,,,,,"SUB IN by HOLMES,AKEEM",,,"SUB IN by HOLMES,AKEEM",1
16:49,,,,,"SUB OUT by HASSELL,JOE",,,"SUB OUT by HASSELL,JOE",1
16:42,,,,,"TURNOVER  by BADGER,MARCUS",,,"TURNOVER  by BADGER,MARCUS",1
16:25,"GOOD LAYUP by WELCH,ROSS(in the paint)",7 (+1),,6,,BSC-M 7-6 (+1),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
16:12,,,,,"MISS LAYUP by BADGER,MARCUS",,,"MISS LAYUP by BADGER,MARCUS",1
--,,,,,"REBOUND DEF by HOLMES,AKEEM",,,"REBOUND DEF by HOLMES,AKEEM",1
16:09,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
16:09,,7,,7,"GOOD FT by HOLMES,AKEEM",R-MCMB~1 7-7 (0),,"GOOD FT by HOLMES,AKEEM",1
16:09,,7,,8 (+1),"GOOD FT by HOLMES,AKEEM",R-MCMB~1 7-8 (-1),,"GOOD FT by HOLMES,AKEEM",1
16:09,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
16:09,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
16:09,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
16:09,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
16:09,,,,,"SUB IN by TAYLOR,MICHAEL",,,"SUB IN by TAYLOR,MICHAEL",1
16:09,,,,,"SUB OUT by SULLIVAN,CONNOR",,,"SUB OUT by SULLIVAN,CONNOR",1
16:09,,,,,"SUB OUT by SIMON,ANDRE",,,"SUB OUT by SIMON,ANDRE",1
16:09,,,,,"SUB OUT by BADGER,MARCUS",,,"SUB OUT by BADGER,MARCUS",1
15:28,"GOOD 3PTR by HOLLAND,JASON",10 (+2),,8,,BSC-M 10-8 (+2),,"GOOD 3PTR by HOLLAND,JASON",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
15:21,,,,,"MISS 3PTR by TAYLOR,MICHAEL",,,"MISS 3PTR by TAYLOR,MICHAEL",1
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",1
15:15,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",12 (+4),,8,,BSC-M 12-8 (+4),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
15:15,,,,,"FOUL  by TAYLOR,MICHAEL",,,"FOUL  by TAYLOR,MICHAEL",1
15:15,"MISS FT by GALFSKY,ANDER",,,,,,,"MISS FT by GALFSKY,ANDER",1
--,,,,,"REBOUND DEF by HOLMES,AKEEM",,,"REBOUND DEF by HOLMES,AKEEM",1
15:15,,,,,"SUB IN by SIMON,ANDRE",,,"SUB IN by SIMON,ANDRE",1
15:15,,,,,"SUB IN by WALKER,TRENT",,,"SUB IN by WALKER,TRENT",1
14:57,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
14:57,,,,,"SUB IN by HAMILTON,CHRIS",,,"SUB IN by HAMILTON,CHRIS",1
14:57,,,,,"SUB OUT by MOORE,LAMONT",,,"SUB OUT by MOORE,LAMONT",1
14:49,,12 (+2),,10,"GOOD LAYUP by HOLMES,AKEEM(in the paint)",R-MCMB~1 12-10 (+2),,"GOOD LAYUP by HOLMES,AKEEM(in the paint)",1
14:34,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
14:19,,,,,"TURNOVER  by HAMILTON,CHRIS",,,"TURNOVER  by HAMILTON,CHRIS",1
14:18,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
14:15,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",1
14:10,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",14 (+4),,10,,BSC-M 14-10 (+4),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",1
14:00,,,,,"MISS 3PTR by TAYLOR,MICHAEL",,,"MISS 3PTR by TAYLOR,MICHAEL",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
13:45,"GOOD 3PTR by THOMAS,LARRY",17 (+7),,10,,BSC-M 17-10 (+7),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",1
13:26,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
13:26,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
13:26,,,,,"SUB IN by SULLIVAN,CONNOR",,,"SUB IN by SULLIVAN,CONNOR",1
13:26,,,,,"SUB IN by HASSELL,JOE",,,"SUB IN by HASSELL,JOE",1
13:26,,,,,"SUB IN by JACKSON,EVAN",,,"SUB IN by JACKSON,EVAN",1
13:26,,,,,"SUB OUT by HOLMES,AKEEM",,,"SUB OUT by HOLMES,AKEEM",1
13:26,,,,,"SUB OUT by SIMON,ANDRE",,,"SUB OUT by SIMON,ANDRE",1
13:26,,,,,"SUB OUT by TAYLOR,MICHAEL",,,"SUB OUT by TAYLOR,MICHAEL",1
13:08,,17 (+4),,13,"GOOD 3PTR by HAMILTON,CHRIS",R-MCMB~1 17-13 (+4),,"GOOD 3PTR by HAMILTON,CHRIS",1
--,,,,,"ASSIST  by JACKSON,EVAN",,,"ASSIST  by JACKSON,EVAN",1
