Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,STE,Game Score,Team Indicator,Play,Period
17:00,,41,,42 (+1),"GOOD LAYUP by KUNTZ,JUSTIN(in the paint)",STE 41-42 (-1),,"GOOD LAYUP by KUNTZ,JUSTIN(in the paint)",2
16:40,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by KUNTZ,JUSTIN",,,"REBOUND DEF by KUNTZ,JUSTIN",2
16:31,,41,,44 (+3),"GOOD LAYUP by FISHER,ERIK(in the paint)",STE 41-44 (-3),,"GOOD LAYUP by FISHER,ERIK(in the paint)",2
--,,,,,"ASSIST  by WALKER,DARIUS",,,"ASSIST  by WALKER,DARIUS",2
16:09,"MISS JUMPER by FREEMAN,SCHYLAR",,,,,,,"MISS JUMPER by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by KUNTZ,JUSTIN",,,"REBOUND DEF by KUNTZ,JUSTIN",2
15:57,,,,,"MISS 3PTR by WALKER,DARIUS",,,"MISS 3PTR by WALKER,DARIUS",2
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",2
15:52,,,,,"FOUL  by WALKER,DARIUS",,,"FOUL  by WALKER,DARIUS",2
15:52,"GOOD FT by WELCH,ROSS",42,,44 (+2),,BSC 42-44 (-2),,"GOOD FT by WELCH,ROSS",2
15:52,"GOOD FT by WELCH,ROSS",43,,44 (+1),,BSC 43-44 (-1),,"GOOD FT by WELCH,ROSS",2
15:26,,,,,"MISS JUMPER by WALKER,DARIUS",,,"MISS JUMPER by WALKER,DARIUS",2
--,,,,,"REBOUND OFF by WALKER,DARIUS",,,"REBOUND OFF by WALKER,DARIUS",2
15:21,,,,,"TURNOVER  by WALKER,DARIUS",,,"TURNOVER  by WALKER,DARIUS",2
15:21,,,,,"FOUL  by WALKER,DARIUS",,,"FOUL  by WALKER,DARIUS",2
14:59,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
14:31,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",45 (+1),,44,,BSC 45-44 (+1),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",2
14:31,,,,,"FOUL  by HAWKINS,ALFONZO",,,"FOUL  by HAWKINS,ALFONZO",2
14:31,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by WALKER,DARIUS",,,"REBOUND DEF by WALKER,DARIUS",2
14:31,,,,,"SUB IN by COSTLY,TYRUS",,,"SUB IN by COSTLY,TYRUS",2
14:31,,,,,"SUB IN by KUNTZ,JUSTIN",,,"SUB IN by KUNTZ,JUSTIN",2
14:31,,,,,"SUB OUT by ROBERTS,CHRISTIAN",,,"SUB OUT by ROBERTS,CHRISTIAN",2
14:31,,,,,"SUB OUT by HAWKINS,ALFONZO",,,"SUB OUT by HAWKINS,ALFONZO",2
14:31,,,,,"SUB OUT by FISHER,ERIK",,,"SUB OUT by FISHER,ERIK",2
14:15,,,,,"MISS JUMPER by ROBERTS,CHRISTIAN",,,"MISS JUMPER by ROBERTS,CHRISTIAN",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
13:52,"GOOD JUMPER by THOMAS,LARRY",47 (+3),,44,,BSC 47-44 (+3),,"GOOD JUMPER by THOMAS,LARRY",2
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",2
13:34,,47 (+1),,46,"GOOD LAYUP by KUNTZ,JUSTIN(in the paint)",STE 47-46 (+1),,"GOOD LAYUP by KUNTZ,JUSTIN(in the paint)",2
13:27,,,,,"SUB IN by HAWKINS,ALFONZO",,,"SUB IN by HAWKINS,ALFONZO",2
13:27,,,,,"SUB IN by FISHER,ERIK",,,"SUB IN by FISHER,ERIK",2
13:27,,,,,"SUB OUT by KUNTZ,JUSTIN",,,"SUB OUT by KUNTZ,JUSTIN",2
13:08,"SUB IN by THORN,IAN",,,,,,,"SUB IN by THORN,IAN",2
13:08,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
13:00,"GOOD LAYUP by WELCH,ROSS(in the paint)",49 (+3),,46,,BSC 49-46 (+3),,"GOOD LAYUP by WELCH,ROSS(in the paint)",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
12:47,,49,,49,"GOOD 3PTR by ROBERTS,CHRISTIAN",STE 49-49 (0),,"GOOD 3PTR by ROBERTS,CHRISTIAN",2
--,,,,,"ASSIST  by HAWKINS,ALFONZO",,,"ASSIST  by HAWKINS,ALFONZO",2
12:44,"FOUL  by PERKINS,ALEX",,,,,,,"FOUL  by PERKINS,ALEX",2
12:44,,,,,"MISS FT by ROBERTS,CHRISTIAN",,,"MISS FT by ROBERTS,CHRISTIAN",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
12:44,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
12:44,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
12:44,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",2
12:44,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
12:44,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
12:44,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
12:44,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
12:29,"TURNOVER  by THORN,IAN",,,,,,,"TURNOVER  by THORN,IAN",2
12:22,,49,,52 (+3),"GOOD 3PTR by HAWKINS,ALFONZO",STE 49-52 (-3),,"GOOD 3PTR by HAWKINS,ALFONZO",2
--,,,,,"ASSIST  by WALKER,DARIUS",,,"ASSIST  by WALKER,DARIUS",2
11:56,,,,,"FOUL  by COSTLY,TYRUS",,,"FOUL  by COSTLY,TYRUS",2
11:56,"GOOD FT by LEWIS,EVAN",50,,52 (+2),,BSC 50-52 (-2),,"GOOD FT by LEWIS,EVAN",2
11:56,"GOOD FT by LEWIS,EVAN",51,,52 (+1),,BSC 51-52 (-1),,"GOOD FT by LEWIS,EVAN",2
11:44,,,,,"TURNOVER  by HAWKINS,ALFONZO",,,"TURNOVER  by HAWKINS,ALFONZO",2
11:42,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",2
11:41,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",2
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",2
11:37,"TURNOVER  by GALFSKY,ANDER",,,,,,,"TURNOVER  by GALFSKY,ANDER",2
11:36,,,,,"STEAL  by WALKER,DARIUS",,,"STEAL  by WALKER,DARIUS",2
11:35,,,,,"MISS LAYUP by ROBERTS,CHRISTIAN",,,"MISS LAYUP by ROBERTS,CHRISTIAN",2
--,"REBOUND DEF by THORN,IAN",,,,,,,"REBOUND DEF by THORN,IAN",2
11:25,"GOOD 3PTR by HOLLE,MASON(fastbreak)",54 (+2),,52,,BSC 54-52 (+2),,"GOOD 3PTR by HOLLE,MASON(fastbreak)",2
--,"ASSIST  by THORN,IAN",,,,,,,"ASSIST  by THORN,IAN",2
11:18,,,,,"TURNOVER  by HAWKINS,ALFONZO",,,"TURNOVER  by HAWKINS,ALFONZO",2
11:18,,,,,"FOUL  by HAWKINS,ALFONZO",,,"FOUL  by HAWKINS,ALFONZO",2
11:00,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",2
10:59,,,,,"STEAL  by WALKER,DARIUS",,,"STEAL  by WALKER,DARIUS",2
10:57,,,,,"SUB IN by DAVIS,KELLY",,,"SUB IN by DAVIS,KELLY",2
10:54,,,,,"MISS JUMPER by WALKER,DARIUS",,,"MISS JUMPER by WALKER,DARIUS",2
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",2
10:31,,,,,"FOUL  by COSTLY,TYRUS",,,"FOUL  by COSTLY,TYRUS",2
10:31,"GOOD FT by HOLLE,MASON",55 (+3),,52,,BSC 55-52 (+3),,"GOOD FT by HOLLE,MASON",2
10:31,"MISS FT by HOLLE,MASON",,,,,,,"MISS FT by HOLLE,MASON",2
--,,,,,"REBOUND DEF by FISHER,ERIK",,,"REBOUND DEF by FISHER,ERIK",2
10:31,,,,,"SUB IN by HOLMES,JEFF",,,"SUB IN by HOLMES,JEFF",2
10:31,,,,,"SUB OUT by COSTLY,TYRUS",,,"SUB OUT by COSTLY,TYRUS",2
10:07,,55,,55,"GOOD 3PTR by HAWKINS,ALFONZO",STE 55-55 (0),,"GOOD 3PTR by HAWKINS,ALFONZO",2
--,,,,,"ASSIST  by WALKER,DARIUS",,,"ASSIST  by WALKER,DARIUS",2
09:55,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",2
09:54,,,,,"STEAL  by WALKER,DARIUS",,,"STEAL  by WALKER,DARIUS",2
09:53,"FOUL  by HOLLE,MASON",,,,,,,"FOUL  by HOLLE,MASON",2
09:53,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
09:53,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
09:53,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
09:53,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",2
09:51,,,,,"MISS 3PTR by WALKER,DARIUS",,,"MISS 3PTR by WALKER,DARIUS",2
--,"REBOUND DEF by THORN,IAN",,,,,,,"REBOUND DEF by THORN,IAN",2
09:33,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",2
--,,,,,"REBOUND DEF by FISHER,ERIK",,,"REBOUND DEF by FISHER,ERIK",2
09:22,,,,,"MISS 3PTR by FISHER,ERIK",,,"MISS 3PTR by FISHER,ERIK",2
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",2
09:11,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
09:11,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
09:11,,,,,"SUB IN by ROBERTS,CHRISTIAN",,,"SUB IN by ROBERTS,CHRISTIAN",2
09:11,,,,,"SUB IN by GIACUBENO,COLBY",,,"SUB IN by GIACUBENO,COLBY",2
09:11,,,,,"SUB IN by KUNTZ,JUSTIN",,,"SUB IN by KUNTZ,JUSTIN",2
09:11,,,,,"SUB OUT by HAWKINS,ALFONZO",,,"SUB OUT by HAWKINS,ALFONZO",2
09:11,,,,,"SUB OUT by WALKER,DARIUS",,,"SUB OUT by WALKER,DARIUS",2
09:11,,,,,"SUB OUT by FISHER,ERIK",,,"SUB OUT by FISHER,ERIK",2
09:05,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
09:04,,,,,"STEAL  by KUNTZ,JUSTIN",,,"STEAL  by KUNTZ,JUSTIN",2
09:01,,,,,"MISS LAYUP by DAVIS,KELLY",,,"MISS LAYUP by DAVIS,KELLY",2
--,"REBOUND DEF by WELCH,ROSS",,,,,,,"REBOUND DEF by WELCH,ROSS",2
08:51,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
08:49,,,,,"STEAL  by DAVIS,KELLY",,,"STEAL  by DAVIS,KELLY",2
08:48,,55,,57 (+2),"GOOD LAYUP by ROBERTS,CHRISTIAN(fastbreak)(in the paint)",STE 55-57 (-2),,"GOOD LAYUP by ROBERTS,CHRISTIAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by DAVIS,KELLY",,,"ASSIST  by DAVIS,KELLY",2
08:35,"MISS LAYUP by SCHAMP,GRIFFIN",,,,,,,"MISS LAYUP by SCHAMP,GRIFFIN",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
08:30,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by KUNTZ,JUSTIN",,,"REBOUND DEF by KUNTZ,JUSTIN",2
08:27,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
08:27,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
08:27,"SUB OUT by THORN,IAN",,,,,,,"SUB OUT by THORN,IAN",2
08:11,,55,,59 (+4),"GOOD LAYUP by KUNTZ,JUSTIN(in the paint)",STE 55-59 (-4),,"GOOD LAYUP by KUNTZ,JUSTIN(in the paint)",2
07:51,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
07:51,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
07:38,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",2
07:38,,55,,60 (+5),"GOOD FT by GIACUBENO,COLBY",STE 55-60 (-5),,"GOOD FT by GIACUBENO,COLBY",2
07:38,,55,,61 (+6),"GOOD FT by GIACUBENO,COLBY",STE 55-61 (-6),,"GOOD FT by GIACUBENO,COLBY",2
07:38,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
07:38,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
07:22,,,,,"FOUL  by ROBERTS,CHRISTIAN",,,"FOUL  by ROBERTS,CHRISTIAN",2
07:22,"GOOD FT by HOLLAND,JASON",56,,61 (+5),,BSC 56-61 (-5),,"GOOD FT by HOLLAND,JASON",2
07:22,"GOOD FT by HOLLAND,JASON",57,,61 (+4),,BSC 57-61 (-4),,"GOOD FT by HOLLAND,JASON",2
07:06,,,,,"MISS 3PTR by GIACUBENO,COLBY",,,"MISS 3PTR by GIACUBENO,COLBY",2
--,"REBOUND DEF by HOLLAND,JASON",,,,,,,"REBOUND DEF by HOLLAND,JASON",2
06:52,"TURNOVER  by HOLLAND,JASON",,,,,,,"TURNOVER  by HOLLAND,JASON",2
06:52,,,,,"SUB IN by WALKER,DARIUS",,,"SUB IN by WALKER,DARIUS",2
06:52,,,,,"SUB IN by HAWKINS,ALFONZO",,,"SUB IN by HAWKINS,ALFONZO",2
06:52,,,,,"SUB OUT by DAVIS,KELLY",,,"SUB OUT by DAVIS,KELLY",2
06:52,,,,,"SUB OUT by HOLMES,JEFF",,,"SUB OUT by HOLMES,JEFF",2
06:37,,,,,"TURNOVER  by KUNTZ,JUSTIN",,,"TURNOVER  by KUNTZ,JUSTIN",2
06:36,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",2
06:31,"GOOD 3PTR by THOMAS,LARRY",60,,61 (+1),,BSC 60-61 (-1),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
06:21,,,,,"MISS JUMPER by GIACUBENO,COLBY",,,"MISS JUMPER by GIACUBENO,COLBY",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
05:52,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
05:52,,,,,"SUB OUT by MCCRAY,STEFON",,,"SUB OUT by MCCRAY,STEFON",2
05:50,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",2
--,,,,,"REBOUND DEF by WALKER,DARIUS",,,"REBOUND DEF by WALKER,DARIUS",2
05:22,,60,,63 (+3),"GOOD LAYUP by WALKER,DARIUS(in the paint)",STE 60-63 (-3),,"GOOD LAYUP by WALKER,DARIUS(in the paint)",2
04:58,,,,,"FOUL  by WALKER,DARIUS",,,"FOUL  by WALKER,DARIUS",2
04:58,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
04:58,"GOOD FT by LEWIS,EVAN",61,,63 (+2),,BSC 61-63 (-2),,"GOOD FT by LEWIS,EVAN",2
04:58,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
04:58,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
04:36,,,,,"MISS JUMPER by HAWKINS,ALFONZO",,,"MISS JUMPER by HAWKINS,ALFONZO",2
--,,,,,"REBOUND OFF by KUNTZ,JUSTIN",,,"REBOUND OFF by KUNTZ,JUSTIN",2
04:31,,61,,65 (+4),"GOOD LAYUP by HAWKINS,ALFONZO(in the paint)",STE 61-65 (-4),,"GOOD LAYUP by HAWKINS,ALFONZO(in the paint)",2
--,,,,,"ASSIST  by KUNTZ,JUSTIN",,,"ASSIST  by KUNTZ,JUSTIN",2
04:20,,,,,"FOUL  by ROBERTS,CHRISTIAN",,,"FOUL  by ROBERTS,CHRISTIAN",2
04:20,"GOOD FT by WELCH,ROSS",62,,65 (+3),,BSC 62-65 (-3),,"GOOD FT by WELCH,ROSS",2
04:20,"GOOD FT by WELCH,ROSS",63,,65 (+2),,BSC 63-65 (-2),,"GOOD FT by WELCH,ROSS",2
04:00,,,,,"MISS 3PTR by GIACUBENO,COLBY",,,"MISS 3PTR by GIACUBENO,COLBY",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
03:33,,,,,"FOUL  by WALKER,DARIUS",,,"FOUL  by WALKER,DARIUS",2
03:33,"MISS FT by SCHAMP,GRIFFIN",,,,,,,"MISS FT by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by KUNTZ,JUSTIN",,,"REBOUND DEF by KUNTZ,JUSTIN",2
03:11,,,,,"MISS 3PTR by ROBERTS,CHRISTIAN",,,"MISS 3PTR by ROBERTS,CHRISTIAN",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
02:46,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",65,,65,,BSC 65-65 (0),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
02:25,,,,,"TURNOVER  by WALKER,DARIUS",,,"TURNOVER  by WALKER,DARIUS",2
02:22,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",2
02:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:14,,,,,"SUB IN by FISHER,ERIK",,,"SUB IN by FISHER,ERIK",2
02:14,,,,,"SUB OUT by GIACUBENO,COLBY",,,"SUB OUT by GIACUBENO,COLBY",2
01:57,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by FISHER,ERIK",,,"REBOUND DEF by FISHER,ERIK",2
01:19,,65,,67 (+2),"GOOD JUMPER by KUNTZ,JUSTIN(in the paint)",STE 65-67 (-2),,"GOOD JUMPER by KUNTZ,JUSTIN(in the paint)",2
00:55,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",2
00:55,,,,,"BLOCK  by KUNTZ,JUSTIN",,,"BLOCK  by KUNTZ,JUSTIN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:54,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
00:54,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
00:53,"GOOD 3PTR by THOMAS,LARRY",68 (+1),,67,,BSC 68-67 (+1),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
00:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:40,,,,,"MISS JUMPER by KUNTZ,JUSTIN",,,"MISS JUMPER by KUNTZ,JUSTIN",2
--,,,,,"REBOUND OFF by FISHER,ERIK",,,"REBOUND OFF by FISHER,ERIK",2
00:38,,68,,69 (+1),"GOOD TIPIN by FISHER,ERIK(in the paint)",STE 68-69 (-1),,"GOOD TIPIN by FISHER,ERIK(in the paint)",2
00:38,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:21,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",2
00:21,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
00:21,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
00:21,,,,,"SUB IN by GIACUBENO,COLBY",,,"SUB IN by GIACUBENO,COLBY",2
00:21,,,,,"SUB OUT by KUNTZ,JUSTIN",,,"SUB OUT by KUNTZ,JUSTIN",2
00:19,,,,,"TURNOVER  by WALKER,DARIUS",,,"TURNOVER  by WALKER,DARIUS",2
00:18,"STEAL  by HENRY,COLIN",,,,,,,"STEAL  by HENRY,COLIN",2
00:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:14,,,,,"SUB IN by DAVIS,KELLY",,,"SUB IN by DAVIS,KELLY",2
00:14,,,,,"SUB IN by COSTLY,TYRUS",,,"SUB IN by COSTLY,TYRUS",2
00:14,,,,,"SUB IN by KUNTZ,JUSTIN",,,"SUB IN by KUNTZ,JUSTIN",2
00:14,,,,,"SUB OUT by ROBERTS,CHRISTIAN",,,"SUB OUT by ROBERTS,CHRISTIAN",2
00:14,,,,,"SUB OUT by GIACUBENO,COLBY",,,"SUB OUT by GIACUBENO,COLBY",2
00:14,,,,,"SUB OUT by WALKER,DARIUS",,,"SUB OUT by WALKER,DARIUS",2
00:03,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",70 (+1),,69,,BSC 70-69 (+1),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",2
00:03,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
