Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,STE,Game Score,Team Indicator,Play,Period
14:19,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
14:19,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
14:19,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
14:19,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
14:19,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
14:19,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
14:19,,,,,"SUB IN by MCCRAY,STEFON",,,"SUB IN by MCCRAY,STEFON",1
14:19,,,,,"SUB IN by COSTLY,TYRUS",,,"SUB IN by COSTLY,TYRUS",1
14:19,,,,,"SUB OUT by KUNTZ,JUSTIN",,,"SUB OUT by KUNTZ,JUSTIN",1
14:19,,,,,"SUB OUT by ROBERTS,CHRISTIAN",,,"SUB OUT by ROBERTS,CHRISTIAN",1
14:00,,,,,"FOUL  by FISHER,ERIK",,,"FOUL  by FISHER,ERIK",1
13:46,"MISS 3PTR by LEWIS,EVAN",,,,,,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",1
13:43,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",9,,16 (+7),,BSC 9-16 (-7),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",1
13:17,,,,,"MISS 3PTR by WALKER,DARIUS",,,"MISS 3PTR by WALKER,DARIUS",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
13:02,"GOOD LAYUP by THORN,IAN(in the paint)",11,,16 (+5),,BSC 11-16 (-5),,"GOOD LAYUP by THORN,IAN(in the paint)",1
12:30,,11,,19 (+8),"GOOD 3PTR by FISHER,ERIK",STE 11-19 (-8),,"GOOD 3PTR by FISHER,ERIK",1
--,,,,,"ASSIST  by WALKER,DARIUS",,,"ASSIST  by WALKER,DARIUS",1
