Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:47,"GOOD LAYUP by INUNGU,TOM(in the paint)",2 (+2),,0,,OUM 2-0 (-2),,"GOOD LAYUP by INUNGU,TOM(in the paint)",1
19:13,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",1
18:52,"FOUL  by PERRY,WILL",,,,,,,"FOUL  by PERRY,WILL",1
18:52,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
18:40,"FOUL  by SONE,CARLOS",,,,,,,"FOUL  by SONE,CARLOS",1
18:40,,2 (+1),,1,"GOOD FT by SMITH,PRESTON",HENDRIX 2-1 (-1),,"GOOD FT by SMITH,PRESTON",1
18:40,,2,,2,"GOOD FT by SMITH,PRESTON",HENDRIX 2-2 (0),,"GOOD FT by SMITH,PRESTON",1
18:40,,2,,3 (+1),"GOOD FT by SMITH,PRESTON",HENDRIX 2-3 (+1),,"GOOD FT by SMITH,PRESTON",1
18:26,"MISS LAYUP by PERRY,WILL",,,,,,,"MISS LAYUP by PERRY,WILL",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
17:56,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
17:34,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
17:34,"GOOD FT by INUNGU,TOM",3,,3,,OUM 3-3 (0),,"GOOD FT by INUNGU,TOM",1
17:34,"GOOD FT by INUNGU,TOM",4 (+1),,3,,OUM 4-3 (-1),,"GOOD FT by INUNGU,TOM",1
17:21,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
17:15,"FOUL  by PERRY,WILL",,,,,,,"FOUL  by PERRY,WILL",1
17:15,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
17:15,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",1
17:15,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
16:53,,4,,6 (+2),"GOOD 3PTR by COMAN,SEAN",HENDRIX 4-6 (+2),,"GOOD 3PTR by COMAN,SEAN",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
16:24,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",1
