Time Remaining,HENDRIXM,Away Team Score,Play Team Indicator,Home Team Score,UTTM,Game Score,Team Indicator,Play,Period
19:47,,,,,"FOUL  by CRAIG,CHRIS",,,"FOUL  by CRAIG,CHRIS",1
19:47,"GOOD FT by LINK,JACOB",1 (+1),,0,,HENDRIXM 1-0 (+1),,"GOOD FT by LINK,JACOB",1
19:47,"GOOD FT by LINK,JACOB",2 (+2),,0,,HENDRIXM 2-0 (+2),,"GOOD FT by LINK,JACOB",1
19:14,,,,,"MISS JUMPER by MOHAMED,OMAR",,,"MISS JUMPER by MOHAMED,OMAR",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:52,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
18:50,,,,,"STEAL  by CRAIG,CHRIS",,,"STEAL  by CRAIG,CHRIS",1
18:47,,2,,2,"GOOD LAYUP by CRAIG,CHRIS(fastbreak)(in the paint)",UTTM 2-2 (0),,"GOOD LAYUP by CRAIG,CHRIS(fastbreak)(in the paint)",1
18:36,"MISS 3PTR by COMAN,SEAN",,,,,,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:22,,,,,"MISS JUMPER by MOHAMED,OMAR",,,"MISS JUMPER by MOHAMED,OMAR",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
17:54,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1
--,,,,,"REBOUND DEF by FOGLE,XAVIER",,,"REBOUND DEF by FOGLE,XAVIER",1
17:41,,,,,"TURNOVER  by MOORE,DAVIS",,,"TURNOVER  by MOORE,DAVIS",1
17:19,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
17:16,,,,,"STEAL  by MOHAMED,OMAR",,,"STEAL  by MOHAMED,OMAR",1
17:15,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
17:15,,,,,"SUB IN by LOVE,KAELIN",,,"SUB IN by LOVE,KAELIN",1
17:15,,,,,"SUB OUT by MOHAMED,OMAR",,,"SUB OUT by MOHAMED,OMAR",1
17:12,,,,,"MISS JUMPER by JENKINS,JARED",,,"MISS JUMPER by JENKINS,JARED",1
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",1
16:45,"MISS JUMPER by FITCH,CARL",,,,,,,"MISS JUMPER by FITCH,CARL",1
--,,,,,"REBOUND DEF by LOVE,KAELIN",,,"REBOUND DEF by LOVE,KAELIN",1
16:30,,,,,"MISS JUMPER by JENKINS,JARED",,,"MISS JUMPER by JENKINS,JARED",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
16:23,"TURNOVER  by COMAN,SEAN",,,,,,,"TURNOVER  by COMAN,SEAN",1
16:23,,,,,"SUB IN by BENNETT,TYRICK",,,"SUB IN by BENNETT,TYRICK",1
16:23,,,,,"SUB OUT by MOORE,DAVIS",,,"SUB OUT by MOORE,DAVIS",1
16:07,"FOUL  by COMAN,SEAN",,,,,,,"FOUL  by COMAN,SEAN",1
16:07,,2,,3 (+1),"GOOD FT by BENNETT,TYRICK",UTTM 2-3 (-1),,"GOOD FT by BENNETT,TYRICK",1
16:07,,2,,4 (+2),"GOOD FT by BENNETT,TYRICK",UTTM 2-4 (-2),,"GOOD FT by BENNETT,TYRICK",1
16:07,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",1
16:07,"SUB OUT by COMAN,SEAN",,,,,,,"SUB OUT by COMAN,SEAN",1
15:52,,,,,"TURNOVER  by BENNETT,TYRICK",,,"TURNOVER  by BENNETT,TYRICK",1
15:45,,,,,"MISS JUMPER by FOGLE,XAVIER",,,"MISS JUMPER by FOGLE,XAVIER",1
--,,,,,"REBOUND DEF by FOGLE,XAVIER",,,"REBOUND DEF by FOGLE,XAVIER",1
15:43,"FOUL  by FITCH,CARL",,,,,,,"FOUL  by FITCH,CARL",1
15:43,,2,,5 (+3),"GOOD FT by FOGLE,XAVIER",UTTM 2-5 (-3),,"GOOD FT by FOGLE,XAVIER",1
15:43,,2,,6 (+4),"GOOD FT by FOGLE,XAVIER",UTTM 2-6 (-4),,"GOOD FT by FOGLE,XAVIER",1
15:43,,,,,"SUB IN by MASON,BRAD",,,"SUB IN by MASON,BRAD",1
15:43,,,,,"SUB IN by STEPHENS,CORBIN",,,"SUB IN by STEPHENS,CORBIN",1
15:43,,,,,"SUB OUT by FOGLE,XAVIER",,,"SUB OUT by FOGLE,XAVIER",1
15:43,,,,,"SUB OUT by JENKINS,JARED",,,"SUB OUT by JENKINS,JARED",1
15:16,"GOOD JUMPER by STANLEY,SETH(in the paint)",4,,6 (+2),,HENDRIXM 4-6 (-2),,"GOOD JUMPER by STANLEY,SETH(in the paint)",1
15:03,,,,,"FOUL  by BENNETT,TYRICK",,,"FOUL  by BENNETT,TYRICK",1
14:49,"MISS 3PTR by BRASFIELD,KAM",,,,,,,"MISS 3PTR by BRASFIELD,KAM",1
--,,,,,"REBOUND DEF by CRAIG,CHRIS",,,"REBOUND DEF by CRAIG,CHRIS",1
14:43,"FOUL  by CRAWFORD,TRACE",,,,,,,"FOUL  by CRAWFORD,TRACE",1
14:43,,4,,7 (+3),"GOOD FT by CRAIG,CHRIS",UTTM 4-7 (-3),,"GOOD FT by CRAIG,CHRIS",1
14:43,,4,,8 (+4),"GOOD FT by CRAIG,CHRIS",UTTM 4-8 (-4),,"GOOD FT by CRAIG,CHRIS",1
14:43,"SUB IN by RIDING,JAKE",,,,,,,"SUB IN by RIDING,JAKE",1
14:43,"SUB OUT by STANLEY,SETH",,,,,,,"SUB OUT by STANLEY,SETH",1
14:24,"MISS JUMPER by BRASFIELD,KAM",,,,,,,"MISS JUMPER by BRASFIELD,KAM",1
--,"REBOUND DEF by FITCH,CARL",,,,,,,"REBOUND DEF by FITCH,CARL",1
14:20,,,,,"FOUL  by STEPHENS,CORBIN",,,"FOUL  by STEPHENS,CORBIN",1
14:08,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",6,,8 (+2),,HENDRIXM 6-8 (-2),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
--,"ASSIST  by LINK,JACOB",,,,,,,"ASSIST  by LINK,JACOB",1
13:50,,,,,"TURNOVER  by STEPHENS,CORBIN",,,"TURNOVER  by STEPHENS,CORBIN",1
13:49,"STEAL  by BRASFIELD,KAM",,,,,,,"STEAL  by BRASFIELD,KAM",1
13:40,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",1
--,,,,,"REBOUND DEF by LOVE,KAELIN",,,"REBOUND DEF by LOVE,KAELIN",1
13:28,,,,,"MISS JUMPER by BENNETT,TYRICK",,,"MISS JUMPER by BENNETT,TYRICK",1
--,"REBOUND DEF by LINK,JACOB",,,,,,,"REBOUND DEF by LINK,JACOB",1
13:23,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",8,,8,,HENDRIXM 8-8 (0),,"GOOD LAYUP by LINK,JACOB(fastbreak)(in the paint)",1
12:54,,8,,11 (+3),"GOOD 3PTR by CRAIG,CHRIS",UTTM 8-11 (-3),,"GOOD 3PTR by CRAIG,CHRIS",1
--,,,,,"ASSIST  by BENNETT,TYRICK",,,"ASSIST  by BENNETT,TYRICK",1
