Time Remaining,ETBU,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:41,"MISS LAYUP by DOOLEY,ROBBY",,,,,,,"MISS LAYUP by DOOLEY,ROBBY",1
--,"REBOUND OFF by ELLIOTT,ZACH",,,,,,,"REBOUND OFF by ELLIOTT,ZACH",1
19:36,"GOOD LAYUP by ELLIOTT,ZACH(in the paint)",2 (+2),,0,,ETBU 2-0 (-2),,"GOOD LAYUP by ELLIOTT,ZACH(in the paint)",1
19:22,,2,,3 (+1),"GOOD 3PTR by CRAWFORD,TRACE",HENDRIX 2-3 (+1),,"GOOD 3PTR by CRAWFORD,TRACE",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
19:13,"MISS LAYUP by TAYLOR,JARRELL",,,,,,,"MISS LAYUP by TAYLOR,JARRELL",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
18:50,,2,,5 (+3),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HENDRIX 2-5 (+3),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
18:36,"TURNOVER  by BROWN,LANDIN",,,,,,,"TURNOVER  by BROWN,LANDIN",1
18:36,,,,,"STEAL  by BRASFIELD,KAM",,,"STEAL  by BRASFIELD,KAM",1
18:17,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by BROWN,LANDIN",,,,,,,"REBOUND DEF by BROWN,LANDIN",1
18:06,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
18:06,"GOOD FT by TAYLOR,JARRELL",3,,5 (+2),,ETBU 3-5 (+2),,"GOOD FT by TAYLOR,JARRELL",1
18:06,"GOOD FT by TAYLOR,JARRELL",4,,5 (+1),,ETBU 4-5 (+1),,"GOOD FT by TAYLOR,JARRELL",1
17:56,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
17:55,"STEAL  by DOOLEY,ROBBY",,,,,,,"STEAL  by DOOLEY,ROBBY",1
17:52,"MISS 3PTR by RIDDICK,WESTIN",,,,,,,"MISS 3PTR by RIDDICK,WESTIN",1
--,,,,,"REBOUND DEF by RIDING,JAKE",,,"REBOUND DEF by RIDING,JAKE",1
17:43,,4,,7 (+3),"GOOD LAYUP by LINK,JACOB(in the paint)",HENDRIX 4-7 (+3),,"GOOD LAYUP by LINK,JACOB(in the paint)",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
17:26,"TURNOVER  by DOOLEY,ROBBY",,,,,,,"TURNOVER  by DOOLEY,ROBBY",1
17:25,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
17:01,,4,,9 (+5),"GOOD LAYUP by RIDING,JAKE(in the paint)",HENDRIX 4-9 (+5),,"GOOD LAYUP by RIDING,JAKE(in the paint)",1
17:01,"FOUL  by DOOLEY,ROBBY",,,,,,,"FOUL  by DOOLEY,ROBBY",1
17:01,,4,,10 (+6),"GOOD FT by RIDING,JAKE",HENDRIX 4-10 (+6),,"GOOD FT by RIDING,JAKE",1
17:01,"GOOD JUMPER by SABO,GAVIN(in the paint)",6,,10 (+4),,ETBU 6-10 (+4),,"GOOD JUMPER by SABO,GAVIN(in the paint)",1
--,"ASSIST  by FONTENOT,NATHAN",,,,,,,"ASSIST  by FONTENOT,NATHAN",1
17:01,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,"REBOUND DEF by BROWN,LANDIN",,,,,,,"REBOUND DEF by BROWN,LANDIN",1
17:01,"SUB IN by FONTENOT,NATHAN",,,,,,,"SUB IN by FONTENOT,NATHAN",1
17:01,"SUB IN by SABO,GAVIN",,,,,,,"SUB IN by SABO,GAVIN",1
17:01,"SUB OUT by ELLIOTT,ZACH",,,,,,,"SUB OUT by ELLIOTT,ZACH",1
17:01,"SUB OUT by TAYLOR,JARRELL",,,,,,,"SUB OUT by TAYLOR,JARRELL",1
16:37,"MISS JUMPER by BROWN,LANDIN",,,,,,,"MISS JUMPER by BROWN,LANDIN",1
--,"REBOUND OFF by BROWN,LANDIN",,,,,,,"REBOUND OFF by BROWN,LANDIN",1
16:30,"MISS 3PTR by RIDDICK,WESTIN",,,,,,,"MISS 3PTR by RIDDICK,WESTIN",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
16:20,,6,,12 (+6),"GOOD JUMPER by BRASFIELD,KAM(in the paint)",HENDRIX 6-12 (+6),,"GOOD JUMPER by BRASFIELD,KAM(in the paint)",1
16:10,"TURNOVER  by FONTENOT,NATHAN",,,,,,,"TURNOVER  by FONTENOT,NATHAN",1
16:08,,,,,"STEAL  by CRAWFORD,TRACE",,,"STEAL  by CRAWFORD,TRACE",1
16:06,"FOUL  by SABO,GAVIN",,,,,,,"FOUL  by SABO,GAVIN",1
16:06,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:30,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
15:28,"MISS LAYUP by RIDDICK,WESTIN",,,,,,,"MISS LAYUP by RIDDICK,WESTIN",1
15:28,,,,,"BLOCK  by FITCH,CARL",,,"BLOCK  by FITCH,CARL",1
--,"REBOUND OFF by SABO,GAVIN",,,,,,,"REBOUND OFF by SABO,GAVIN",1
15:18,"GOOD LAYUP by SABO,GAVIN(in the paint)",8,,12 (+4),,ETBU 8-12 (+4),,"GOOD LAYUP by SABO,GAVIN(in the paint)",1
15:09,,,,,"TURNOVER  by LINK,JACOB",,,"TURNOVER  by LINK,JACOB",1
15:07,"STEAL  by BROWN,LANDIN",,,,,,,"STEAL  by BROWN,LANDIN",1
15:02,"GOOD LAYUP by DOOLEY,ROBBY(fastbreak)(in the paint)",10,,12 (+2),,ETBU 10-12 (+2),,"GOOD LAYUP by DOOLEY,ROBBY(fastbreak)(in the paint)",1
14:47,,,,,"MISS 3PTR by FITCH,CARL",,,"MISS 3PTR by FITCH,CARL",1
--,"REBOUND DEF by DOOLEY,ROBBY",,,,,,,"REBOUND DEF by DOOLEY,ROBBY",1
14:36,"MISS LAYUP by DOOLEY,ROBBY",,,,,,,"MISS LAYUP by DOOLEY,ROBBY",1
14:36,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",1
--,,,,,"REBOUND DEF by BRASFIELD,KAM",,,"REBOUND DEF by BRASFIELD,KAM",1
14:28,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
14:28,"SUB IN by COCKERHAM,KEET",,,,,,,"SUB IN by COCKERHAM,KEET",1
14:28,"SUB OUT by DOOLEY,ROBBY",,,,,,,"SUB OUT by DOOLEY,ROBBY",1
14:28,,,,,"SUB IN by STANLEY,SETH",,,"SUB IN by STANLEY,SETH",1
14:28,,,,,"SUB OUT by RIDING,JAKE",,,"SUB OUT by RIDING,JAKE",1
14:17,"GOOD 3PTR by RIDDICK,WESTIN",13 (+1),,12,,ETBU 13-12 (-1),,"GOOD 3PTR by RIDDICK,WESTIN",1
--,"ASSIST  by SABO,GAVIN",,,,,,,"ASSIST  by SABO,GAVIN",1
13:55,"FOUL  by SABO,GAVIN",,,,,,,"FOUL  by SABO,GAVIN",1
